UTCTimestamp_ms,SpO2
1621688456,0
1621688457,0
1621688458,0
1621688459,0
1621688460,0
1621688461,0
1621688462,0
1621688463,0
1621688464,0
1621688465,0
1621688466,0
1621688467,0
1621688468,0
1621688469,0
1621688470,0
1621688471,100
1621688472,97
1621688473,94
1621688474,93
1621688475,93
1621688476,93
1621688477,93
1621688478,92
1621688479,92
1621688480,92
1621688481,93
1621688482,0
1621688483,0
1621688484,0
1621688485,0
1621688486,0
1621688487,0
1621688488,0
1621688489,0
1621688490,0
1621688491,0
1621688492,0
1621688493,0
1621688494,0
1621688495,0
1621688496,0
1621688497,0
1621688498,0
1621688499,0
1621688500,0
1621688501,0
1621688502,0
1621688503,0
1621688504,0
1621688505,0
1621688506,0
1621688507,0
1621688508,0
1621688509,91
1621688510,91
1621688511,91
1621688513,91
1621688514,91
1621688515,91
1621688516,92
1621688517,92
1621688518,92
1621688519,91
1621688520,91
1621688521,91
1621688522,91
1621688523,91
1621688524,91
1621688525,91
1621688526,91
1621688527,91
1621688528,91
1621688529,91
1621688530,92
1621688531,92
1621688532,92
1621688533,92
1621688534,92
1621688535,92
1621688536,92
1621688537,92
1621688538,92
1621688539,93
1621688540,93
1621688541,93
1621688542,93
1621688543,93
1621688544,92
1621688545,92
1621688546,92
1621688547,92
1621688548,92
1621688549,92
1621688550,92
1621688551,92
1621688552,92
1621688553,92
1621688554,92
1621688555,92
1621688556,91
1621688557,89
1621688558,88
1621688559,86
1621688560,85
1621688561,84
1621688562,84
1621688563,85
1621688564,86
1621688565,86
1621688566,87
1621688567,88
1621688568,89
1621688569,90
1621688570,91
1621688571,91
1621688572,92
1621688573,92
1621688574,92
1621688575,92
1621688576,92
1621688577,93
1621688578,93
1621688579,93
1621688580,93
1621688581,92
1621688582,92
1621688583,92
1621688584,92
1621688585,92
1621688586,91
1621688587,90
1621688588,90
1621688589,90
1621688590,91
1621688591,91
1621688592,91
1621688593,91
1621688594,91
1621688595,92
1621688596,92
1621688597,92
1621688598,92
1621688599,92
1621688600,92
1621688601,92
1621688602,91
1621688603,91
1621688604,91
1621688605,91
1621688606,91
1621688607,91
1621688608,91
1621688609,92
1621688610,92
1621688611,92
1621688612,92
1621688613,92
1621688614,92
1621688616,92
1621688617,92
1621688618,92
1621688619,92
1621688620,92
1621688621,92
1621688622,92
1621688623,91
1621688624,91
1621688625,91
1621688626,92
1621688627,92
1621688628,92
1621688629,92
1621688630,91
1621688631,91
1621688632,91
1621688633,91
1621688634,91
1621688635,91
1621688636,91
1621688637,91
1621688638,91
1621688639,91
1621688640,91
1621688641,91
1621688642,91
1621688643,91
1621688644,91
1621688645,91
1621688646,91
1621688647,91
1621688648,91
1621688649,91
1621688650,91
1621688651,91
1621688652,91
1621688653,91
1621688654,91
1621688655,92
1621688656,92
1621688657,91
1621688658,91
1621688659,91
1621688660,91
1621688661,91
1621688662,91
1621688663,92
1621688664,91
1621688665,92
1621688666,92
1621688667,92
1621688668,92
1621688669,92
1621688670,92
1621688671,91
1621688672,90
1621688673,90
1621688674,90
1621688675,90
1621688676,90
1621688677,90
1621688678,89
1621688679,89
1621688680,89
1621688681,89
1621688682,88
1621688683,88
1621688684,87
1621688685,86
1621688686,86
1621688687,86
1621688688,86
1621688689,86
1621688690,87
1621688691,87
1621688692,87
1621688693,87
1621688694,87
1621688695,88
1621688696,88
1621688697,89
1621688698,89
1621688699,90
1621688700,90
1621688701,90
1621688702,90
1621688703,90
1621688704,90
1621688705,90
1621688706,89
1621688707,90
1621688708,89
1621688709,89
1621688710,89
1621688711,89
1621688712,88
1621688713,87
1621688714,87
1621688715,87
1621688716,87
1621688717,87
1621688719,87
1621688720,87
1621688721,87
1621688722,87
1621688723,87
1621688724,87
1621688725,87
1621688726,87
1621688727,88
1621688728,88
1621688729,89
1621688730,89
1621688731,90
1621688732,90
1621688733,91
1621688734,91
1621688735,91
1621688736,92
1621688737,92
1621688738,92
1621688739,92
1621688740,92
1621688741,92
1621688742,91
1621688743,91
1621688744,91
1621688745,91
1621688746,91
1621688747,91
1621688748,91
1621688749,91
1621688750,91
1621688751,91
1621688752,91
1621688753,91
1621688754,91
1621688755,90
1621688756,90
1621688757,90
1621688758,89
1621688759,89
1621688760,89
1621688761,89
1621688762,89
1621688763,89
1621688764,89
1621688765,89
1621688766,90
1621688767,89
1621688768,89
1621688769,89
1621688770,89
1621688771,89
1621688772,89
1621688773,90
1621688774,90
1621688775,90
1621688776,91
1621688777,91
1621688778,91
1621688779,91
1621688780,91
1621688781,92
1621688782,92
1621688783,91
1621688784,91
1621688785,91
1621688786,91
1621688787,91
1621688788,91
1621688789,92
1621688790,92
1621688791,92
1621688792,92
1621688793,92
1621688794,92
1621688795,91
1621688796,91
1621688797,91
1621688798,91
1621688799,91
1621688800,91
1621688801,91
1621688802,91
1621688803,91
1621688804,91
1621688805,91
1621688806,91
1621688807,91
1621688808,91
1621688809,91
1621688810,91
1621688811,91
1621688812,91
1621688813,91
1621688814,91
1621688815,91
1621688816,92
1621688817,92
1621688818,92
1621688819,92
1621688820,93
1621688822,93
1621688823,93
1621688824,93
1621688825,93
1621688826,93
1621688827,93
1621688828,93
1621688829,92
1621688830,92
1621688831,91
1621688832,91
1621688833,91
1621688834,90
1621688835,90
1621688836,90
1621688837,90
1621688838,90
1621688839,90
1621688840,90
1621688841,89
1621688842,89
1621688843,89
1621688844,89
1621688845,89
1621688846,89
1621688847,89
1621688848,90
1621688849,90
1621688850,90
1621688851,90
1621688852,90
1621688853,90
1621688854,90
1621688855,90
1621688856,90
1621688857,90
1621688858,90
1621688859,90
1621688860,90
1621688861,90
1621688862,90
1621688863,90
1621688864,90
1621688865,90
1621688866,90
1621688867,89
1621688868,89
1621688869,89
1621688870,88
1621688871,89
1621688872,89
1621688873,89
1621688874,89
1621688875,89
1621688876,89
1621688877,89
1621688878,89
1621688879,89
1621688880,89
1621688881,89
1621688882,89
1621688883,89
1621688884,88
1621688885,88
1621688886,88
1621688887,88
1621688888,88
1621688889,88
1621688890,88
1621688891,88
1621688892,88
1621688893,88
1621688894,87
1621688895,87
1621688896,87
1621688897,87
1621688898,87
1621688899,87
1621688900,87
1621688901,88
1621688902,88
1621688903,89
1621688904,89
1621688905,90
1621688906,90
1621688907,91
1621688908,91
1621688909,91
1621688910,91
1621688911,91
1621688912,92
1621688913,92
1621688914,92
1621688915,92
1621688916,92
1621688917,92
1621688918,92
1621688919,92
1621688920,92
1621688921,92
1621688922,92
1621688923,92
1621688925,92
1621688926,92
1621688927,92
1621688928,92
1621688929,92
1621688930,92
1621688931,92
1621688932,92
1621688933,92
1621688934,92
1621688935,92
1621688936,92
1621688937,92
1621688938,92
1621688939,92
1621688940,92
1621688941,91
1621688942,91
1621688943,91
1621688944,91
1621688945,91
1621688946,91
1621688947,92
1621688948,92
1621688949,92
1621688950,92
1621688951,92
1621688952,92
1621688953,93
1621688954,93
1621688955,93
1621688956,93
1621688957,93
1621688958,93
1621688959,92
1621688960,92
1621688961,92
1621688962,92
1621688963,92
1621688964,92
1621688965,92
1621688966,92
1621688967,92
1621688968,92
1621688969,92
1621688970,92
1621688971,92
1621688972,92
1621688973,92
1621688974,92
1621688975,92
1621688976,92
1621688977,92
1621688978,92
1621688979,92
1621688980,92
1621688981,92
1621688982,92
1621688983,91
1621688984,91
1621688985,91
1621688986,91
1621688987,90
1621688988,90
1621688989,90
1621688990,90
1621688991,90
1621688992,90
1621688993,90
1621688994,90
1621688995,90
1621688996,90
1621688997,90
1621688998,90
1621688999,91
1621689000,91
1621689001,91
1621689002,91
1621689003,91
1621689004,91
1621689005,91
1621689006,91
1621689007,91
1621689008,91
1621689009,91
1621689010,91
1621689011,91
1621689012,91
1621689013,91
1621689014,91
1621689015,91
1621689016,91
1621689017,91
1621689018,91
1621689019,91
1621689020,91
1621689021,91
1621689022,91
1621689023,91
1621689024,91
1621689025,91
1621689026,91
1621689028,91
1621689029,91
1621689030,90
1621689031,90
1621689032,90
1621689033,90
1621689034,90
1621689035,90
1621689036,90
1621689037,90
1621689038,90
1621689039,90
1621689040,90
1621689041,90
1621689042,90
1621689043,90
1621689044,91
1621689045,91
1621689046,91
1621689047,91
1621689048,91
1621689049,91
1621689050,91
1621689051,91
1621689052,90
1621689053,90
1621689054,90
1621689055,91
1621689056,91
1621689057,91
1621689058,91
1621689059,91
1621689060,91
1621689061,90
1621689062,90
1621689063,90
1621689064,89
1621689065,89
1621689066,89
1621689067,88
1621689068,89
1621689069,89
1621689070,89
1621689071,89
1621689072,89
1621689073,89
1621689074,90
1621689075,91
1621689076,91
1621689077,90
1621689078,91
1621689079,91
1621689080,91
1621689081,91
1621689082,92
1621689083,92
1621689084,92
1621689085,92
1621689086,92
1621689087,92
1621689088,92
1621689089,92
1621689090,92
1621689091,92
1621689092,92
1621689093,92
1621689094,92
1621689095,92
1621689096,92
1621689097,92
1621689098,92
1621689099,92
1621689100,92
1621689101,92
1621689102,92
1621689103,92
1621689104,92
1621689105,92
1621689106,92
1621689107,92
1621689108,92
1621689109,92
1621689110,92
1621689111,92
1621689112,92
1621689113,92
1621689114,92
1621689115,92
1621689116,92
1621689117,91
1621689118,91
1621689119,91
1621689120,91
1621689121,91
1621689122,91
1621689123,91
1621689124,91
1621689125,90
1621689126,90
1621689127,90
1621689128,90
1621689129,91
1621689131,90
1621689132,90
1621689133,91
1621689134,91
1621689135,91
1621689136,91
1621689137,91
1621689138,91
1621689139,91
1621689140,91
1621689141,91
1621689142,91
1621689143,91
1621689144,91
1621689145,91
1621689146,91
1621689147,91
1621689148,91
1621689149,91
1621689150,91
1621689151,91
1621689152,91
1621689153,91
1621689154,91
1621689155,91
1621689156,91
1621689157,91
1621689158,91
1621689159,90
1621689160,90
1621689161,90
1621689162,90
1621689163,90
1621689164,90
1621689165,90
1621689166,90
1621689167,90
1621689168,90
1621689169,90
1621689170,90
1621689171,90
1621689172,90
1621689173,90
1621689174,91
1621689175,91
1621689176,91
1621689177,91
1621689178,91
1621689179,91
1621689180,91
1621689181,90
1621689182,90
1621689183,90
1621689184,90
1621689185,90
1621689186,90
1621689187,90
1621689188,90
1621689189,90
1621689190,90
1621689191,90
1621689192,91
1621689193,91
1621689194,91
1621689195,91
1621689196,91
1621689197,91
1621689198,91
1621689199,91
1621689200,91
1621689201,91
1621689202,91
1621689203,91
1621689204,91
1621689205,91
1621689206,91
1621689207,91
1621689208,91
1621689209,91
1621689210,91
1621689211,91
1621689212,91
1621689213,91
1621689214,91
1621689215,91
1621689216,91
1621689217,91
1621689218,91
1621689219,91
1621689220,91
1621689221,91
1621689222,91
1621689223,90
1621689224,90
1621689225,90
1621689226,90
1621689227,90
1621689228,90
1621689229,91
1621689230,91
1621689231,91
1621689232,91
1621689234,90
1621689235,90
1621689236,90
1621689237,90
1621689238,90
1621689239,90
1621689240,90
1621689241,90
1621689242,90
1621689243,90
1621689244,91
1621689245,91
1621689246,91
1621689247,91
1621689248,91
1621689249,91
1621689250,91
1621689251,91
1621689252,91
1621689253,91
1621689254,91
1621689255,91
1621689256,91
