UTCTimestamp_ms,SpO2
1663765740985,0
1663765740985,0
1663765740985,0
1663765743191,0
1663765743191,0
1663765745403,0
1663765745403,0
1663765747609,0
1663765747609,0
1663765749825,0
1663765749825,0
1663765752036,0
1663765752036,0
1663765752036,0
1663765754260,0
1663765754260,0
1663765756497,0
1663765756497,0
1663765758695,0
1663765758695,0
1663765760892,0
1663765760892,0
1663765763089,0
1663765763089,0
1663765763089,0
1663765765292,0
1663765765292,0
1663765767485,0
1663765767485,0
1663765769687,0
1663765769687,0
1663765771895,0
1663765771895,0
1663765774082,0
1663765774082,0
1663765774082,0
1663765776284,0
1663765776284,0
1663765778476,0
1663765778476,0
1663765780681,0
1663765780681,0
1663765782889,0
1663765782889,0
1663765785077,0
1663765785077,0
1663765785077,0
1663765787282,0
1663765787282,0
1663765789486,0
1663765789486,0
1663765791681,0
1663765791681,0
1663765793882,0
1663765793882,0
1663765796084,0
1663765796084,0
1663765796084,0
1663765798282,0
1663765798282,0
1663765800484,0
1663765800484,0
1663765802683,0
1663765802683,0
1663765804882,0
1663765804882,0
1663765807089,0
1663765807089,0
1663765807089,0
1663765809283,0
1663765809283,0
1663765811483,0
1663765811483,0
1663765813671,0
1663765813671,0
1663765815872,0
1663765815872,0
1663765818073,0
1663765818073,0
1663765818073,0
1663765820269,0
1663765820269,0
1663765822471,0
1663765822471,0
1663765824659,0
1663765824659,0
1663765826873,0
1663765826873,0
1663765829060,0
1663765829060,0
1663765829060,0
1663765831265,0
1663765831265,0
1663765833476,0
1663765833476,0
1663765835673,0
1663765835673,0
1663765837855,0
1663765837855,0
1663765840070,0
1663765840070,0
1663765840070,0
1663765842260,0
1663765842260,0
1663765844458,0
1663765844458,0
1663765846656,0
1663765846656,0
1663765848867,0
1663765848867,0
1663765851065,0
1663765851065,0
1663765851065,0
1663765853261,0
1663765853261,0
1663765855416,0
1663765855416,0
1663765857679,0
1663765857679,0
1663765859829,0
1663765859829,0
1663765862087,0
1663765862087,0
1663765862087,0
1663765864288,0
1663765864288,0
1663765866480,0
1663765866480,0
1663765868680,0
1663765868680,0
1663765870878,0
1663765870878,0
1663765873086,0
1663765873086,0
1663765873086,0
1663765875279,0
1663765875279,0
1663765877487,0
1663765877487,0
1663765879679,0
1663765879679,0
1663765881886,0
1663765881886,0
1663765884089,0
1663765884089,0
1663765884089,0
1663765886289,0
1663765886289,0
1663765888491,0
1663765888491,0
1663765890656,0
1663765890656,0
1663765892896,0
1663765892896,0
1663765895111,0
1663765895111,0
1663765895111,0
1663765897301,0
1663765897301,0
1663765899502,0
1663765899502,0
1663765901704,0
1663765901704,0
1663765903895,0
1663765903895,0
1663765906108,0
1663765906108,0
1663765906108,0
1663765908300,0
1663765908300,0
1663765910497,0
1663765910497,0
1663765912684,0
1663765912684,0
1663765914887,0
1663765914887,0
1663765917091,0
1663765917091,0
1663765917091,0
1663765919294,0
1663765919294,0
1663765921490,0
1663765921490,0
1663765923687,0
1663765923687,0
1663765925894,0
1663765925894,0
1663765928090,0
