UTCTimestamp_ms,SpO2
1666534589949,0
1666534589949,0
1666534589949,0
1666534592169,0
1666534592169,0
1666534594377,0
1666534594377,0
1666534596544,0
1666534596544,0
1666534598790,0
1666534598790,0
1666534600997,0
1666534600997,0
1666534600997,0
1666534603209,0
1666534603209,0
1666534605463,0
1666534605463,0
1666534607649,0
1666534607649,0
1666534609855,0
1666534609855,0
1666534612046,0
1666534612046,0
1666534612046,0
1666534614252,0
1666534614252,0
1666534616463,0
1666534616463,0
1666534618661,0
1666534618661,0
1666534620856,0
1666534620856,0
1666534623055,0
1666534623055,0
1666534623055,0
1666534625259,0
1666534625259,0
1666534627474,0
1666534627474,0
1666534629657,0
1666534629657,0
1666534631879,0
1666534631879,0
1666534634068,0
1666534634068,0
1666534634068,0
1666534636277,0
1666534636277,0
1666534638380,0
1666534638380,0
1666534640619,0
1666534640619,0
1666534642830,0
1666534642830,0
1666534644996,0
1666534644996,0
1666534644996,0
1666534647234,0
1666534647234,0
1666534649487,0
1666534649487,0
1666534651671,0
1666534651671,0
1666534653893,0
1666534653893,0
1666534656092,0
1666534656092,0
1666534656092,0
1666534658284,0
1666534658284,0
1666534660477,0
1666534660477,0
1666534662685,0
1666534662685,0
1666534664879,0
1666534664879,0
1666534667037,0
1666534667037,0
1666534667037,0
1666534669306,0
1666534669306,0
1666534671497,0
1666534671497,0
1666534673697,0
1666534673697,0
1666534675907,0
1666534675907,0
1666534678104,0
1666534678104,0
1666534678104,0
1666534680296,0
1666534680296,0
1666534682501,0
1666534682501,0
1666534684700,0
1666534684700,0
1666534686907,0
1666534686907,0
1666534689101,0
1666534689101,0
1666534689101,0
1666534691294,0
1666534691294,0
1666534693503,0
1666534693503,0
1666534695685,0
1666534695685,0
1666534697904,0
1666534697904,0
1666534700092,0
1666534700092,0
1666534700092,0
1666534702205,0
1666534702205,0
1666534704431,0
1666534704431,0
1666534706635,0
1666534706635,0
1666534708833,0
1666534708833,0
1666534711027,0
1666534711027,0
1666534711027,0
1666534713243,0
1666534713243,0
1666534715445,0
1666534715445,0
1666534717638,0
1666534717638,0
1666534719847,0
1666534719847,0
1666534722049,0
1666534722049,0
1666534722049,0
1666534724249,0
1666534724249,0
1666534726458,0
1666534726458,0
1666534728718,0
1666534728718,0
1666534730848,0
1666534730848,0
1666534733088,0
1666534733088,0
1666534733088,0
1666534735293,0
1666534735293,0
1666534737550,0
1666534737550,0
1666534739749,0
1666534739749,0
1666534741956,0
1666534741956,0
1666534744153,0
1666534744153,0
1666534744153,0
1666534746345,0
1666534746345,0
1666534748539,0
1666534748539,0
1666534750747,0
1666534750747,0
1666534752869,0
1666534752869,0
1666534755105,0
1666534755105,0
1666534755105,0
1666534757312,0
1666534757312,0
1666534759509,0
1666534759509,0
1666534761723,0
1666534761723,0
1666534763930,0
1666534763930,0
1666534766135,0
1666534766135,0
1666534766135,0
1666534768324,85
1666534768324,85
1666534770594,86
1666534770594,83
1666534772811,83
1666534772811,83
1666534775002,83
1666534775002,82
1666534777185,85
1666534777185,88
1666534777185,91
1666534779404,91
1666534779404,91
1666534781610,92
1666534781610,92
1666534783797,92
1666534783797,92
1666534786003,92
1666534786003,92
1666534788201,92
1666534788201,92
1666534788201,92
1666534790406,0
1666534790406,0
1666534792600,0
1666534792600,0
1666534794800,0
1666534794800,0
1666534796995,0
1666534796995,0
1666534799206,0
1666534799206,0
1666534799206,0
1666534801394,92
1666534801394,92
1666534803601,92
1666534803601,92
1666534805792,92
1666534805792,92
1666534807989,92
1666534807989,92
1666534810193,92
1666534810193,92
1666534810193,92
1666534812400,92
1666534812400,92
1666534814591,92
1666534814591,92
1666534816796,93
1666534816796,93
1666534818983,93
1666534818983,94
1666534821183,94
1666534821183,94
1666534821183,94
1666534823392,94
1666534823392,94
1666534825591,94
1666534825591,94
1666534827798,94
1666534827798,94
1666534830006,94
1666534830006,94
1666534832191,94
1666534832191,94
1666534832191,94
1666534834377,94
1666534834377,94
1666534836582,94
1666534836582,95
1666534838781,95
1666534838781,95
1666534840986,95
1666534840986,95
1666534843184,94
1666534843184,94
1666534843184,94
1666534845380,94
1666534845380,94
1666534847566,94
1666534847566,94
1666534849776,93
1666534849776,93
1666534851971,93
1666534851971,94
1666534854170,94
1666534854170,94
1666534854170,94
1666534856371,94
1666534856371,94
1666534858578,94
1666534858578,94
1666534860769,94
1666534860769,94
1666534862885,94
1666534862885,94
1666534865168,94
1666534865168,94
1666534865168,94
1666534867291,94
1666534867291,94
1666534869532,94
1666534869532,95
1666534871739,95
1666534871739,95
1666534873907,95
1666534873907,95
1666534876173,95
1666534876173,95
1666534876173,95
1666534878391,94
1666534878391,94
1666534880577,93
1666534880577,93
1666534882790,93
1666534882790,92
1666534884985,92
1666534884985,92
1666534887183,92
1666534887183,92
1666534887183,92
1666534889331,92
1666534889331,92
1666534891548,92
1666534891548,92
1666534893756,92
1666534893756,92
1666534896004,92
1666534896004,92
1666534898197,92
1666534898197,92
1666534898197,91
1666534900399,91
1666534900399,91
1666534902600,91
1666534902600,91
1666534904813,91
1666534904813,90
1666534906998,90
1666534906998,90
1666534909200,90
1666534909200,90
1666534909200,90
1666534911405,90
1666534911405,90
1666534913598,90
1666534913598,90
1666534915797,90
1666534915797,89
1666534918003,89
1666534918003,89
1666534920189,90
1666534920189,90
1666534920189,89
1666534922385,89
1666534922385,88
1666534924592,88
1666534924592,87
1666534926792,87
1666534926792,87
1666534929000,87
1666534929000,87
1666534931199,88
1666534931199,88
1666534931199,88
1666534933400,88
1666534933400,89
1666534935590,89
1666534935590,89
1666534937781,89
1666534937781,89
1666534939999,89
1666534939999,89
1666534942187,89
1666534942187,88
1666534942187,88
1666534944387,88
1666534944387,88
1666534946580,88
1666534946580,88
1666534948786,88
1666534948786,88
1666534950983,88
1666534950983,88
1666534953182,89
1666534953182,89
1666534953182,89
1666534955391,89
1666534955391,89
1666534957577,89
1666534957577,89
1666534959791,89
1666534959791,89
1666534962003,89
1666534962003,89
1666534964203,89
1666534964203,89
1666534964203,89
1666534966385,89
1666534966385,89
1666534968549,89
1666534968549,89
1666534970806,89
1666534970806,88
1666534973005,88
1666534973005,88
1666534975195,88
1666534975195,88
1666534975195,88
1666534977407,87
1666534977407,88
1666534979611,88
1666534979611,88
1666534981805,88
1666534981805,88
1666534983990,88
1666534983990,88
1666534986197,88
1666534986197,88
1666534986197,88
1666534988397,88
1666534988397,87
1666534990587,87
1666534990587,87
1666534992799,87
1666534992799,87
1666534994990,87
1666534994990,88
1666534997194,88
1666534997194,88
1666534997194,88
1666534999382,88
1666534999382,88
1666535001596,89
1666535001596,89
1666535003781,89
1666535003781,89
