UTCTimestamp_ms,SpO2
1691327654863,0
1691327654863,0
1691327654863,0
1691327657051,0
1691327657051,0
1691327659160,0
1691327659160,0
1691327661395,0
1691327661395,0
1691327663577,0
1691327663577,0
1691327666051,0
1691327666051,0
1691327666051,0
1691327668047,0
1691327668047,0
1691327670526,0
1691327670526,0
1691327672723,0
1691327672723,0
1691327674923,0
1691327674923,0
1691327677041,0
1691327677041,0
1691327677041,0
1691327679052,0
1691327679052,0
1691327681791,0
1691327681791,0
1691327684033,0
1691327684033,0
1691327686175,0
1691327686175,0
1691327688035,0
1691327688035,0
1691327688035,0
1691327690034,0
1691327690034,0
1691327693034,0
1691327693034,0
1691327695185,0
1691327695185,0
1691327697046,0
1691327697046,0
1691327699029,0
1691327699029,0
1691327699029,0
1691327702033,0
1691327702033,0
1691327704034,0
1691327704034,0
1691327706036,97
1691327706036,97
1691327708041,97
1691327708041,97
1691327710037,97
1691327710037,97
1691327710037,98
1691327713034,98
1691327713034,98
1691327715042,98
1691327715042,97
1691327717042,97
1691327717042,96
1691327719039,96
1691327719039,95
1691327722036,95
1691327722036,94
1691327722036,94
1691327724187,94
1691327724187,94
1691327726046,94
1691327726046,94
1691327728045,93
1691327728045,93
1691327730041,93
1691327730041,93
1691327733042,93
1691327733042,93
1691327733042,93
1691327735048,93
1691327735048,92
1691327737037,92
1691327737037,93
1691327739033,93
1691327739033,93
1691327741031,93
1691327741031,93
1691327744062,93
1691327744062,93
1691327744062,93
1691327746045,93
1691327746045,93
1691327748032,92
1691327748032,92
1691327750031,92
1691327750031,93
1691327753040,93
1691327753040,93
1691327755040,93
1691327755040,93
1691327755040,93
1691327757031,93
1691327757031,92
1691327759045,92
1691327759045,92
1691327761034,92
1691327761034,93
1691327764032,93
1691327764032,93
1691327766032,93
1691327766032,93
1691327766032,93
1691327768032,93
1691327768032,93
1691327770042,94
1691327770042,94
1691327773035,94
1691327773035,93
1691327775041,93
1691327775041,93
1691327777040,93
1691327777040,93
1691327777040,93
1691327779034,93
1691327779034,93
1691327781034,93
1691327781034,92
1691327784038,92
1691327784038,92
1691327786032,92
1691327786032,91
1691327788035,91
1691327788035,91
1691327788035,91
1691327790050,92
1691327790050,92
1691327793037,91
1691327793037,91
1691327795050,91
1691327795050,91
1691327797039,92
1691327797039,92
1691327799043,92
1691327799043,93
1691327799043,93
1691327801044,93
1691327801044,93
1691327804047,94
1691327804047,94
1691327806045,94
1691327806045,94
1691327808050,94
1691327808050,94
1691327810040,94
1691327810040,94
1691327810040,94
1691327812042,95
1691327812042,95
1691327815045,96
1691327815045,96
1691327817041,96
1691327817041,95
1691327819048,95
1691327819048,96
1691327821041,96
1691327821041,96
1691327821041,96
1691327824036,97
1691327824036,97
1691327826183,97
1691327826183,97
1691327828043,97
1691327828043,97
1691327830034,97
1691327830034,96
1691327832036,96
1691327832036,96
1691327832036,96
1691327835051,96
1691327835051,96
1691327837151,96
1691327837151,96
1691327839034,96
1691327839034,96
1691327841041,96
1691327841041,96
1691327844044,96
1691327844044,96
1691327844044,96
1691327846038,96
1691327846038,96
1691327848038,96
1691327848038,96
1691327850045,95
1691327850045,95
1691327852031,95
1691327852031,95
1691327855040,95
1691327855040,95
1691327855040,96
1691327857038,96
1691327857038,97
1691327859048,97
1691327859048,97
1691327861033,97
1691327861033,96
1691327864040,96
1691327864040,96
1691327866041,96
1691327866041,96
1691327866041,96
1691327868032,95
1691327868032,95
1691327870048,94
1691327870048,94
1691327872041,93
1691327872041,93
1691327875043,92
1691327875043,92
1691327877036,91
1691327877036,92
1691327877036,93
1691327879032,93
1691327879032,93
1691327881033,94
1691327881033,94
1691327883031,94
1691327883031,95
1691327886031,95
1691327886031,95
1691327888037,95
1691327888037,95
1691327888037,95
1691327890032,96
1691327890032,95
1691327892037,95
1691327892037,95
1691327895035,95
1691327895035,95
1691327897040,94
1691327897040,94
1691327899187,94
1691327899187,94
1691327899187,94
1691327901391,94
1691327901391,95
1691327903610,95
1691327903610,96
1691327906047,96
1691327906047,96
1691327908059,96
1691327908059,96
1691327910051,96
1691327910051,96
1691327910051,96
1691327912034,97
1691327912034,97
1691327914037,96
1691327914037,96
1691327917031,96
1691327917031,96
1691327919036,96
1691327919036,95
1691327921040,95
1691327921040,95
1691327921040,95
1691327923033,94
1691327923033,95
1691327926041,95
1691327926041,95
1691327928035,95
1691327928035,95
1691327930054,95
1691327930054,95
1691327932035,95
1691327932035,95
1691327932035,95
1691327934050,95
1691327934050,95
1691327937038,95
1691327937038,95
