UTCTimestamp_ms,SpO2
1692621141356,0
1692621141356,0
1692621141356,0
1692621143543,0
1692621143543,0
1692621145041,0
1692621145041,0
1692621148118,0
1692621148118,0
1692621150156,0
1692621150156,0
1692621152038,0
1692621152038,0
1692621152038,0
1692621154034,0
1692621154034,96
1692621156029,96
1692621156029,96
1692621159030,95
1692621159030,94
1692621161031,93
1692621161031,92
1692621163046,91
1692621163046,91
1692621163046,90
1692621165041,90
1692621165041,91
1692621168030,91
1692621168030,0
1692621170038,0
1692621170038,0
1692621172039,0
1692621172039,0
1692621174039,0
1692621174039,0
1692621174039,0
1692621176043,0
1692621176043,0
1692621179033,0
1692621179033,0
1692621181177,0
1692621181177,0
1692621183046,0
1692621183046,0
1692621185035,0
1692621185035,0
1692621185035,0
1692621187034,0
1692621187034,0
1692621189177,0
1692621189177,0
1692621192039,0
1692621192039,0
1692621194029,0
1692621194029,0
1692621196033,0
1692621196033,0
1692621196033,0
1692621199048,0
1692621199048,0
1692621201034,0
1692621201034,0
1692621203044,0
1692621203044,0
1692621205033,0
1692621205033,0
1692621207037,0
1692621207037,0
1692621207037,0
1692621210069,0
1692621210069,0
1692621212040,0
1692621212040,0
1692621214031,0
1692621214031,0
1692621216030,0
1692621216030,0
1692621218032,0
1692621218032,0
1692621218032,0
1692621221030,0
1692621221030,0
1692621223036,0
1692621223036,0
1692621225048,0
1692621225048,0
1692621227030,0
1692621227030,0
1692621230036,0
1692621230036,0
1692621230036,0
1692621232035,0
1692621232035,0
1692621234031,0
1692621234031,0
1692621236032,0
1692621236032,0
1692621238040,0
1692621238040,0
1692621240178,0
1692621240178,0
1692621240178,0
1692621243040,0
1692621243040,0
1692621245031,0
1692621245031,0
1692621247032,0
1692621247032,0
1692621249036,0
1692621249036,0
1692621252031,0
1692621252031,0
1692621252031,0
1692621254033,0
1692621254033,0
1692621256042,0
1692621256042,0
1692621258031,0
1692621258031,0
1692621260217,0
1692621260217,0
1692621263035,0
1692621263035,0
1692621263035,0
1692621265032,0
1692621265032,0
1692621267034,0
1692621267034,0
1692621269043,0
1692621269043,0
1692621272038,0
1692621272038,0
1692621274046,0
1692621274046,0
1692621274046,0
1692621276034,0
1692621276034,0
1692621278034,0
1692621278034,0
1692621280051,0
1692621280051,0
1692621283028,0
1692621283028,0
1692621285040,0
1692621285040,0
1692621285040,0
1692621287034,0
1692621287034,0
1692621289036,0
1692621289036,0
1692621292056,0
1692621292056,0
1692621294044,0
1692621294044,0
1692621296037,0
1692621296037,0
1692621296037,0
1692621298039,0
1692621298039,0
1692621300173,0
1692621300173,0
1692621303044,0
1692621303044,0
1692621305037,0
1692621305037,0
1692621307036,0
1692621307036,0
1692621307036,0
1692621309030,0
1692621309030,0
1692621312028,0
1692621312028,0
1692621314029,0
1692621314029,0
1692621316028,0
1692621316028,0
1692621318033,0
1692621318033,0
1692621318033,0
1692621320029,0
1692621320029,0
1692621323037,0
1692621323037,0
1692621325039,0
1692621325039,0
1692621327044,0
1692621327044,0
1692621329029,0
1692621329029,0
1692621329029,0
1692621331031,0
1692621331031,86
1692621334035,86
1692621334035,86
1692621336031,86
1692621336031,86
1692621338033,86
1692621338033,86
1692621340038,86
1692621340038,86
1692621340038,86
1692621343036,86
1692621343036,86
1692621345044,85
1692621345044,85
1692621347035,85
1692621347035,85
1692621349035,85
1692621349035,85
1692621351043,85
1692621351043,85
1692621351043,0
1692621354040,0
1692621354040,0
1692621356036,0
1692621356036,0
1692621358031,0
1692621358031,0
1692621360183,0
1692621360183,0
1692621362037,0
1692621362037,0
1692621362037,0
1692621365029,0
1692621365029,0
1692621367051,0
1692621367051,0
1692621369037,0
1692621369037,0
1692621371037,0
1692621371037,0
1692621374032,0
1692621374032,0
1692621374032,0
1692621376039,0
1692621376039,0
1692621378035,0
1692621378035,0
1692621380028,0
1692621380028,0
1692621382032,0
1692621382032,0
1692621385035,0
1692621385035,0
1692621385035,0
1692621387031,0
1692621387031,0
1692621389036,0
1692621389036,0
1692621391031,0
1692621391031,0
1692621393070,0
1692621393070,0
1692621395267,0
1692621395267,0
1692621395267,0
1692621398036,0
1692621398036,0
1692621400037,0
1692621400037,0
1692621402032,0
1692621402032,0
1692621405042,0
1692621405042,0
1692621407031,0
1692621407031,0
1692621407031,0
1692621409041,0
1692621409041,0
1692621411040,0
1692621411040,0
1692621413037,0
1692621413037,0
1692621416032,0
1692621416032,0
1692621418029,0
1692621418029,0
1692621418029,0
1692621420174,0
1692621420174,0
1692621422047,0
1692621422047,0
1692621424041,0
1692621424041,0
1692621426179,0
1692621426179,0
1692621429037,0
1692621429037,0
1692621429037,0
1692621431046,0
1692621431046,0
1692621433037,0
1692621433037,0
1692621436039,0
1692621436039,0
1692621438038,0
1692621438038,0
1692621440043,0
1692621440043,0
1692621440043,0
1692621442034,0
1692621442034,0
1692621444028,0
1692621444028,0
1692621447031,0
1692621447031,0
1692621449033,0
1692621449033,0
1692621451036,0
1692621451036,0
1692621451036,0
1692621453032,0
1692621453032,0
1692621456032,0
1692621456032,0
1692621458035,0
1692621458035,0
1692621460040,0
1692621460040,0
1692621462034,0
1692621462034,0
1692621462034,0
1692621464034,0
1692621464034,0
1692621467037,0
1692621467037,0
1692621469036,0
1692621469036,0
1692621471038,0
1692621471038,0
1692621473034,0
1692621473034,0
1692621473034,0
1692621475031,0
1692621475031,0
1692621478035,0
1692621478035,0
1692621480172,0
1692621480172,0
1692621482035,91
1692621482035,91
1692621484035,91
1692621484035,91
1692621484035,92
1692621487043,92
1692621487043,93
1692621489040,94
1692621489040,95
1692621491040,95
1692621491040,95
1692621493040,96
1692621493040,96
1692621495035,96
1692621495035,96
1692621495035,96
1692621498043,97
1692621498043,97
1692621500042,97
1692621500042,97
1692621502034,97
1692621502034,97
1692621504031,97
1692621504031,96
1692621506039,97
1692621506039,97
1692621506039,97
1692621509040,97
1692621509040,97
1692621511028,97
1692621511028,97
1692621513042,97
1692621513042,97
1692621515036,96
1692621515036,96
1692621518038,96
1692621518038,96
1692621518038,96
1692621520033,96
1692621520033,96
1692621522041,95
1692621522041,95
1692621524038,95
1692621524038,95
1692621526049,95
1692621526049,95
1692621529045,95
1692621529045,95
1692621529045,96
1692621531031,96
1692621531031,96
1692621533035,96
1692621533035,96
1692621535030,0
1692621535030,0
1692621537030,0
1692621537030,0
1692621540038,0
1692621540038,0
1692621540038,0
1692621542045,0
1692621542045,0
1692621544029,0
1692621544029,0
1692621546029,0
1692621546029,0
1692621549037,0
1692621549037,0
1692621551038,0
1692621551038,0
1692621551038,0
1692621553029,0
1692621553029,0
1692621555055,0
1692621555055,0
1692621557034,0
1692621557034,0
1692621560050,0
1692621560050,0
1692621562035,0
1692621562035,0
1692621562035,0
1692621564035,0
1692621564035,0
1692621566034,0
1692621566034,0
1692621569028,0
1692621569028,93
1692621571038,0
1692621571038,0
1692621573035,0
1692621573035,0
1692621573035,0
1692621575035,0
1692621575035,0
1692621577043,0
1692621577043,0
1692621580040,0
1692621580040,0
1692621582037,0
1692621582037,0
1692621584046,0
1692621584046,0
1692621584046,0
1692621586037,0
1692621586037,95
1692621588038,95
1692621588038,95
1692621591033,95
1692621591033,95
1692621593031,95
1692621593031,95
1692621595038,95
1692621595038,95
1692621595038,95
1692621597036,96
1692621597036,96
1692621600032,96
1692621600032,96
1692621602045,96
1692621602045,97
1692621604174,97
1692621604174,97
1692621606033,97
1692621606033,97
1692621606033,0
1692621608028,0
1692621608028,0
1692621611034,0
1692621611034,0
1692621613028,0
1692621613028,0
1692621615040,0
1692621615040,0
1692621617034,0
1692621617034,0
1692621617034,0
1692621619045,0
1692621619045,0
1692621622031,0
1692621622031,0
1692621624036,0
1692621624036,0
1692621626037,0
1692621626037,0
1692621628043,0
1692621628043,0
1692621628043,0
1692621631028,0
1692621631028,0
1692621633036,0
1692621633036,0
1692621635040,0
1692621635040,0
1692621637046,0
1692621637046,0
1692621639034,95
1692621639034,0
1692621639034,0
1692621642046,0
1692621642046,0
1692621644031,0
1692621644031,0
1692621646042,0
1692621646042,92
1692621648046,93
1692621648046,93
1692621651040,92
1692621651040,92
1692621651040,91
1692621653033,90
1692621653033,89
1692621655038,88
1692621655038,88
1692621657036,87
1692621657036,86
1692621659032,85
1692621659032,0
1692621661148,87
1692621661148,87
1692621661148,87
1692621664030,87
1692621664030,87
1692621666032,87
1692621666032,87
1692621668033,87
1692621668033,87
1692621670038,88
1692621670038,88
1692621673034,88
1692621673034,87
1692621673034,87
1692621675048,86
1692621675048,86
1692621677033,86
1692621677033,85
1692621679035,85
1692621679035,85
1692621682029,84
1692621682029,84
1692621684038,84
1692621684038,84
1692621684038,84
1692621686034,84
1692621686034,84
1692621688031,84
1692621688031,84
1692621690035,84
1692621690035,85
1692621693030,85
1692621693030,85
1692621695031,85
1692621695031,85
1692621695031,85
1692621697039,85
1692621697039,84
1692621699033,0
1692621699033,0
1692621702042,0
1692621702042,0
1692621704032,0
1692621704032,0
1692621706045,0
1692621706045,0
1692621706045,0
1692621708040,0
1692621708040,0
1692621710029,0
1692621710029,0
1692621713048,0
1692621713048,0
1692621715052,0
1692621715052,0
1692621717040,0
1692621717040,0
1692621717040,0
1692621719042,84
1692621719042,0
1692621721147,0
1692621721147,0
1692621724029,0
1692621724029,0
1692621726037,0
1692621726037,0
1692621728037,0
1692621728037,0
1692621728037,0
1692621730032,0
1692621730032,0
1692621733036,0
1692621733036,0
1692621735041,0
1692621735041,0
1692621737038,87
1692621737038,86
1692621739029,85
1692621739029,84
1692621739029,83
1692621741035,0
1692621741035,86
1692621744033,86
1692621744033,87
1692621746030,87
1692621746030,88
1692621748042,0
1692621748042,89
1692621750047,90
1692621750047,90
1692621750047,91
1692621752036,91
1692621752036,0
1692621755032,0
1692621755032,0
1692621757038,0
1692621757038,0
1692621759040,0
1692621759040,0
1692621761031,0
1692621761031,0
1692621761031,0
1692621764042,0
1692621764042,0
1692621766044,0
1692621766044,0
1692621768050,0
1692621768050,0
1692621770036,0
1692621770036,0
1692621772027,0
1692621772027,0
1692621772027,0
1692621775030,0
1692621775030,0
1692621777033,0
1692621777033,0
1692621779032,0
1692621779032,0
1692621781154,0
1692621781154,0
1692621783373,0
1692621783373,0
1692621783373,0
1692621786038,0
1692621786038,0
1692621788033,0
1692621788033,0
1692621790035,0
1692621790035,0
1692621792028,0
1692621792028,0
1692621795029,0
1692621795029,0
1692621795029,90
1692621797033,90
1692621797033,0
1692621799032,0
1692621799032,0
1692621801041,0
1692621801041,0
1692621803037,0
1692621803037,0
1692621806041,0
1692621806041,0
1692621806041,0
1692621808047,0
1692621808047,0
1692621810035,0
1692621810035,0
1692621812042,0
1692621812042,0
1692621814032,0
1692621814032,0
1692621817045,0
1692621817045,0
1692621817045,0
1692621819039,0
1692621819039,0
1692621821038,0
1692621821038,0
1692621823030,0
1692621823030,0
1692621826037,0
1692621826037,0
1692621828028,0
1692621828028,0
1692621828028,0
1692621830027,0
1692621830027,0
1692621832035,0
1692621832035,0
1692621834036,0
1692621834036,0
1692621837045,0
1692621837045,0
1692621839031,0
1692621839031,0
1692621839031,0
1692621841149,0
1692621841149,0
1692621843044,0
1692621843044,0
1692621846038,0
1692621846038,0
1692621848030,0
1692621848030,0
1692621850033,0
1692621850033,0
1692621850033,0
1692621852031,0
1692621852031,0
1692621854030,0
1692621854030,0
1692621857033,0
1692621857033,0
1692621859030,0
1692621859030,0
1692621861053,0
1692621861053,0
1692621861053,0
1692621863042,0
1692621863042,0
1692621865034,0
1692621865034,0
1692621868035,0
1692621868035,0
1692621870030,0
1692621870030,0
1692621872030,0
1692621872030,0
1692621872030,0
1692621874027,0
1692621874027,0
1692621877034,0
1692621877034,0
1692621879029,0
1692621879029,0
1692621881032,0
1692621881032,0
1692621883033,0
1692621883033,0
1692621883033,0
1692621885041,0
1692621885041,0
1692621888030,0
1692621888030,0
1692621890034,0
1692621890034,0
1692621892039,0
1692621892039,0
1692621894042,0
1692621894042,0
1692621894042,0
1692621897033,0
1692621897033,0
1692621899049,0
1692621899049,0
1692621901155,0
1692621901155,0
1692621903050,0
1692621903050,0
1692621905033,0
1692621905033,0
1692621905033,0
1692621908032,0
1692621908032,0
1692621910036,0
1692621910036,0
1692621912036,0
1692621912036,0
1692621914043,0
1692621914043,0
1692621916055,0
1692621916055,0
1692621916055,0
1692621919032,0
1692621919032,0
1692621921028,0
1692621921028,0
1692621923029,0
1692621923029,0
1692621925033,0
1692621925033,0
1692621928036,0
1692621928036,0
1692621928036,0
1692621930041,0
1692621930041,0
1692621932031,0
1692621932031,0
1692621934049,0
1692621934049,0
1692621936027,0
1692621936027,0
1692621939035,0
1692621939035,0
1692621939035,0
1692621941031,0
1692621941031,0
1692621943040,0
1692621943040,0
1692621945031,0
1692621945031,0
1692621947034,0
1692621947034,0
1692621950043,0
1692621950043,0
1692621950043,0
1692621952036,0
1692621952036,0
1692621954030,0
1692621954030,0
1692621956037,0
1692621956037,0
1692621959033,0
1692621959033,0
1692621961152,0
1692621961152,0
1692621961152,0
1692621963340,0
1692621963340,0
1692621965557,0
1692621965557,0
1692621967761,0
1692621967761,0
1692621970054,0
1692621970054,0
1692621972033,0
1692621972033,0
1692621972033,0
1692621974038,0
1692621974038,0
1692621976028,0
1692621976028,0
1692621978042,0
1692621978042,0
1692621981036,0
1692621981036,0
1692621983041,0
1692621983041,0
1692621983041,0
1692621985032,0
1692621985032,0
1692621987030,0
1692621987030,0
1692621989036,0
1692621989036,0
1692621992049,0
1692621992049,0
1692621994035,0
1692621994035,0
1692621994035,0
1692621996039,0
