UTCTimestamp_ms,SpO2
1694352562419,0
1694352562419,0
1694352562419,0
1694352564036,0
1694352564036,0
1694352566032,0
1694352566032,0
1694352569032,0
1694352569032,0
1694352571031,0
1694352571031,0
1694352573039,0
1694352573039,0
1694352573039,0
1694352575051,0
1694352575051,0
1694352578031,0
1694352578031,0
1694352580041,0
1694352580041,0
1694352582040,0
1694352582040,0
1694352584033,0
1694352584033,0
1694352584033,0
1694352586038,0
1694352586038,0
1694352589030,0
1694352589030,0
1694352591031,100
1694352591031,100
1694352593038,100
1694352593038,100
1694352595044,100
1694352595044,100
1694352595044,100
1694352597048,0
1694352597048,0
1694352600039,0
1694352600039,0
1694352602035,0
1694352602035,0
1694352604035,0
1694352604035,0
1694352606034,0
1694352606034,0
1694352606034,0
1694352608190,0
1694352608190,0
1694352611048,0
1694352611048,0
1694352613052,0
1694352613052,0
1694352615037,0
1694352615037,0
1694352617044,0
1694352617044,0
1694352617044,0
1694352620031,0
1694352620031,0
1694352622034,0
1694352622034,0
1694352624031,0
1694352624031,0
1694352626055,0
1694352626055,0
1694352629028,0
1694352629028,0
1694352629028,0
1694352631038,0
1694352631038,0
1694352633035,0
1694352633035,0
1694352635313,0
1694352635313,0
1694352637515,0
1694352637515,0
1694352639715,0
1694352639715,0
1694352639715,0
1694352641915,0
1694352641915,0
1694352644042,0
1694352644042,0
1694352646042,97
1694352646042,97
1694352648048,97
1694352648048,97
1694352651035,98
1694352651035,98
1694352651035,98
1694352653039,98
1694352653039,97
1694352655037,97
1694352655037,96
1694352657039,96
1694352657039,95
1694352660032,94
1694352660032,94
1694352662031,93
1694352662031,92
1694352662031,92
1694352664030,92
1694352664030,92
1694352666051,92
1694352666051,92
1694352668042,92
1694352668042,92
1694352671037,93
1694352671037,92
1694352673039,92
1694352673039,91
1694352673039,91
1694352675033,91
1694352675033,91
1694352677606,91
1694352677606,91
1694352679814,91
1694352679814,91
1694352682045,90
1694352682045,90
1694352684050,91
1694352684050,89
1694352684050,89
1694352686035,89
1694352686035,90
1694352688031,91
1694352688031,91
1694352691038,92
1694352691038,92
1694352693030,92
1694352693030,92
1694352695047,92
1694352695047,92
1694352695047,92
1694352697039,91
1694352697039,0
1694352700034,0
1694352700034,0
1694352702037,0
1694352702037,0
1694352704032,0
1694352704032,0
1694352706031,0
1694352706031,0
1694352706031,0
1694352708034,0
1694352708034,0
1694352710933,0
1694352710933,0
1694352713172,0
1694352713172,0
1694352715382,0
1694352715382,0
1694352717557,0
1694352717557,0
1694352717557,0
1694352719044,0
1694352719044,0
1694352722048,0
1694352722048,0
1694352724045,0
1694352724045,0
1694352726033,0
1694352726033,0
1694352728038,0
1694352728038,0
1694352728038,0
1694352731031,0
1694352731031,0
1694352733032,0
1694352733032,0
1694352735036,0
1694352735036,0
1694352737046,0
1694352737046,0
1694352739036,0
1694352739036,0
1694352739036,0
1694352742040,0
1694352742040,0
1694352744043,0
1694352744043,0
1694352746044,0
1694352746044,0
1694352748033,0
1694352748033,0
1694352751042,0
1694352751042,0
1694352751042,0
1694352753031,0
1694352753031,0
1694352755197,0
1694352755197,0
1694352757405,0
1694352757405,0
1694352759603,0
1694352759603,0
1694352762040,0
1694352762040,0
1694352762040,0
1694352764036,0
1694352764036,0
1694352766033,0
1694352766033,0
1694352768044,0
1694352768044,0
1694352771039,0
1694352771039,0
1694352773040,0
1694352773040,0
1694352773040,0
1694352775031,0
1694352775031,0
1694352777034,0
1694352777034,0
1694352779036,0
1694352779036,0
1694352781191,0
1694352781191,0
1694352784032,0
1694352784032,0
1694352784032,81
1694352786041,81
1694352786041,81
1694352788043,81
1694352788043,82
1694352790036,83
1694352790036,84
1694352793038,0
1694352793038,0
1694352795035,0
1694352795035,0
1694352795035,0
1694352797187,0
1694352797187,0
1694352799397,0
1694352799397,0
1694352801609,0
1694352801609,0
1694352804036,0
1694352804036,0
1694352806031,0
1694352806031,0
1694352806031,0
1694352808031,0
1694352808031,0
1694352810033,0
1694352810033,0
1694352813040,0
1694352813040,0
1694352815039,0
1694352815039,0
1694352816888,0
1694352816888,0
1694352816888,0
1694352819036,0
1694352819036,0
1694352822032,0
1694352822032,0
1694352824038,0
1694352824038,0
1694352826035,0
1694352826035,0
1694352828042,0
1694352828042,0
1694352828042,0
1694352830033,0
1694352830033,0
1694352833032,0
1694352833032,0
1694352835028,0
1694352835028,0
1694352837380,0
1694352837380,0
1694352839612,0
1694352839612,0
1694352839612,0
1694352841581,0
1694352841581,0
1694352844041,0
1694352844041,0
1694352846032,0
1694352846032,0
1694352848034,0
1694352848034,0
1694352850027,88
1694352850027,88
1694352850027,88
1694352853042,88
1694352853042,88
1694352855042,88
1694352855042,88
1694352857049,88
