UTCTimestamp_ms,SpO2
1694785619879,0
1694785619879,0
1694785619879,0
1694785622056,0
1694785622056,0
1694785624038,0
1694785624038,0
1694785626037,0
1694785626037,0
1694785629048,0
1694785629048,0
1694785631006,0
1694785631006,0
1694785631006,0
1694785633254,0
1694785633254,0
1694785635471,0
1694785635471,0
1694785637678,0
1694785637678,0
1694785639885,0
1694785639885,0
1694785642092,0
1694785642092,0
1694785642092,0
1694785644303,0
1694785644303,0
1694785646263,0
1694785646263,0
1694785648032,0
1694785648032,0
1694785651032,0
1694785651032,0
1694785653036,0
1694785653036,0
1694785653036,0
1694785655038,0
1694785655038,0
1694785657029,0
1694785657029,0
1694785660032,0
1694785660032,0
1694785662034,0
1694785662034,0
1694785664031,0
1694785664031,0
1694785664031,0
1694785666038,0
1694785666038,0
1694785668032,0
1694785668032,0
1694785671036,0
1694785671036,0
1694785673044,0
1694785673044,0
1694785675029,0
1694785675029,0
1694785675029,0
1694785677034,0
1694785677034,0
1694785680033,0
1694785680033,0
1694785682028,0
1694785682028,0
1694785684040,0
1694785684040,0
1694785686035,0
1694785686035,0
1694785686035,0
1694785688045,0
1694785688045,0
1694785691031,0
1694785691031,0
1694785693036,0
1694785693036,0
1694785695042,0
1694785695042,0
1694785697044,0
1694785697044,0
1694785697044,0
1694785699034,0
1694785699034,0
1694785702045,0
1694785702045,0
1694785704032,0
1694785704032,0
1694785706046,0
1694785706046,0
1694785708035,0
1694785708035,0
1694785708035,0
1694785711030,0
1694785711030,0
1694785713037,0
1694785713037,0
1694785715041,0
1694785715041,0
1694785717027,0
1694785717027,0
1694785719038,0
1694785719038,0
1694785719038,0
1694785722038,0
1694785722038,0
1694785724043,0
1694785724043,0
1694785726035,0
1694785726035,0
1694785728028,0
1694785728028,0
1694785731032,0
1694785731032,0
1694785731032,0
1694785733039,0
1694785733039,0
1694785735030,0
1694785735030,0
1694785737043,0
1694785737043,0
1694785739191,0
1694785739191,0
1694785742045,0
1694785742045,0
1694785742045,0
1694785744031,0
1694785744031,0
1694785746036,0
1694785746036,0
1694785748035,0
1694785748035,0
1694785751054,0
1694785751054,0
1694785753029,0
1694785753029,0
1694785753029,0
1694785755051,0
1694785755051,0
1694785757036,0
1694785757036,0
1694785759041,0
1694785759041,0
1694785762046,0
1694785762046,0
1694785764043,0
1694785764043,0
1694785764043,0
1694785766036,0
1694785766036,0
1694785768046,0
1694785768046,0
1694785771040,0
1694785771040,90
1694785773032,90
1694785773032,90
1694785775048,90
1694785775048,89
1694785775048,88
1694785777032,88
1694785777032,88
1694785779043,88
1694785779043,88
1694785782032,88
1694785782032,88
1694785784039,88
1694785784039,88
1694785786037,88
1694785786037,88
1694785786037,88
1694785788052,88
1694785788052,88
1694785790043,89
1694785790043,89
1694785793037,89
1694785793037,89
1694785795035,89
1694785795035,89
1694785797039,89
1694785797039,89
1694785797039,89
1694785799027,0
1694785799027,0
1694785802029,0
1694785802029,0
1694785804031,0
1694785804031,0
1694785806034,0
1694785806034,0
1694785807883,0
1694785807883,0
1694785807883,0
