UTCTimestamp_ms,SpO2
1695390439706,0
1695390439706,0
1695390439706,0
1695390441969,0
1695390441969,0
1695390444030,0
1695390444030,0
1695390446033,0
1695390446033,0
1695390448040,0
1695390448040,0
1695390451036,0
1695390451036,0
1695390451036,0
1695390453038,0
1695390453038,0
1695390455048,0
1695390455048,0
1695390457041,0
1695390457041,0
1695390459034,0
1695390459034,0
1695390462036,0
1695390462036,0
1695390462036,0
1695390464039,0
1695390464039,0
1695390466028,0
1695390466028,0
1695390468030,0
1695390468030,0
1695390471038,0
1695390471038,0
1695390473043,0
1695390473043,0
1695390473043,0
1695390475187,0
1695390475187,0
1695390477398,0
1695390477398,0
1695390479605,0
1695390479605,0
1695390482038,98
1695390482038,98
1695390484036,98
1695390484036,98
1695390484036,98
1695390486035,98
1695390486035,98
1695390488035,98
1695390488035,98
1695390490186,98
1695390490186,98
1695390493038,98
1695390493038,98
1695390495036,97
1695390495036,97
1695390495036,96
1695390497035,95
1695390497035,95
1695390499033,95
1695390499033,94
1695390502044,94
1695390502044,94
1695390504045,94
1695390504045,94
1695390506051,94
1695390506051,94
1695390506051,94
1695390508033,94
1695390508033,94
1695390510032,94
1695390510032,94
1695390513040,94
1695390513040,94
1695390515186,94
1695390515186,94
1695390517044,94
1695390517044,94
1695390517044,94
1695390519043,94
1695390519043,94
1695390522040,94
1695390522040,94
1695390524029,94
1695390524029,94
1695390526045,94
1695390526045,94
1695390528032,94
1695390528032,95
1695390528032,95
1695390530032,95
1695390530032,95
1695390533032,95
1695390533032,95
1695390535043,95
1695390535043,95
1695390537051,95
1695390537051,95
1695390539042,95
1695390539042,95
1695390539042,95
1695390541183,95
1695390541183,95
1695390544035,95
1695390544035,95
1695390546033,95
1695390546033,95
1695390548034,95
1695390548034,95
1695390550032,95
1695390550032,95
1695390550032,95
1695390553036,95
1695390553036,95
1695390555045,95
1695390555045,95
1695390557029,95
1695390557029,95
1695390559031,95
1695390559031,95
1695390561038,95
1695390561038,95
1695390561038,95
1695390564033,96
1695390564033,96
1695390566188,95
1695390566188,96
1695390568436,96
1695390568436,96
1695390570038,96
1695390570038,96
1695390573040,96
1695390573040,96
1695390573040,96
1695390575040,96
1695390575040,96
1695390577052,96
1695390577052,96
1695390579035,96
1695390579035,96
1695390581037,96
1695390581037,96
1695390584029,96
1695390584029,96
1695390584029,96
1695390586037,96
1695390586037,96
1695390588035,96
1695390588035,96
1695390590040,96
1695390590040,96
1695390593035,96
1695390593035,96
1695390595041,96
1695390595041,96
1695390595041,96
1695390597044,96
1695390597044,95
1695390599034,95
1695390599034,95
1695390601187,95
1695390601187,95
1695390604037,95
1695390604037,95
1695390606044,95
1695390606044,95
1695390606044,95
1695390608029,95
1695390608029,95
1695390610043,95
1695390610043,95
1695390612036,95
1695390612036,95
1695390615051,95
1695390615051,95
1695390617030,95
1695390617030,95
1695390617030,95
1695390619032,95
1695390619032,95
1695390621037,95
1695390621037,95
1695390624036,95
1695390624036,95
1695390626050,94
1695390626050,94
1695390628035,94
1695390628035,94
1695390628035,94
1695390630042,94
1695390630042,94
1695390632033,94
1695390632033,94
1695390635054,94
1695390635054,94
1695390637037,94
1695390637037,94
1695390639038,94
1695390639038,94
1695390639038,94
1695390641033,94
1695390641033,94
1695390644029,95
1695390644029,95
1695390646043,95
1695390646043,95
1695390648033,95
1695390648033,95
1695390650029,95
1695390650029,95
1695390650029,95
1695390652047,95
1695390652047,95
1695390655047,94
1695390655047,94
1695390657038,94
1695390657038,94
1695390659041,94
1695390659041,94
1695390661190,94
1695390661190,94
1695390661190,94
1695390664034,94
1695390664034,94
1695390666031,94
1695390666031,94
1695390668042,94
1695390668042,94
1695390670047,94
1695390670047,94
1695390672036,94
1695390672036,94
1695390672036,94
1695390675038,94
1695390675038,94
1695390677057,94
1695390677057,94
1695390679034,94
1695390679034,94
1695390681031,94
1695390681031,94
1695390684040,94
1695390684040,94
1695390684040,94
1695390686187,94
1695390686187,94
1695390688032,94
1695390688032,94
1695390690032,94
1695390690032,94
1695390692034,94
1695390692034,94
1695390695034,94
1695390695034,94
1695390695034,94
1695390697042,94
1695390697042,94
1695390699039,94
1695390699039,93
1695390701033,94
1695390701033,94
1695390703040,94
1695390703040,94
1695390706030,94
1695390706030,94
1695390706030,95
1695390708031,95
1695390708031,95
1695390710035,95
1695390710035,95
1695390712033,96
1695390712033,96
1695390715047,95
1695390715047,95
1695390717043,95
1695390717043,95
1695390717043,95
1695390719038,95
1695390719038,96
1695390721159,96
1695390721159,96
1695390723036,96
1695390723036,96
1695390726049,96
1695390726049,96
1695390728029,96
1695390728029,96
1695390728029,97
1695390730036,97
1695390730036,96
1695390732033,96
1695390732033,96
1695390735031,96
1695390735031,96
1695390737029,96
1695390737029,96
1695390739029,96
1695390739029,96
1695390739029,96
1695390741033,96
1695390741033,96
1695390743036,96
1695390743036,96
1695390746029,96
1695390746029,96
1695390748042,96
1695390748042,96
1695390750033,96
1695390750033,96
1695390750033,96
1695390752036,96
1695390752036,96
1695390755030,96
1695390755030,96
1695390757034,96
1695390757034,95
1695390759043,95
1695390759043,95
1695390761029,95
1695390761029,95
1695390761029,95
1695390763039,95
1695390763039,96
1695390766027,97
1695390766027,97
1695390768045,97
1695390768045,97
1695390770037,97
1695390770037,97
1695390772055,97
1695390772055,97
1695390772055,96
1695390775044,96
1695390775044,96
1695390777045,96
1695390777045,96
1695390779035,96
1695390779035,95
1695390781160,95
1695390781160,94
1695390783036,95
1695390783036,95
1695390783036,95
1695390786033,95
1695390786033,95
1695390788034,96
1695390788034,96
1695390790030,95
1695390790030,95
1695390792032,95
1695390792032,95
1695390794042,96
1695390794042,96
1695390794042,96
1695390797036,96
1695390797036,96
1695390799030,96
1695390799030,96
1695390801045,96
1695390801045,96
1695390803039,96
1695390803039,96
1695390805153,95
1695390805153,95
1695390805153,94
1695390807393,94
1695390807393,93
1695390809602,93
1695390809602,93
1695390812034,93
1695390812034,93
1695390814031,94
1695390814031,94
1695390817045,94
1695390817045,95
1695390817045,95
1695390819036,94
1695390819036,94
1695390821040,94
1695390821040,94
1695390823040,95
1695390823040,95
1695390826032,95
1695390826032,95
1695390828032,94
1695390828032,94
1695390828032,94
1695390830036,94
1695390830036,94
1695390832036,94
1695390832036,94
1695390834029,94
