UTCTimestamp_ms,SpO2
1719322020715,0
1719322020715,0
1719322020715,0
1719322022932,0
1719322022932,0
1719322025121,0
1719322025121,0
1719322027334,0
1719322027334,0
1719322029541,0
1719322029541,0
1719322031741,0
1719322031741,0
1719322031741,0
1719322033961,0
1719322033961,0
1719322036141,0
1719322036141,0
1719322038364,0
1719322038364,0
1719322040558,0
1719322040558,0
1719322042745,0
1719322042745,0
1719322042745,0
1719322044949,0
1719322044949,0
1719322047159,0
1719322047159,0
1719322049377,0
1719322049377,0
1719322051569,0
1719322051569,99
1719322053811,99
1719322053811,99
1719322053811,99
1719322055990,100
1719322055990,100
1719322058184,99
1719322058184,100
1719322060398,100
1719322060398,100
1719322062601,99
1719322062601,99
1719322064797,99
1719322064797,98
1719322064797,97
1719322067076,96
1719322067076,95
1719322069357,95
1719322069357,94
1719322071561,93
1719322071561,93
1719322073765,93
1719322073765,92
1719322075971,92
1719322075971,92
1719322075971,92
1719322078181,92
1719322078181,92
1719322080380,92
1719322080380,92
1719322082581,92
1719322082581,92
1719322084788,92
1719322084788,92
1719322086986,92
1719322086986,92
1719322086986,92
1719322089203,92
1719322089203,92
1719322091401,92
1719322091401,92
1719322093598,92
1719322093598,93
1719322095810,93
1719322095810,93
1719322098018,93
1719322098018,93
1719322098018,93
1719322100218,93
1719322100218,93
1719322102420,93
1719322102420,93
1719322104622,93
1719322104622,93
1719322106825,93
1719322106825,93
1719322109041,93
1719322109041,93
1719322109041,93
1719322111246,93
1719322111246,93
1719322113446,93
1719322113446,93
1719322115651,93
1719322115651,93
1719322117859,93
1719322117859,93
1719322120056,93
1719322120056,92
1719322120056,92
1719322122257,92
1719322122257,92
1719322124457,92
1719322124457,92
1719322126663,92
1719322126663,92
1719322128859,92
1719322128859,92
1719322130918,92
1719322130918,92
1719322130918,92
1719322133108,92
1719322133108,92
1719322135486,92
1719322135486,92
1719322137529,92
1719322137529,92
1719322139735,0
1719322139735,0
1719322141932,0
1719322141932,0
1719322141932,0
1719322144287,0
1719322144287,0
1719322146348,0
1719322146348,0
1719322148535,0
1719322148535,0
1719322150712,0
1719322150712,0
1719322153078,0
1719322153078,0
1719322153078,0
1719322155284,0
1719322155284,0
1719322157500,0
1719322157500,0
1719322159684,0
1719322159684,0
1719322161890,0
1719322161890,0
1719322164101,0
1719322164101,0
1719322164101,94
1719322166297,94
1719322166297,94
1719322168504,94
1719322168504,94
1719322170707,94
1719322170707,93
1719322172912,93
1719322172912,93
1719322175111,93
1719322175111,94
1719322175111,94
1719322177320,94
1719322177320,94
1719322179515,94
1719322179515,94
1719322181710,94
1719322181710,93
1719322183912,93
1719322183912,93
1719322185963,93
1719322185963,93
1719322185963,93
1719322188313,93
1719322188313,93
1719322190518,93
1719322190518,94
1719322192720,94
1719322192720,94
1719322194919,94
1719322194919,95
1719322197135,95
1719322197135,95
1719322197135,94
1719322199331,94
1719322199331,94
1719322201528,94
1719322201528,94
1719322203729,94
1719322203729,94
1719322205941,94
1719322205941,94
1719322208146,94
1719322208146,94
1719322208146,94
1719322210341,94
1719322210341,94
1719322212542,94
1719322212542,94
1719322214760,94
1719322214760,94
1719322216974,94
1719322216974,93
1719322219160,93
1719322219160,92
1719322219160,91
1719322221364,91
1719322221364,91
1719322223563,91
1719322223563,91
1719322225763,92
