UTCTimestamp_ms,SpO2
1719411173260,0
1719411173260,0
1719411173260,0
1719411175449,0
1719411175449,0
1719411177648,0
1719411177648,0
1719411179843,0
1719411179843,0
1719411182051,0
1719411182051,0
1719411184398,0
1719411184398,0
1719411184398,0
1719411186609,0
1719411186609,0
1719411188815,0
1719411188815,0
1719411191037,0
1719411191037,0
1719411193145,0
1719411193145,0
1719411195460,0
1719411195460,0
1719411195460,0
1719411197674,0
1719411197674,0
1719411199895,0
1719411199895,0
1719411202097,0
1719411202097,0
1719411204272,0
1719411204272,0
1719411206509,0
1719411206509,0
1719411206509,0
1719411208726,0
1719411208726,0
1719411210946,0
1719411210946,0
1719411213155,0
1719411213155,0
1719411215186,0
1719411215186,0
1719411217564,0
1719411217564,0
1719411217564,0
1719411219616,0
1719411219616,0
1719411221817,0
1719411221817,0
1719411224017,0
1719411224017,0
1719411226221,0
1719411226221,0
1719411228421,0
1719411228421,0
1719411228421,0
1719411230622,0
1719411230622,0
1719411232828,100
1719411232828,100
1719411235192,100
1719411235192,100
1719411237405,100
1719411237405,100
1719411239613,100
1719411239613,99
1719411239613,97
1719411241673,97
1719411241673,95
1719411244026,94
1719411244026,93
1719411246245,92
1719411246245,91
1719411248460,91
1719411248460,91
1719411250674,92
1719411250674,93
1719411250674,0
1719411252727,0
1719411252727,0
1719411254937,0
1719411254937,0
1719411257133,0
1719411257133,0
1719411259399,0
1719411259399,0
1719411261706,0
1719411261706,0
1719411261706,0
1719411263909,0
1719411263909,0
1719411266124,0
1719411266124,0
1719411268325,0
1719411268325,0
1719411270551,0
1719411270551,0
1719411272753,0
1719411272753,0
1719411272753,0
1719411274970,0
1719411274970,0
1719411277181,0
1719411277181,0
1719411279404,0
1719411279404,0
1719411281612,0
1719411281612,0
1719411283841,0
1719411283841,0
1719411283841,0
1719411286037,0
1719411286037,0
1719411288262,0
1719411288262,0
1719411290463,0
1719411290463,0
1719411292678,0
1719411292678,0
1719411294894,0
1719411294894,0
1719411294894,0
1719411297119,0
1719411297119,0
1719411299328,0
1719411299328,0
1719411301538,0
1719411301538,0
1719411303746,89
1719411303746,89
1719411305952,89
1719411305952,89
1719411305952,89
1719411308169,89
1719411308169,88
1719411310381,89
1719411310381,89
1719411312592,89
1719411312592,89
1719411314812,89
1719411314812,89
1719411317036,90
1719411317036,90
1719411317036,91
1719411319236,91
1719411319236,91
1719411321455,91
1719411321455,91
1719411323663,91
1719411323663,90
1719411325877,90
1719411325877,90
1719411328110,90
1719411328110,90
1719411328110,90
1719411330308,89
1719411330308,89
1719411332527,89
1719411332527,89
1719411334740,89
1719411334740,89
1719411336948,89
1719411336948,89
1719411339172,89
1719411339172,89
1719411339172,89
1719411341388,88
1719411341388,88
1719411343587,88
1719411343587,89
1719411345805,89
1719411345805,89
1719411347856,89
1719411347856,89
1719411350059,88
1719411350059,0
1719411350059,0
1719411352263,0
1719411352263,0
1719411354624,0
1719411354624,0
1719411356828,0
1719411356828,0
1719411359043,0
1719411359043,0
1719411361092,0
1719411361092,0
1719411361092,0
1719411363454,0
1719411363454,0
1719411365676,0
1719411365676,0
1719411367895,0
1719411367895,0
1719411370101,0
1719411370101,0
1719411372319,0
1719411372319,0
1719411372319,0
1719411374538,0
1719411374538,0
1719411376739,0
1719411376739,0
1719411378952,0
1719411378952,0
1719411381165,0
1719411381165,0
1719411383380,0
1719411383380,0
1719411383380,0
1719411385598,0
1719411385598,0
1719411387812,0
1719411387812,0
1719411390029,0
1719411390029,0
1719411392072,0
1719411392072,0
1719411394437,0
1719411394437,0
1719411394437,0
1719411396643,0
1719411396643,0
1719411398863,0
1719411398863,0
1719411401069,0
1719411401069,87
1719411403286,87
1719411403286,87
1719411405504,87
1719411405504,87
1719411405504,86
1719411407704,85
1719411407704,85
1719411409918,85
1719411409918,86
1719411412137,87
1719411412137,88
1719411414345,89
1719411414345,90
1719411416560,91
1719411416560,91
1719411416560,92
1719411418774,92
1719411418774,92
1719411420821,91
1719411420821,91
1719411423198,91
1719411423198,91
1719411425402,91
1719411425402,91
1719411427626,91
1719411427626,92
1719411427626,0
1719411429829,0
1719411429829,0
1719411432042,0
1719411432042,0
1719411434249,0
1719411434249,0
1719411436464,92
1719411436464,92
1719411438675,92
1719411438675,92
1719411438675,92
1719411440902,93
1719411440902,93
1719411443107,93
1719411443107,92
1719411445316,92
1719411445316,91
1719411447546,91
1719411447546,90
1719411449756,90
1719411449756,89
1719411449756,89
1719411451964,89
1719411451964,88
1719411454170,88
1719411454170,88
1719411456396,88
1719411456396,88
1719411458597,88
1719411458597,88
1719411460807,88
1719411460807,88
1719411460807,88
1719411463027,88
1719411463027,87
1719411465241,87
1719411465241,87
1719411467451,88
1719411467451,88
1719411469677,87
1719411469677,87
1719411471884,86
1719411471884,86
1719411471884,85
1719411474094,85
1719411474094,85
1719411476311,85
1719411476311,85
1719411478358,85
1719411478358,85
1719411480733,85
1719411480733,85
1719411482933,85
1719411482933,0
1719411482933,0
1719411484980,0
1719411484980,0
1719411487346,0
1719411487346,0
1719411489561,0
1719411489561,0
1719411491779,0
1719411491779,0
1719411493987,0
1719411493987,0
1719411493987,0
1719411496202,0
1719411496202,0
1719411498414,0
1719411498414,0
1719411500623,0
1719411500623,0
1719411502837,0
1719411502837,0
1719411505053,0
1719411505053,0
1719411505053,0
1719411507257,0
1719411507257,0
1719411509473,0
1719411509473,0
1719411511696,0
1719411511696,0
1719411513911,0
1719411513911,0
1719411516114,0
1719411516114,0
1719411516114,0
1719411518331,0
1719411518331,91
1719411520536,91
1719411520536,92
1719411522741,92
1719411522741,92
1719411524949,92
1719411524949,0
1719411527167,0
1719411527167,0
1719411527167,0
1719411529375,0
1719411529375,0
1719411531583,0
1719411531583,0
1719411533795,0
1719411533795,0
1719411536009,0
1719411536009,0
1719411538231,0
1719411538231,0
1719411538231,0
1719411540264,0
1719411540264,0
1719411542652,0
1719411542652,0
1719411544855,0
1719411544855,0
1719411547058,0
1719411547058,0
1719411549270,0
1719411549270,0
1719411549270,0
1719411551483,0
1719411551483,0
1719411553701,0
1719411553701,0
1719411555906,0
1719411555906,0
1719411558128,0
1719411558128,0
1719411560333,90
1719411560333,90
1719411560333,90
1719411562545,89
1719411562545,89
1719411564772,89
1719411564772,87
1719411566987,86
1719411566987,86
1719411569198,85
1719411569198,84
1719411571406,83
1719411571406,83
1719411571406,82
1719411573609,82
1719411573609,83
1719411575829,83
1719411575829,84
1719411578053,85
1719411578053,86
1719411580255,87
1719411580255,88
1719411582462,88
1719411582462,88
1719411582462,89
1719411584687,90
1719411584687,90
1719411586893,90
1719411586893,90
1719411589110,90
1719411589110,89
1719411591313,89
1719411591313,90
1719411593530,90
1719411593530,90
1719411593530,90
1719411595747,90
1719411595747,90
1719411597952,90
1719411597952,90
1719411599998,90
1719411599998,90
1719411602369,90
1719411602369,89
1719411604579,89
1719411604579,89
1719411604579,89
1719411606798,88
1719411606798,88
1719411609005,88
1719411609005,87
1719411611229,87
1719411611229,87
1719411613449,88
1719411613449,88
1719411615642,88
1719411615642,0
1719411615642,0
1719411617863,0
1719411617863,0
1719411620069,0
1719411620069,0
1719411622283,0
1719411622283,0
1719411624496,0
1719411624496,0
1719411626717,0
1719411626717,0
1719411626717,0
1719411628919,0
1719411628919,0
1719411631143,0
1719411631143,0
1719411633348,0
1719411633348,0
1719411635558,0
1719411635558,0
1719411637775,0
1719411637775,0
1719411637775,0
1719411639996,0
1719411639996,0
1719411642210,81
1719411642210,81
1719411644416,81
1719411644416,80
1719411646631,80
1719411646631,79
1719411648840,78
1719411648840,78
1719411648840,78
1719411651054,80
1719411651054,81
1719411653263,82
1719411653263,85
1719411655490,87
1719411655490,88
1719411657693,89
1719411657693,90
1719411659738,91
1719411659738,91
1719411659738,91
1719411662110,92
1719411662110,92
1719411664326,93
1719411664326,93
1719411666531,93
1719411666531,93
1719411668753,94
1719411668753,94
1719411670961,94
1719411670961,94
1719411670961,94
1719411673171,94
1719411673171,93
1719411675389,94
1719411675389,94
1719411677594,94
1719411677594,94
1719411679813,94
1719411679813,94
1719411682018,94
1719411682018,93
1719411682018,93
1719411684231,93
1719411684231,93
1719411686443,93
1719411686443,92
1719411688656,92
1719411688656,92
1719411690878,92
1719411690878,92
1719411693085,92
1719411693085,92
1719411693085,92
1719411695291,92
1719411695291,92
1719411697512,92
1719411697512,92
1719411699722,92
1719411699722,92
1719411701936,92
1719411701936,92
1719411704150,92
1719411704150,92
1719411704150,92
1719411706368,92
1719411706368,92
1719411708578,92
1719411708578,91
1719411710787,91
1719411710787,90
1719411712998,90
1719411712998,90
1719411715214,90
1719411715214,90
1719411715214,89
1719411717427,89
1719411717427,89
1719411719630,88
1719411719630,88
1719411721670,88
1719411721670,89
1719411724038,89
1719411724038,90
1719411726248,91
1719411726248,92
1719411726248,92
1719411728464,92
1719411728464,92
1719411730675,91
1719411730675,90
1719411732889,88
1719411732889,89
1719411735101,89
1719411735101,87
1719411737315,87
1719411737315,86
1719411737315,85
1719411739528,85
1719411739528,85
1719411741737,85
1719411741737,85
1719411743955,85
1719411743955,86
1719411746179,86
1719411746179,87
1719411748387,87
1719411748387,88
1719411748387,88
1719411750599,88
1719411750599,88
1719411752810,88
1719411752810,88
1719411755021,88
1719411755021,88
1719411757232,87
1719411757232,87
1719411759446,87
1719411759446,87
1719411759446,86
1719411761662,85
1719411761662,85
1719411763872,86
1719411763872,87
1719411766086,88
1719411766086,89
1719411768301,90
1719411768301,90
1719411770511,91
1719411770511,91
1719411770511,91
1719411772731,91
1719411772731,92
1719411774936,91
1719411774936,91
1719411777151,90
1719411777151,90
1719411779358,90
1719411779358,91
1719411781404,91
1719411781404,91
1719411781404,90
1719411783777,90
1719411783777,90
1719411785985,89
1719411785985,89
1719411788185,89
1719411788185,90
1719411790301,90
1719411790301,90
1719411792584,90
1719411792584,90
1719411792584,90
1719411794799,90
1719411794799,90
1719411797016,90
1719411797016,90
1719411799231,90
1719411799231,91
1719411801449,91
1719411801449,91
1719411803661,91
1719411803661,91
1719411803661,91
1719411805872,91
1719411805872,91
1719411808076,91
1719411808076,91
1719411810287,91
1719411810287,91
1719411812496,91
1719411812496,92
1719411814706,91
1719411814706,91
1719411814706,91
1719411816919,90
1719411816919,90
1719411819128,90
1719411819128,90
1719411821345,91
1719411821345,91
1719411823565,91
1719411823565,92
1719411825776,92
1719411825776,92
1719411825776,92
1719411827969,92
1719411827969,92
1719411830189,92
1719411830189,92
1719411832403,92
1719411832403,92
1719411834613,92
1719411834613,92
1719411836827,92
1719411836827,92
1719411836827,92
1719411839040,92
1719411839040,92
1719411841087,92
1719411841087,92
1719411843455,92
1719411843455,92
1719411845673,92
1719411845673,92
1719411847880,92
1719411847880,93
1719411847880,93
1719411850093,93
1719411850093,93
1719411852314,93
1719411852314,93
1719411854520,93
1719411854520,93
1719411856735,93
1719411856735,93
1719411858950,93
1719411858950,93
1719411858950,93
1719411861168,93
1719411861168,93
1719411863370,94
