UTCTimestamp_ms,SpO2
1720361082849,0
1720361082849,0
1720361082849,0
1720361085054,0
1720361085054,0
1720361087260,0
1720361087260,0
1720361089460,0
1720361089460,0
1720361091673,0
1720361091673,0
1720361093877,0
1720361093877,0
1720361093877,0
1720361096088,0
1720361096088,100
1720361098293,100
1720361098293,100
1720361100484,99
1720361100484,100
1720361102822,100
1720361102822,100
1720361105026,99
1720361105026,99
1720361105026,98
1720361107226,97
1720361107226,96
1720361109442,95
1720361109442,94
1720361111631,94
1720361111631,93
1720361113849,93
1720361113849,93
1720361116046,93
1720361116046,92
1720361116046,92
1720361118246,92
1720361118246,92
1720361120456,92
1720361120456,92
1720361122660,92
1720361122660,92
1720361124868,92
1720361124868,92
1720361127071,92
1720361127071,92
1720361127071,92
1720361129278,92
1720361129278,92
1720361131485,92
1720361131485,91
1720361133684,91
1720361133684,91
1720361135882,91
1720361135882,91
1720361138088,91
1720361138088,91
1720361138088,91
1720361140294,91
1720361140294,91
1720361142496,91
1720361142496,91
1720361144712,91
1720361144712,91
1720361146907,91
1720361146907,91
1720361149113,91
1720361149113,91
1720361149113,91
1720361151322,91
1720361151322,92
1720361153527,92
1720361153527,93
1720361155729,93
1720361155729,94
1720361157936,94
1720361157936,94
1720361160008,94
1720361160008,94
1720361160008,94
1720361162343,94
1720361162343,94
1720361164551,94
1720361164551,94
1720361166755,94
1720361166755,94
1720361168964,94
1720361168964,94
1720361171166,94
1720361171166,94
1720361171166,94
1720361173369,93
1720361173369,93
1720361175578,93
1720361175578,93
1720361177777,93
1720361177777,93
1720361179987,93
1720361179987,93
1720361182193,93
1720361182193,93
1720361182193,93
1720361184394,93
1720361184394,93
1720361186602,93
1720361186602,93
1720361188809,93
1720361188809,93
1720361191016,93
1720361191016,93
1720361193212,93
1720361193212,93
1720361193212,93
1720361195423,93
1720361195423,93
1720361197624,93
1720361197624,93
1720361199828,93
1720361199828,93
1720361202036,93
1720361202036,93
1720361204233,93
1720361204233,93
1720361204233,92
1720361206437,92
1720361206437,92
1720361208641,92
1720361208641,92
1720361210850,92
1720361210850,92
1720361213047,92
1720361213047,92
1720361215249,92
1720361215249,92
1720361215249,92
1720361217302,92
1720361217302,93
1720361219653,93
1720361219653,93
1720361221862,93
1720361221862,93
1720361224066,93
1720361224066,93
1720361226264,93
1720361226264,93
1720361226264,93
1720361228475,93
1720361228475,93
1720361230683,93
1720361230683,93
1720361232884,93
1720361232884,93
1720361235089,93
1720361235089,93
1720361237292,93
1720361237292,93
1720361237292,93
1720361239493,93
1720361239493,93
1720361241699,93
1720361241699,93
1720361243913,93
1720361243913,93
1720361246114,93
1720361246114,92
1720361248317,92
1720361248317,92
1720361248317,92
1720361250515,92
1720361250515,92
1720361252714,92
1720361252714,92
1720361254924,92
1720361254924,92
1720361257145,92
1720361257145,92
1720361259338,92
1720361259338,92
1720361259338,92
1720361261551,92
1720361261551,92
1720361263744,92
1720361263744,92
1720361265946,92
1720361265946,92
1720361268145,92
1720361268145,92
1720361270355,92
1720361270355,92
1720361270355,92
1720361272554,92
1720361272554,92
1720361274757,92
1720361274757,92
1720361276975,92
1720361276975,92
1720361279165,92
1720361279165,92
1720361281231,92
1720361281231,92
1720361281231,92
1720361283573,92
1720361283573,92
1720361285775,92
1720361285775,92
1720361287968,92
1720361287968,92
1720361290176,92
1720361290176,92
1720361292378,92
1720361292378,92
1720361292378,92
1720361294583,92
1720361294583,92
1720361296781,92
1720361296781,92
1720361298999,93
1720361298999,93
1720361301189,93
1720361301189,93
1720361303392,93
1720361303392,93
1720361303392,93
1720361305594,93
1720361305594,93
1720361307798,93
1720361307798,93
1720361310012,93
1720361310012,93
1720361312218,93
1720361312218,93
1720361314404,93
1720361314404,93
1720361314404,93
1720361316609,93
1720361316609,93
1720361318810,93
1720361318810,93
1720361321019,93
1720361321019,93
1720361323227,93
1720361323227,93
1720361325418,93
1720361325418,93
1720361325418,93
1720361327632,92
1720361327632,92
1720361329835,92
1720361329835,92
1720361332037,92
1720361332037,92
1720361334244,92
1720361334244,92
1720361336444,92
1720361336444,92
1720361336444,92
1720361338643,92
1720361338643,92
1720361340711,92
1720361340711,92
1720361343052,92
1720361343052,91
1720361345256,91
1720361345256,91
1720361347465,91
1720361347465,91
1720361347465,91
1720361349670,91
1720361349670,92
1720361351867,92
