UTCTimestamp_ms,SpO2
1722951279339,0
1722951279339,0
1722951279339,0
1722951281537,0
1722951281537,0
1722951283738,0
1722951283738,0
1722951285937,0
1722951285937,0
1722951288110,0
1722951288110,0
1722951290341,0
1722951290341,0
1722951290341,0
1722951292535,0
1722951292535,97
1722951294884,96
1722951294884,96
1722951297081,95
1722951297081,94
1722951299286,94
1722951299286,94
1722951301345,94
1722951301345,94
1722951301345,94
1722951303702,94
1722951303702,94
1722951305911,94
1722951305911,94
1722951308129,94
1722951308129,94
1722951310337,94
1722951310337,94
1722951312544,94
1722951312544,94
1722951312544,95
1722951314761,95
1722951314761,95
1722951316964,95
1722951316964,95
1722951319190,95
1722951319190,95
1722951321393,95
1722951321393,95
1722951323612,95
1722951323612,94
1722951323612,94
1722951325838,94
1722951325838,94
1722951328040,94
1722951328040,94
1722951330254,94
1722951330254,94
1722951332463,94
1722951332463,94
1722951334677,94
1722951334677,94
1722951334677,94
1722951336901,94
1722951336901,94
1722951339107,94
1722951339107,94
1722951341321,93
1722951341321,93
1722951343527,93
1722951343527,93
1722951345743,93
1722951345743,93
1722951345743,93
1722951347961,93
1722951347961,93
1722951350166,93
1722951350166,93
1722951352387,93
1722951352387,93
1722951354599,93
1722951354599,93
1722951356817,93
1722951356817,93
1722951356817,93
1722951359011,93
1722951359011,93
1722951361072,93
1722951361072,93
1722951363428,93
1722951363428,93
1722951365646,93
1722951365646,93
1722951367864,93
1722951367864,93
1722951367864,93
1722951370079,93
1722951370079,93
1722951372284,93
1722951372284,93
1722951374492,93
1722951374492,93
1722951376717,93
1722951376717,93
1722951378930,93
1722951378930,93
1722951378930,93
1722951381140,92
1722951381140,92
1722951383360,92
1722951383360,92
1722951385558,92
1722951385558,92
1722951387771,92
1722951387771,92
1722951389991,92
1722951389991,92
1722951389991,92
1722951392206,92
1722951392206,92
1722951394418,92
1722951394418,92
1722951396620,92
1722951396620,92
1722951398835,91
1722951398835,91
1722951401042,91
1722951401042,91
1722951401042,91
1722951403255,91
1722951403255,92
1722951405468,92
1722951405468,92
1722951407691,92
1722951407691,92
1722951409898,92
1722951409898,92
1722951412098,92
1722951412098,92
1722951412098,92
1722951414152,92
1722951414152,92
1722951416530,92
1722951416530,92
1722951418732,92
1722951418732,92
1722951420793,92
1722951420793,92
1722951423146,92
1722951423146,92
1722951423146,92
1722951425366,92
1722951425366,92
1722951427574,92
1722951427574,91
1722951429794,91
1722951429794,91
1722951432002,91
1722951432002,91
1722951434214,91
1722951434214,91
1722951434214,91
1722951436433,91
1722951436433,92
1722951438648,92
1722951438648,92
1722951440850,92
1722951440850,92
1722951443075,92
1722951443075,92
1722951445284,92
1722951445284,92
1722951445284,92
1722951447503,93
1722951447503,93
1722951449711,93
1722951449711,93
1722951451926,93
1722951451926,93
1722951454135,93
1722951454135,94
1722951456359,94
1722951456359,94
1722951456359,94
1722951458562,94
1722951458562,94
1722951460775,94
1722951460775,95
1722951462984,96
1722951462984,97
1722951465202,97
1722951465202,97
1722951467425,97
1722951467425,97
1722951467425,96
1722951469630,96
1722951469630,96
1722951471838,95
1722951471838,95
1722951474049,95
1722951474049,95
1722951476270,95
1722951476270,95
1722951478474,95
1722951478474,95
1722951478474,95
1722951480528,94
1722951480528,94
1722951482888,94
1722951482888,94
1722951485097,94
1722951485097,94
1722951487319,94
1722951487319,94
1722951489544,94
1722951489544,94
1722951489544,93
1722951491738,93
1722951491738,93
1722951493955,93
1722951493955,93
1722951496161,93
1722951496161,93
1722951498379,93
1722951498379,93
1722951500584,93
1722951500584,93
1722951500584,93
1722951502805,93
1722951502805,93
1722951505027,93
1722951505027,93
1722951507232,93
1722951507232,93
