UTCTimestamp_ms,SpO2
1723730261662,0
1723730261662,0
1723730261662,0
1723730263836,0
1723730263836,0
1723730266043,0
1723730266043,0
1723730268263,0
1723730268263,0
1723730270435,0
1723730270435,0
1723730272679,0
1723730272679,0
1723730272679,0
1723730274851,0
1723730274851,0
1723730277054,0
1723730277054,0
1723730279267,0
1723730279267,0
1723730281475,0
1723730281475,0
1723730283659,0
1723730283659,0
1723730283659,0
1723730286045,0
1723730286045,73
1723730288253,73
1723730288253,73
1723730290466,73
1723730290466,73
1723730292681,73
1723730292681,73
1723730294880,74
1723730294880,73
1723730294880,73
1723730297117,74
1723730297117,74
1723730299322,73
1723730299322,0
1723730301523,0
1723730301523,0
1723730303741,0
1723730303741,0
1723730305953,0
1723730305953,0
1723730305953,0
1723730308172,0
1723730308172,0
1723730310384,0
1723730310384,0
1723730312593,0
1723730312593,0
1723730314794,0
1723730314794,0
1723730317013,0
1723730317013,0
1723730317013,0
1723730319234,0
1723730319234,0
1723730321443,0
1723730321443,0
1723730323658,0
1723730323658,0
1723730325861,0
1723730325861,0
1723730328080,0
1723730328080,0
1723730328080,0
1723730330297,0
1723730330297,0
1723730332506,0
1723730332506,0
1723730334717,0
1723730334717,0
1723730336926,0
1723730336926,0
1723730339145,0
1723730339145,0
1723730339145,0
1723730341364,0
1723730341364,0
1723730343586,77
1723730343586,76
1723730345791,76
1723730345791,77
1723730348010,78
1723730348010,78
1723730350220,80
1723730350220,80
1723730350220,83
1723730352440,87
1723730352440,87
1723730354660,88
1723730354660,89
1723730356875,90
1723730356875,92
1723730359086,94
1723730359086,95
1723730361316,95
1723730361316,96
1723730361316,96
1723730363519,96
1723730363519,96
1723730365740,96
1723730365740,95
1723730367956,95
1723730367956,95
1723730370171,95
1723730370171,94
1723730372386,0
1723730372386,0
1723730372386,0
1723730374607,0
1723730374607,0
1723730376826,0
1723730376826,0
1723730379031,0
1723730379031,0
1723730381245,0
1723730381245,0
1723730383458,0
1723730383458,0
1723730383458,0
1723730385671,87
