UTCTimestamp,SpO2,RR,HR,IBI
1628257759,0,0,0,0
1628257760,0,0,0,0
1628257761,0,0,0,27.6491508483887
1628257762,0,0,0,37.9982566833496
1628257763,0,0,0,37.9982566833496
1628257764,0,0,0,37.9982566833496
1628257765,0,0,0,37.9982566833496
1628257766,0,0,0,92.2116470336914
1628257767,0,0,0,29.2581043243408
1628257768,0,0,0,28.2017078399658
1628257769,0,0,0,18.1039237976074
1628257770,0,0,0,13.8320922851562
1628257771,0,0,0,27.4866256713867
1628257772,0,0,0,28.9468231201172
1628257773,0,0,0,29.4588260650635
1628257774,0,0,0,29.7512168884277
1628257775,0,0,0,29.9204349517822
1628257776,0,0,0,29.9204349517822
1628257777,0,0,0,29.233003616333
1628257778,0,0,0,29.3962211608887
1628257779,0,0,0,29.6150856018066
1628257780,0,0,0,19.481876373291
1628257781,0,0,0,16.8532619476318
1628257782,0,0,0,17.3184146881104
1628257783,0,0,0,17.3184146881104
1628257784,0,0,0,17.3184146881104
1628257785,0,0,0,65.6779022216797
1628257786,0,0,0,25.0991992950439
1628257787,0,0,0,15.0475807189941
1628257788,0,0,0,16.0019435882568
1628257789,0,0,0,25.8589172363281
1628257790,0,0,0,25.8589172363281
1628257791,0,0,0,31.6531448364258
1628257792,0,0,0,31.6531448364258
1628257793,0,0,0,31.6531448364258
1628257794,0,0,0,31.6531448364258
1628257795,0,0,0,31.6531448364258
1628257796,0,0,0,134.061218261719
1628257797,0,0,0,17.4671001434326
1628257798,0,0,0,21.6859378814697
1628257799,0,0,0,35.2834854125977
1628257800,0,0,0,19.3362846374512
1628257801,0,0,0,19.3362846374512
1628257802,0,0,0,42.731128692627
1628257803,0,0,0,28.951961517334
1628257804,0,0,0,28.951961517334
1628257805,0,0,0,28.951961517334
1628257806,0,0,0,60.0885734558105
1628257807,0,0,0,60.0885734558105
1628257808,0,0,0,64.220817565918
1628257809,0,0,0,11.7485847473145
1628257810,0,0,0,11.7485847473145
1628257811,0,0,0,27.6059951782227
1628257812,0,0,0,29.9251956939697
1628257813,0,0,0,19.3519687652588
1628257814,0,0,0,29.8116474151611
1628257815,0,0,0,29.8116474151611
1628257816,0,0,0,29.8116474151611
1628257817,0,0,0,93.0487289428711
1628257818,0,0,0,93.0487289428711
1628257819,0,0,0,23.5614604949951
1628257820,0,0,0,23.5614604949951
1628257821,0,0,0,34.8008766174316
1628257822,0,0,0,30.2853183746338
1628257823,0,0,0,27.9047527313232
1628257824,0,0,0,28.4022827148438
1628257825,0,0,0,29.405590057373
1628257826,0,0,0,29.405590057373
1628257827,0,0,0,28.5236320495605
1628257828,0,0,0,28.3627777099609
1628257829,0,0,0,27.7763786315918
1628257830,0,0,0,29.083044052124
1628257831,0,0,0,28.3600578308105
1628257832,0,0,0,29.8425960540771
1628257833,0,0,0,29.8425960540771
1628257834,0,0,0,29.2914352416992
1628257835,0,0,0,30.3739280700684
1628257836,0,0,0,27.1237621307373
1628257837,0,0,51.9303283691406,29.8248844146729
1628257838,0,0,52.0331192016602,28.0695266723633
1628257839,0,0,52.3022270202637,27.4931182861328
1628257840,0,0,52.3254470825195,28.5661525726318
1628257841,0,0,52.3254470825195,28.5661525726318
1628257842,0,0,52.3197402954102,27.8950901031494
1628257843,0,0,52.4429512023926,27.6982746124268
1628257844,0,0,52.5193214416504,25.3637256622314
1628257845,0,0,52.5855331420898,29.1051597595215
1628257846,0,0,52.3974990844727,29.6375293731689
1628257847,0,0,52.3830337524414,28.510835647583
1628257848,0,0,52.4047622680664,28.9309539794922
1628257849,0,0,52.4160842895508,28.4442501068115
1628257850,0,0,52.4160842895508,28.4442501068115
1628257851,0,0,52.4866981506348,27.9459857940674
1628257852,0,0,52.2835845947266,29.1914291381836
1628257853,0,0,52.3010215759277,28.9536781311035
1628257854,0,0,52.1818962097168,29.2286205291748
1628257855,0,0,52.1713676452637,30.0152893066406
1628257856,0,0,52.2655906677246,28.5460605621338
1628257857,0,0,52.2655906677246,28.5460605621338
1628257858,0,0,52.446605682373,28.303918838501
1628257859,0,0,52.3919639587402,28.0252094268799
1628257860,0,0,52.4183120727539,29.4176082611084
1628257861,0,0,52.2998046875,29.0689868927002
1628257862,0,0,52.1772193908691,31.1331577301025
1628257863,0,0,52.0116996765137,30.2674808502197
1628257864,0,0,52.0116996765137,30.2674808502197
1628257865,0,0,51.760856628418,29.6859321594238
1628257866,0,0,51.5550498962402,29.4853572845459
1628257867,0,0,51.6459999084473,28.5868816375732
1628257868,0,0,51.7494735717773,28.175199508667
1628257869,0,0,51.9186782836914,28.4106540679932
1628257870,0,0,51.8672218322754,28.7891330718994
1628257871,0,0,51.8672218322754,28.7891330718994
1628257872,0,0,51.8222503662109,29.2707576751709
1628257873,0,0,51.7895088195801,28.9810447692871
1628257874,0,0,51.5619926452637,30.4616222381592
1628257875,0,0,51.502368927002,25.821044921875
1628257876,0,0,51.4103813171387,29.6541805267334
1628257877,0,0,51.545238494873,27.2665500640869
1628257878,93,0,51.8311996459961,27.5568618774414
1628257879,93,0,51.8311996459961,27.5568618774414
1628257880,93,0,51.9616546630859,27.3707065582275
1628257881,93,0,52.0697975158691,26.1643962860107
1628257882,93,0,52.1088562011719,27.9424934387207
1628257883,93,0,52.1308479309082,29.2590579986572
1628257884,94,0,52.097354888916,29.3000106811523
1628257885,94,0,52.486759185791,27.2590808868408
1628257886,94,0,52.8346519470215,27.3403301239014
1628257887,95,0,52.9867324829102,28.3876857757568
1628257888,96,0,52.9867324829102,28.3876857757568
1628257889,96,0,53.1526870727539,27.8673133850098
1628257890,96,0,53.2246742248535,28.0369529724121
1628257891,96,0,53.1496353149414,28.7565326690674
1628257892,96,0,53.2523078918457,27.622745513916
1628257893,96,0,53.4496803283691,27.2878684997559
1628257894,97,0,53.5199775695801,28.6641483306885
1628257895,97,0,53.494758605957,29.2513751983643
1628257896,97,0,53.5853385925293,28.4195613861084
1628257897,97,0,53.5853385925293,28.4195613861084
1628257898,97,0,53.4709701538086,27.8223114013672
1628257899,97,0,53.5529251098633,28.4892826080322
1628257900,97,0,53.3237419128418,29.4261837005615
1628257901,97,0,53.1041374206543,29.8275051116943
1628257902,97,0,53.0796585083008,27.6082305908203
1628257903,97,0,52.8338050842285,29.5070991516113
1628257904,97,0,52.8338050842285,29.5070991516113
1628257905,97,0,52.7128410339355,28.9908390045166
1628257906,97,0,52.6558113098145,30.2525196075439
1628257907,97,0,52.8568153381348,27.8686466217041
1628257908,97,0,52.6100234985352,29.3060092926025
1628257909,97,0,52.3613700866699,29.7908630371094
1628257910,97,0,52.3351554870605,28.6227397918701
1628257911,97,0,52.3351554870605,28.6227397918701
1628257912,97,0,52.214527130127,28.9659805297852
1628257913,97,0,52.1443481445312,28.5796852111816
1628257914,97,0,52.1683120727539,28.5932445526123
1628257915,97,0,51.9493713378906,29.41579246521
1628257916,97,0,51.7395172119141,30.0172882080078
1628257917,97,0,51.7816162109375,28.3605575561523
1628257918,98,0,51.7816162109375,28.3605575561523
1628257919,98,0,51.7913627624512,29.1780414581299
1628257920,98,0,51.619213104248,29.8516254425049
1628257921,98,0,51.6151809692383,28.0257263183594
1628257922,98,0,51.6212310791016,28.4208145141602
1628257923,98,0,51.6099739074707,29.534200668335
1628257924,98,0,51.7135848999023,28.9295234680176
1628257925,98,0,51.7135848999023,28.9295234680176
1628257926,98,0,51.603343963623,29.1069583892822
1628257927,98,0,51.7197799682617,28.5797882080078
1628257928,98,0,51.7580871582031,28.7373218536377
1628257929,98,0,51.8115043640137,29.2600116729736
1628257930,98,0,51.7496337890625,28.7874202728271
1628257931,98,0,51.8787269592285,27.6803302764893
1628257932,98,0,51.898681640625,29.4211940765381
1628257933,98,0,51.898681640625,29.4211940765381
1628257934,98,0,51.7716064453125,29.7857646942139
1628257935,98,0,51.8605880737305,27.4482116699219
1628257936,98,0,51.9179382324219,28.2517776489258
1628257937,98,0,51.799129486084,29.6106433868408
1628257938,98,0,51.7911071777344,29.6511631011963
1628257939,98,0,51.827564239502,29.5180263519287
1628257940,98,0,51.827564239502,29.5180263519287
1628257941,98,0,51.8083953857422,28.4537029266357
1628257942,98,0,51.7602233886719,29.7472381591797
1628257943,98,0,51.7417793273926,30.1464099884033
1628257944,98,0,51.7281951904297,28.2138633728027
1628257945,98,0,51.5731353759766,29.5213413238525
1628257946,98,0,51.6169929504395,29.1498317718506
1628257947,98,0,51.553596496582,29.5870666503906
1628257948,98,0,51.553596496582,29.5870666503906
1628257949,98,0,51.4819145202637,29.6785011291504
1628257950,98,0,51.3588638305664,29.1257133483887
1628257951,98,0,51.3878364562988,28.6374759674072
1628257952,98,0,51.5436706542969,28.427770614624
1628257953,98,0,51.6491279602051,27.8633823394775
1628257954,98,0,51.4856033325195,29.1515274047852
1628257955,98,0,51.4856033325195,29.1515274047852
1628257956,98,0,51.4687004089355,29.5666561126709
1628257957,98,0,51.6247978210449,28.5518779754639
1628257958,98,0,51.5627098083496,28.6361427307129
1628257959,98,0,51.5219421386719,28.6793479919434
1628257960,98,0,51.574462890625,29.1186695098877
1628257961,98,0,51.6934013366699,28.5607433319092
1628257962,98,0,51.6934013366699,28.5607433319092
1628257963,98,0,51.705249786377,29.3994331359863
1628257964,98,0,51.7145690917969,28.3442668914795
1628257965,98,0,51.7597389221191,29.2626190185547
1628257966,98,0,51.9185066223145,27.7363624572754
1628257967,98,0,51.9233703613281,28.124153137207
1628257968,98,0,51.968921661377,28.9378108978271
1628257969,98,0,52.0810050964355,27.1889915466309
1628257970,98,0,52.0979309082031,29.3528270721436
1628257971,98,0,52.0979309082031,29.3528270721436
1628257972,98,0,52.2629852294922,28.3371601104736
1628257973,98,0,52.2309837341309,29.5044612884521
1628257974,97,0,52.2901306152344,28.2737922668457
1628257975,97,0,52.1929244995117,29.1271057128906
1628257976,97,0,52.1139259338379,28.6634979248047
1628257977,97,0,52.268627166748,27.7046718597412
1628257978,97,0,52.3501243591309,28.4698238372803
1628257979,97,0,52.3501243591309,28.4698238372803
1628257980,97,0,52.4587478637695,27.7857704162598
1628257981,97,0,52.4241561889648,28.9141273498535
1628257982,97,0,52.5335693359375,27.9255142211914
