UTCTimestamp,SpO2,RR,HR,IBI
1664803253794,0,0,0,0
1664803253794,0,0,0,0
1664803253794,0,0,0,25.2559146881104
1664803256013,0,0,0,32.8317680358887
1664803256013,0,0,0,21.9325790405273
1664803258195,0,0,0,21.9325790405273
1664803258195,0,0,0,21.9325790405273
1664803260438,0,0,0,21.9325790405273
1664803260438,0,0,0,96.9984359741211
1664803262654,0,0,0,38.0163879394531
1664803262654,0,0,0,38.0163879394531
1664803264881,0,0,0,38.0163879394531
1664803264881,0,0,0,56.7453994750977
1664803264881,0,0,0,39.7018814086914
1664803267078,0,0,0,29.4468421936035
1664803267078,0,0,0,21.074800491333
1664803269291,0,0,0,17.41015625
1664803269291,0,0,0,20.6367168426514
1664803271482,0,0,0,27.6560516357422
1664803271482,0,0,0,16.8825035095215
1664803273713,0,0,0,20.8663520812988
1664803273713,0,0,0,13.5214977264404
1664803275922,0,0,0,20.1021404266357
1664803275922,0,0,0,20.1021404266357
1664803275922,0,0,0,48.3476676940918
1664803278131,0,0,0,15.3536109924316
1664803278131,0,0,0,12.5582990646362
1664803280346,0,0,0,16.3593235015869
1664803280346,0,0,0,25.9911193847656
1664803282561,0,0,0,30.4621353149414
1664803282561,0,0,0,15.35804271698
1664803284817,0,0,0,25.9436817169189
1664803284817,0,0,0,20.45849609375
1664803287017,0,0,0,20.0660858154297
1664803287017,0,0,0,14.3305549621582
1664803287017,0,0,0,14.2993640899658
1664803289220,0,0,0,30.6943264007568
1664803289220,0,0,0,30.6943264007568
1664803291427,0,0,0,30.6943264007568
1664803291427,0,0,0,70.6047592163086
1664803293642,0,0,0,16.4103336334229
1664803293642,0,0,0,16.4103336334229
1664803295752,0,0,0,44.1912078857422
1664803295752,0,0,0,18.2574806213379
1664803297964,0,0,0,25.2028617858887
1664803297964,0,0,0,25.0216407775879
1664803297964,0,0,0,32.931095123291
1664803300183,0,0,0,14.2288589477539
1664803300183,0,0,0,12.073899269104
1664803302422,0,0,0,15.9286441802979
1664803302422,0,0,0,17.5978775024414
1664803304633,0,0,0,20.873441696167
1664803304633,0,0,0,20.873441696167
1664803306817,0,0,0,20.873441696167
1664803306817,0,0,0,93.6223526000977
1664803309054,0,0,0,27.7571487426758
1664803309054,0,0,0,27.7571487426758
1664803309054,0,0,0,27.7571487426758
1664803311272,0,0,0,27.7571487426758
1664803311272,0,0,0,27.7571487426758
1664803313487,0,0,0,27.7571487426758
