UTCTimestamp,SpO2,RR,HR,IBI
1667655496144,0,0,0,0
1667655496144,0,0,0,0
1667655496144,0,0,0,24.8100643157959
1667655498344,0,0,0,12.9551877975464
1667655498344,0,0,0,12.9551877975464
1667655500555,0,0,0,41.9899826049805
1667655500555,0,0,0,43.3918151855469
1667655502755,0,0,0,43.3918151855469
1667655502755,0,0,0,27.1595649719238
1667655504957,0,0,0,27.1595649719238
1667655504957,0,0,0,27.1595649719238
1667655507158,0,0,0,27.1595649719238
1667655507158,0,0,0,27.1595649719238
1667655507158,0,0,0,27.1595649719238
1667655509372,0,0,0,27.1595649719238
1667655509372,0,0,0,27.1595649719238
1667655511521,0,0,0,212.830520629883
1667655511521,0,0,0,15.8725624084473
1667655513779,0,0,0,13.4440431594849
1667655513779,0,0,0,20.631254196167
1667655515991,0,0,0,21.6087627410889
1667655515991,0,0,0,14.499363899231
1667655518194,0,0,0,14.499363899231
1667655518194,0,0,0,38.3882904052734
1667655518194,0,0,0,22.1333084106445
1667655520385,0,0,0,14.4562664031982
1667655520385,0,0,0,21.6720867156982
1667655522586,0,0,0,25.8154220581055
1667655522586,0,0,0,20.605978012085
1667655524781,0,0,0,24.00905418396
1667655524781,0,0,0,16.6953506469727
1667655526978,0,0,0,31.0942344665527
1667655526978,0,0,0,16.9088916778564
1667655529171,0,0,0,25.4463882446289
1667655529171,0,0,0,21.0933666229248
1667655529171,0,0,0,43.0453033447266
1667655531371,0,0,0,28.8785858154297
1667655531371,0,0,0,24.8765773773193
1667655533563,0,0,0,25.6737384796143
1667655533563,0,0,0,21.9935073852539
1667655535752,0,0,0,25.896089553833
1667655535752,0,0,0,25.896089553833
1667655537959,0,0,0,29.5601940155029
1667655537959,0,0,0,25.4064464569092
1667655540146,0,0,0,20.7476196289062
1667655540146,0,0,0,12.9293022155762
1667655540146,0,0,0,28.1666030883789
1667655542345,0,0,0,21.5000114440918
1667655542345,0,0,0,26.0532054901123
1667655544544,0,0,0,20.9117870330811
1667655544544,0,0,0,28.1361122131348
1667655546732,0,0,0,28.1361122131348
1667655546732,0,0,0,32.9460105895996
1667655548924,0,0,0,23.9365177154541
1667655548924,0,0,0,19.3658905029297
1667655551122,0,0,0,24.4818515777588
1667655551122,0,0,0,21.2713146209717
1667655551122,0,0,0,25.0453968048096
1667655553327,0,0,0,15.3658285140991
1667655553327,0,0,0,18.5554904937744
1667655555513,0,0,0,17.0470600128174
1667655555513,0,0,0,15.0408210754395
1667655557710,0,0,0,15.0408210754395
1667655557710,0,0,0,29.7792110443115
1667655559922,0,0,0,31.4006996154785
1667655559922,0,0,67.4643707275391,14.4768934249878
1667655562105,0,0,67.5798568725586,25.7444477081299
1667655562105,0,0,67.5798568725586,25.7444477081299
1667655562105,0,0,65.6576843261719,30.0714378356934
1667655564296,0,0,69.2777252197266,14.1643180847168
1667655564296,0,0,71.8087921142578,15.4942245483398
1667655566497,0,0,71.8087921142578,15.4942245483398
1667655566497,0,0,70.139404296875,26.3691310882568
1667655568694,0,0,70.5858001708984,15.1901826858521
1667655568694,0,0,71.2975082397461,21.3166637420654
1667655570907,0,0,69.1997833251953,26.5972366333008
1667655570907,0,0,67.5502090454102,26.5609836578369
1667655573093,0,0,67.9225463867188,16.3591003417969
1667655573093,0,0,68.1193618774414,15.7843084335327
1667655573093,0,0,66.3090286254883,38.6605415344238
1667655575293,0,0,65.1593322753906,23.5700168609619
1667655575293,0,0,70.4307403564453,14.5061302185059
1667655577479,0,0,70.4307403564453,14.5061302185059
1667655577479,0,0,68.4448699951172,17.9346084594727
1667655579675,0,0,70.4082260131836,15.0392112731934
1667655579675,0,0,73.868278503418,14.3942060470581
1667655581883,0,0,73.7981033325195,14.4357995986938
1667655581883,0,0,73.7385864257812,18.8819122314453
1667655584076,0,0,71.3327941894531,25.1948986053467
1667655584076,0,0,71.192024230957,26.7971935272217
1667655584076,0,0,73.6519012451172,18.7815246582031
1667655586265,0,0,71.5484466552734,27.1718235015869
1667655586265,0,0,71.6470031738281,26.4222526550293
1667655588462,0,0,73.4566497802734,21.7906723022461
1667655588462,0,0,71.3716888427734,25.2056121826172
1667655590603,0,0,71.1324157714844,20.6922855377197
1667655590603,0,0,0,15.5817232131958
1667655592784,0,0,0,23.1132736206055
1667655592784,0,0,0,15.2105321884155
1667655594986,0,0,0,24.7962818145752
1667655594986,0,0,0,14.38645362854
1667655594986,0,0,0,14.38645362854
1667655597220,0,0,0,14.38645362854
1667655597220,0,0,0,14.38645362854
1667655599428,0,0,0,14.38645362854
1667655599428,0,0,0,14.38645362854
1667655601628,0,0,0,14.38645362854
1667655601628,0,0,0,14.38645362854
1667655603796,0,0,0,14.38645362854
1667655603796,0,0,0,14.38645362854
1667655605998,0,0,0,14.38645362854
1667655605998,0,0,71.1836471557617,267.192596435547
1667655605998,0,0,72.1532974243164,19.5601406097412
1667655608305,0,0,70.7579879760742,14.7407941818237
1667655608305,0,0,70.7640686035156,25.163423538208
1667655610400,0,0,72.9104995727539,16.2576580047607
1667655610400,0,0,73.34521484375,14.7423992156982
1667655612657,0,0,73.8427200317383,22.2241649627686
1667655612657,0,0,76.5691146850586,13.0147714614868
1667655614871,0,0,76.3451614379883,22.7682266235352
1667655614871,0,0,0,15.1552152633667
1667655616985,0,0,0,12.7219152450562
1667655616985,0,0,0,40.5542068481445
1667655616985,0,0,0,40.5542068481445
1667655619232,0,0,0,29.7236461639404
1667655619232,0,0,0,42.8810653686523
1667655621423,0,0,0,25.4722328186035
1667655621423,0,0,0,25.4722328186035
1667655623576,0,0,0,25.4722328186035
1667655623576,0,0,0,25.4722328186035
1667655625787,0,0,0,25.4722328186035
1667655625787,0,0,0,25.4722328186035
1667655628039,0,0,0,25.4722328186035
1667655628039,0,0,0,25.4722328186035
1667655628039,0,0,0,25.4722328186035
1667655630227,0,0,0,25.4722328186035
1667655630227,0,0,74.1113204956055,244.444244384766
1667655632423,0,0,72.7785415649414,22.8161392211914
1667655632423,0,0,74.4255752563477,13.7977247238159
1667655634609,0,0,79.5943603515625,13.5588140487671
1667655634609,0,0,83.2123184204102,14.6209373474121
1667655636817,0,0,83.0758361816406,15.8083782196045
1667655636817,0,0,82.7559585571289,21.7209358215332
1667655638997,0,0,82.7559585571289,21.7209358215332
1667655638997,0,0,83.2181243896484,40.0478439331055
1667655638997,0,0,75.6289825439453,21.2568035125732
1667655641185,0,0,74.7931289672852,22.2001552581787
1667655641185,0,0,70.7732849121094,22.6248245239258
1667655643399,0,0,71.5471343994141,19.2494449615479
1667655643399,0,0,80.9894561767578,14.9560899734497
1667655645588,0,0,83.5453491210938,15.5064926147461
1667655645588,0,0,83.5453491210938,15.5064926147461
1667655647801,0,0,84.2850646972656,15.5968751907349
1667655647801,0,0,82.6524658203125,21.6056823730469
1667655649984,0,0,82.3557891845703,15.6266574859619
1667655649984,0,0,80.8317031860352,20.9017772674561
1667655649984,0,0,78.6866989135742,36.7831916809082
1667655652112,0,0,77.3730621337891,12.4316787719727
1667655652112,0,0,0,25.5882129669189
1667655654345,0,0,0,25.5882129669189
1667655654345,0,0,0,17.9924907684326
1667655656538,0,0,0,12.7740821838379
1667655656538,0,0,0,18.9690074920654
1667655658748,0,0,0,18.9690074920654
1667655658748,0,0,0,71.3405532836914
1667655660990,0,0,0,16.6459369659424
1667655660990,0,0,0,24.4551448822021
1667655660990,0,0,0,20.903341293335
1667655663187,0,0,0,16.621452331543
1667655663187,0,0,0,26.3985939025879
1667655665375,0,0,0,26.3985939025879
1667655665375,0,0,0,52.6882057189941
1667655667500,0,0,0,31.9776668548584
1667655667500,0,0,0,31.9776668548584
1667655669735,0,0,0,31.9776668548584
1667655669735,0,0,0,65.6977615356445
1667655671933,0,0,0,65.6977615356445
1667655671933,0,0,0,50.951000213623
1667655671933,0,0,0,25.5090141296387
1667655674149,0,0,0,27.0459117889404
1667655674149,0,0,0,25.4565353393555
1667655676344,99,0,0,25.3612785339355
1667655676344,99,0,0,27.7444801330566
1667655678518,99,0,63.2054405212402,28.4585399627686
1667655678518,99,0,64.5489273071289,22.9812202453613
1667655680774,99,0,62.5572242736816,25.4962310791016
1667655680774,99,0,61.1953582763672,23.7482147216797
1667655682992,99,0,59.4385147094727,25.005895614624
1667655682992,99,0,58.8161888122559,25.6522254943848
1667655682992,99,0,58.683765411377,26.2217693328857
1667655685166,99,0,58.2479934692383,26.1439304351807
1667655685166,99,0,57.9073104858398,26.520170211792
1667655687383,99,0,57.5979156494141,28.1570320129395
1667655687383,99,0,57.4925079345703,27.1281204223633
1667655689567,98,0,57.3346405029297,26.7363510131836
1667655689567,98,0,57.3399200439453,17.6053199768066
1667655691772,98,0,57.2072868347168,30.15989112854
1667655691772,97,0,56.9620819091797,27.6418380737305
