UTCTimestamp,SpO2,RR,HR,IBI
1670505431836,0,0,0,0
1670505431836,0,0,0,0
1670505431836,0,0,0,30.0053272247314
1670505434037,0,0,0,18.8841381072998
1670505434037,0,0,0,31.0175399780273
1670505436248,0,0,0,33.0707473754883
1670505436248,0,0,0,20.5195426940918
1670505438452,0,0,0,20.5195426940918
1670505438452,0,0,0,20.5195426940918
1670505440653,0,0,0,20.5195426940918
1670505440653,0,0,0,20.5195426940918
1670505442860,0,0,0,20.5195426940918
1670505442860,0,0,0,20.5195426940918
1670505442860,0,0,0,20.5195426940918
1670505445052,0,0,0,20.5195426940918
1670505445052,0,0,0,20.5195426940918
1670505447264,0,0,0,258.949920654297
1670505447264,0,0,0,12.0756978988647
1670505449523,0,0,0,13.2299251556396
1670505449523,0,0,0,13.2093229293823
1670505451707,0,0,0,24.0810585021973
1670505451707,0,0,0,21.8824481964111
1670505453921,0,0,0,28.835018157959
1670505453921,0,0,0,24.238956451416
1670505453921,0,0,0,22.685209274292
1670505456108,0,0,0,29.7384815216064
1670505456108,0,0,0,14.6079502105713
1670505458314,0,0,0,14.6079502105713
1670505458314,0,0,0,32.0553169250488
1670505460521,0,0,0,18.9216861724854
1670505460521,0,0,0,20.3859329223633
1670505462714,0,0,0,13.3992462158203
1670505462714,0,0,0,27.4003219604492
1670505464911,0,0,0,14.8101806640625
1670505464911,0,0,0,13.5837163925171
1670505464911,0,0,0,25.6047706604004
1670505467120,0,0,0,15.8716259002686
1670505467120,0,0,0,29.366720199585
1670505469305,0,0,0,19.384090423584
1670505469305,0,0,0,19.384090423584
1670505471517,0,0,0,45.1185302734375
1670505471517,0,0,0,22.4823799133301
1670505473720,0,0,0,13.9251222610474
1670505473720,0,0,0,18.9390563964844
1670505475915,0,0,0,20.3089447021484
1670505475915,0,0,0,14.0839624404907
1670505475915,0,0,0,21.8541965484619
1670505478117,0,0,0,13.8137674331665
1670505478117,0,0,0,19.3786640167236
1670505480313,0,0,0,23.7718544006348
1670505480313,0,0,0,24.0017013549805
1670505482522,0,0,0,37.1103515625
1670505482522,0,0,0,14.9540958404541
1670505484718,0,0,0,16.4089107513428
1670505484718,0,0,0,14.9531698226929
1670505486929,0,0,0,16.0251808166504
1670505486929,0,0,0,16.0251808166504
1670505486929,0,0,0,16.0251808166504
1670505489133,0,0,0,16.0251808166504
1670505489133,0,0,0,16.0251808166504
1670505491322,0,0,0,16.0251808166504
1670505491322,0,0,0,16.0251808166504
1670505493520,0,0,0,16.0251808166504
1670505493520,0,0,0,16.0251808166504
1670505495740,0,0,0,16.0251808166504
1670505495740,0,0,0,16.0251808166504
1670505497925,0,0,0,283.077758789062
1670505497925,0,0,0,283.077758789062
1670505497925,0,0,0,14.0482778549194
1670505500116,0,0,0,13.9526128768921
1670505500116,0,0,0,32.8289833068848
1670505502327,0,0,0,27.5925941467285
1670505502327,0,0,71.8018035888672,27.4393291473389
1670505504535,0,0,71.6641235351562,16.6032791137695
1670505504535,0,0,71.0375823974609,23.9712791442871
1670505506729,0,0,69.306282043457,15.9198350906372
1670505506729,0,0,70.4394836425781,13.2123384475708
1670505508923,0,0,72.5306396484375,14.5134449005127
1670505508923,0,0,75.5123291015625,15.6669626235962
1670505508923,0,0,73.101676940918,23.4244365692139
1670505511131,0,0,72.4578857421875,18.701997756958
1670505511131,0,0,72.4467391967773,22.583984375
1670505513345,0,0,72.6957321166992,13.1856098175049
1670505513345,0,0,71.1099166870117,14.0312366485596
1670505515529,0,0,73.0215454101562,22.9357280731201
1670505515529,0,0,71.9822311401367,19.7841949462891
1670505517730,0,0,70.2783660888672,22.5090389251709
1670505517730,0,0,70.9923782348633,26.6673221588135
1670505519931,0,0,70.6912002563477,29.8402137756348
1670505519931,0,0,73.3048782348633,12.4758739471436
1670505519931,0,0,78.0885162353516,15.5618171691895
1670505522127,0,0,78.107795715332,15.3314990997314
1670505522127,0,0,75.0361633300781,23.3232536315918
1670505524343,0,0,77.1333236694336,19.44606590271
1670505524343,0,0,77.476806640625,13.9129114151001
1670505526545,0,0,76.7986907958984,26.8839912414551
1670505526545,0,0,75.4089584350586,23.6658096313477
1670505528730,0,0,74.5016632080078,26.7009296417236
1670505528730,0,0,72.0217056274414,25.211217880249
1670505530927,0,0,74.0989532470703,17.9141063690186
1670505530927,0,0,76.5521697998047,11.6125364303589
1670505530927,0,0,77.3035049438477,19.0972595214844
1670505533130,0,0,78.6868896484375,20.8560028076172
1670505533130,0,0,83.4994659423828,17.1955127716064
1670505535342,0,0,83.174690246582,13.9896364212036
1670505535342,0,0,81.8699798583984,12.8564109802246
1670505537545,0,0,80.1042785644531,21.158992767334
1670505537545,0,0,82.8377914428711,14.1831645965576
1670505539742,0,0,80.261589050293,18.4453735351562
1670505539742,0,0,78.9936981201172,19.5750751495361
1670505541944,0,0,79.2439041137695,24.5736560821533
1670505541944,0,0,82.1849975585938,11.9055852890015
1670505541944,0,0,85.8339538574219,16.0273761749268
1670505544156,0,0,83.2077026367188,24.1431713104248
1670505544156,0,0,83.9625015258789,15.7455978393555
1670505546338,0,0,82.1269683837891,18.881872177124
1670505546338,0,0,81.416145324707,18.8526668548584
1670505548541,0,0,83.8540878295898,11.9863271713257
1670505548541,0,0,81.0610122680664,22.4026546478271
1670505550741,0,0,80.0042495727539,12.506217956543
1670505550741,0,0,79.0696411132812,24.3074474334717
