UTCTimestamp,SpO2,RR,HR,IBI
1694182152322,0,0,0,0
1694182152322,0,0,0,0
1694182152322,0,0,0,20.9232330322266
1694182155046,0,0,0,23.731761932373
1694182155046,0,0,0,29.6627292633057
1694182157046,0,0,0,29.6627292633057
1694182157046,0,0,0,29.6627292633057
1694182159038,0,0,0,29.6627292633057
1694182159038,0,0,0,29.6627292633057
1694182161031,0,0,0,29.6627292633057
1694182161031,0,0,0,29.6627292633057
1694182163040,0,0,0,182.760391235352
1694182163040,0,0,0,24.5371570587158
1694182163040,0,0,0,23.0259971618652
1694182166032,0,0,0,19.4617614746094
1694182166032,0,0,0,13.1335334777832
1694182168030,0,0,0,19.859094619751
1694182168030,0,0,0,19.859094619751
1694182170037,0,0,0,15.4707670211792
1694182170037,0,0,0,26.457555770874
1694182172033,0,0,0,15.7957353591919
1694182172033,0,0,0,15.7957353591919
1694182174043,0,0,0,15.7957353591919
1694182174043,0,0,0,15.7957353591919
1694182174043,0,0,0,15.7957353591919
1694182177040,0,0,0,19.709867477417
1694182177040,0,0,0,19.709867477417
1694182179029,0,0,0,31.8000755310059
1694182179029,0,0,0,21.9769515991211
1694182181307,0,0,0,19.9178504943848
1694182181307,0,0,0,17.6947937011719
1694182183514,0,0,0,17.6947937011719
1694182183514,0,0,0,19.3015937805176
1694182185722,0,0,0,17.2559566497803
1694182185722,0,0,0,35.4684295654297
1694182185722,0,0,0,35.4684295654297
1694182187901,0,0,0,35.4684295654297
1694182187901,0,0,0,18.7587108612061
1694182190031,0,0,0,24.2715473175049
1694182190031,0,0,0,24.2715473175049
1694182192038,0,0,0,39.1085357666016
1694182192038,0,0,0,19.2593193054199
1694182194035,0,0,0,19.422399520874
1694182194035,0,0,0,20.5576267242432
1694182197039,0,0,0,20.0604400634766
1694182197039,0,0,0,21.0884094238281
1694182197039,0,0,0,20.8489723205566
1694182199027,0,0,0,19.6588459014893
1694182199027,0,0,0,21.5280609130859
1694182201187,0,0,0,18.8770961761475
1694182201187,0,0,0,40.4021949768066
1694182203040,0,0,0,22.1068935394287
1694182203040,0,0,0,19.112663269043
1694182206045,0,0,0,19.5200252532959
1694182206045,0,0,0,20.0488529205322
1694182208037,0,0,0,21.191047668457
1694182208037,0,0,0,19.7512359619141
1694182208037,0,0,0,20.8641223907471
1694182210034,0,0,0,19.8908405303955
1694182210034,0,0,0,23.033390045166
1694182212029,0,0,0,17.2601528167725
1694182212029,0,0,0,20.4176750183105
1694182214035,0,0,0,16.3755893707275
1694182214035,0,0,0,25.4576473236084
1694182217029,0,0,0,21.5145511627197
1694182217029,0,0,0,19.0984649658203
1694182219043,0,0,74.4803619384766,19.7488327026367
1694182219043,0,0,74.7560348510742,19.8526382446289
1694182219043,98,0,74.159538269043,21.3520431518555
1694182221037,98,0,73.7308197021484,20.7458534240723
1694182221037,98,0,73.9225540161133,19.9239673614502
1694182223043,98,0,74.3970031738281,18.1907787322998
1694182223043,98,0,73.9382705688477,21.5024318695068
1694182225042,98,0,73.9406967163086,20.8564205169678
1694182225042,98,0,73.9270706176758,20.530029296875
1694182227191,98,0,73.6283721923828,21.5061435699463
1694182227191,98,0,73.6103744506836,15.6348285675049
1694182230034,98,0,73.6529922485352,25.4519138336182
1694182230034,98,0,73.4734497070312,21.9144077301025
1694182230034,98,0,73.116813659668,21.4655590057373
1694182232043,98,0,73.1919479370117,20.8869590759277
1694182232043,0,0,72.9854278564453,20.2307987213135
1694182234032,0,0,72.7912445068359,20.6912727355957
1694182234032,0,0,72.3993606567383,20.9668560028076
1694182237043,0,0,72.5411758422852,20.0209617614746
1694182237043,0,0,72.4060668945312,22.0515270233154
1694182239031,0,0,72.4524459838867,18.9937343597412
1694182239031,0,0,72.4865798950195,18.5747680664062
1694182241052,0,0,72.8253402709961,18.5717334747314
1694182241052,0,0,73.7528228759766,19.4491157531738
