UTCTimestamp,SpO2,RR,HR,IBI
1695564796398,0,0,0,0
1695564796398,0,0,0,0
1695564796398,0,0,0,27.0109405517578
1695564798595,0,0,0,23.4789981842041
1695564798595,0,0,0,28.1067008972168
1695564801036,0,0,0,18.2620105743408
1695564801036,0,0,0,25.1196556091309
1695564803195,0,0,0,25.1196556091309
1695564803195,0,0,0,67.5747833251953
1695564805401,0,0,0,67.5747833251953
1695564805401,0,0,0,33.8627891540527
1695564807615,0,0,0,33.8627891540527
1695564807615,0,0,0,64.0841827392578
1695564807615,0,0,0,64.0841827392578
1695564809800,0,0,0,64.0841827392578
1695564809800,0,0,0,66.9477386474609
1695564812029,0,0,0,21.9507961273193
1695564812029,0,0,0,29.1036720275879
1695564814045,0,0,0,25.2526454925537
1695564814045,0,0,0,34.796012878418
1695564816182,0,0,0,34.796012878418
1695564816182,0,0,0,54.3781433105469
1695564818356,0,0,0,15.4275598526001
1695564818356,0,0,0,13.5699272155762
1695564818356,0,0,0,32.2557373046875
1695564820038,0,0,0,32.2557373046875
1695564820038,0,0,0,41.3444328308105
1695564823031,0,0,0,25.1526699066162
1695564823031,0,0,0,25.1526699066162
1695564825043,0,0,0,73.4859619140625
1695564825043,0,0,0,73.4859619140625
1695564827038,0,0,0,28.1328620910645
1695564827038,0,0,0,43.1427192687988
1695564829053,0,0,0,23.0051860809326
1695564829053,0,0,0,26.8029747009277
1695564829053,0,0,0,25.8018341064453
1695564832042,0,0,0,26.4362850189209
1695564832042,0,0,0,19.2451972961426
1695564834058,0,0,0,18.6398906707764
1695564834058,0,0,0,18.6398906707764
1695564836039,0,0,0,44.3777160644531
1695564836039,0,0,0,44.3777160644531
1695564838038,0,0,0,44.3777160644531
1695564838038,0,0,0,69.8006057739258
1695564840188,0,0,0,24.7190990447998
1695564840188,0,0,0,24.8076057434082
1695564840188,0,0,0,25.292516708374
1695564843040,0,0,0,24.3346557617188
1695564843040,0,0,0,25.9869060516357
1695564845049,0,0,0,25.1695079803467
1695564845049,0,0,0,25.0807495117188
1695564847043,0,0,0,24.4407367706299
1695564847043,0,0,0,24.8750076293945
1695564849043,0,0,0,25.4373054504395
1695564849043,0,0,0,26.5946445465088
1695564852039,0,0,0,25.8491249084473
1695564852039,0,0,0,23.1429100036621
1695564852039,0,0,0,26.4911727905273
1695564854029,0,0,0,26.9375
1695564854029,0,0,0,24.7197437286377
1695564856032,0,0,0,25.2103805541992
1695564856032,0,0,0,27.0973205566406
1695564858047,0,0,0,25.694637298584
1695564858047,0,0,0,24.7100086212158
1695564860034,0,0,0,24.9931831359863
1695564860034,0,0,0,26.8349514007568
1695564863032,96,0,0,23.2327060699463
1695564863032,96,0,0,23.0176677703857
1695564863032,96,0,0,25.5340003967285
1695564865045,96,0,0,24.3634643554688
1695564865045,96,0,0,23.6520748138428
1695564867031,96,0,0,24.452392578125
1695564867031,96,0,0,23.3814487457275
1695564869036,96,0,59.841625213623,25.2081432342529
1695564869036,97,0,60.00146484375,25.4704246520996
1695564872048,97,0,60.0591583251953,25.5651912689209
1695564872048,97,0,59.8197326660156,24.9559116363525
1695564874031,97,0,60.0300979614258,25.192361831665
1695564874031,97,0,60.0356216430664,25.9055423736572
1695564874031,97,0,59.9580116271973,25.0407981872559
1695564876035,97,0,60.1613616943359,24.3378982543945
1695564876035,97,0,60.5290260314941,23.1896495819092
1695564878038,97,0,60.638916015625,24.7209491729736
1695564878038,97,0,60.9688339233398,22.5585422515869
1695564880043,97,0,61.1403884887695,24.0395526885986
1695564880043,97,0,61.1949195861816,25.6473903656006
1695564883043,97,0,60.8011856079102,25.8169460296631
1695564883043,96,0,60.3846435546875,25.9831447601318
1695564885037,96,0,60.6879386901855,23.7826328277588
1695564885037,96,0,60.4489669799805,26.2076930999756
1695564885037,96,0,59.979663848877,26.8845252990723
1695564887037,97,0,60.1636924743652,23.710376739502
1695564887037,97,0,60.1054153442383,23.8934860229492
1695564889061,97,0,60.2797241210938,24.1808471679688
1695564889061,97,0,60.3155784606934,25.242223739624
1695564892043,96,0,60.6871681213379,22.7656059265137
1695564892043,97,0,60.8157424926758,24.1777229309082
1695564894039,97,0,60.6386299133301,26.8255481719971
1695564894039,97,0,60.5467567443848,27.5663871765137
1695564896032,97,0,60.4892654418945,25.3313770294189
1695564896032,97,0,60.0962944030762,27.0341720581055
1695564896032,97,0,59.6989250183105,25.8903274536133
1695564898047,97,0,59.3764305114746,29.5813465118408
1695564898047,97,0,58.9909629821777,15.8661518096924
1695564900179,95,0,59.0195503234863,23.7894115447998
1695564900179,94,0,59.4046859741211,22.4314270019531
1695564903044,93,0,59.9752464294434,21.4069843292236
1695564903044,94,0,59.6790351867676,28.0894451141357
1695564905028,94,0,59.5173187255859,24.665002822876
1695564905028,95,0,59.6130981445312,25.6987171173096
1695564907029,95,0,59.4570350646973,28.2903938293457
1695564907029,96,0,58.8867530822754,27.1492462158203
1695564907029,96,0,58.8411750793457,24.2052040100098
1695564909038,96,0,58.8598823547363,24.0571918487549
1695564909038,96,0,58.7173805236816,26.0668277740479
1695564911039,96,0,58.6092834472656,23.7819499969482
1695564911039,96,0,58.446704864502,25.2110958099365
1695564914041,96,0,58.6762619018555,25.4111366271973
1695564914041,97,0,58.7306785583496,27.1364707946777
1695564916030,97,0,58.4297409057617,27.2473106384277
1695564916030,97,0,58.5023231506348,26.5685939788818
1695564918046,97,0,58.489086151123,25.9681911468506
1695564918046,97,0,58.8791732788086,25.4584884643555
1695564918046,97,0,58.9413795471191,24.7761573791504
1695564920037,97,0,58.7023735046387,24.707239151001
1695564920037,97,0,58.6205940246582,24.3620090484619
1695564923037,97,0,58.4557876586914,25.7792930603027
1695564923037,97,0,59.0446891784668,22.8379421234131
1695564925047,97,0,58.8450050354004,17.7418842315674
1695564925047,96,0,58.8625221252441,35.7900848388672
1695564927030,96,0,59.1858253479004,25.2721176147461
1695564927030,96,0,59.4851760864258,25.0250816345215
1695564929037,95,0,59.2945404052734,25.2383995056152
1695564929037,94,0,59.2979545593262,24.0175685882568
1695564929037,94,0,59.2129554748535,27.2057514190674
1695564931043,94,0,59.0149421691895,21.9718475341797
1695564931043,93,0,59.3872985839844,23.583158493042
1695564934041,93,0,59.8467864990234,23.0163688659668
1695564934041,0,0,60.4964752197266,23.0007171630859
1695564936042,0,0,61.1125144958496,22.9761180877686
1695564936042,0,0,61.8626708984375,21.2309398651123
1695564938045,0,0,0,20.9325466156006
1695564938045,0,0,0,20.4503574371338
1695564940035,0,0,0,24.6755237579346
1695564940035,0,0,0,20.379810333252
1695564940035,0,0,0,21.9166622161865
1695564942643,0,0,0,23.3638191223145
1695564942643,0,0,0,27.6006488800049
1695564944879,0,0,0,22.1756420135498
1695564944879,95,0,0,16.9678936004639
1695564947083,95,0,0,24.6785697937012
1695564947083,96,0,0,21.4676685333252
1695564949278,96,0,0,24.3690509796143
1695564949278,96,0,0,24.9374561309814
1695564951037,96,0,0,25.3514575958252
1695564951037,96,0,65.1565093994141,25.7115230560303
1695564951037,95,0,64.8136367797852,24.6687183380127
1695564954037,96,0,64.6375885009766,23.6919612884521
1695564954037,96,0,64.1903610229492,25.4879112243652
1695564956030,96,0,63.5537414550781,23.9978675842285
1695564956030,97,0,62.5818099975586,25.2620735168457
1695564958037,97,0,61.6937599182129,27.1139507293701
1695564958037,98,0,61.3890686035156,27.5808658599854
1695564960184,98,0,60.6488151550293,26.4017772674561
1695564960184,98,0,60.4154434204102,24.471399307251
1695564962036,98,0,59.7513847351074,27.0205478668213
1695564962036,99,0,59.533374786377,24.4246940612793
1695564962036,99,0,59.6450386047363,25.7168979644775
1695564965039,99,0,59.3151016235352,26.201961517334
1695564965039,99,0,59.1711273193359,26.1938991546631
1695564967053,99,0,58.9030609130859,26.0358562469482
1695564967053,99,0,58.6459426879883,27.4488124847412
1695564969035,99,0,58.5378112792969,25.295482635498
1695564969035,99,0,58.5145835876465,25.1896553039551
1695564971033,99,0,58.3577423095703,26.0505084991455
1695564971033,99,0,58.3576316833496,25.7119808197021
1695564974041,99,0,58.1108551025391,25.9492969512939
1695564974041,99,0,57.8259620666504,26.7236557006836
1695564974041,99,0,57.7507858276367,25.9015045166016
1695564976038,99,0,57.4480171203613,27.0646533966064
1695564976038,99,0,57.4403648376465,25.3306903839111
1695564978043,99,0,57.7367172241211,25.0867023468018
1695564978043,99,0,57.8952674865723,21.6858901977539
