UTCTimestamp,SpO2,RR,HR,IBI
1719152243878,0,0,0,0
1719152243878,0,0,0,17.8919563293457
1719152243878,0,0,0,17.8919563293457
1719152246063,0,0,0,17.8919563293457
1719152246063,0,0,0,17.8919563293457
1719152248265,0,0,0,17.8919563293457
1719152248265,0,0,0,118.636199951172
1719152250467,0,0,0,19.7919330596924
1719152250467,0,0,0,15.5067415237427
1719152252669,0,0,0,27.2045555114746
1719152252669,0,0,0,27.2045555114746
1719152254870,0,0,0,27.2045555114746
1719152254870,0,0,0,27.2045555114746
1719152254870,0,0,0,27.2045555114746
1719152257056,0,0,0,27.2045555114746
1719152257056,0,0,0,136.860046386719
1719152259275,0,0,0,23.2296810150146
1719152259275,100,0,0,24.3354549407959
1719152261476,100,0,0,24.3480930328369
1719152261476,99,0,0,23.7084445953369
1719152263676,99,0,0,24.9815139770508
1719152263676,99,0,0,28.2634181976318
1719152265887,98,0,0,28.2634181976318
1719152265887,99,0,0,18.9877414703369
1719152265887,98,0,0,25.0669231414795
1719152268079,98,0,0,23.129940032959
1719152268079,98,0,0,24.9087715148926
1719152270290,98,0,0,23.8036632537842
1719152270290,98,0,0,24.8428535461426
1719152272493,98,0,0,24.3602561950684
1719152272493,98,0,0,24.6537742614746
1719152274704,98,0,0,25.0506916046143
1719152274704,97,0,0,25.4629173278809
1719152276906,97,0,0,25.3342266082764
1719152276906,97,0,0,25.8333148956299
1719152276906,97,0,0,25.2115001678467
1719152279084,97,0,0,26.4500389099121
1719152279084,96,0,0,26.0344734191895
1719152281359,96,0,0,25.7141819000244
1719152281359,97,0,0,24.7598495483398
1719152283639,97,0,0,24.7598495483398
1719152283639,97,0,0,25.7275066375732
1719152285846,97,0,0,25.1167316436768
1719152285846,97,0,0,25.8736820220947
1719152288053,97,0,0,26.4741744995117
1719152288053,97,0,0,26.2183208465576
1719152288053,97,0,0,25.7175159454346
1719152290254,97,0,0,23.8398876190186
1719152290254,97,0,0,24.3450984954834
1719152292455,97,0,0,23.6601829528809
1719152292455,97,0,0,24.4871520996094
1719152294662,97,0,0,25.0952396392822
1719152294662,97,0,0,23.2536029815674
1719152296853,97,0,0,21.2051563262939
1719152296853,97,0,0,14.8301439285278
1719152299061,97,0,0,31.2102298736572
1719152299061,97,0,0,31.2102298736572
1719152299061,97,0,0,41.2307243347168
1719152301279,97,0,0,20.2954616546631
1719152301279,97,0,0,19.9136199951172
1719152303476,97,0,0,20.5980358123779
1719152303476,97,0,0,21.8668460845947
1719152305678,97,0,0,24.1945095062256
1719152305678,97,0,0,23.9011135101318
1719152307882,97,0,0,24.2264099121094
1719152307882,97,0,0,26.5950946807861
1719152310083,97,0,0,25.9521160125732
1719152310083,97,0,0,23.898738861084
1719152310083,97,0,0,25.8502864837646
1719152312296,97,0,63.9712295532227,25.6254253387451
