UTCTimestamp,SpO2,RR,HR,IBI
1719238691745,0,0,0,0
1719238691745,0,0,0,16.4434680938721
1719238691745,0,0,0,24.614559173584
1719238694124,0,0,0,26.5583553314209
1719238694124,0,0,0,23.119068145752
1719238696281,0,0,0,27.5161094665527
1719238696281,0,0,0,27.5161094665527
1719238698483,0,0,0,20.1990661621094
1719238698483,0,0,0,26.0810966491699
1719238700695,0,0,0,20.1300868988037
1719238700695,0,0,0,20.1300868988037
1719238702888,0,0,0,20.1300868988037
1719238702888,0,0,0,67.0751724243164
1719238702888,0,0,0,22.4633827209473
1719238705098,0,0,0,22.4633827209473
1719238705098,0,0,0,54.3011474609375
1719238707308,0,0,0,13.1619052886963
1719238707308,0,0,0,13.1619052886963
1719238709505,0,0,0,22.1330699920654
1719238709505,0,0,0,22.1330699920654
1719238711707,0,0,0,30.704195022583
1719238711707,0,0,0,30.704195022583
1719238713914,0,0,0,30.704195022583
1719238713914,0,0,0,30.704195022583
1719238713914,0,0,0,109.308563232422
1719238716116,0,0,0,25.9848194122314
1719238716116,0,0,0,27.3945446014404
1719238718318,0,0,0,27.9397315979004
1719238718318,0,0,0,26.8210983276367
1719238720523,0,0,0,28.1358833312988
1719238720523,0,0,0,28.1358833312988
1719238722719,0,0,0,28.1534252166748
1719238722719,0,0,0,28.0691070556641
1719238724930,0,0,0,27.9788780212402
1719238724930,0,0,0,25.8977375030518
1719238724930,0,0,0,26.4943656921387
1719238727130,0,0,0,26.7130603790283
1719238727130,0,0,0,27.2214069366455
1719238729334,0,0,0,27.3600120544434
1719238729334,0,0,0,26.5261516571045
1719238731543,0,0,0,26.5729293823242
1719238731543,0,0,0,27.4074115753174
1719238733741,0,0,0,26.46950340271
1719238733741,0,0,0,26.46950340271
1719238735947,0,0,0,21.6432228088379
1719238735947,0,0,0,13.8338136672974
1719238735947,0,0,0,35.9528350830078
1719238738149,0,0,0,35.9528350830078
1719238738149,0,0,0,38.5297088623047
1719238740191,0,0,0,22.6405487060547
1719238740191,99,0,0,27.9320335388184
1719238742411,99,0,0,21.7631320953369
1719238742411,98,0,0,26.1979579925537
1719238744609,98,0,0,34.1736450195312
1719238744609,99,0,0,18.6708068847656
1719238746827,99,0,0,18.6708068847656
1719238746827,99,0,0,51.2023506164551
1719238746827,99,0,0,28.0219306945801
1719238749163,100,0,0,26.9456253051758
1719238749163,100,0,0,26.3028907775879
1719238751381,99,0,0,27.106424331665
1719238751381,99,0,0,27.106424331665
1719238753580,98,0,0,28.2275562286377
1719238753580,97,0,0,27.3503818511963
1719238755783,95,0,0,28.1373958587646
1719238755783,93,0,0,28.2382564544678
1719238757988,92,0,0,28.1737270355225
1719238757988,92,0,0,26.9990863800049
1719238757988,91,0,0,26.9535484313965
1719238760184,91,0,0,18.2938365936279
1719238760184,91,0,0,37.1431770324707
1719238762393,92,0,0,25.7154693603516
1719238762393,92,0,0,25.7154693603516
1719238764596,92,0,0,42.3724746704102
1719238764596,93,0,0,35.8665962219238
1719238766800,93,0,0,22.5888805389404
1719238766800,94,0,0,22.5888805389404
1719238768999,94,0,54.852912902832,38.0052680969238
1719238768999,95,0,54.8586692810059,21.3948497772217
1719238768999,95,0,54.8383979797363,41.942455291748
1719238771210,95,0,55.1272315979004,21.4794979095459
1719238771210,94,0,57.2269630432129,25.7128849029541
1719238773414,94,0,56.4845695495605,26.9123401641846
1719238773414,95,0,57.3318710327148,26.2143993377686
1719238775621,95,0,57.3318710327148,26.2143993377686
1719238775621,95,0,57.5005989074707,27.5314788818359
1719238777820,95,0,56.9954223632812,28.8347244262695
1719238777820,96,0,57.0712852478027,28.5803108215332
1719238780021,96,0,57.1084632873535,28.1117820739746
1719238780021,96,0,57.3921585083008,26.3762645721436
1719238780021,96,0,57.2428741455078,28.1252098083496
1719238782230,95,0,57.4854278564453,25.1204986572266
1719238782230,95,0,57.3022193908691,26.0675868988037
1719238784443,95,0,57.6570243835449,24.4740257263184
1719238784443,95,0,57.5557899475098,26.2536678314209
1719238786642,96,0,57.1896705627441,28.3214855194092
1719238786642,96,0,56.9414825439453,26.7918319702148
1719238788839,96,0,56.0705261230469,27.0471992492676
1719238788839,95,0,56.0705261230469,27.0471992492676
1719238791044,95,0,55.7150192260742,27.9447116851807
1719238791044,94,0,55.7819404602051,25.8417263031006
1719238791044,93,0,55.7574272155762,26.6861953735352
1719238793247,93,0,55.8799629211426,25.927318572998
1719238793247,93,0,55.6843376159668,27.1559524536133
1719238795452,92,0,55.7995147705078,26.0986614227295
1719238795452,92,0,55.5767135620117,27.9730205535889
1719238797656,92,0,55.5927505493164,27.4073715209961
1719238797656,92,0,55.8582534790039,26.2799739837646
1719238799857,92,0,56.1246795654297,23.6407356262207
1719238799857,92,0,56.3888473510742,25.9659824371338
1719238802063,93,0,56.5278358459473,25.6105651855469
1719238802063,93,0,56.9462203979492,24.5427150726318
1719238802063,93,0,56.9629211425781,24.6611309051514
1719238804269,93,0,56.920955657959,26.2622661590576
1719238804269,93,0,56.5630378723145,27.0619411468506
1719238806475,93,0,56.8140258789062,24.820463180542
1719238806475,93,0,57.0793991088867,25.7461757659912
1719238808678,93,0,57.1076431274414,26.5764427185059
1719238808678,93,0,57.1076431274414,26.5764427185059
1719238810884,92,0,57.1029968261719,27.0928153991699
1719238810884,92,0,57.1047973632812,27.6638469696045
1719238813083,92,0,56.97900390625,26.861213684082
1719238813083,92,0,56.9474029541016,27.3913326263428
1719238813083,92,0,56.7322692871094,26.9435291290283
1719238815285,92,0,56.8561210632324,26.2996883392334
1719238815285,92,0,56.6359748840332,27.6706733703613
1719238817498,92,0,56.6989898681641,27.1010570526123
1719238817498,92,0,57.0876007080078,25.297571182251
1719238819694,92,0,57.1079635620117,26.1905193328857
1719238819694,92,0,57.1169204711914,23.7354621887207
1719238821913,91,0,57.3113861083984,24.8950748443604
1719238821913,92,0,57.4571533203125,24.4915657043457
1719238824122,92,0,57.5129280090332,23.6128368377686
1719238824122,92,0,57.2930526733398,25.9945526123047
1719238824122,92,0,57.2798728942871,26.349048614502
1719238826311,92,0,57.3156623840332,26.5405826568604
1719238826311,93,0,56.7407760620117,26.6672630310059
1719238828522,93,0,56.5086936950684,26.0458927154541
1719238828522,93,0,57.2261085510254,25.0139751434326
1719238830719,93,0,57.6343879699707,24.2039356231689
1719238830719,93,0,57.8627738952637,25.7120532989502
1719238832922,93,0,58.0272483825684,25.5611400604248
1719238832922,93,0,58.3725929260254,24.8461093902588
1719238835126,93,0,58.3725929260254,24.8461093902588
1719238835126,93,0,58.3540802001953,27.2004547119141
1719238835126,93,0,58.4609527587891,25.6197414398193
1719238837334,93,0,58.6163787841797,25.7644367218018
1719238837334,93,0,58.6267547607422,26.8993129730225
1719238839538,93,0,58.6138000488281,25.3742065429688
1719238839538,93,0,58.6378479003906,25.9683933258057
1719238841736,93,0,58.2756958007812,27.5983180999756
1719238841736,93,0,58.015209197998,25.9787216186523
1719238843944,93,0,57.9011535644531,25.4545021057129
1719238843944,93,0,57.9695587158203,25.3211765289307
1719238846146,93,0,58.0013236999512,25.8278007507324
1719238846146,93,0,57.9441223144531,27.6656455993652
1719238846146,93,0,58.4965705871582,25.1588230133057
1719238848345,94,0,58.6399688720703,25.6395492553711
1719238848345,94,0,58.6199531555176,26.1919689178467
1719238850563,94,0,58.5909271240234,25.3341369628906
1719238850563,94,0,58.6342315673828,25.2643299102783
1719238852760,94,0,58.6229515075684,25.7518367767334
1719238852760,94,0,58.6923789978027,24.5401000976562
1719238854969,94,0,58.6527824401855,25.1163158416748
1719238854969,94,0,58.7555160522461,25.1666259765625
1719238857173,94,0,58.7024002075195,25.8650226593018
1719238857173,94,0,58.6693992614746,25.9086265563965
1719238857173,94,0,58.6778831481934,26.9608592987061
1719238859371,94,0,58.6778831481934,26.9608592987061
1719238859371,94,0,58.5405883789062,27.0680389404297
1719238861423,94,0,58.1625061035156,26.667573928833
1719238861423,94,0,58.2977828979492,26.1267051696777
1719238863776,94,0,58.164680480957,26.4216194152832
1719238863776,94,0,57.8837394714355,27.0740089416504
1719238865973,94,0,57.713695526123,26.5013599395752
1719238865973,94,0,57.6352920532227,26.3676166534424
1719238868036,94,0,57.8024520874023,25.824857711792
1719238868036,94,0,57.698356628418,25.8660507202148
1719238868036,94,0,57.5425720214844,26.3125400543213
1719238870377,94,0,57.4918899536133,26.6468868255615
1719238870377,94,0,57.3490104675293,28.1708641052246
1719238872573,94,0,57.1285552978516,26.6922588348389
1719238872573,94,0,57.0141639709473,26.3686122894287
1719238874778,94,0,56.8494682312012,27.8094577789307
1719238874778,94,0,56.6167869567871,27.1144065856934
1719238876984,94,0,56.6167869567871,27.1144065856934
1719238876984,94,0,56.6160202026367,25.5990047454834
1719238879186,94,0,56.6974792480469,26.2724952697754
1719238879186,94,0,56.457145690918,27.9062538146973
1719238879186,94,0,56.7697982788086,25.6596031188965
1719238881392,94,0,56.8151702880859,26.7718524932861
1719238881392,94,0,56.8704528808594,26.0476551055908
1719238883599,95,0,56.7746238708496,26.697624206543
1719238883599,95,0,56.7922859191895,25.6250171661377
1719238885803,95,0,56.7998123168945,27.0107898712158
1719238885803,95,0,56.7441902160645,25.7824630737305
1719238888001,95,0,56.798770904541,26.1750583648682
1719238888001,95,0,56.790599822998,26.7651748657227
1719238890195,95,0,56.6987609863281,26.7796382904053
1719238890195,95,0,56.5302619934082,26.8668193817139
1719238890195,95,0,56.5481452941895,26.5668087005615
1719238892407,95,0,56.7064476013184,25.4434452056885
1719238892407,95,0,56.8345260620117,24.8939437866211
