UTCTimestamp,SpO2,RR,HR,IBI
1719322083354,0,0,0,0
1719322083354,0,0,0,0
1719322083354,0,0,0,23.5401153564453
1719322085552,0,0,0,33.9586372375488
1719322085552,0,0,0,34.140453338623
1719322087748,0,0,0,34.140453338623
1719322087748,0,0,0,30.5901699066162
1719322089946,0,0,0,27.9458255767822
1719322089946,0,0,0,35.9664840698242
1719322092126,0,0,0,29.817253112793
1719322092126,0,0,0,22.5213241577148
1719322094340,0,0,0,22.5213241577148
1719322094340,0,0,0,15.1438732147217
1719322094340,0,0,0,26.3086719512939
1719322096541,0,0,0,26.3086719512939
1719322096541,0,0,0,47.233226776123
1719322098727,0,0,0,25.6388053894043
1719322098727,0,0,0,25.6388053894043
1719322100945,0,0,0,25.6388053894043
1719322100945,0,0,0,25.6388053894043
1719322103130,0,0,0,25.6388053894043
1719322103130,0,0,0,25.6388053894043
1719322105349,0,0,0,141.459274291992
1719322105349,0,0,0,16.0110321044922
1719322105349,0,0,0,27.2275238037109
1719322107547,0,0,0,27.2275238037109
1719322107547,0,0,0,28.6157550811768
1719322109760,0,0,0,35.4787750244141
1719322109760,0,0,0,18.6236209869385
1719322111931,0,0,0,24.6220455169678
1719322111931,0,0,0,21.8839511871338
1719322114297,0,0,0,21.8958740234375
1719322114297,0,0,0,21.8958740234375
1719322116505,0,0,0,42.8987312316895
1719322116505,0,0,0,23.1468162536621
1719322116505,0,0,0,21.3520698547363
1719322118713,0,0,0,21.620475769043
1719322118713,0,0,0,27.5777244567871
1719322120903,0,0,0,19.0490818023682
1719322120903,0,0,0,14.3128213882446
1719322123103,0,0,0,15.4635334014893
1719322123103,0,0,0,19.6275177001953
1719322125311,0,0,0,21.2361335754395
1719322125311,0,0,0,20.2090511322021
1719322127511,0,0,0,21.1105136871338
1719322127511,0,0,0,22.8038272857666
1719322127511,0,0,0,20.5640563964844
1719322129713,0,0,0,19.7287921905518
1719322129713,0,0,0,17.7657012939453
1719322131919,0,0,0,19.7156562805176
1719322131919,0,0,0,22.4807472229004
1719322134130,0,0,0,18.9438209533691
1719322134130,100,0,0,21.7475872039795
1719322136318,99,0,0,21.4182815551758
1719322136318,100,0,0,21.480016708374
1719322138526,100,0,0,20.3284873962402
1719322138526,100,0,0,21.0530033111572
1719322138526,100,0,0,21.7108898162842
1719322140729,100,0,0,22.4062423706055
1719322140729,100,0,0,22.8473777770996
1719322142930,100,0,0,19.5230178833008
1719322142930,99,0,0,21.0247631072998
1719322145129,99,0,0,24.6710033416748
1719322145129,100,0,0,40.4582786560059
1719322147181,0,0,0,21.4905986785889
1719322147181,0,0,0,21.4905986785889
1719322149376,0,0,0,40.2001838684082
1719322149376,0,0,0,40.0500526428223
1719322149376,0,0,0,19.375509262085
1719322151537,0,0,0,19.9892673492432
1719322151537,0,0,0,19.8784465789795
1719322153745,0,0,0,20.8246688842773
1719322153745,0,0,0,20.0606174468994
1719322155960,0,0,0,21.3499355316162
1719322155960,0,0,0,22.8106555938721
1719322158136,0,0,0,21.146484375
1719322158136,0,0,0,21.146484375
1719322160494,0,0,0,16.3494739532471
1719322160494,0,0,0,24.9993419647217
1719322160494,0,0,0,24.9993419647217
1719322162687,0,0,0,13.6253662109375
1719322162687,0,0,0,13.6253662109375
1719322164729,0,0,0,20.6007442474365
1719322164729,0,0,0,21.6751823425293
1719322167099,0,0,0,14.4552021026611
1719322167099,0,0,0,27.8142795562744
1719322169297,0,0,0,29.4830665588379
1719322169297,0,0,0,30.5054759979248
1719322171499,0,0,0,30.5054759979248
1719322171499,0,0,0,34.319164276123
1719322171499,0,0,0,34.319164276123
1719322173701,0,0,0,34.319164276123
1719322173701,0,0,0,34.319164276123
1719322175905,0,0,0,34.319164276123
1719322175905,0,0,0,135.383316040039
1719322177950,0,0,0,25.5130653381348
1719322177950,0,0,0,14.4665584564209
1719322180112,0,0,0,19.4799308776855
1719322180112,0,0,0,36.3865623474121
1719322182305,0,0,0,25.3848915100098
1719322182305,0,0,0,16.8669452667236
1719322182305,0,0,0,15.9979686737061
1719322184669,0,0,0,17.7945518493652
1719322184669,0,0,0,20.2173137664795
1719322186872,0,0,0,19.979528427124
1719322186872,0,0,0,19.979528427124
1719322188911,0,0,67.2977905273438,14.5660543441772
1719322188911,0,0,0,12.7087411880493
1719322191107,0,0,0,12.7087411880493
1719322191107,0,0,0,20.2854118347168
1719322193308,0,0,0,24.3784942626953
1719322193308,0,0,0,24.3784942626953
1719322193308,0,0,0,36.4542083740234
1719322195496,0,0,0,15.3159036636353
1719322195496,0,0,0,22.2005920410156
1719322197706,0,0,0,18.5490913391113
1719322197706,0,0,0,18.1336631774902
1719322199903,0,0,0,17.8074169158936
1719322199903,0,0,0,17.8897590637207
1719322202080,0,0,0,14.8658218383789
1719322202080,0,0,0,22.0808868408203
1719322204297,0,0,0,19.2942123413086
1719322204297,0,0,0,18.8545818328857
1719322204297,0,0,0,18.6006088256836
1719322206500,0,0,0,18.587474822998
1719322206500,0,0,81.3178787231445,18.6777629852295
1719322208693,0,0,81.3604049682617,25.9017467498779
1719322208693,0,0,81.4459915161133,12.621208190918
1719322210906,96,0,81.4372329711914,18.6637134552002
1719322210906,96,0,81.4342727661133,21.394660949707
1719322213137,96,0,79.6083679199219,20.6842670440674
1719322213137,96,0,78.3877944946289,20.113597869873
1719322215323,96,0,78.174919128418,21.6172218322754
1719322215323,96,0,77.1721343994141,21.1595821380615
1719322215323,96,0,75.3119659423828,21.4809513092041
1719322217608,96,0,74.2698669433594,22.1128444671631
1719322217608,96,0,74.6487274169922,20.4974422454834
1719322219812,96,0,74.325325012207,20.545352935791
1719322219812,96,0,73.8771591186523,20.4099750518799
1719322222028,95,0,73.1815185546875,20.1680850982666
1719322222028,95,0,72.5618896484375,20.2857837677002
1719322224213,95,0,72.4704895019531,20.2043190002441
1719322224213,95,0,72.4996490478516,19.7719440460205
1719322226422,94,0,72.3425979614258,21.4200000762939
1719322226422,94,0,72.1310424804688,22.0220508575439
1719322226422,94,0,71.9884567260742,21.0550441741943
1719322228619,94,0,72.1459121704102,20.8929634094238
1719322228619,94,0,72.2190246582031,20.3602161407471
1719322230811,94,0,72.2759246826172,19.6316585540771
1719322230811,94,0,72.8159942626953,19.6910018920898
1719322233032,94,0,73.2423477172852,20.2154197692871
1719322233032,94,0,73.6496887207031,20.2699298858643
1719322235220,94,0,73.4578399658203,21.1248970031738
1719322235220,95,0,73.2498397827148,20.9199142456055
1719322237422,95,0,72.9291000366211,21.6005458831787
1719322237422,94,0,72.7411575317383,20.8151741027832
1719322237422,94,0,72.7449264526367,20.153133392334
1719322239621,94,0,72.8444519042969,19.5663108825684
1719322239621,93,0,72.7643432617188,19.2163562774658
1719322241836,93,0,72.9174423217773,20.535457611084
1719322241836,93,0,73.2875823974609,20.0505409240723
1719322244029,93,0,73.4719390869141,20.2238807678223
1719322244029,92,0,73.404182434082,21.5259437561035
1719322246236,92,0,73.1200637817383,21.2815246582031
1719322246236,92,0,72.7350006103516,21.4515438079834
1719322248439,92,0,72.6586074829102,21.4645004272461
1719322248439,92,0,72.2850646972656,21.2465839385986
1719322248439,92,0,72.2121429443359,20.492301940918
1719322250636,92,0,72.0005111694336,21.1123466491699
1719322250636,92,0,71.9751968383789,21.9853897094727
1719322252839,92,0,71.4730987548828,21.4149971008301
1719322252839,92,0,71.4622268676758,21.6298446655273
1719322255036,92,0,71.3176116943359,21.5774421691895
1719322255036,92,0,70.5565490722656,21.3780708312988
1719322257249,92,0,69.8827514648438,21.5311222076416
1719322257249,92,0,69.7624740600586,21.9715213775635
1719322259435,92,0,69.8271713256836,21.3351936340332
1719322259435,92,0,69.7593994140625,21.662712097168
1719322259435,92,0,69.8178253173828,21.2326965332031
1719322261643,92,0,69.8732833862305,21.3352642059326
1719322261643,92,0,69.8768463134766,21.9466381072998
1719322263837,92,0,69.7688217163086,22.7678966522217
1719322263837,92,0,69.7210083007812,21.604061126709
1719322266046,92,0,69.5411682128906,22.3275279998779
1719322266046,92,0,69.050910949707,22.4723663330078
1719322268237,92,0,68.9654922485352,21.7798652648926
1719322268237,92,0,69.1516189575195,20.8768520355225
1719322270430,92,0,68.8475189208984,22.4067459106445
1719322270430,92,0,68.6094589233398,22.9657192230225
1719322270430,92,0,68.4859619140625,22.2238292694092
1719322272624,93,0,68.2872772216797,23.7129154205322
1719322272624,93,0,67.9775314331055,23.3361434936523
1719322274827,92,0,67.7707901000977,22.4883499145508
1719322274827,92,0,67.5728454589844,20.8077507019043
1719322277040,92,0,67.7251968383789,21.4826793670654
1719322277040,92,0,67.6737899780273,21.9136543273926
1719322279243,92,0,67.6096725463867,21.6531543731689
1719322279243,92,0,67.3986282348633,22.3668823242188
1719322281427,92,0,67.1584548950195,23.2882823944092
1719322281427,92,0,67.2608108520508,22.2434959411621
1719322281427,92,0,66.8411712646484,22.7897491455078
1719322283637,92,0,67.0403442382812,21.8079719543457
1719322283637,92,0,66.9626617431641,22.8349876403809
1719322285836,92,0,66.9727096557617,21.7272148132324
1719322285836,91,0,66.7556381225586,22.4385643005371
1719322288053,91,0,66.6218719482422,23.1415462493896
1719322288053,91,0,66.8599319458008,21.7759208679199
1719322290245,92,0,66.9653472900391,21.6315593719482
1719322290245,92,0,67.6229248046875,21.742244720459
1719322292443,92,0,67.6782531738281,22.260814666748
1719322292443,92,0,67.6606140136719,23.0893421173096
1719322292443,92,0,67.3190002441406,22.9610824584961
1719322294636,92,0,67.0126113891602,23.2983169555664
1719322294636,92,0,66.8543167114258,22.7946834564209
1719322296833,92,0,66.9005508422852,21.2380123138428
1719322296833,92,0,67.0685195922852,21.2801551818848
1719322299030,93,0,67.4178924560547,21.1793060302734
1719322299030,93,0,68.056526184082,20.9095153808594
1719322301237,93,0,68.3787002563477,21.0154361724854
