UTCTimestamp,SpO2,RR,HR,IBI
1719497229773,0,0,0,0
1719497229773,0,0,0,16.4969100952148
1719497229773,0,0,0,15.1828689575195
1719497232216,0,0,0,17.8118591308594
1719497232216,0,0,0,28.33860206604
1719497234319,0,0,0,28.33860206604
1719497234319,0,0,0,46.7342224121094
1719497236538,0,0,0,26.9818458557129
1719497236538,0,0,0,26.9818458557129
1719497238759,0,0,0,26.9818458557129
1719497238759,0,0,0,72.5506362915039
1719497240966,0,0,0,28.2243061065674
1719497240966,0,0,0,36.699390411377
1719497240966,0,0,0,13.8994750976562
1719497243183,0,0,0,32.503589630127
1719497243183,0,0,0,32.503589630127
1719497245402,0,0,0,32.503589630127
1719497245402,0,0,0,78.0232391357422
1719497247627,0,0,0,27.5347137451172
1719497247627,0,0,0,18.3511600494385
1719497249833,0,0,0,25.1015071868896
1719497249833,0,0,0,25.1015071868896
1719497252041,0,0,0,25.1015071868896
1719497252041,0,0,0,25.1015071868896
1719497252041,0,0,0,25.1015071868896
1719497254253,0,0,0,25.1015071868896
1719497254253,0,0,0,153.643630981445
1719497256308,0,0,0,12.9886617660522
1719497256308,0,0,0,21.8149585723877
1719497258538,0,0,0,16.4791564941406
1719497258538,0,0,0,22.8924694061279
1719497260717,0,0,0,25.8660488128662
1719497260717,0,0,0,21.723518371582
1719497262974,98,0,0,27.1147041320801
1719497262974,97,0,0,27.1147041320801
1719497262974,98,0,0,27.1147041320801
1719497265115,97,0,0,27.1147041320801
1719497265115,98,0,0,27.1147041320801
1719497267338,98,0,0,125.736709594727
1719497267338,98,0,0,27.8972053527832
1719497269544,99,0,0,26.7996196746826
1719497269544,99,0,0,29.0450592041016
1719497271744,98,0,0,29.0450592041016
1719497271744,98,0,0,29.0090198516846
1719497273986,97,0,0,29.2521686553955
1719497273986,96,0,0,28.7971935272217
1719497273986,95,0,0,28.3896427154541
1719497276128,94,0,0,28.7457656860352
1719497276128,94,0,0,29.267578125
1719497278518,93,0,0,29.267578125
1719497278518,93,0,0,29.2529640197754
1719497280719,93,0,0,28.1968326568604
1719497280719,93,0,0,29.4505577087402
1719497282932,93,0,0,29.3540687561035
1719497282932,93,0,0,28.8074989318848
1719497285144,93,0,0,27.3768291473389
1719497285144,93,0,0,28.045015335083
1719497285144,93,0,0,28.045015335083
1719497287373,93,0,0,29.248083114624
1719497287373,93,0,0,28.0774097442627
1719497289577,93,0,0,28.1906051635742
1719497289577,93,0,0,28.3935699462891
1719497291789,93,0,0,29.2733268737793
1719497291789,93,0,0,28.33762550354
1719497294003,93,0,0,27.1399974822998
1719497294003,93,0,0,27.1399974822998
1719497296219,93,0,0,27.7967205047607
1719497296219,93,0,0,28.6503067016602
1719497296219,93,0,0,29.3483600616455
1719497298439,93,0,0,27.564416885376
1719497298439,93,0,0,27.7372035980225
1719497300645,93,0,0,28.6310195922852
1719497300645,93,0,0,27.8023433685303
1719497302871,93,0,0,28.0548763275146
1719497302871,94,0,0,28.0548763275146
1719497305079,94,0,0,21.0935001373291
1719497305079,94,0,0,21.0935001373291
1719497307274,94,0,0,35.4302024841309
1719497307274,94,0,0,25.3127689361572
1719497307274,94,0,53.1281776428223,26.0993270874023
1719497309486,94,0,53.2737350463867,28.0073108673096
1719497309486,94,0,53.3095817565918,27.8692016601562
1719497311704,94,0,53.3187637329102,28.1457118988037
1719497311704,94,0,53.382682800293,24.32985496521
1719497313929,94,0,53.498649597168,24.850076675415
1719497313929,94,0,53.7291870117188,25.1162586212158
1719497316124,94,0,55.0047416687012,24.2442531585693
1719497316124,94,0,55.2324752807617,26.4471778869629
