UTCTimestamp,SpO2,RR,HR,IBI
1721484017877,0,0,0,0
1721484017877,0,0,0,0
1721484017877,0,0,0,19.4904594421387
1721484020076,0,0,0,19.4904594421387
1721484020076,0,0,0,19.4904594421387
1721484022282,0,0,0,19.4904594421387
1721484022282,0,0,0,19.4904594421387
1721484024485,0,0,0,142.943481445312
1721484024485,0,0,0,21.1639461517334
1721484026690,0,0,0,19.7017822265625
1721484026690,0,0,0,20.1193332672119
1721484028893,0,0,0,21.2422580718994
1721484028893,0,0,0,19.9500560760498
1721484028893,0,0,0,20.3247489929199
1721484031096,0,0,0,21.5673923492432
1721484031096,100,0,0,18.812219619751
1721484033300,99,0,0,20.6910781860352
1721484033300,99,0,0,20.6119804382324
1721484035647,99,0,0,20.074254989624
1721484035647,99,0,0,20.3313446044922
1721484037844,99,0,0,20.9509735107422
1721484037844,99,0,0,20.2895164489746
1721484040050,99,0,0,19.4970188140869
1721484040050,99,0,0,20.2601490020752
1721484040050,99,0,0,20.3574447631836
1721484042261,99,0,0,19.460636138916
1721484042261,99,0,0,20.3041343688965
1721484044468,99,0,0,20.9653816223145
1721484044468,99,0,0,19.9852104187012
1721484046668,99,0,0,20.7723960876465
1721484046668,98,0,0,19.2651348114014
1721484048863,98,0,0,19.6538829803467
1721484048863,98,0,0,20.0911502838135
1721484051078,98,0,0,20.9356918334961
1721484051078,98,0,0,19.8516426086426
1721484051078,98,0,0,20.9419555664062
1721484053283,98,0,0,19.9538459777832
1721484053283,98,0,0,21.1013259887695
1721484055478,98,0,0,19.6140766143799
1721484055478,98,0,0,19.9574909210205
1721484057696,98,0,0,20.34423828125
1721484057696,98,0,0,19.1913032531738
1721484059755,98,0,0,19.0299530029297
1721484059755,98,0,0,18.7355995178223
1721484062102,99,0,0,20.468957901001
1721484062102,99,0,0,20.8435535430908
1721484062102,99,0,0,20.7367267608643
1721484064305,99,0,0,21.0226078033447
1721484064305,99,0,0,19.7304191589355
1721484066512,99,0,0,20.7227916717529
1721484066512,99,0,0,20.7002754211426
1721484068714,99,0,0,20.5854263305664
1721484068714,99,0,0,20.6996517181396
1721484070917,99,0,0,20.325756072998
1721484070917,99,0,0,20.3031711578369
1721484073117,99,0,72.7550735473633,20.8534641265869
1721484073117,99,0,72.6618881225586,18.8424491882324
1721484073117,99,0,72.7738800048828,20.4638633728027
1721484075326,99,0,72.7505874633789,20.287015914917
1721484075326,99,0,72.66259765625,21.0271911621094
1721484077527,99,0,72.6941604614258,19.5873870849609
1721484077527,99,0,72.7546691894531,20.5821075439453
1721484079739,99,0,73.0342330932617,20.29323387146
1721484079739,99,0,73.0414123535156,20.933801651001
1721484081937,99,0,73.032470703125,20.1893825531006
1721484081937,99,0,73.0782699584961,19.8693809509277
1721484084146,99,0,73.0439758300781,21.2582607269287
1721484084146,99,0,73.3483963012695,19.4397239685059
1721484084146,99,0,73.6332244873047,24.261266708374
1721484086358,99,0,73.8153762817383,23.2144546508789
1721484086358,99,0,73.7900543212891,16.2962646484375
1721484088559,99,0,73.7317504882812,20.0907974243164
1721484088559,99,0,73.3638916015625,21.0100650787354
1721484090755,99,0,73.5094757080078,19.6728801727295
1721484090755,99,0,73.6970748901367,20.2879085540771
1721484092960,99,0,73.8390502929688,19.103494644165
1721484092960,99,0,73.8390502929688,19.103494644165
1721484095164,99,0,73.6377868652344,40.7744750976562
1721484095164,99,0,73.5602569580078,20.9031505584717
1721484095164,99,0,73.1896057128906,21.2195243835449
1721484097370,99,0,72.9496231079102,21.0690612792969
1721484097370,99,0,0,24.3534622192383
1721484099571,99,0,0,16.974515914917
1721484099571,99,0,0,23.7750282287598
1721484101770,99,0,0,24.9535999298096
1721484101770,99,0,70.5935516357422,32.2917556762695
1721484103974,99,0,71.8016967773438,18.9482383728027
1721484103974,99,0,72.9240264892578,20.4387226104736
1721484106185,0,0,73.3627471923828,18.5967597961426
1721484106185,99,0,73.8020858764648,18.6942157745361
1721484106185,99,0,74.0186004638672,19.9929008483887
1721484108389,99,0,73.8961715698242,19.0891075134277
1721484108389,99,0,74.968505859375,19.236909866333
1721484110596,99,0,74.6721343994141,20.2037315368652
1721484110596,99,0,75.0343246459961,18.2574195861816
1721484112795,99,0,0,15.2220182418823
1721484112795,99,0,0,18.7359981536865
1721484115003,0,0,0,19.2804927825928
1721484115003,0,0,0,18.5703735351562
1721484117198,0,0,0,18.5013389587402
1721484117198,0,0,0,19.0889797210693
1721484117198,0,0,77.8130111694336,19.94358253479
1721484119417,0,0,78.1225051879883,18.8498954772949
1721484119417,0,0,77.8571166992188,19.5259628295898
1721484121461,0,0,78.4203414916992,18.6864337921143
1721484121461,0,0,78.1816253662109,19.4752998352051
1721484123806,0,0,77.5859985351562,20.3017578125
1721484123806,0,0,77.4801025390625,20.3743591308594
1721484126008,0,0,77.0457382202148,20.5914268493652
1721484126008,0,0,77.268669128418,19.4948673248291
1721484128214,0,0,76.5774917602539,19.6545505523682
1721484128214,0,0,77.09765625,18.7108268737793
1721484128214,0,0,76.5786209106445,21.1368999481201
1721484130418,0,0,76.4825439453125,37.5655403137207
1721484130418,0,0,76.4101333618164,19.024585723877
1721484132629,0,0,75.8175430297852,21.270580291748
1721484132629,0,0,75.8663787841797,17.959753036499
1721484134819,0,0,75.5607299804688,20.8755302429199
1721484134819,0,0,75.8572616577148,17.997091293335
1721484137031,0,0,75.2221450805664,21.9992694854736
1721484137031,0,0,75.7794036865234,17.137767791748
1721484139223,0,0,75.4543609619141,20.2205982208252
1721484139223,0,0,75.7541961669922,19.6339282989502
1721484139223,91,0,75.6974639892578,20.4844074249268
1721484141424,91,0,75.9777374267578,19.7165699005127
1721484141424,92,0,75.9777374267578,19.7165699005127
1721484143642,92,0,75.9387969970703,36.9049301147461
1721484143642,92,0,76.3557815551758,19.6330127716064
1721484145835,91,0,76.4384231567383,26.8556270599365
1721484145835,92,0,76.743522644043,17.6588706970215
1721484148042,0,0,76.3605346679688,26.081750869751
1721484148042,0,0,75.9548263549805,13.106146812439
1721484150242,0,0,76.6929168701172,20.7968101501465
1721484150242,0,0,76.8733673095703,18.1194553375244
1721484150242,0,0,78.3235168457031,17.9907035827637
1721484152308,0,0,0,16.9735012054443
1721484152308,0,0,0,21.4875736236572
1721484154648,0,0,0,34.5746383666992
1721484154648,0,0,0,20.5236072540283
1721484156860,0,0,0,36.155101776123
1721484156860,0,0,0,19.5667629241943
1721484159055,0,0,0,20.0479679107666
1721484159055,0,0,0,18.9026546478271
1721484161267,0,0,0,18.9026546478271
1721484161267,0,0,0,30.4483680725098
1721484161267,0,0,0,28.8572463989258
1721484163459,0,0,0,34.3251876831055
1721484163459,0,0,0,26.5524196624756
1721484165767,0,0,0,21.4471225738525
1721484165767,0,0,0,18.4966659545898
1721484167869,0,0,0,19.322172164917
1721484167869,0,0,0,18.9578399658203
1721484170080,0,0,0,17.6284236907959
1721484170080,0,0,0,18.486909866333
1721484172276,0,0,0,18.486909866333
1721484172276,0,0,0,40.0430145263672
1721484172276,0,0,0,25.4818592071533
1721484174475,0,0,0,31.3887691497803
1721484174475,0,0,0,18.934440612793
1721484176692,0,0,0,19.7918605804443
1721484176692,0,0,0,16.7334671020508
1721484178887,0,0,0,22.3909873962402
1721484178887,0,0,0,19.9725208282471
