UTCTimestamp,SpO2,RR,HR,IBI
1721570062283,0,0,0,0
1721570062283,0,0,0,0
1721570062283,0,0,0,22.5383968353271
1721570064483,0,0,0,31.5468273162842
1721570064483,0,0,0,31.5468273162842
1721570066690,0,0,0,31.5468273162842
1721570066690,0,0,0,74.6527481079102
1721570068886,0,0,0,28.8665237426758
1721570068886,0,0,0,30.5180702209473
1721570071132,0,0,0,30.5180702209473
1721570071132,0,0,0,31.2742042541504
1721570073288,0,0,0,31.5043506622314
1721570073288,0,0,0,29.8371410369873
1721570073288,0,0,0,33.4306411743164
1721570075489,0,0,0,33.4306411743164
1721570075489,97,0,0,31.3108863830566
1721570077836,98,0,0,32.6825523376465
1721570077836,98,0,0,32.3152770996094
1721570080013,98,0,0,30.9030055999756
1721570080013,98,0,0,30.9030055999756
1721570082217,98,0,0,31.1882343292236
1721570082217,98,0,0,32.7485198974609
1721570084426,98,0,0,31.3929595947266
1721570084426,98,0,0,31.3929595947266
1721570084426,98,0,0,32.7047920227051
1721570086631,98,0,0,32.2728996276855
1721570086631,98,0,0,33.9663391113281
1721570088827,98,0,0,33.9663391113281
1721570088827,98,0,0,32.303050994873
1721570091047,98,0,0,32.3248672485352
1721570091047,98,0,0,30.1987380981445
1721570093241,98,0,0,30.8136653900146
1721570093241,98,0,0,30.8136653900146
1721570095441,98,0,0,31.8937530517578
1721570095441,98,0,0,29.5927143096924
1721570095441,98,0,0,30.5691337585449
1721570097646,98,0,0,31.1363391876221
1721570097646,98,0,0,31.1363391876221
1721570099844,98,0,0,31.9053058624268
1721570099844,98,0,0,33.613956451416
1721570102030,98,0,0,33.0588912963867
1721570102030,98,0,0,33.0588912963867
1721570104255,98,0,0,32.1513824462891
1721570104255,98,0,0,33.0261917114258
1721570106446,98,0,0,30.7131805419922
1721570106446,98,0,0,31.8396816253662
1721570106446,98,0,0,31.8396816253662
1721570108643,98,0,0,32.1821594238281
1721570108643,98,0,0,33.086067199707
1721570110850,98,0,0,31.7604560852051
1721570110850,98,0,0,30.5342884063721
1721570113059,98,0,0,30.5342884063721
1721570113059,98,0,0,31.9890766143799
1721570115257,98,0,0,28.9712295532227
1721570115257,98,0,0,31.311014175415
1721570117456,98,0,0,31.5971431732178
1721570117456,98,0,0,31.5971431732178
1721570117456,97,0,0,31.4586296081543
1721570119661,97,0,0,31.5514183044434
1721570119661,97,0,0,30.003210067749
1721570121863,97,0,0,31.0120258331299
1721570121863,97,0,0,31.0120258331299
1721570124067,97,0,0,29.7937526702881
1721570124067,97,0,0,28.6171035766602
1721570126267,97,0,0,28.3017997741699
1721570126267,97,0,0,27.1204967498779
1721570128466,97,0,0,31.0397663116455
1721570128466,97,0,0,26.6355113983154
1721570128466,97,0,0,26.6355113983154
1721570130668,98,0,0,31.5363216400146
1721570130668,97,0,0,28.1734924316406
1721570132872,97,0,0,28.9319076538086
1721570132872,97,0,0,28.6510562896729
1721570135073,97,0,0,29.6829223632812
1721570135073,97,0,0,28.4119319915771
1721570137292,97,0,0,28.4505348205566
1721570137292,97,0,0,26.6563320159912
1721570139474,97,0,51.3454437255859,26.2234706878662
