UTCTimestamp,SpO2,RR,HR,IBI
1723730261662,0,0,0,0
1723730261662,0,0,0,0
1723730261662,0,0,0,27.9497108459473
1723730263836,0,0,0,27.9497108459473
1723730263836,0,0,0,27.9497108459473
1723730266043,0,0,0,27.9497108459473
1723730266043,0,0,0,27.9497108459473
1723730268263,0,0,0,27.9497108459473
1723730268263,0,0,0,157.699371337891
1723730270435,0,0,0,26.8245143890381
1723730270435,0,0,0,30.0059566497803
1723730272679,0,0,0,30.0059566497803
1723730272679,0,0,0,28.6780319213867
1723730272679,0,0,0,28.7177314758301
1723730274851,0,0,0,29.5167083740234
1723730274851,0,0,0,27.4553375244141
1723730277054,0,0,0,30.3192138671875
1723730277054,0,0,0,29.8181953430176
1723730279267,0,0,0,29.8181953430176
1723730279267,0,0,0,19.5083713531494
1723730281475,0,0,0,19.5083713531494
1723730281475,0,0,0,34.137825012207
1723730283659,0,0,0,27.7990074157715
1723730283659,0,0,0,26.5782070159912
1723730283659,0,0,0,26.7597332000732
1723730286045,0,0,0,30.6766414642334
1723730286045,73,0,0,30.2717475891113
1723730288253,73,0,0,30.2717475891113
1723730288253,73,0,0,30.845365524292
1723730290466,73,0,0,32.2722396850586
1723730290466,73,0,0,31.3984317779541
1723730292681,73,0,0,29.9450607299805
1723730292681,73,0,0,29.9450607299805
1723730294880,74,0,0,29.3946342468262
1723730294880,73,0,0,29.9108695983887
1723730294880,73,0,0,31.5174293518066
1723730297117,74,0,0,30.7301292419434
1723730297117,74,0,0,30.1272411346436
1723730299322,73,0,0,30.1272411346436
1723730299322,0,0,0,30.4961643218994
1723730301523,0,0,0,30.211483001709
1723730301523,0,0,0,29.6374263763428
1723730303741,0,0,0,31.9931831359863
1723730303741,0,0,0,31.9931831359863
1723730305953,0,0,0,29.1205520629883
1723730305953,0,0,0,31.2937755584717
1723730305953,0,0,0,30.1170234680176
1723730308172,0,0,0,30.8758163452148
1723730308172,0,0,0,30.0549602508545
1723730310384,0,0,0,30.0549602508545
1723730310384,0,0,0,32.0667266845703
1723730312593,0,0,0,29.8285140991211
1723730312593,0,0,0,30.6127872467041
1723730314794,0,0,0,29.7627277374268
1723730314794,0,0,0,29.7627277374268
1723730317013,0,0,0,30.0167274475098
1723730317013,0,0,0,30.47389793396
1723730317013,0,0,0,29.4110260009766
1723730319234,0,0,0,30.76096534729
1723730319234,0,0,0,31.2159576416016
1723730321443,0,0,0,31.2159576416016
1723730321443,0,0,0,30.1364917755127
1723730323658,0,0,0,29.6968803405762
1723730323658,0,0,0,30.9713592529297
1723730325861,0,0,0,31.6818981170654
1723730325861,0,0,0,31.6818981170654
1723730328080,0,0,0,30.1595554351807
1723730328080,0,0,0,30.1323661804199
1723730328080,0,0,0,32.3084030151367
1723730330297,0,0,0,30.2835235595703
1723730330297,0,0,0,30.2835235595703
1723730332506,0,0,0,31.1753711700439
