UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1702218393588,0,0,0,0
1702218394308,0,0,0,0
1702218395388,0,0,0,0
1702218396468,0,0,0,0
1702218397548,0,1678,0,0
1702218398269,0,1678,9967,0
1702218399007,0,1673,18861,0
1702218400086,0,1679,15415,0
1702218401167,0,1679,61674,0
1702218402255,0,1679,60902,0
1702218402968,0,6383,26976,0
1702218404047,0,10407,18119,0
1702218405125,0,10465,28895,0
1702218406206,0,6854,14054,0
1702218406929,0,10475,0,0
1702218408005,0,4553,0,0
1702218409089,0,4553,0,0
1702218410164,0,10460,0,0
1702218411252,0,5241,0,0
1702218411966,0,5241,0,0
1702218413042,0,10730,0,0
1702218414120,0,6504,0,0
1702218415201,0,10306,0,0
1702218415921,0,10306,0,0
1702218416997,0,10306,0,0
1702218418077,0,10306,0,0
1702218419157,0,10306,0,0
1702218420243,0,10306,0,0
1702218420963,0,5130,0,0
1702218422041,0,5281,0,0
1702218423120,0,4902,0,0
1702218424200,0,4902,0,0
1702218424920,0,4902,0,0
1702218426000,0,4964,0,0
1702218427079,0,4960,0,0
1702218428161,0,4966,0,0
1702218429241,0,4931,58879,0
1702218429959,0,5005,59607,0
1702218431039,0,4847,59607,0
1702218432119,0,4788,59607,0
1702218433201,0,4795,59607,0
1702218433917,0,5021,59607,0
1702218434999,0,5141,4341,0
1702218436078,0,5196,0,0
1702218437158,0,5196,0,0
1702218438240,0,5058,0,0
1702218438958,0,5058,0,0
1702218440038,0,4993,0,0
1702218441120,0,5065,0,0
1702218442199,0,5276,0,0
1702218442921,0,5276,0,0
1702218444001,0,5276,0,0
1702218445081,0,5290,0,0
1702218446159,0,5333,0,0
1702218447235,0,5333,0,0
1702218447955,0,5333,0,0
1702218449035,0,5333,0,0
1702218450115,0,5333,0,0
1702218451197,0,5471,0,0
1702218451917,0,3542,0,0
1702218452997,0,3542,0,0
1702218454075,0,3542,0,0
1702218455155,0,3542,0,0
1702218456235,0,3542,0,0
1702218456957,0,2727,0,0
1702218458038,0,4299,0,0
1702218459118,0,5438,0,0
1702218460196,0,5438,0,0
1702218460916,0,5185,0,0
1702218461996,0,5144,0,0
1702218463076,0,5144,0,0
1702218464158,0,5032,0,0
1702218465238,0,5129,0,0
1702218465958,0,5129,0,0
1702218467037,0,5129,0,0
1702218468118,0,5129,0,0
1702218469195,0,5185,0,0
1702218469917,0,5114,8941,0
1702218470996,0,4953,26675,0
1702218472077,0,4849,28109,0
1702218473155,0,4820,0,0
1702218474235,0,4781,0,0
1702218474955,0,4781,0,0
1702218476037,0,4631,0,0
1702218477117,0,4600,0,0
1702218478195,0,4600,0,0
1702218478915,0,4439,0,0
1702218479995,0,4439,0,0
1702218481074,0,4946,0,0
1702218482154,0,4946,0,0
1702218483234,0,4946,0,0
1702218483954,0,4730,0,0
1702218485034,0,4687,0,0
1702218486114,0,4872,0,0
1702218487196,0,4746,0,0
1702218487914,0,4746,0,0
1702218488996,0,4875,0,0
1702218490076,0,4724,0,0
1702218491154,0,4644,0,0
1702218492236,0,4263,0,0
1702218492952,0,4420,0,0
1702218494033,0,4420,0,0
1702218495114,0,4515,0,0
1702218496195,0,3925,0,0
1702218496913,0,3925,0,0
1702218497993,0,3720,12110,0
1702218499073,0,3642,633,0
1702218500155,0,3667,0,0
1702218501233,0,3690,0,0
1702218501953,0,3751,0,0
1702218503033,0,3753,0,0
1702218504113,0,3724,32265,0
1702218504847,0,3688,26670,0
1702218505565,0,3657,21901,0
1702218506648,0,3631,19490,0
1702218507728,0,3588,16963,0
1702218508808,0,3573,15198,0
1702218509889,0,3609,13886,0
1702218510609,0,3657,13434,0
1702218511688,0,3692,12534,77
1702218512768,0,3706,11882,77
1702218513850,0,3696,10388,76
1702218514570,0,3690,9475,75
1702218515648,0,3685,10015,75
1702218516731,0,3627,9548,0
1702218517807,0,3808,9306,0
1702218518887,0,4105,10602,0
1702218519607,0,4105,12080,0
1702218520685,96,4225,16082,0
1702218521767,96,4577,15627,0
1702218522847,97,5047,31885,0
1702218523569,97,4188,0,0
1702218524646,97,4188,0,0
1702218525728,97,3847,0,0
1702218526808,97,3847,0,0
1702218527888,97,3857,0,0
1702218528606,97,3854,0,0
1702218529686,96,3848,0,75
1702218530764,97,3835,59713,74
1702218531846,97,3803,36384,75
1702218532565,97,3786,29684,77
1702218533645,97,3771,25533,77
1702218534724,97,3757,20822,76
1702218535805,97,3738,19335,77
1702218536886,97,3731,16703,76
1702218537606,97,3730,15245,76
1702218538684,97,3742,14447,76
1702218539766,97,3758,11995,77
1702218540844,97,3777,11859,78
1702218541562,97,3807,9437,78
1702218542644,97,3813,8925,79
1702218543723,97,3826,8451,80
1702218544805,97,3858,10593,82
1702218545883,97,3936,10431,83
1702218546603,97,3973,11185,83
1702218547685,97,3999,11249,82
1702218548763,97,3995,11183,81
1702218549845,97,3967,12927,81
1702218550565,97,3952,17082,81
1702218551643,97,4053,18067,81
1702218552725,97,4121,18797,79
1702218553803,96,4189,18647,77
1702218554882,96,4239,19264,76
1702218555604,97,4253,18641,74
1702218556682,97,4188,14329,75
1702218557764,96,4139,13624,75
1702218558843,97,4095,10003,75
1702218559563,97,4040,8334,76
1702218560642,97,4021,8240,75
1702218561722,97,4030,6193,73
1702218562802,97,4014,5230,72
1702218563884,97,3991,7573,72
1702218564604,97,3962,5040,72
1702218565680,97,3942,7116,73
1702218566762,97,3927,5575,73
1702218567843,97,3922,6865,73
1702218568562,97,3913,6247,72
1702218569641,97,3896,6628,73
1702218570721,97,3872,5754,73
1702218571801,97,3856,6657,73
1702218572881,97,3839,5568,72
1702218573603,97,3823,6752,73
1702218574681,97,3806,6560,73
1702218575763,97,3778,6490,73
1702218576843,97,3764,6115,73
1702218577561,97,3756,6928,74
1702218578640,97,3745,7190,75
1702218579719,97,3745,6462,76
1702218580800,97,3745,6567,75
1702218581881,96,3739,6674,76
1702218582600,97,3729,7006,77
1702218583682,97,3733,7654,77
1702218584760,97,3760,7731,77
1702218585840,97,3697,8709,0
1702218586560,97,3952,11082,0
1702218587640,97,4410,18583,0
1702218588720,97,4410,0,0
1702218589798,97,4422,0,0
1702218590879,97,4422,0,0
1702218591599,97,4278,10338,0
1702218592679,97,4267,52358,0
1702218593759,97,4231,16264,79
1702218594839,97,4197,60427,81
1702218595559,97,4149,22030,81
1702218596639,96,4070,49315,80
1702218597719,97,4025,30741,80
1702218598799,97,3982,23555,83
1702218599879,97,3926,17291,82
1702218600601,96,3909,15355,81
1702218601677,97,3896,12772,79
1702218602757,97,3883,9176,78
1702218603837,97,3850,6759,80
1702218604557,97,3833,5658,79
1702218605637,97,3820,7112,78
