UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1705969641196,0,0,0,0
1705969641916,0,0,0,0
1705969642996,0,0,0,0
1705969644076,0,0,0,0
1705969645156,0,0,0,0
1705969645535,0,4904,38457,0
1705969646614,0,4904,37836,0
1705969647692,0,4904,10934,0
1705969648772,0,4900,38827,0
1705969649868,0,4901,2630,0
1705969650573,0,5016,19267,0
1705969651653,0,3524,55036,0
1705969652737,0,3524,16878,0
1705969653816,0,3194,28280,0
1705969654537,0,8727,297,0
1705969655611,0,9872,60796,0
1705969656685,0,9872,60796,0
1705969657765,0,9872,60796,0
1705969658850,0,9872,0,0
1705969659572,0,9174,0,0
1705969660652,0,8759,0,0
1705969661730,0,8759,0,0
1705969662810,0,8915,0,0
1705969663532,0,8911,0,0
1705969664610,0,8803,0,0
1705969665691,0,8774,0,0
1705969666769,0,9159,0,0
1705969667847,0,9247,0,0
1705969668567,0,9244,0,0
1705969669648,0,9244,0,0
1705969670728,0,9196,0,0
1705969671808,0,9196,0,0
1705969672529,0,9273,0,0
1705969673609,0,9273,0,0
1705969674687,0,9273,0,0
1705969675769,0,9418,0,0
1705969676849,0,9395,0,0
1705969677569,0,9344,0,0
1705969678645,0,9348,0,0
1705969679728,0,9256,0,0
1705969680805,0,9030,0,0
1705969681527,0,9030,0,0
1705969682608,0,9067,0,0
1705969683688,0,9124,0,0
1705969684767,0,9184,0,0
1705969685847,0,9222,0,0
1705969686568,0,9260,0,0
1705969687647,0,9139,0,0
1705969688725,0,9139,0,0
1705969689805,0,9444,0,0
1705969690525,0,9444,0,0
1705969691606,0,9444,0,0
1705969692688,0,9432,0,0
1705969693766,0,9448,0,0
1705969694847,0,9476,38070,0
1705969695567,0,9524,40438,0
1705969696645,0,9567,37988,0
1705969697727,0,9731,36309,0
1705969698807,0,9664,36309,0
1705969699526,0,9360,36309,0
1705969700606,0,9360,36309,0
1705969701684,0,9084,44470,0
1705969702766,0,8935,51175,0
1705969703846,0,8803,10539,0
1705969704566,0,8413,0,0
1705969705645,0,8525,0,0
1705969706724,0,8853,0,0
1705969707804,0,8853,0,0
1705969708526,0,8865,58535,0
1705969709604,0,8861,17414,0
1705969710684,0,8937,31904,0
1705969711763,0,8836,40232,0
1705969712843,0,8883,52051,0
1705969713565,0,8983,35679,0
1705969714643,0,8983,0,0
1705969715723,0,9098,0,0
1705969716803,0,9135,0,0
1705969717523,0,8830,0,0
1705969718603,0,8787,0,0
1705969719683,0,8467,0,0
1705969720763,0,8467,0,0
1705969721843,0,8856,0,0
1705969722563,0,8856,0,0
1705969723642,0,8856,0,0
1705969724722,0,8856,0,0
1705969725802,0,8856,0,0
1705969726522,0,8662,0,0
1705969727602,0,8662,0,0
1705969728682,0,8852,0,0
1705969729762,0,8725,0,0
1705969730842,0,8574,0,0
1705969731564,0,8832,0,0
1705969732644,0,8736,0,0
1705969733720,0,9094,0,0
1705969734801,0,9104,0,0
1705969735521,0,9049,0,0
1705969736600,0,9049,0,0
1705969737681,0,9083,0,0
1705969738761,0,8952,0,0
1705969739841,0,8952,0,0
1705969740561,0,8990,0,0
1705969741641,0,8886,0,0
1705969742721,0,9002,0,0
1705969743801,0,8986,0,0
1705969744178,0,8900,0,0
1705969745256,0,8958,0,0
1705969746334,0,8998,0,0
1705969747416,0,8965,0,0
1705969748496,0,8965,0,0
1705969749218,0,9107,0,0
1705969750296,0,9107,0,0
1705969751376,0,9107,0,0
1705969752458,0,8910,0,0
1705969753176,0,8871,0,0
1705969754258,0,8960,0,0
1705969755335,0,8960,10605,0
1705969756415,0,8990,48405,0
1705969757495,0,8891,31825,0
1705969758215,0,8891,21078,0
1705969759295,0,8972,0,0
1705969760375,0,8974,0,0
1705969761455,0,8974,0,0
1705969762175,0,9177,0,0
1705969763253,0,9007,0,0
1705969764335,0,8775,0,0
1705969765414,0,8775,0,0
1705969766495,0,8815,0,0
1705969767213,0,8906,0,0
1705969768294,0,8846,0,0
1705969769374,0,8927,0,0
1705969770454,0,8961,0,0
1705969771174,0,8899,0,0
1705969772252,0,8947,0,0
1705969773334,0,9031,0,0
1705969774414,0,9041,0,0
1705969775494,0,9041,0,0
1705969776214,0,9076,0,0
1705969777292,0,9103,0,0
1705969778373,0,9175,0,0
1705969779453,0,9267,0,0
1705969780173,0,9283,33338,0
1705969781250,0,9319,55116,0
1705969782332,0,9334,40274,0
1705969783410,0,9362,32309,0
