UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1708475167901,0,0,0,0
1708475168621,0,0,0,0
1708475169701,0,0,0,0
1708475170781,0,0,0,0
1708475171861,0,0,0,0
1708475172583,0,0,5814,0
1708475173661,0,3143,25536,0
1708475174401,0,5478,20628,0
1708475175480,0,5224,2013,0
1708475176568,0,8058,56962,0
1708475177278,0,9969,2819,0
1708475178354,0,9969,26849,0
1708475179432,0,9969,26849,0
1708475180515,0,9969,26849,0
1708475181248,0,9969,26849,0
1708475182314,0,4696,47718,0
1708475183398,0,3497,13634,0
1708475184476,0,3497,24826,0
1708475185554,0,3527,0,0
1708475186276,0,3483,0,0
1708475187358,0,3509,0,0
1708475188433,0,3490,0,0
1708475189513,0,3490,0,0
1708475190235,0,3490,0,0
1708475191313,0,3556,0,0
1708475192395,0,3596,0,0
1708475193475,0,3665,0,0
1708475194555,0,3665,0,0
1708475195273,0,3864,0,0
1708475196357,0,3864,0,0
1708475197433,0,3632,0,0
1708475198513,0,3794,0,0
1708475199233,0,3841,0,0
1708475200313,0,3814,0,0
1708475201393,0,3706,0,0
1708475202473,0,3554,0,0
1708475203554,0,3554,0,0
1708475204274,0,3659,0,0
1708475205354,0,3659,0,0
1708475206432,0,3368,0,0
1708475207512,0,3602,0,0
1708475208232,0,3736,0,0
1708475209314,0,3517,0,0
1708475210393,0,3411,0,0
1708475211475,0,3371,0,0
1708475212553,0,3414,0,0
1708475213273,0,3390,0,0
1708475214356,0,3305,0,0
1708475215434,0,3281,0,0
1708475216514,0,3188,0,0
1708475217234,0,3410,0,0
1708475218314,0,3516,0,0
1708475219392,0,3335,0,0
1708475220474,0,3335,0,0
1708475221554,0,3226,0,0
1708475222275,0,3303,0,0
1708475223352,0,3410,0,0
1708475224434,0,3473,0,0
1708475225514,0,3473,0,0
1708475226234,0,3164,0,0
1708475227313,0,3917,0,0
1708475228392,0,4189,0,0
1708475229468,0,4189,0,0
1708475230548,0,4189,0,0
1708475231268,0,4189,0,0
1708475232353,0,4189,0,0
1708475233431,0,4101,0,0
1708475234511,0,3659,0,0
1708475235231,0,3632,0,0
1708475236312,0,3979,0,0
1708475237393,0,3897,0,0
1708475238472,0,3971,0,0
1708475239551,0,4228,33921,0
1708475240271,0,4228,28114,0
1708475241353,0,4094,28114,0
1708475242431,0,3944,49652,0
1708475243509,0,4029,0,0
1708475244229,0,3966,0,0
1708475245310,0,3976,0,0
1708475246391,0,4156,0,0
1708475247471,0,4156,0,0
1708475248549,0,4107,0,0
1708475249270,0,4107,0,0
1708475250350,0,4107,0,0
1708475251430,0,4107,0,0
1708475252511,0,3954,0,0
1708475253232,0,4053,0,0
1708475254310,0,4044,0,0
1708475255392,0,4044,0,0
1708475256468,0,4071,0,0
1708475257548,0,4042,0,0
1708475258271,0,3987,0,0
1708475259348,0,3992,0,0
1708475260429,0,3976,0,0
1708475261510,0,3839,0,0
1708475262230,0,3829,0,0
1708475263311,0,3829,0,0
1708475264390,0,3807,0,0
