UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1709389780249,0,0,0,0
1709389780969,0,0,0,0
1709389782049,0,0,0,0
1709389783129,0,0,0,0
1709389784209,0,0,0,0
1709389784929,0,4491,42970,2
1709389786009,0,4491,50647,0
1709389787090,0,4483,47266,0
1709389788170,0,4476,22375,0
1709389789258,0,4476,13743,0
1709389789970,0,4476,33563,0
1709389791050,0,9020,14161,0
1709389792129,0,9871,37469,0
1709389793209,0,9871,37469,0
1709389793929,0,9871,37469,0
1709389795010,0,9871,8760,0
1709389796090,0,7702,0,0
1709389797170,0,6592,0,0
1709389798250,0,6592,0,0
1709389798969,0,6592,0,0
1709389800049,0,6592,0,0
1709389801130,0,6592,0,0
1709389802210,0,6592,0,0
1709389802931,0,6793,0,0
1709389804010,0,6793,0,0
1709389805090,0,6716,0,0
1709389806170,0,6716,0,0
1709389807250,0,6716,0,0
1709389807970,0,6399,0,0
1709389809050,0,6399,0,0
1709389810130,0,6351,0,0
1709389811210,0,6350,0,0
1709389811930,0,6527,0,0
1709389813010,0,6570,0,0
1709389814090,0,6537,0,0
1709389815170,0,6415,0,0
1709389816250,0,6417,0,0
1709389816970,0,6476,0,0
1709389818052,0,6436,0,0
1709389819131,0,6500,0,0
1709389820211,0,6500,0,0
1709389820931,0,6500,0,0
1709389822011,0,6300,0,0
1709389823091,0,6300,0,0
1709389824171,0,6300,0,0
1709389825251,0,6415,0,0
1709389825971,0,6495,0,0
1709389827051,0,6492,0,0
1709389828131,0,6235,0,0
1709389829211,0,6104,0,0
1709389829931,0,6173,0,0
1709389831013,0,6173,0,0
1709389832091,0,6548,0,0
1709389833171,0,6348,0,0
1709389834252,0,6490,0,0
1709389834972,0,6490,0,0
1709389836051,0,6490,0,0
1709389837132,0,6386,0,0
1709389838212,0,6386,0,0
1709389838932,0,6386,0,0
1709389840013,0,6247,0,0
1709389841092,0,6260,0,0
1709389842172,0,6280,0,0
1709389843252,0,6317,0,0
1709389843972,0,6334,41279,0
1709389845052,0,6344,25829,0
1709389846132,0,6364,21105,0
1709389847212,0,6327,21105,0
1709389847932,0,6449,21105,0
1709389849012,0,6483,21105,0
1709389850092,0,6431,16113,0
1709389851174,0,6349,20838,0
1709389852252,0,6383,6840,0
1709389852972,0,6419,17520,0
1709389854052,0,6501,0,0
1709389855132,0,6501,0,0
1709389856212,0,6288,0,0
1709389856932,0,6199,0,0
1709389858013,0,6409,0,0
1709389859092,0,6355,0,0
1709389860173,0,6308,0,0
1709389861252,0,6308,0,0
1709389861972,0,6385,0,0
1709389863053,0,6493,0,0
1709389864134,0,6493,0,0
1709389865215,0,6493,0,0
1709389865933,0,6379,0,0
1709389867013,0,6376,0,0
1709389868093,0,6363,0,0
1709389869173,0,6349,0,0
1709389870253,0,6349,0,0
1709389870973,0,6457,0,0
1709389872053,0,6385,0,0
1709389873133,0,6256,0,0
1709389874213,0,6256,0,0
1709389874933,0,6319,0,0
1709389876013,0,6329,0,0
1709389877093,0,6198,0,0
1709389878173,0,6227,0,0
1709389879253,0,6294,0,0
1709389879973,0,6273,0,0
1709389881054,0,6273,0,0
1709389882133,0,6273,0,0
1709389883214,0,6546,0,0
1709389883934,0,6546,0,0
1709389885014,0,6762,0,0
1709389886094,0,6762,0,0
1709389887174,0,6727,0,0
1709389888254,0,6727,0,0
1709389888974,0,6741,0,0
1709389890054,0,6741,0,0
1709389891134,0,6741,0,0
1709389892214,0,6768,0,0
1709389892934,0,6770,0,0
1709389894014,0,6765,0,0
1709389895094,0,6762,0,0
1709389896174,0,6762,0,0
1709389897254,0,6751,0,0
1709389897974,0,6699,0,0
1709389899056,0,6699,0,0
1709389900135,0,6817,0,0
1709389901214,0,6849,0,0
1709389901935,0,6855,0,0
1709389903014,0,6881,0,0
1709389904095,0,6888,0,0
1709389905174,0,6897,7706,0
1709389906255,0,6838,14233,0
1709389906975,0,6851,55620,0
1709389908055,0,6888,0,0
1709389909135,0,6882,0,0
1709389910216,0,6877,0,0
1709389910935,0,6871,0,0
1709389912015,0,6877,0,0
1709389913095,0,6879,0,0
1709389914177,0,6862,0,0
1709389915257,0,6859,0,0
1709389915975,0,6861,0,0
1709389917055,0,6861,0,0
1709389918135,0,6858,0,0
1709389919215,0,6857,0,0
1709389919935,0,6854,0,0
1709389921015,0,6850,46958,0
1709389922097,0,6725,46958,0
1709389923175,0,6737,46958,0
1709389924255,0,6755,46958,0
1709389924975,0,6755,46958,0
1709389926055,0,6687,46958,0
1709389927136,0,6696,0,0
1709389928215,0,6480,0,0
1709389928935,0,6381,0,0
1709389930016,0,6526,0,0
1709389931096,0,6509,0,0
1709389932176,0,6545,0,0
1709389933257,0,6609,0,0
1709389933976,0,6369,0,0
1709389935056,0,6369,0,0
1709389936138,0,6369,0,0
1709389937216,0,6089,0,0
1709389937938,0,6039,0,0
1709389939016,0,6095,0,0
1709389940096,0,6088,0,0
1709389941176,0,6099,0,0
1709389942256,0,6095,0,0
1709389942976,0,6267,0,0
1709389944056,0,6267,0,0
1709389945136,0,6682,0,0
1709389946216,0,6802,0,0
1709389946936,0,6818,0,0
1709389948017,0,6818,0,0
1709389949098,0,6787,0,0
1709389950177,0,6532,0,0
1709389951256,0,6471,0,0
1709389951977,0,6420,0,77
1709389953057,96,6408,0,65
1709389954137,97,6376,0,61
1709389955217,97,6393,0,73
1709389955937,97,6607,0,75
1709389957017,97,6574,0,74
1709389958097,97,6569,0,0
1709389959177,97,6566,0,80
1709389960257,97,6563,0,76
1709389960977,96,6554,0,73
1709389962057,96,6553,21535,73
1709389963139,97,6561,11932,74
1709389964217,97,6555,11960,73
1709389964937,97,6546,10658,74
1709389966017,97,6547,8827,78
1709389967097,97,6558,7980,0
1709389968177,97,6559,7119,86
1709389969257,97,6558,6990,85
1709389969977,97,6558,5742,84
1709389971057,97,6558,4633,84
1709389972137,97,6553,4328,84
1709389973218,97,6549,3347,85
1709389973938,97,6560,9008,85
1709389975018,96,6388,18647,84
1709389976098,97,6359,29622,84
1709389977178,97,6345,32425,85
1709389978260,97,6353,33967,85
1709389978980,97,6355,34449,85
1709389980058,97,6367,34709,84
1709389981138,96,6376,27690,84
1709389982218,97,6374,18941,83
1709389982938,97,6381,13734,83
1709389984018,97,6377,9319,84
1709389985098,97,6374,7360,84
1709389986178,97,6381,6064,84
1709389987260,97,6387,4526,84
1709389987978,97,6387,3556,83
1709389989060,97,6384,3264,84
1709389990138,97,6386,3462,84
1709389991218,97,6404,3671,84
1709389991938,97,6409,3859,81
1709389993018,97,6413,4748,82
1709389994099,96,6415,4561,83
1709389995180,96,6408,4489,84
1709389996259,97,6413,4168,84
1709389996979,97,6417,4213,83
1709389998060,96,6421,4024,82
1709389999139,96,6424,3167,82
1709390000220,97,6432,3157,82
1709390000940,96,6438,3080,82
1709390002019,96,6467,2853,82
1709390003099,96,6480,2943,80
1709390004179,97,6481,2560,78
1709390005261,96,6482,2310,79
1709390005979,96,6480,2172,80
1709390007061,96,6483,2197,81
1709390008141,96,6490,2203,83
1709390009219,96,6492,2299,84
1709390009939,96,6501,2255,85
1709390011019,96,6507,2291,83
1709390012099,96,6524,2547,80
1709390013179,96,6533,2550,78
1709390014259,97,6523,2510,78
1709390014979,97,6533,2636,80
1709390016059,97,6535,2367,81
1709390017139,97,6536,2446,82
1709390018219,97,6530,2289,83
1709390018939,97,6534,2256,83
1709390020020,96,6544,2242,82
1709390021100,97,6559,2087,79
1709390022180,96,6567,2183,77
1709390023261,96,6571,2701,77
1709390023980,97,6570,2302,76
1709390025060,97,6576,3780,74
1709390026140,96,6587,2816,72
1709390027220,97,6583,2656,72
1709390027940,97,6582,3210,73
1709390029020,96,6585,2518,74
1709390030100,96,6592,2537,74
1709390031180,97,6597,2196,74
1709390032260,97,6606,2432,75
1709390032980,97,6612,2200,77
1709390034060,96,6616,2037,77
1709390035140,97,6623,8219,75
1709390036220,97,6630,12301,74
1709390036942,96,6624,13871,74
1709390038022,96,6622,8538,75
1709390039100,96,6626,6398,76
1709390040180,96,6634,4313,75
1709390041260,96,6638,3840,74
1709390041980,96,6639,3771,75
1709390043061,97,6644,2546,79
1709390044140,96,6646,2691,80
1709390045223,96,6655,2190,81
1709390045941,96,6656,2255,82
1709390047021,96,6650,2107,82
1709390048101,97,6653,2113,81
1709390049181,96,6655,2227,81
1709390050263,96,6652,2465,81
1709390050981,96,6653,2697,79
1709390052061,96,6667,2737,78
1709390053141,96,6674,3500,77
1709390054221,96,6666,2745,78
1709390054941,97,6667,2813,77
1709390056021,96,6674,2730,76
1709390057101,97,6679,2600,75
1709390058181,97,6674,3443,74
1709390059261,97,6658,2939,76
1709390059981,97,6660,3162,76
1709390061063,97,6666,2999,74
1709390062141,97,6664,3080,73
1709390063223,97,6659,3233,74
1709390063942,97,6652,2849,74
1709390065021,97,6648,2763,73
1709390066102,97,6638,2471,73
1709390067181,97,6634,2589,76
1709390068262,97,6630,2343,78
1709390068982,97,6625,2127,77
