UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1709991470853,0,0,0,0
1709991471573,0,0,0,0
1709991472653,0,0,0,0
1709991473733,0,0,0,0
1709991474813,0,0,0,0
1709991475534,0,0,0,0
1709991476614,0,0,18550,0
1709991477694,0,30000,3000,0
1709991478774,0,30000,37996,0
1709991479512,0,30000,6176,0
1709991480241,0,30000,50896,0
1709991481311,0,30000,47968,0
1709991482392,0,30000,38424,0
1709991483471,0,30000,17056,0
1709991484201,0,29970,16750,0
1709991485284,0,29970,16750,0
1709991486347,0,29970,16750,0
1709991487424,0,29970,16750,0
1709991488513,0,29970,16750,0
1709991489241,0,17727,54489,0
1709991490323,0,15142,0,0
1709991491403,0,16284,0,0
1709991492473,0,30000,0,0
1709991493202,0,16366,0,0
1709991494270,0,27485,0,0
1709991495350,0,27485,0,0
1709991496427,0,27485,0,0
1709991497502,0,27485,0,0
1709991498222,0,27485,0,0
1709991499310,0,27485,0,0
1709991500386,0,16686,0,0
1709991501463,0,16686,0,0
1709991502183,0,16686,0,0
1709991503263,0,16686,0,0
1709991504348,0,16686,0,0
1709991505427,0,11757,0,0
1709991506510,0,9639,0,0
1709991507223,0,9639,0,0
1709991508303,0,9639,0,0
1709991509383,0,9639,0,0
1709991510468,0,9639,0,0
1709991511190,0,14714,0,0
1709991512270,0,20661,0,0
1709991513348,0,20661,0,0
1709991514428,0,19875,0,0
1709991515506,0,19912,0,0
1709991516225,0,20004,0,0
1709991517307,0,20103,0,0
1709991518386,0,19993,0,0
1709991519467,0,19719,0,0
1709991520187,0,19574,0,0
1709991521267,0,19574,0,0
1709991522347,0,19934,0,0
1709991523430,0,20008,0,0
1709991524508,0,20279,0,0
1709991525230,0,20646,0,0
1709991526308,0,20276,0,0
1709991527388,0,19987,0,0
1709991528468,0,20373,0,0
1709991529186,0,20414,0,0
1709991530267,0,20964,0,0
1709991531346,0,21134,0,0
1709991532426,0,20753,0,0
1709991533507,0,20753,0,0
1709991534225,0,21218,0,0
1709991535307,0,21375,0,0
1709991536385,0,21375,0,0
1709991537465,0,21509,0,0
1709991538185,0,21586,0,0
1709991539267,0,21570,0,0
1709991540347,0,21611,0,0
1709991541425,96,21611,0,0
1709991542505,96,21909,0,0
1709991543225,96,21697,0,0
1709991544305,96,21697,0,0
1709991545385,96,21678,0,0
1709991546467,97,21701,0,0
1709991547187,97,21714,0,0
1709991548267,97,21722,0,0
1709991549345,97,21734,0,0
1709991550427,96,21764,41703,0
1709991551505,96,21775,61437,0
1709991552225,95,21779,37867,74
1709991553303,94,21786,53919,74
1709991554385,93,21810,17213,75
1709991555465,92,21824,13822,75
1709991556185,90,21834,11565,76
1709991557264,88,21834,8779,76
1709991558345,87,21850,6034,75
1709991559426,86,21857,5785,75
1709991560504,85,21856,3035,76
1709991561224,86,21847,2999,74
1709991562304,86,21841,2914,72
1709991563385,86,21853,2732,72
1709991564464,86,21865,2786,73
1709991565184,86,21882,3250,76
1709991566266,86,21882,3550,77
1709991567344,85,21879,3602,78
1709991568426,85,21879,3713,79
1709991569506,85,21890,3678,77
1709991570224,86,21899,3516,77
1709991571303,86,21915,2897,75
1709991572383,87,21941,2397,74
1709991573463,87,21948,2310,73
1709991574183,88,21963,2251,74
1709991575263,88,21967,2015,75
1709991576343,88,21956,2146,76
1709991577423,88,21959,2561,75
1709991578504,88,21981,2865,73
1709991579225,87,21901,4457,73
1709991580304,86,21847,11986,73
1709991581385,85,21847,24052,72
1709991582465,84,21892,24787,72
1709991583185,84,21987,25625,72
1709991584263,84,21987,29544,74
1709991585343,85,21842,35162,72
1709991586424,85,21868,40030,72
1709991587502,85,21887,28345,72
1709991588222,85,21914,37705,72
1709991589302,85,21941,61662,0
1709991590383,85,22009,0,0
1709991591462,0,22122,0,0
1709991592184,0,22113,0,0
1709991593262,0,22152,0,0
1709991594342,0,22152,0,0
1709991595423,0,22294,0,0
1709991596504,0,22321,0,0
1709991597224,0,22359,0,0
1709991598304,0,22416,0,0
1709991599382,0,22416,0,76
1709991600464,0,22506,0,74
1709991601182,0,22515,0,72
1709991602262,0,22506,0,72
1709991603345,0,22471,41251,72
1709991604421,0,22522,29102,0
1709991605501,0,22522,29102,0
1709991606221,0,22355,29102,0
1709991607303,0,22355,29102,0
1709991608381,0,22208,29102,0
1709991609463,0,22124,41063,0
1709991610181,0,22073,0,0
1709991611261,0,22276,0,0
1709991612342,94,22266,5832,0
1709991613422,94,22273,18790,0
1709991614504,94,22273,39341,82
1709991615222,94,22273,27669,80
1709991616302,95,22201,4244,79
1709991617382,95,22237,59964,81
1709991618462,95,22282,19404,81
1709991619182,95,22282,64015,80
1709991620263,95,22418,46667,79
1709991621342,94,22512,39060,80
1709991622420,94,22563,33727,81
1709991623502,94,22595,20638,81
1709991624220,94,22597,15387,80
1709991625300,94,22567,11545,78
1709991626381,95,22254,8030,76
1709991627462,95,22161,8267,76
1709991628180,94,22188,8548,77
1709991629261,95,22149,8303,76
1709991630340,95,22164,8334,74
1709991631421,95,22196,11538,73
1709991632502,96,22171,5058,73
1709991633221,96,22191,8989,72
1709991634301,96,22211,6796,72
1709991635381,95,22226,9539,71
1709991636463,95,22255,30804,72
1709991637181,94,22312,23975,71
1709991638262,93,22309,24701,72
1709991639341,92,22324,21549,73
1709991640075,91,22388,18529,75
1709991641155,91,22434,15773,75
1709991641875,90,22446,19774,75
1709991642954,90,22425,14097,76
1709991644038,91,22425,12777,0
1709991645115,91,22667,11194,0
1709991645835,91,22888,12651,0
1709991646917,91,22980,14763,0
1709991647997,92,22980,15477,0
1709991649075,93,22952,20029,0
1709991650158,94,22952,0,0
1709991650877,94,22790,0,0
1709991651959,97,22765,0,73
1709991653037,97,22753,0,73
1709991654117,97,22691,35213,74
1709991654835,97,22691,52412,74
1709991655917,97,22691,42187,75
1709991656997,0,22464,42187,74
1709991658076,0,22159,42187,75
1709991659155,0,22159,42187,75
1709991659877,0,22159,7481,75
1709991660954,0,22159,24278,75
1709991662036,0,22414,0,75
1709991663116,0,22395,0,76
1709991663836,0,22364,51792,75
1709991664914,0,22407,9252,76
1709991665996,0,22403,0,76
1709991667076,0,22482,0,77
1709991668156,0,22502,50825,77
1709991668876,0,22468,37419,77
1709991669956,0,22498,44204,77
1709991671035,0,22494,44204,77
1709991672116,0,22494,44204,0
1709991672836,0,22355,44204,0
1709991673916,0,22307,44204,0
1709991674996,0,22386,5575,0
1709991676076,0,22386,39754,0
1709991677155,0,22386,0,0
1709991677875,92,22386,16261,0
1709991678955,92,22387,44045,0
1709991680035,92,22443,35748,77
1709991681115,92,22443,43612,78
1709991681835,92,22507,30562,78
1709991682912,91,22520,43207,78
1709991683994,91,22536,30687,78
1709991685072,91,22558,16150,77
1709991686154,91,22584,21788,77
1709991686874,91,22577,28955,77
1709991687954,92,22576,10159,78
1709991689032,92,22583,11059,77
1709991690115,93,22588,8752,77
1709991690834,94,22585,6791,77
1709991691914,94,22582,5093,78
1709991692993,94,22585,4394,76
1709991694074,94,22593,4129,75
1709991695153,93,22588,2839,73
1709991695873,92,22611,1957,72
1709991696954,91,22634,5420,73
1709991698031,90,22651,2253,73
1709991699113,90,22666,7733,72
1709991699831,90,22670,3069,72
1709991700913,91,22666,3424,73
1709991701993,91,22667,2911,73
1709991703072,92,22649,4382,72
1709991704153,94,22581,3306,73
1709991704873,95,22551,2538,73
1709991705952,96,22543,2691,72
1709991707032,96,22542,2723,71
1709991708112,96,22552,2522,71
1709991708832,96,22558,2544,72
1709991709914,95,22545,2357,72
1709991710994,94,22531,2079,74
1709991712072,94,22514,1800,73
1709991713154,93,22502,1463,72
1709991713872,93,22465,1706,71
1709991714952,94,22449,21431,70
1709991716032,95,22443,23415,70
1709991717110,96,22456,1840,70
1709991717832,96,22472,1924,70
1709991718911,96,22485,1969,70
1709991719992,96,22507,1837,70
1709991721073,96,22522,2097,70
1709991722151,96,22543,1929,70
1709991722871,96,22554,2108,70
1709991723951,95,22552,2119,71
1709991725033,95,22557,2010,71
1709991726113,94,22557,2002,71
1709991726833,93,22552,1765,71
1709991727913,92,22541,1692,70
1709991728991,92,22527,3921,68
1709991730073,92,22517,7033,69
1709991731151,92,22506,7675,69
1709991731873,92,22512,1795,69
1709991732950,92,22512,1926,68
1709991734030,92,22511,1865,67
1709991735110,92,22510,1749,68
1709991735831,92,22513,1755,68
1709991736910,92,22512,2012,0
1709991737992,92,22605,2198,0
1709991739070,92,22605,2130,0
1709991740152,92,22578,2066,0
1709991740870,92,22646,3391,0
1709991741950,92,22470,0,0
1709991743030,92,22360,0,0
1709991744112,92,22360,0,0
1709991744833,0,22360,0,0
1709991745911,0,22360,0,0
1709991746991,0,22360,0,0
1709991748071,0,22636,0,0
1709991749153,0,22617,16680,0
1709991749871,0,22651,29082,0
1709991750951,0,22651,15841,66
1709991752029,0,22619,10747,66
1709991753111,0,22514,5585,67
1709991753831,0,22596,8669,66
1709991754911,0,22668,4083,66
1709991755989,0,22619,2739,65
1709991757070,94,22569,6057,67
1709991758150,94,22578,11174,68
1709991758870,93,22578,6619,70
1709991759952,93,22576,3298,76
1709991761029,93,22598,7683,76
1709991762110,94,22618,7723,76
1709991762830,97,22652,8796,74
1709991763909,97,22652,43088,75
1709991764990,96,22671,31382,74
1709991766071,94,22681,22717,76
1709991767150,92,22688,19056,78
1709991767870,91,22671,15463,77
1709991768948,90,22680,14289,76
1709991770028,90,22658,12382,77
1709991771108,91,22634,9674,76
1709991771828,92,22639,9702,75
1709991772910,92,22625,9384,75
1709991773988,93,22625,10437,77
1709991775068,95,22641,10161,78
1709991776149,96,22686,10721,77
1709991776870,96,22692,10140,74
1709991777950,95,22683,10063,73
1709991779029,95,22672,9204,74
1709991780109,95,22678,7283,76
1709991780829,95,22665,6897,78
1709991781909,96,22631,5373,79
1709991782991,96,22619,5084,78
1709991784069,97,22634,5170,76
1709991785149,97,22634,4798,74
1709991785871,96,22613,6094,72
1709991786949,96,22615,6519,73
1709991788028,96,22645,8142,73
1709991789107,95,22687,8388,72
1709991789827,94,22696,9074,73
1709991790908,94,22703,9214,74
1709991791987,94,22710,8806,74
1709991793070,94,22685,8544,73
1709991794148,94,22652,7582,72
1709991794869,94,22675,6946,70
1709991795948,94,22687,6015,69
1709991797028,94,22693,7252,69
1709991798108,94,22693,7357,70
1709991798828,94,22674,8446,70
1709991799908,94,22731,10919,70
1709991800988,94,22731,13467,72
1709991802068,94,22768,18709,73
1709991803148,94,22858,16112,74
1709991803868,93,22813,0,74
1709991804948,93,22776,0,73
1709991805681,92,22776,30813,73
1709991806763,92,22859,17341,71
1709991807481,92,22844,17732,70
1709991808563,94,22840,15507,70
1709991809643,94,22839,12847,72
1709991810721,92,22849,11872,72
1709991811803,91,22832,10654,72
1709991812523,91,22820,11255,73
1709991813603,91,22824,9466,73
1709991814681,90,22839,8695,73
1709991815763,90,22839,8480,72
1709991816483,92,22811,7521,72
1709991817563,94,22843,7373,72
1709991818643,97,22843,5992,71
1709991819722,96,22809,6516,70
1709991820803,96,22831,6259,71
1709991821522,96,22844,6773,71
1709991822603,95,22822,6486,70
1709991823682,95,22856,6840,70
1709991824760,95,22859,8735,72
1709991825480,93,22847,6333,72
1709991826560,92,22855,6674,71
1709991827642,91,22829,6401,70
1709991828722,90,22812,6153,71
1709991829800,89,22838,6848,71
1709991830523,88,22844,6696,69
1709991831600,88,22814,7254,69
1709991832683,88,22849,7016,68
1709991833762,88,22881,8064,68
1709991834482,88,22903,6351,67
1709991835562,88,22928,6417,67
1709991836642,88,22953,4527,68
1709991837721,88,22990,3877,69
1709991838802,88,22971,4334,69
1709991839521,88,22978,3952,69
1709991840602,88,23033,4422,69
1709991841683,88,23042,4181,67
1709991842761,88,23059,4794,66
1709991843481,88,23068,4560,66
1709991844561,87,23085,4880,66
1709991845641,88,23079,4119,66
1709991846719,88,23039,5277,65
1709991847799,89,23035,4738,66
1709991848519,90,23028,5556,67
1709991849600,91,23029,4627,67
1709991850681,92,23022,4502,66
1709991851762,92,23028,4324,67
1709991852482,92,23044,3928,69
1709991853560,92,23032,3549,73
