UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1711116135835,0,0,0,0
1711116136555,0,0,0,0
1711116137286,0,0,0,0
1711116138368,0,0,0,0
1711116139445,0,0,0,0
1711116140166,0,0,0,0
1711116141250,0,0,0,0
1711116142332,0,5143,25701,0
1711116143412,0,5227,37665,0
1711116144494,0,5268,24225,0
1711116145214,0,5020,6417,0
1711116146294,0,5020,7701,0
1711116147372,0,5020,42394,0
1711116148455,0,5020,21829,0
1711116149174,0,5020,64227,0
1711116150255,0,5160,51656,0
1711116151335,0,5247,0,0
1711116152407,0,5247,0,0
1711116153489,0,5247,0,0
1711116154208,0,5247,0,0
1711116155289,0,5530,0,0
1711116156371,0,4588,0,0
1711116157449,0,4262,0,0
1711116158169,0,4262,0,0
1711116159250,0,4067,0,0
1711116160330,0,3951,0,0
1711116161412,0,4647,0,0
1711116162484,0,4647,0,0
1711116163204,0,4647,0,0
1711116164284,0,4647,0,0
1711116165370,0,4647,0,0
1711116166450,0,4306,0,0
1711116167168,0,4097,0,0
1711116168248,0,4097,0,0
1711116169330,0,4097,0,0
1711116170411,0,4014,61627,0
1711116171487,0,4002,46972,0
1711116172207,0,4002,33206,0
1711116173285,0,4010,27688,0
1711116174366,0,3988,23517,0
1711116175447,0,4013,20335,0
1711116176167,0,4040,15664,0
1711116177247,0,4040,11892,0
1711116178327,0,4036,9253,0
1711116179406,0,4036,7108,0
1711116180488,0,4032,5193,0
1711116181206,0,4038,4406,70
1711116182288,97,4048,3395,70
1711116183368,97,4054,2892,70
1711116184447,97,4047,1920,71
1711116185167,96,4052,1418,70
1711116186247,96,4053,1524,70
1711116187330,96,4050,1490,70
1711116188409,96,4050,1491,70
1711116189486,96,4045,1521,71
1711116190206,96,4044,1608,72
1711116191288,96,4049,1629,72
1711116192368,96,4042,1624,72
1711116193446,97,4037,1497,72
1711116194169,97,4039,1865,71
1711116195248,97,4033,2013,0
1711116196328,0,4030,2484,0
1711116197408,0,3995,3043,0
1711116198486,0,4110,3884,0
1711116199206,0,4355,5785,0
1711116200289,0,4317,0,0
1711116201369,0,4318,0,0
1711116202449,0,4136,0,0
1711116203169,0,4129,0,0
1711116204247,0,4129,0,0
1711116205327,0,4141,0,0
1711116206409,0,4235,0,0
1711116207485,0,4218,0,0
1711116208205,0,4265,0,0
1711116209285,0,4196,0,0
1711116210366,0,4448,45534,0
1711116211447,0,4481,19073,0
1711116212165,0,4286,37776,0
1711116213246,0,4215,0,0
1711116214327,0,4335,0,0
1711116215407,0,4398,0,0
1711116216486,0,4391,0,0
1711116217206,0,4432,0,0
1711116218288,0,4432,0,0
1711116219368,0,4592,0,0
1711116220448,0,4572,0,0
1711116221166,0,4627,0,0
1711116222246,0,4579,0,0
1711116223328,0,4640,0,0
1711116224408,0,4472,0,0
1711116225484,0,4511,0,0
1711116226205,0,4519,0,0
1711116227284,0,4553,0,0
1711116228363,0,4553,0,0
1711116229443,0,4553,0,0
1711116230163,0,4553,0,0
1711116231245,0,4553,0,0
1711116232325,0,4402,0,0
1711116233407,0,4402,0,0
1711116234485,0,5289,0,0
1711116235207,0,5251,58252,0
1711116236285,0,5268,17077,0
1711116237367,0,5268,62087,0
1711116238447,0,5276,52063,0
1711116239165,0,5226,31782,0
1711116240245,0,5402,28222,0
1711116241325,0,5361,20127,0
1711116242403,0,5361,18109,0
1711116243486,0,5581,16742,0
1711116244204,0,5581,11131,0
1711116245285,0,5627,4062,0
1711116246366,0,5570,9395,0
1711116247444,0,5553,4219,0
1711116248164,0,5524,14547,82
1711116249246,0,5509,45600,80
1711116250324,0,5476,47350,79
1711116251406,0,5463,39192,78
1711116252484,0,5466,31543,78
1711116253204,0,5452,27351,78
1711116254284,0,5435,24217,77
1711116255365,0,5416,21240,77
1711116256444,0,5437,17978,77
1711116257164,0,5410,12549,81
1711116258244,0,5456,13444,0
1711116259326,0,5482,14971,0
1711116260403,0,5482,16576,0
1711116261483,0,5426,22640,0
1711116262203,0,5394,39190,0
1711116263283,0,5402,0,0
1711116264363,0,5402,0,81
1711116265443,0,5422,0,0
1711116266163,0,5393,0,0
1711116267243,0,5278,0,0
1711116268323,0,5308,0,0
1711116269403,0,5504,0,0
1711116270483,0,5541,0,0
1711116271203,0,5405,0,0
1711116272283,0,5483,0,0
1711116273363,0,5475,0,0
1711116274443,0,5167,0,0
1711116275163,0,5204,0,0
1711116276243,0,5204,0,0
1711116277322,0,5200,0,0
1711116278402,0,5215,0,0
1711116279482,0,5146,0,0
1711116280202,0,5132,0,0
1711116281282,0,5130,0,79
1711116282362,0,5153,0,79
1711116283442,0,5065,0,79
1711116284162,0,5100,34771,77
1711116285242,0,5107,13272,77
1711116286322,0,5107,53812,76
1711116287402,0,5113,41156,79
1711116288482,0,5113,33078,77
1711116289202,0,5094,27650,78
1711116290282,0,5056,23579,79
1711116291362,0,5066,18595,81
1711116292442,0,5057,13494,79
1711116292817,0,5054,9716,76
1711116293895,0,5061,7416,75
1711116294977,0,5085,5194,75
1711116296059,0,5113,3013,75
1711116297138,0,5123,2401,72
1711116297858,0,5123,2571,0
1711116298936,0,5463,2682,0
1711116300018,0,5363,2715,0
1711116301096,0,5383,3543,0
1711116301820,0,5442,3979,0
1711116302899,0,5442,6500,0
1711116303980,0,5182,0,0
1711116305059,0,5114,0,0
1711116306138,0,5095,0,0
1711116306858,0,5095,0,0
1711116307937,0,5039,0,0
1711116309015,0,5049,29072,0
1711116310097,0,5076,5316,0
1711116310815,0,5063,28069,0
1711116311897,0,5063,64912,0
1711116312977,0,5063,25346,0
1711116314055,0,5029,5288,0
1711116315137,0,5018,47323,71
1711116315855,0,5072,40378,71
1711116316937,0,5115,17945,69
1711116318016,0,5083,9860,68
1711116319096,0,5083,0,71
1711116319816,0,5035,0,69
1711116320896,0,5039,0,68
1711116321975,0,5038,0,68
1711116323057,0,5037,14777,67
1711116324138,0,5037,7627,68
1711116324857,0,5034,6382,68
1711116325935,0,5032,5242,69
1711116327014,0,5032,6948,72
1711116328094,0,5321,6948,71
1711116328818,0,5360,7123,71
1711116329896,0,5360,8982,71
1711116330974,0,5360,12173,71
1711116332054,0,5134,27702,70
1711116333136,0,5150,0,71
1711116333854,0,5150,0,71
1711116334936,0,5141,0,71
1711116336016,0,5098,0,72
1711116337094,0,5099,0,72
1711116337816,0,5085,0,71
1711116338894,97,5064,0,71
1711116339974,97,5064,0,71
1711116341056,97,5050,0,71
1711116342134,96,5047,23040,71
1711116342854,96,5050,15470,72
1711116343934,96,5049,9316,72
1711116345014,96,5049,12198,72
1711116346093,96,5048,13122,71
1711116346814,96,5048,8360,71
1711116347893,97,5054,6185,70
1711116348974,97,5053,5808,69
1711116350053,97,5040,6203,69
1711116351134,0,5024,6103,70
1711116351855,0,5013,6812,70
1711116352935,0,5005,8582,71
1711116354016,0,5010,12108,72
1711116355094,0,5013,22983,71
1711116355816,0,5013,8385,68
1711116356893,0,5022,6833,66
1711116357973,0,5033,6500,66
1711116359052,0,5039,27998,65
1711116360132,0,5067,27998,65
1711116360852,0,5098,27998,66
1711116361933,0,5078,27998,65
1711116363014,0,5070,27998,64
1711116364094,0,5123,27998,64
1711116364813,0,5181,24746,63
1711116365892,0,5181,0,63
1711116366974,0,5181,0,63
1711116368054,0,5181,0,64
1711116369135,0,5255,0,63
1711116369855,0,5094,0,64
1711116370934,0,5094,0,63
1711116372013,0,5094,0,63
1711116373093,0,5044,0,62
1711116373815,0,5039,0,62
1711116374893,0,5031,0,64
1711116375973,0,5049,0,64
1711116377051,0,5049,0,62
1711116378133,0,5043,0,62
1711116378851,0,5021,0,64
1711116379933,0,5008,0,64
1711116381011,0,5002,0,64
1711116382093,0,5007,10129,64
1711116382813,0,5007,14036,64
1711116383893,0,5005,11501,64
1711116384972,0,4998,11327,64
1711116386052,0,4972,11823,64
1711116387132,0,4972,11276,64
1711116387852,0,4972,18810,65
1711116388932,0,4976,48787,65
1711116390012,0,5091,0,0
1711116391092,0,5231,0,0
1711116391812,0,5175,0,0
1711116392894,0,5095,0,0
1711116393972,0,5128,0,0
1711116395050,0,5147,0,0
1711116396130,0,5114,0,0
1711116396850,0,5088,0,0
1711116397931,0,5091,0,65
1711116399010,0,5090,0,65
1711116400091,0,5151,0,0
1711116400811,0,5471,0,0
1711116401891,0,5902,0,0
1711116402971,0,5902,34473,0
1711116404051,0,5287,8770,0
1711116405131,0,5339,16102,0
1711116405853,0,5203,17243,0
1711116406931,0,5194,6712,0
1711116408013,0,5194,12523,0
1711116409091,0,5200,13181,0
1711116409811,0,5227,44645,0
1711116410889,0,5323,0,0
1711116411969,0,5360,0,0
1711116413049,0,5360,0,0
1711116414129,0,5383,0,0
1711116414849,0,5387,0,0
1711116415929,0,5387,0,0
1711116417009,0,4918,0,0
1711116418089,0,4918,0,0
1711116418810,0,5199,0,0
1711116419890,0,5194,24746,0
1711116420970,0,5200,0,0
1711116422050,0,5191,0,0
1711116423132,0,5232,0,0
1711116423850,0,5232,0,0
1711116424930,0,5232,0,0
1711116426008,0,5127,0,0
1711116427090,0,5208,0,0
1711116427808,0,5231,0,0
1711116428888,0,5231,0,0
1711116429968,0,5231,0,0
1711116431049,0,5231,0,0
1711116432128,0,5162,0,0
1711116432850,0,5135,0,0
1711116433929,0,5105,0,0
1711116435009,0,5077,0,65
1711116436091,0,5055,0,69
1711116436809,0,5013,38369,70
1711116437889,0,5005,25403,70
1711116438969,0,4992,18894,69
1711116440049,0,4984,14004,69
1711116441129,0,4975,11734,69
1711116441849,0,4961,9965,68
1711116442583,0,4958,7724,68
1711116443662,0,4959,7173,68
1711116444743,0,4957,5738,72
1711116445463,0,4957,4397,72
1711116446545,0,4946,3695,71
1711116447624,0,4946,3520,71
1711116448702,0,4941,3300,71
1711116449784,0,4932,2594,72
1711116450504,0,4927,2427,71
1711116451586,0,4918,1991,72
1711116452664,0,4916,1916,72
1711116453744,0,4912,1675,72
1711116454462,0,4908,1622,72
1711116455544,0,4898,1633,72
1711116456624,0,4895,1703,73
1711116457703,0,4882,1889,72
1711116458786,0,4861,4187,73
1711116459504,0,4791,5543,76
1711116460582,0,4791,6427,80
1711116461663,0,4786,6972,74
1711116462741,0,4815,7198,75
1711116463461,0,4837,8481,75
1711116464543,0,4901,7742,76
1711116465621,0,4914,7185,75
1711116466705,0,4930,6557,76
1711116467781,0,4950,5930,76
1711116468503,0,4958,5671,76
1711116469583,0,4981,4198,76
1711116470663,0,4986,3239,76
1711116471742,0,4993,2733,75
1711116472463,0,4989,2144,74
1711116473541,0,4983,2326,74
1711116474624,0,4977,9105,0
1711116475704,0,4999,11723,0
1711116476782,0,5020,14638,0
1711116477502,0,5010,19437,0
1711116478580,0,5025,28974,0
1711116479663,0,5009,57329,0
1711116480742,0,4992,0,0
1711116481463,0,5078,0,0
1711116482543,0,5196,0,0
1711116483621,0,5156,0,0
1711116484702,0,5132,0,0
1711116485783,0,5132,0,0
1711116486503,0,5096,0,0
1711116487583,0,5040,0,71
1711116488663,0,5044,0,69
1711116489741,0,5047,0,72
1711116490463,0,5031,0,73
1711116491541,0,5010,0,0
1711116492623,0,4965,0,0
1711116493701,0,5000,0,0
1711116494783,0,4972,0,0
1711116495504,0,4809,0,0
1711116496579,0,4809,0,0
1711116497660,0,4813,51881,0
1711116498739,0,4788,45764,0
1711116499459,0,4788,34712,0
1711116500540,0,4795,24493,0
1711116501621,0,4833,18504,0
1711116502701,0,4823,8992,0
1711116503781,0,4862,21644,0
1711116504501,0,4816,10736,0
1711116505581,0,4854,15134,0
1711116506660,0,4945,7474,0
1711116507740,0,4965,4930,0
1711116508462,0,4957,8396,0
1711116509540,0,4945,9291,0
1711116510621,0,4958,2344,0
1711116511700,0,4958,2889,0
1711116512782,0,4958,3646,0
1711116513500,0,4949,1686,0
1711116514580,0,4949,4151,0
1711116515659,0,4871,6288,0
1711116516740,0,4887,8340,0
1711116517460,0,4653,10924,0
1711116518539,0,4686,10893,0
1711116519619,0,4869,20780,0
1711116520699,0,4811,31967,0
1711116521779,0,4598,36497,0
1711116522501,0,4704,21140,0
1711116523581,0,4976,35061,64
1711116524659,0,4976,32492,63
1711116525741,0,4936,13723,68
1711116526461,0,4935,19945,0
1711116527539,0,4883,10537,0
1711116528619,0,4922,3799,0
1711116529701,0,5071,10990,0
1711116530780,0,5353,7034,0
1711116531500,0,5304,3059,0
1711116532578,0,5205,9843,0
1711116533658,0,5205,10488,0
1711116534740,0,5195,4485,0
1711116535458,0,5209,0,0
1711116536540,0,5218,0,68
1711116537620,0,5221,0,68
1711116538698,0,5227,45245,66
