UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1711460054397,0,0,0,0
1711460055117,0,0,0,0
1711460056197,0,0,0,0
1711460057277,0,0,0,0
1711460058357,0,0,0,0
1711460059079,0,3514,59530,0
1711460060159,0,3504,16162,0
1711460060896,0,3512,13319,0
1711460061976,0,3512,59229,0
1711460063064,0,3512,57968,0
1711460063774,0,3528,23308,0
1711460064856,0,3529,19595,0
1711460065936,0,3531,29040,0
1711460067014,0,3531,13965,0
1711460067738,0,3531,0,0
1711460068818,0,3531,0,0
1711460069894,0,3536,0,0
1711460070976,0,3537,0,0
1711460072065,0,3542,0,0
1711460072775,0,3543,0,0
1711460073856,0,3546,0,0
1711460074937,0,3546,0,0
1711460076013,0,3549,0,0
1711460076737,0,3556,0,0
1711460077816,0,3517,0,0
1711460078895,0,3303,0,0
1711460079970,0,3293,0,0
1711460081053,0,3293,0,0
1711460081771,0,3301,0,0
1711460082851,0,3307,0,0
1711460083931,0,3314,0,0
1711460085011,0,3314,0,0
1711460085729,0,3314,0,0
1711460086811,0,3314,0,0
1711460087891,0,8405,0,0
1711460088973,0,10049,0,0
1711460090047,0,10049,0,0
1711460090765,0,10049,0,0
1711460091845,0,10049,0,0
1711460092930,0,10049,0,0
1711460094008,0,14607,0,0
1711460094730,0,17057,0,0
1711460095808,0,17057,0,0
1711460096891,0,17383,0,0
1711460097971,0,16373,0,0
1711460099051,0,16534,0,0
1711460099769,0,16534,0,0
1711460100851,0,17175,0,0
1711460101931,0,18038,0,0
1711460103011,0,18634,0,0
1711460103731,0,18634,0,0
1711460104811,0,18212,0,0
1711460105890,0,17995,0,0
1711460106968,0,17694,0,0
1711460108050,0,17725,0,0
1711460108770,0,18031,0,0
1711460109850,0,21069,0,0
1711460110928,0,23323,0,0
1711460112008,0,23323,0,0
1711460112730,0,23987,0,0
1711460113809,0,23987,0,0
1711460114890,0,25188,0,0
1711460115970,0,25542,0,0
1711460117048,0,24834,0,0
1711460117770,0,22810,0,0
1711460118849,0,20765,0,0
1711460119929,0,20765,0,0
1711460121007,0,20765,0,0
1711460121728,0,22613,0,0
1711460122807,0,23532,5187,0
1711460123889,0,26915,27877,0
1711460124967,0,22103,27930,0
1711460126047,0,18946,0,0
1711460126769,0,17792,0,0
1711460127849,0,17792,0,0
1711460128929,0,20902,0,0
1711460130008,0,22773,0,0
1711460130727,0,22773,0,0
1711460131808,0,26479,0,0
