UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1712324472941,0,0,0,0
1712324473660,0,0,0,0
1712324474741,0,0,0,0
1712324475821,0,0,0,0
1712324476901,0,0,0,0
1712324477621,0,5803,46003,0
1712324478701,0,5810,30929,0
1712324479782,0,5795,7811,0
1712324480862,0,5855,41881,0
1712324481950,0,5398,24043,0
1712324482662,0,5398,30054,0
1712324483398,0,5398,46165,0
1712324484480,0,5326,10309,0
1712324485561,0,5401,29901,0
1712324486280,0,5401,0,0
1712324487359,0,8805,0,0
1712324488441,0,9914,0,0
1712324489532,0,9914,0,0
1712324490596,0,9914,0,0
1712324491314,0,9914,0,0
1712324492407,0,9914,0,0
1712324493490,0,9914,0,0
1712324494569,0,5842,0,0
1712324495279,0,5842,0,0
1712324496359,0,5842,0,0
1712324497447,0,5842,0,0
1712324498528,0,4983,0,0
1712324499595,0,4942,0,0
1712324500316,0,4931,39984,0
1712324501396,0,4887,43988,0
1712324502473,0,4852,17178,0
1712324503553,0,4875,63050,0
1712324504275,0,4843,52702,0
1712324505356,0,4782,45873,0
1712324506433,0,5195,32179,0
1712324507515,0,5582,33550,0
1712324508593,0,5477,34733,0
1712324509315,0,5360,24437,0
1712324510395,0,5252,30297,0
1712324511475,0,5252,41632,0
1712324512553,0,5130,0,0
1712324513275,0,4751,0,0
1712324514355,0,4751,0,0
1712324515436,0,4520,0,0
1712324516516,0,4876,0,0
1712324517595,0,4876,0,0
1712324518316,0,4763,0,0
1712324519397,0,4725,0,0
1712324520476,0,4700,0,0
1712324521557,0,4642,0,0
1712324522277,0,4642,0,0
1712324523357,0,4701,0,0
1712324524437,0,4770,0,0
1712324525516,0,4781,0,0
1712324526596,0,4803,0,0
1712324527316,0,4803,0,0
1712324528396,0,4692,0,0
1712324529476,0,4634,0,0
1712324530555,0,4619,0,0
1712324531275,0,4576,8170,0
1712324532356,0,4550,13051,0
1712324533435,0,4531,9849,0
1712324534513,0,4509,8114,0
1712324535595,0,4509,6735,0
1712324536313,0,4438,5920,0
1712324537395,0,4447,5804,0
1712324538475,0,4497,4831,65
1712324539555,0,4496,5123,65
1712324540273,0,4503,5704,64
1712324541355,0,4511,12937,62
1712324542435,0,4486,37700,62
1712324543514,0,4484,6257,63
1712324544594,0,4490,12341,63
1712324545315,0,4480,14845,62
1712324546395,0,4444,22039,63
1712324547475,0,4457,24461,63
1712324548555,0,4727,0,63
1712324549277,0,4894,0,0
1712324550355,0,4894,0,0
1712324551437,0,4894,0,0
1712324552516,0,4727,0,0
1712324553597,0,4604,0,0
1712324554314,97,4604,0,0
1712324555394,97,4591,0,61
1712324556474,96,4591,46285,62
1712324557554,96,4523,24163,63
1712324558274,97,4537,20910,62
1712324559354,97,4473,17094,62
1712324560433,97,4478,13811,63
1712324561513,97,4474,26883,64
1712324562593,97,4429,9022,64
1712324563313,97,4434,15365,64
1712324564393,97,4469,8711,64
1712324565475,0,4469,6288,63
1712324566556,0,4430,8036,63
1712324567274,0,4524,6633,63
1712324568355,0,4505,7304,62
1712324569436,0,4461,8294,62
1712324570515,0,4461,8991,64
1712324571595,0,4375,10343,63
1712324572315,0,4386,16123,62
1712324573393,0,4412,24258,62
1712324574475,0,4412,0,63
1712324575556,0,4485,21275,62
1712324576275,0,4432,19000,61
1712324577356,0,4342,19000,62
1712324578434,0,4376,19000,62
1712324579514,0,4376,19000,62
1712324580592,0,4294,19000,63
1712324581314,0,4361,25466,62
1712324582394,0,4361,51573,62
1712324583472,0,4288,0,63
1712324584552,0,4336,15634,63
1712324585274,0,4371,8806,64
1712324586352,0,4363,8223,64
1712324587432,0,4343,8313,64
1712324588512,0,4366,8198,64
1712324589593,0,4343,10335,64
1712324590313,0,4321,11879,62
1712324591392,0,4291,14407,62
1712324592474,0,4298,15848,61
1712324593553,0,4298,21300,61
1712324594272,0,4253,25991,62
1712324595353,0,4252,35708,62
1712324596433,0,4229,10520,62
1712324597515,0,4208,20672,62
1712324598595,0,4323,8524,62
1712324599313,0,4352,10045,61
1712324600394,0,4305,13111,60
1712324601475,0,4369,15712,61
1712324602555,0,4415,10983,60
1712324603271,0,4230,11039,60
1712324604353,0,4230,0,60
1712324605434,0,4230,0,62
1712324606514,0,4194,0,59
1712324607594,0,4194,0,60
1712324608314,0,4214,0,61
1712324609394,0,4231,0,62
1712324610474,0,4231,0,62
1712324611552,0,4231,0,61
1712324612272,0,4185,0,60
1712324613354,0,4217,0,61
1712324614432,0,4218,0,62
1712324615512,0,4218,0,62
1712324616592,0,4130,0,62
1712324617313,0,4113,48924,63
1712324618393,0,4485,24505,62
1712324619474,0,4548,60424,61
1712324620554,0,4548,23461,62
1712324621272,0,4548,17595,63
1712324622354,0,4264,8872,63
1712324623432,0,4145,25706,63
1712324624514,0,4113,17819,64
1712324625594,0,4094,46123,64
1712324626313,0,4067,30093,64
1712324627394,0,4068,24420,63
1712324628471,0,4068,20481,63
1712324629551,0,4098,18819,63
1712324630271,0,4086,15997,64
1712324631351,0,4180,16339,64
1712324632431,0,4180,15906,64
1712324633511,0,4094,18399,64
1712324634594,0,4081,20042,62
1712324635311,0,4097,24412,62
1712324636392,0,4101,30509,63
1712324637473,0,4101,36804,63
1712324638552,0,4127,63942,63
1712324639272,0,4081,0,63
1712324640353,0,4081,0,62
1712324641432,0,4081,50399,63
1712324642511,0,4077,36762,61
1712324643592,0,4077,26131,61
1712324644312,0,4092,26131,61
1712324645392,0,4170,22527,61
1712324646472,0,4075,22468,61
1712324647553,0,4023,24091,63
1712324648272,0,4039,23309,63
1712324649354,0,4015,29536,61
1712324650432,0,4018,4249,61
1712324651512,0,4029,52629,62
1712324652593,0,4037,33943,61
1712324653311,0,4010,23301,61
1712324654391,0,4040,18352,62
1712324655471,0,4071,18352,61
1712324656551,0,4064,18352,61
1712324657271,0,4050,20074,62
1712324658351,0,4023,12938,63
1712324659433,0,3997,22420,64
1712324660511,0,3992,0,65
1712324661591,0,3992,0,66
1712324662311,0,3979,0,65
1712324663391,0,3961,29131,65
1712324664471,0,3985,23870,64
1712324665551,0,4027,17567,63
1712324666273,0,4030,13702,61
1712324667351,0,4030,11179,61
1712324668431,0,4047,9352,61
1712324669511,0,4060,8573,60
1712324670591,0,4028,6074,60
1712324671313,0,4025,4086,61
1712324672393,0,4051,3751,61
1712324673472,0,4040,3859,60
1712324674552,0,3997,4493,61
1712324675272,0,4043,5280,61
1712324676352,0,4031,6265,60
1712324677432,0,3960,6524,60
1712324678510,0,3992,8623,60
1712324679590,0,3999,12195,60
1712324680310,0,3939,10899,60
1712324681390,0,3941,0,61
1712324682470,0,3981,20839,60
1712324683550,0,3967,11004,59
1712324684270,0,3921,8583,60
1712324685350,0,3957,7470,59
1712324686430,0,3966,10996,59
1712324687511,0,3909,5030,60
1712324688590,0,3931,6280,60
1712324689310,0,3960,3536,60
1712324690391,0,3924,4081,60
1712324691470,0,3916,3149,60
1712324692551,0,3943,5292,60
1712324693271,0,3939,8320,60
1712324694351,0,3885,4950,61
1712324695431,0,3914,1526,61
1712324696511,0,3931,1915,61
1712324697593,0,3876,2310,62
1712324698311,0,3899,3207,62
1712324699391,0,3899,3401,61
1712324700473,0,3908,3869,61
1712324701551,0,3898,3910,61
1712324702271,0,3929,3693,62
1712324703007,0,3915,6533,62
1712324704085,0,3881,3919,62
1712324705168,0,3888,2897,63
1712324706246,0,3872,2381,62
1712324706967,0,3845,4385,62
1712324708047,0,3788,19034,0
1712324709126,0,4521,22459,0
1712324710207,0,4174,27419,0
1712324710925,0,4174,35225,0
1712324712007,0,3614,44081,0
1712324713085,0,3614,62090,0
1712324714167,0,3564,45704,0
1712324715247,0,3564,34440,0
1712324715967,0,3631,0,0
1712324717047,0,3668,0,0
1712324718126,0,3721,0,64
1712324719205,0,3788,574,63
1712324719926,0,3799,14646,62
1712324721005,0,3788,52170,63
1712324722086,0,3749,41656,63
1712324723166,0,3746,33001,62
1712324724249,0,3735,25389,61
1712324724968,0,3734,25299,62
1712324726047,0,3745,18651,0
1712324727127,0,5334,21751,0
1712324728206,0,5304,18055,0
1712324728926,0,5304,11211,0
1712324730006,0,4258,15699,0
1712324731086,0,4258,23156,0
1712324732164,0,4258,3257,0
1712324733246,0,4258,15665,0
1712324733964,0,3569,18574,0
1712324735046,0,3822,10899,0
1712324736126,0,3594,0,0
1712324737206,0,6043,0,0
1712324737926,0,7791,0,0
1712324739006,0,7624,0,0
1712324740086,0,7562,0,0
1712324741166,0,7572,0,0
1712324742246,0,7579,0,0
1712324742966,0,7524,27318,0
1712324744046,0,7464,7785,0
1712324745125,0,7497,21885,0
1712324746207,0,7033,17343,0
1712324746927,0,7033,11847,0
1712324748006,0,6145,5724,0
1712324749085,0,5792,5314,0
1712324750167,0,5792,6712,0
1712324751247,0,5575,1813,0
1712324751967,0,5575,3726,0
1712324753045,0,5145,5689,0
1712324754124,0,5043,7113,0
1712324755204,0,4949,5324,0
1712324755925,0,4794,5513,0
1712324757006,0,4794,13507,70
1712324758086,0,4560,6143,68
1712324759166,0,4363,24728,68
1712324760243,0,4323,58186,68
1712324760964,0,4317,39377,66
1712324762046,0,4266,29996,66
1712324763126,0,4197,27754,67
1712324764205,0,4188,23592,67
1712324764926,0,4152,23589,67
1712324766006,0,4126,22531,68
1712324767084,0,4161,24224,68
1712324768164,0,4135,32086,68
1712324769246,0,4161,11617,55
1712324769964,0,4171,0,68
1712324771044,0,4184,0,0
1712324772124,0,4741,0,0
1712324773206,0,6389,0,0
1712324773926,0,6512,0,0
1712324775005,0,6519,0,0
1712324776086,0,7084,0,0
1712324777166,0,7714,0,0
1712324778245,0,7439,0,0
1712324778965,0,7610,0,0
1712324780045,0,7610,574,0
1712324781123,0,7611,51894,0
1712324782205,0,7611,23657,0
1712324782925,0,7548,18175,0
1712324784005,0,7577,23341,0
1712324785083,0,7677,30941,0
1712324786165,0,7640,0,0
1712324787243,0,7715,0,0
1712324787965,0,7658,0,0
1712324789045,0,7610,0,0
1712324790125,0,7677,0,0
1712324791205,0,7724,0,0
1712324791925,0,7646,0,0
1712324793005,0,7534,0,0
1712324794085,0,7534,0,0
1712324795166,0,7676,0,0
1712324796246,0,7694,0,0
1712324796965,0,7723,0,0
1712324798044,0,7660,0,0
1712324799126,0,7651,0,0
1712324800204,0,7651,0,0
1712324800926,0,7651,0,0
1712324802002,0,7599,0,0
1712324803084,0,7592,0,0
1712324804164,0,7520,0,0
1712324805243,0,7425,0,0
1712324805964,0,7350,0,0
1712324807043,0,7350,0,0
1712324808125,0,7134,0,0
1712324809203,0,7035,0,0
1712324809925,0,6906,0,66
1712324811005,0,6810,12276,66
1712324812082,0,6714,11325,66
1712324813163,0,6677,55711,65
1712324814244,0,6630,45083,66
1712324814964,0,6605,33796,66
1712324816043,0,6568,29155,66
1712324817123,0,6546,19200,66
1712324818205,0,6911,18743,67
1712324818923,0,7448,18665,69
1712324820005,0,7375,17145,70
1712324821083,0,7066,22658,70
1712324822164,0,7145,20153,68
1712324823244,0,7215,28129,67
1712324823965,0,6977,1119,71
1712324825045,0,6806,39549,71
1712324826121,0,6653,0,70
1712324827202,0,6660,28920,70
1712324827921,0,6646,19052,69
1712324829001,0,6545,13850,69
