UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1713276947289,0,0,0,0
1713276948009,0,0,0,0
1713276949089,0,0,0,0
1713276950169,0,0,0,0
1713276951249,0,0,0,0
1713276951970,0,3630,17706,0
1713276953050,0,3630,13034,0
1713276954130,0,3630,65388,0
1713276955210,0,3630,43518,0
1713276956298,0,3630,39114,0
1713276957010,0,3630,65277,0
1713276958090,0,3220,32618,0
1713276959170,0,3215,32340,0
1713276960250,0,3226,24919,0
1713276960970,0,3269,0,0
1713276962050,0,3242,0,0
1713276963130,0,3242,0,0
1713276964210,0,8792,0,0
1713276965299,0,8792,0,0
1713276966011,0,9940,0,0
1713276967090,0,9940,0,0
1713276968170,96,9940,0,0
1713276969251,96,9940,0,0
1713276969971,96,9616,0,0
1713276971050,96,9464,0,0
1713276972130,96,9464,0,0
1713276973212,97,9482,0,0
1713276974290,97,9483,0,0
1713276975010,97,9471,0,0
1713276976090,97,9453,0,0
1713276977170,96,9431,0,0
1713276978250,96,9383,17543,0
1713276978970,96,9361,63869,0
1713276980050,94,9331,55068,0
1713276981132,92,9309,44716,0
1713276982211,90,9275,38039,0
1713276983290,88,9270,33219,0
1713276984010,87,9271,23502,0
1713276985092,85,9255,22390,0
1713276986171,84,9250,14980,0
1713276987251,82,9261,10392,0
1713276987971,81,9275,9731,0
1713276989051,79,9321,6454,0
1713276990131,77,9346,4714,85
1713276991211,76,9387,4043,85
1713276992293,75,9403,3146,85
1713276993013,75,9419,2808,85
1713276994091,75,9444,2613,85
1713276995171,75,9454,2227,86
1713276996253,76,9478,2304,86
1713276996971,76,9490,2281,86
1713276998051,75,9511,2285,85
1713276999131,75,9524,2217,86
1713277000211,75,9553,2001,86
1713277001293,74,9565,1980,86
1713277002013,74,9580,1713,86
1713277003091,74,9613,1784,86
1713277003828,74,9626,1787,85
1713277004906,75,9648,1750,85
1713277005626,75,9658,1704,85
1713277006707,76,9670,1608,85
1713277007786,76,9677,1547,85
1713277008866,76,9685,1594,85
1713277009946,76,9701,1437,85
1713277010666,76,9709,1490,85
1713277011747,76,9728,1472,85
1713277012827,76,9730,1724,84
1713277013906,76,9733,3275,84
1713277014627,76,9736,4688,84
1713277015709,76,9744,36929,85
1713277016788,76,9755,52628,87
1713277017868,76,9763,59029,89
1713277018950,76,9763,10671,90
1713277019669,76,9881,13450,0
1713277020748,76,10002,14673,0
1713277021826,76,10072,16436,0
1713277022906,76,10092,31037,0
1713277023628,76,10125,0,0
1713277024709,76,10135,0,0
1713277025788,0,10135,0,0
1713277026868,0,10080,0,0
1713277027946,0,10183,0,0
1713277028668,0,10183,0,91
1713277029749,0,10105,0,0
1713277030828,0,10109,0,0
1713277031907,0,10109,0,0
1713277032628,0,9993,0,0
1713277033706,0,9944,0,0
1713277034788,0,10032,0,0
1713277035866,0,10061,0,0
1713277036949,0,10061,0,0
1713277037669,0,10011,26717,0
1713277038749,0,9986,34699,0
1713277039829,0,9974,31375,98
1713277040909,0,9977,2599,97
1713277041629,0,9989,20821,0
1713277042709,0,10013,10306,0
1713277043789,0,10236,52932,0
1713277044869,0,10236,9434,88
1713277045949,0,10299,30324,88
1713277046667,0,10294,24577,87
1713277047749,0,10298,10212,0
1713277048829,0,10243,20863,0
1713277049909,0,10264,6192,0
1713277050630,0,10373,6640,0
1713277051709,0,10149,7741,0
1713277052788,0,10149,11897,0
1713277053867,0,10090,8855,0
1713277054949,0,10115,10275,0
1713277055669,0,10208,10174,0
1713277056751,0,10208,7968,0
1713277057829,0,10041,4556,91
1713277058909,0,10047,7326,91
1713277059629,0,10041,8041,0
1713277060709,0,9994,7267,0
1713277061791,0,9975,3286,0
1713277062870,0,9975,7709,0
1713277063949,0,9975,6706,0
1713277064670,0,9975,5001,0
1713277065752,0,9942,5368,0
1713277066831,0,9942,5314,0
1713277067908,0,10000,5830,0
1713277068628,0,10109,4359,0
1713277069708,0,10109,9526,0
1713277070790,0,10080,5142,0
1713277071871,0,10155,5729,0
1713277072950,0,10214,3701,0
1713277073668,0,10207,15936,0
1713277074750,0,10024,35126,0
1713277075830,0,9715,9563,0
1713277076910,0,9672,29775,0
1713277077630,0,9621,31037,0
1713277078708,0,9767,0,0
1713277079790,0,9767,0,0
1713277080871,0,9767,0,0
1713277081950,0,9767,0,0
1713277082670,0,9693,0,0
1713277083751,0,9690,0,0
1713277084830,82,9833,0,0
1713277085911,82,9833,0,0
1713277086631,81,9840,0,0
1713277087711,80,9855,0,0
1713277088791,80,9866,0,0
1713277089871,80,9881,0,0
1713277090951,81,9897,0,89
1713277091671,82,9907,4500,87
1713277092750,82,9914,39399,88
1713277093830,83,10012,28954,89
1713277094910,84,10012,22603,88
1713277095630,85,9988,21087,86
1713277096710,88,9996,18866,87
1713277097788,92,9991,14740,90
1713277098870,92,9985,13847,89
1713277099950,92,9991,12910,81
1713277100670,93,9997,12526,81
1713277101749,94,9999,9382,81
1713277102832,94,9997,7039,78
1713277103910,95,9998,4769,77
1713277104631,95,10003,4556,78
1713277105710,95,10004,3682,79
1713277106793,95,10008,3589,77
1713277107867,95,10016,3333,76
1713277108949,95,10019,3626,76
1713277109669,94,10015,3614,77
1713277110749,93,10010,3328,76
1713277111829,93,10010,3304,76
1713277112909,92,10014,3022,76
1713277113629,92,10016,2829,77
1713277114710,91,10008,2420,75
1713277115791,91,10056,3446,75
1713277116872,91,10036,4102,76
1713277117949,86,10033,5280,77
1713277118670,83,10033,8642,74
1713277119750,80,10044,9720,73
1713277120831,80,10048,10400,75
1713277121910,83,10047,10139,74
1713277122630,83,10054,9860,73
1713277123710,84,10022,9292,75
1713277124790,85,10019,6191,77
1713277125868,87,10019,4635,75
1713277126951,87,10040,3084,74
1713277127670,85,10041,4177,75
1713277128750,86,10038,4279,76
1713277129828,87,10035,4716,74
1713277130910,88,10037,4755,74
1713277131628,89,10046,5008,74
1713277132710,88,10046,4949,74
1713277133790,88,10041,4308,73
1713277134871,89,10035,4426,73
1713277135950,91,10019,3948,74
1713277136670,92,10014,3883,74
1713277137750,93,10005,3324,72
1713277138829,92,9998,3214,73
1713277139910,93,9996,2677,74
