UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1715178590434,0,0,0,0
1715178591154,0,0,0,0
1715178592234,0,0,0,0
1715178593314,0,0,0,0
1715178594395,0,0,0,0
1715178595115,0,0,0,0
1715178596195,0,0,8256,0
1715178597277,0,7109,25877,0
1715178598356,0,7069,20508,0
1715178599435,0,7222,53468,0
1715178600155,0,7222,53468,0
1715178600904,0,7222,53468,0
1715178601982,0,13619,40534,0
1715178603063,0,20852,48641,0
1715178603773,0,19594,2238,0
1715178604850,0,24515,6506,0
1715178605930,0,24515,63606,0
1715178607008,0,24515,27305,0
1715178608090,0,24629,0,0
1715178608808,0,25326,0,0
1715178609892,0,23826,0,0
1715178610970,0,22779,0,0
1715178612047,0,22759,0,0
1715178612766,0,22759,0,0
1715178613847,0,22759,0,0
1715178614931,0,24193,0,0
1715178616011,0,10263,0,0
1715178617089,0,7374,0,0
1715178617809,0,7374,0,0
1715178618891,0,7374,0,0
1715178619971,0,7760,0,0
1715178621049,0,7627,0,0
1715178621772,0,7650,0,0
1715178622850,0,7756,0,0
1715178623929,0,7725,0,0
1715178625006,0,7536,0,0
1715178626088,0,7501,0,0
1715178626808,0,8065,0,0
1715178627888,0,8973,0,0
1715178628967,0,9318,0,0
1715178630047,0,9318,0,0
1715178630768,0,9667,0,0
1715178631850,0,8641,0,0
1715178632928,0,8641,0,0
1715178634008,0,7534,0,0
1715178635085,0,7534,0,0
1715178635805,0,7534,0,0
1715178636885,0,7534,0,0
1715178637970,0,7536,0,0
1715178639048,0,7537,0,0
1715178639769,0,7537,0,0
1715178640849,0,7537,0,0
1715178641929,0,7550,0,0
1715178643008,0,7551,38105,0
1715178644088,0,7544,43500,0
1715178644808,0,7540,33580,0
1715178645888,0,7544,26891,0
1715178646971,0,7552,23052,0
1715178648051,0,7555,19708,0
1715178648769,0,7499,20252,0
1715178649848,0,7616,16959,0
1715178650929,0,7693,18207,0
1715178652009,0,7575,21914,0
1715178653087,0,7507,26688,0
1715178653807,0,7349,42773,0
1715178654890,0,7301,0,0
1715178655968,0,7368,0,0
1715178657050,0,7368,0,0
1715178657768,0,7623,0,0
1715178658850,0,7623,0,0
1715178659930,0,7623,0,0
1715178661008,0,7577,0,0
1715178662090,0,7588,0,0
1715178662810,0,7599,0,0
1715178663890,0,7603,46326,0
1715178664970,0,7593,22356,0
1715178666050,0,7578,18440,0
1715178666768,0,7546,54610,0
1715178667850,0,7541,0,0
1715178668929,0,7547,26912,0
1715178670012,0,7542,55109,0
1715178671090,0,7531,39573,0
1715178671810,0,7542,39573,0
1715178672891,0,7540,39573,0
1715178673969,0,7504,39573,0
1715178675047,92,7499,37241,0
1715178675769,93,7499,44114,0
1715178676847,97,7494,0,0
1715178677927,97,7480,0,0
1715178679007,96,7480,55760,0
1715178680087,94,7460,62663,0
1715178680809,92,7447,47353,60
1715178681887,90,7441,37590,60
1715178682967,88,7427,30167,59
1715178684047,87,7427,25504,60
1715178684769,86,7423,18296,61
1715178685847,85,7425,14546,61
1715178686927,85,7433,10531,62
1715178688009,85,7434,7526,64
1715178689089,85,7440,7379,65
1715178689809,86,7450,6273,67
1715178690889,86,7456,4372,66
1715178691969,87,7460,4064,63
1715178693049,87,7465,3047,58
1715178693767,88,7466,2944,57
1715178694847,88,7467,2680,57
1715178695927,88,7470,2508,57
1715178697007,87,7479,2760,57
1715178698086,87,7490,2954,57
1715178698806,86,7506,3785,58
1715178699886,86,7506,3964,59
1715178700966,85,7504,5425,58
1715178702046,85,7505,5670,58
1715178702766,84,7506,5839,58
1715178703848,83,7506,9642,56
1715178704928,83,7508,10638,56
1715178706008,84,7515,5867,56
1715178707086,84,7512,5905,56
1715178707808,84,7510,5214,56
1715178708889,85,7518,3963,0
1715178709970,0,7489,3109,0
1715178711047,0,7473,3540,0
1715178711767,0,7487,3702,0
1715178712847,0,7505,4598,0
1715178713927,0,7571,6252,0
1715178715007,0,7571,0,0
