UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1716212738678,0,0,0,0
1716212739398,0,0,0,0
1716212740478,0,0,0,0
1716212741558,0,0,0,0
1716212742640,0,0,0,0
1716212743358,0,0,0,0
1716212744438,0,0,0,0
1716212745521,0,3558,19343,0
1716212746608,0,4928,10537,0
1716212747679,0,4928,7874,0
1716212748057,0,8346,52877,0
1716212749137,0,9766,50345,0
1716212750212,0,9766,13780,0
1716212751293,0,9766,13780,0
1716212752011,0,9766,13780,0
1716212753099,0,9818,55027,0
1716212754179,0,7945,47477,0
1716212755264,0,9899,11503,0
1716212756349,0,9899,11503,0
1716212757053,0,9899,11503,0
1716212758131,0,9899,11503,0
1716212759218,0,9880,0,0
1716212760298,0,9291,0,0
1716212761027,0,9924,0,0
1716212762093,0,9924,0,0
1716212763171,0,9924,0,0
1716212764250,0,9924,0,0
1716212765335,0,9924,0,0
1716212766055,0,11264,0,0
1716212767133,0,12540,0,0
1716212768215,0,12540,0,0
1716212769297,0,12540,0,0
1716212770015,0,12596,0,0
1716212771095,0,12615,0,0
1716212772171,0,13421,0,0
1716212773253,0,14228,0,0
1716212774332,0,14870,0,0
1716212775051,0,14797,0,0
1716212776132,0,15580,0,0
1716212777211,0,15580,0,0
1716212778293,0,15208,0,0
1716212779013,0,14935,0,0
1716212780093,0,14935,0,0
1716212781173,0,14935,0,0
1716212782253,0,14468,0,0
1716212783333,0,13937,0,0
1716212784055,0,13733,0,0
1716212785133,0,13745,0,0
1716212786213,0,13745,0,0
1716212787294,0,14234,0,0
1716212788014,0,12997,0,0
1716212789092,0,12997,0,0
1716212790177,0,12997,0,0
1716212791254,0,13121,0,0
1716212792334,0,13153,0,0
1716212793054,0,13241,0,0
1716212794134,97,13241,0,0
1716212795212,97,13224,26880,0
1716212796292,97,13360,30513,0
1716212797016,97,13360,23364,0
1716212798091,97,13360,20450,0
1716212799172,98,13360,17169,0
1716212800252,98,13360,13632,0
1716212801333,98,13420,12457,0
1716212802054,98,13420,8469,0
1716212803133,98,13508,7432,0
1716212804213,97,13589,4547,0
1716212805293,97,13629,3491,0
1716212806013,97,13629,3518,0
1716212807093,97,13625,3019,0
1716212808173,96,13677,3138,0
1716212809255,96,13677,3028,0
1716212810333,96,13711,2639,0
1716212811053,96,13711,2732,0
1716212812133,96,13746,2456,0
1716212813213,96,13755,2502,0
1716212814293,94,13774,41052,0
1716212815011,92,13782,36094,0
1716212816092,91,13795,57835,0
1716212817171,90,13797,2432,0
1716212818251,90,13818,2338,0
1716212819333,91,13823,2206,57
1716212820052,92,13835,2176,57
1716212821131,92,13841,2455,57
1716212822212,94,13871,2158,58
1716212823292,94,13899,2052,58
1716212824010,94,13919,1961,58
1716212825090,92,13943,1828,58
1716212826170,92,13974,1889,60
1716212827250,90,13996,1552,60
1716212828332,89,14017,1473,60
1716212829051,88,14017,1300,60
1716212830130,88,14011,1532,59
1716212831210,89,14011,1669,59
1716212832290,89,13999,1893,59
1716212833010,88,14003,1768,59
1716212834090,88,14018,1775,58
1716212835171,88,14019,1834,58
1716212836251,88,14008,1594,58
1716212837331,88,13982,1522,59
1716212838051,88,13958,1291,59
1716212839131,88,13935,1157,59
1716212840211,88,13935,1116,59
1716212841291,88,13923,1052,58
1716212842011,88,13904,1113,58
1716212843091,89,13882,1115,59
1716212844171,89,13859,1088,58
1716212845251,89,13849,1100,58
1716212846331,88,13855,1114,58
1716212847053,88,13843,1024,57
1716212848133,88,13842,1178,58
1716212849213,88,13838,1292,57
1716212850291,88,13840,1253,57
1716212851013,88,13859,1277,57
1716212852091,88,13859,1431,57
1716212853170,88,13892,1519,57
1716212854251,88,13940,1494,57
1716212855332,88,13940,1873,57
1716212856052,88,13974,5698,58
1716212857132,87,13996,6590,58
1716212858213,87,14021,3273,58
1716212859292,87,14033,4932,58
1716212860010,87,14034,2718,58
1716212861090,88,14043,2848,57
1716212862170,88,14048,2451,57
1716212863250,88,14052,2347,58
1716212864332,88,14053,2325,57
1716212865050,88,14047,1842,57
1716212866130,88,14041,1850,57
1716212867210,88,14039,2075,57
1716212868290,89,14044,1954,56
1716212869010,89,14048,2015,56
1716212870090,88,14075,1723,56
1716212871171,88,14075,1721,56
1716212872251,88,14084,2795,57
1716212873331,88,14084,4184,57
1716212874051,87,14068,6099,58
1716212875131,87,13944,8201,60
1716212876211,88,13955,8471,61
1716212877291,90,13955,8585,59
1716212878011,90,13938,8572,59
1716212879091,89,13954,8168,59
1716212880169,88,14012,6328,60
1716212881249,87,14024,4336,60
1716212882331,86,14038,3034,60
1716212883049,86,14037,1679,60
1716212884130,86,14016,1616,60
1716212885212,86,14050,1546,60
1716212886292,86,14760,9983,61
1716212887010,87,15048,15042,60
1716212888092,87,15120,17520,60
1716212889170,87,15043,21000,0
1716212890251,86,13965,26230,0
1716212891328,86,13965,26230,0
1716212892048,86,13965,26230,0
1716212893131,86,13965,26230,0
