UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720456604626,0,0,0,0
1720456605346,0,0,0,0
1720456606425,0,0,0,0
1720456607505,0,0,0,0
1720456608585,0,0,0,0
1720456609305,0,4883,16256,0
1720456610385,0,4885,32123,0
1720456611465,0,4808,25832,0
1720456612545,0,4808,8292,0
1720456613274,0,4808,9950,0
1720456613994,0,4642,45206,0
1720456615074,0,4688,35064,0
1720456616154,0,3452,29104,0
1720456617235,0,9156,14057,0
1720456617954,0,9019,0,0
1720456619034,0,9019,0,0
1720456620114,0,9121,0,0
1720456621194,96,8995,0,0
1720456622274,96,8187,0,0
1720456622994,96,8187,0,0
1720456624074,97,7753,0,0
1720456625154,97,7649,0,0
1720456626234,97,7618,0,0
1720456626955,96,7617,0,0
1720456628035,97,7607,0,0
1720456629114,97,7608,36252,0
1720456630195,96,7607,16391,0
1720456631275,97,7587,59351,0
1720456631994,97,7562,27791,0
1720456633074,96,7553,13450,0
1720456634153,96,7550,3658,0
1720456635234,95,7530,48248,0
1720456635954,95,7514,45491,0
1720456637034,94,7510,31397,0
1720456638114,93,7510,21513,0
1720456639194,92,7494,20429,0
1720456640274,92,7484,14118,0
1720456640994,91,7492,9661,0
1720456642074,91,7499,9249,0
1720456643154,91,7496,6697,0
1720456644234,90,7492,4499,57
1720456644954,90,7494,3770,0
1720456646034,90,7494,2830,0
1720456647114,90,7476,2992,0
1720456648194,90,7405,2962,0
1720456649274,91,7464,2385,0
1720456649994,91,7451,2680,0
1720456651073,91,7451,3039,0
1720456652153,91,7646,0,0
1720456653234,91,7506,0,0
1720456653953,0,7506,0,57
1720456655034,0,7506,0,57
1720456656114,0,7387,0,0
1720456657193,0,7533,0,0
1720456658274,0,7682,0,0
1720456658994,0,7657,0,0
1720456660074,0,7598,0,0
1720456661155,0,7612,0,0
1720456662234,0,7650,0,0
1720456662954,0,7649,0,56
1720456664034,0,7706,0,56
1720456665114,0,7725,0,0
1720456666194,0,7734,0,0
1720456667274,0,7693,0,0
1720456667994,0,7675,0,0
1720456669075,0,7675,0,0
1720456670153,0,7703,58141,0
1720456671233,0,7764,28114,0
1720456671953,0,7745,28114,0
1720456673033,0,7731,0,60
1720456674113,0,7699,0,60
1720456675193,0,7659,0,60
1720456676273,0,7624,0,60
1720456676993,95,7597,11128,59
1720456678074,95,7577,40680,60
1720456679153,95,7524,40680,60
1720456680234,95,7506,40680,59
1720456680954,95,7503,40680,58
1720456682034,95,7485,40680,58
1720456683114,95,7482,27240,58
1720456684194,95,7490,0,58
1720456685274,95,7510,0,57
1720456685994,95,7510,7008,57
1720456687074,95,7521,6158,56
1720456688154,95,7533,4441,56
1720456689233,94,7541,3796,56
1720456689953,94,7538,32943,56
1720456691033,93,7530,15730,56
1720456692113,92,7526,20072,56
1720456693193,92,7521,4614,56
1720456694273,91,7507,10454,56
1720456694994,91,7489,9302,56
1720456696073,91,7483,2872,55
1720456697153,91,7474,4914,55
1720456698233,91,7476,4700,55
1720456698953,91,7476,2009,55
1720456700033,91,7503,5138,54
1720456701114,90,7546,8670,54
1720456702193,90,7555,9964,54
1720456703274,90,7569,10611,55
1720456703994,90,7576,11057,55
1720456705074,90,7595,11065,56
1720456706154,90,7622,10338,56
1720456707234,90,7628,8241,55
1720456707953,90,7621,6440,56
1720456709033,90,7601,6777,55
1720456710113,90,7598,6878,54
1720456711193,91,7604,7017,55
1720456712273,91,7636,6895,56
1720456712993,91,7667,6638,57
1720456714073,91,7676,6391,57
1720456715153,91,7676,5497,57
