UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720643826308,0,0,0,0
1720643827028,0,0,0,0
1720643828108,0,0,0,0
1720643829188,0,0,0,0
1720643829917,0,6561,0,0
1720643830636,0,6561,52216,0
1720643831716,0,6561,43669,0
1720643832796,0,6557,11952,0
1720643833876,0,6558,36180,0
1720643834956,0,6560,60728,0
1720643835676,0,6560,4521,0
1720643836756,0,6559,46,0
1720643837837,0,6560,45012,0
1720643838916,0,6560,5462,0
1720643839635,0,6559,49690,0
1720643840715,0,6556,38990,0
1720643841795,0,6557,26910,0
1720643842875,0,6554,20754,0
1720643843956,0,6552,51604,0
1720643844676,0,6565,61425,0
1720643845754,0,6568,0,0
1720643846835,0,6564,0,0
1720643847915,0,6561,0,0
1720643848635,0,6561,0,0
1720643849715,0,6560,0,0
1720643850795,0,6560,0,0
1720643851875,0,6562,0,0
1720643852955,0,6562,0,0
1720643853674,0,6562,8790,0
1720643854754,0,6561,9219,0
1720643855834,0,6562,7457,0
1720643856914,0,6562,6043,0
1720643857634,0,6561,5256,0
1720643858714,0,6561,4642,0
1720643859794,0,6561,4239,0
1720643860874,0,6562,3295,0
1720643861954,0,6562,2279,0
1720643862673,0,6562,2189,0
1720643863753,0,6561,2168,0
1720643864834,0,6561,1749,0
1720643865913,0,6561,1635,0
1720643866633,0,6562,1643,0
1720643867713,0,6563,1601,0
1720643868794,0,6563,1463,0
1720643869873,0,6562,1517,0
1720643870952,0,6563,1447,0
1720643871673,0,6562,1458,0
1720643872753,0,6563,1443,0
1720643873833,0,6564,1443,0
1720643874913,0,6564,1505,0
1720643875633,0,6564,1464,0
1720643876713,0,6565,1398,0
1720643877792,0,6565,1313,0
1720643878872,0,6565,1291,0
1720643879952,0,6565,1271,0
1720643880672,0,6565,1209,0
1720643881752,0,6566,1170,0
1720643882832,0,6566,1161,0
1720643883912,0,6566,1152,0
1720643884632,0,6566,1138,0
1720643885711,0,6569,1288,0
1720643886791,0,6626,6898,0
1720643887871,0,5903,8029,0
1720643888951,0,5903,9607,0
1720643889671,0,5903,13680,0
1720643890752,0,5082,19124,0
1720643891831,0,9349,62581,0
1720643892911,0,10026,35058,0
1720643893630,0,8435,58853,0
1720643894711,0,8435,49621,0
1720643895791,0,9330,39966,0
1720643896871,0,9934,1921,0
1720643897951,0,9934,19266,0
1720643898671,0,9934,19035,0
1720643899751,0,9967,34484,0
1720643900479,0,9967,60786,0
1720643901559,0,9968,0,0
1720643902279,0,9968,0,0
1720643903360,0,9968,0,0
1720643904439,0,9985,0,0
1720643905519,0,9774,0,0
1720643906599,0,9946,0,0
1720643907319,0,9854,0,0
1720643908400,0,9854,0,0
1720643909478,0,9854,0,0
1720643910558,0,9854,0,0
1720643911278,0,9966,0,0
1720643912358,0,9977,0,0
1720643913439,0,9381,26583,0
1720643914519,0,9600,21050,0
1720643915599,0,9828,28754,0
1720643916319,0,9828,12012,0
1720643917398,0,9965,6949,0
1720643918478,0,9965,14755,0
1720643919558,0,9965,6412,0
1720643920278,0,9965,8236,0
1720643921358,0,9964,3821,0
1720643922438,0,9963,6398,0
1720643923518,0,9964,60650,0
1720643924598,0,9963,54493,0
1720643925317,0,9963,45239,0
1720643926397,0,9964,41221,0
1720643927477,0,9964,35947,0
1720643928557,0,9964,30944,0
1720643929278,0,9964,28400,0
1720643930357,0,9963,25018,0
1720643931437,0,9963,18980,0
1720643932517,0,9964,17132,0
1720643933597,0,9963,10889,0
1720643934316,0,9964,10222,0
1720643935396,0,9964,10845,66
1720643936476,0,9964,10740,66
1720643937557,0,9964,17874,66
1720643938277,0,9964,20264,67
1720643939357,0,9964,23821,66
1720643940437,0,9964,30200,67
1720643941517,0,9964,40127,67
1720643942596,0,9964,62360,66
1720643943316,0,9964,5269,66
1720643944396,0,9964,4459,67
1720643945476,0,9964,32111,68
1720643946556,0,9964,31408,66
1720643947276,0,9964,27163,66
1720643948356,0,9964,23232,67
1720643949436,0,9964,19139,67
1720643950515,0,9964,17627,66
1720643951595,0,9964,16484,67
1720643952315,0,9964,13698,68
1720643953395,0,9964,13301,66
1720643954475,0,9964,11633,65
1720643955555,0,9964,9473,66
1720643956275,0,9964,7360,67
1720643957355,0,9965,5173,68
1720643958434,0,9969,9924,70
1720643959514,0,9846,11373,73
1720643960594,0,9818,13657,74
1720643961315,0,9816,20157,73
1720643962394,0,9848,29940,71
1720643963475,0,9855,58132,71
1720643964555,0,9870,0,71
1720643965275,0,9883,0,73
1720643966355,0,9910,41611,74
1720643967434,0,9935,21785,75
1720643968514,0,9931,17026,75
1720643969594,0,9925,12988,77
1720643970314,0,9923,10491,78
1720643971394,0,9908,9868,77
1720643972474,0,9876,7876,77
1720643973554,0,9890,8344,76
1720643974274,0,9866,7493,77
1720643975354,0,9843,8332,77
1720643976083,0,9855,8437,78
