UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1719085528752,0,0,0,0
1719085529472,0,0,0,0
1719085530552,0,0,0,0
1719085531632,0,0,0,0
1719085532712,0,0,0,0
1719085533432,0,0,0,0
1719085534512,0,8554,12666,0
1719085535592,0,8623,7767,0
1719085536672,0,8777,51340,0
1719085537400,0,8566,27129,0
1719085538120,0,8257,19447,0
1719085539200,0,8100,40693,0
1719085540281,0,8495,3191,0
1719085541361,0,8491,25264,0
1719085542080,0,8491,10664,0
1719085543161,0,8491,0,0
1719085544241,96,8390,0,0
1719085545321,97,8408,0,0
1719085546401,97,8420,0,73
1719085547121,97,8437,0,73
1719085548201,96,8452,31751,73
1719085549281,96,8474,38906,71
1719085550361,96,8487,32802,71
1719085551081,96,8518,25796,72
1719085552161,96,8529,21675,72
1719085553241,96,8522,19565,71
1719085554320,96,8516,17695,67
1719085555400,96,8515,15084,66
1719085556120,96,8517,10453,67
1719085557200,96,8520,9103,66
1719085558280,96,8518,8367,66
1719085559360,96,8513,5580,65
1719085560080,96,8505,5120,65
1719085561160,96,8501,4174,66
1719085562240,96,8498,2942,66
1719085563320,96,8482,2744,66
1719085564401,96,8475,2411,65
1719085565120,96,8474,2419,65
1719085566200,96,8475,2479,64
1719085567281,96,8480,2448,64
1719085568361,96,8485,2355,64
1719085569081,96,8490,2271,64
1719085570160,96,8491,2012,64
1719085571240,96,8497,1585,64
1719085572320,96,8501,1374,64
1719085573400,96,8495,1251,65
1719085574120,96,8512,1289,65
1719085575200,96,8526,1296,66
1719085576280,96,8531,1317,65
1719085577360,96,8548,1353,65
1719085578080,96,8566,1903,66
1719085579160,96,8572,2310,66
1719085580240,96,8579,2540,65
1719085581320,96,8583,2635,66
1719085582400,96,8588,2634,67
1719085583120,96,8586,2637,67
1719085584200,95,8586,2303,67
1719085585280,95,8588,1976,66
1719085586361,94,8585,1511,66
1719085587079,93,8582,1314,67
1719085588160,92,8579,1329,67
1719085589239,91,8579,1268,67
1719085590319,91,8565,1313,68
1719085591400,91,8558,1181,68
1719085592119,93,8547,1205,67
1719085593200,94,8538,1266,66
1719085594280,95,8533,1361,66
1719085595360,96,8530,35897,65
1719085596080,96,8531,40186,65
1719085597160,96,8534,20260,64
1719085598240,96,8540,1602,64
1719085599320,96,8541,1638,64
1719085600400,96,8539,1662,65
1719085601120,96,8541,1642,65
1719085602200,96,8539,1795,65
1719085603280,96,8537,1871,64
1719085604359,96,8535,1888,64
1719085605079,96,8535,1825,63
1719085606160,96,8537,1851,63
1719085607239,96,8536,1842,64
1719085608319,96,8543,1641,64
1719085609400,96,8555,5099,65
1719085610119,96,8571,8830,65
1719085611199,96,8599,5134,65
1719085612279,96,8627,2084,65
1719085613359,96,8630,3545,66
1719085614079,96,8646,4645,66
1719085615159,96,8655,1785,66
1719085616240,96,8652,2664,66
1719085617320,96,8639,1604,65
1719085618400,96,8633,1900,65
1719085619120,96,8627,1618,65
1719085620200,96,8627,1621,66
1719085621279,96,8625,1775,68
1719085622359,96,8618,1838,68
1719085623079,96,8615,1870,68
1719085624159,96,8615,1731,67
1719085625239,96,8615,1757,66
1719085626319,96,8609,1857,65
1719085627399,95,8602,1526,65
1719085628119,95,8595,1222,64
1719085629199,95,8593,1354,64
1719085630279,95,8591,5682,64
1719085631359,95,8580,9056,64
1719085632080,94,8576,14389,64
1719085633159,94,8573,14641,65
1719085634239,94,8575,15250,66
1719085635319,94,8583,15629,66
1719085636399,94,8594,15573,67
1719085637119,94,8602,12996,66
1719085638198,94,8604,9899,66
1719085639279,94,8602,6305,67
1719085640359,94,8613,5495,68
1719085641079,95,8633,2979,69
1719085642159,95,8652,4546,69
1719085643239,95,8669,5347,71
1719085644319,95,8693,7118,71
1719085645399,95,8698,7464,70
