UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1719525321358,0,0,0,0
1719525322078,0,0,0,0
1719525323158,0,0,0,0
1719525324237,0,0,0,0
1719525325317,0,0,0,0
1719525326037,0,0,0,0
1719525327117,0,0,8326,0
1719525327846,0,9053,2203,0
1719525328926,0,9063,855,0
1719525330006,0,9064,52984,0
1719525330726,0,9082,14580,0
1719525331806,0,9082,53591,0
1719525332886,0,9159,7767,0
1719525333967,0,9192,64837,0
1719525334686,0,9192,59456,0
1719525335766,97,9278,36839,65
1719525336846,96,9305,19684,65
1719525337926,97,9323,55205,66
1719525339006,97,9334,18901,68
1719525339725,97,9339,9997,66
1719525340805,97,9338,47476,64
1719525341885,97,9340,19626,61
1719525342966,97,9338,3079,60
1719525343685,97,9338,37432,59
1719525344765,97,9333,16986,58
1719525345845,97,9325,65000,57
1719525346926,97,9314,29663,57
1719525348006,97,9297,15933,57
1719525348726,97,9280,5283,58
1719525349805,97,9261,39151,58
1719525350884,97,9243,37703,57
1719525351965,97,9231,27175,58
1719525352685,97,9229,17437,58
1719525353765,97,9232,16663,58
1719525354845,97,9234,11653,56
1719525355925,97,9231,7602,55
1719525357005,97,9230,7312,55
1719525357725,97,9233,5253,55
1719525358805,97,9233,3728,55
1719525359885,97,9225,3544,55
1719525360965,97,9214,2610,55
1719525361685,97,9209,2162,56
1719525362764,97,9202,2171,56
1719525363844,97,9206,1636,56
1719525364924,97,9214,1720,55
1719525366004,97,9216,1744,55
1719525366724,97,9205,1686,55
1719525367804,97,9196,1663,56
1719525368884,97,9200,1570,57
1719525369964,97,9205,1456,57
1719525370684,96,9216,1227,57
1719525371764,96,9233,1160,58
1719525372845,96,9240,1295,57
1719525373924,96,9241,1274,57
1719525375004,95,9240,1427,57
1719525375724,95,9238,1643,57
1719525376804,95,9228,1742,56
1719525377884,95,9228,1844,55
1719525378964,95,9221,1881,56
1719525379684,96,9217,2083,55
1719525380764,96,9204,2010,55
1719525381844,96,9193,1897,55
1719525382924,96,9190,1840,55
1719525384004,96,9189,1877,56
1719525384724,95,9187,1760,56
1719525385805,95,9185,1725,56
1719525386883,95,9182,1771,56
1719525387963,95,9179,36124,57
1719525388683,95,9178,36550,58
1719525389763,95,9175,57758,58
1719525390843,95,9172,56500,58
1719525391923,95,9175,37165,58
1719525393003,95,9184,54456,58
1719525393723,95,9183,37445,57
1719525394803,95,9181,23372,57
1719525395883,95,9180,36945,57
1719525396964,95,9183,65089,56
1719525397682,95,9181,16003,56
1719525398763,95,9182,8534,57
1719525399842,96,9180,41036,57
1719525400923,96,9180,1222,57
1719525402003,96,9177,47162,58
1719525402723,96,9176,19863,57
1719525403803,96,9172,41383,57
1719525404883,95,9169,23428,57
1719525405963,95,9174,8838,56
1719525406683,95,9170,20205,56
1719525407763,95,9162,11327,56
1719525408843,96,9166,4881,56
1719525409922,96,9162,7780,56
1719525411002,96,9165,1861,57
1719525411723,96,9166,3652,57
1719525412802,96,9158,3366,57
1719525413882,96,9155,1468,56
1719525414962,96,9156,2096,56
1719525415682,96,9149,1863,55
1719525416762,96,9144,1519,56
1719525417843,96,9137,1613,56
1719525418922,96,9122,1794,57
1719525420002,96,9114,1478,58
1719525420723,96,9114,1298,58
1719525421801,96,9117,1319,58
1719525422881,95,9139,1202,58
1719525423962,95,9139,1239,58
1719525424682,95,9161,1055,57
1719525425762,95,9167,1068,57
1719525426842,95,9172,1091,57
1719525427922,95,9176,1054,56
1719525429002,95,9169,1132,56
1719525429722,95,9162,1121,56
1719525430802,95,9160,1417,56
1719525431882,95,9146,1531,55
1719525432610,95,9142,1559,55
1719525433330,95,9139,1670,55
1719525434410,95,9128,1776,56
1719525435490,96,9127,1784,56
1719525436570,95,9134,1914,57
1719525437650,95,9142,1807,56
1719525438371,95,9159,1899,57
1719525439451,95,9159,1941,56
1719525440531,95,9177,1994,55
1719525441611,95,9175,1920,55
1719525442331,95,9172,1816,56
1719525443411,95,9175,1701,56
1719525444490,95,9164,1728,56
1719525445570,95,9152,1494,56
1719525446650,95,9146,1310,56
1719525447370,95,9134,1290,56
1719525448450,95,9125,1303,56
1719525449530,96,9125,1345,56
1719525450610,96,9131,1191,56
1719525451330,96,9141,1270,56
1719525452410,96,9163,1298,56
1719525453490,96,9172,1280,56
1719525454570,96,9171,1319,56
1719525455649,96,9174,1243,56
1719525456369,96,9174,1319,56
1719525457449,96,9180,1324,56
1719525458529,96,9173,1340,55
1719525459609,96,9160,1296,55
1719525460329,96,9153,1305,56
1719525461409,96,9142,1131,56
1719525462489,96,9137,1197,56
1719525463570,96,9137,964,57
1719525464649,97,9137,782,57
1719525465370,96,9143,1032,57
1719525466449,96,9151,1163,57
1719525467529,96,9156,1417,57
1719525468609,96,9157,1447,57
1719525469329,96,9164,1506,57
1719525470409,96,9169,1545,56
1719525471489,95,9166,1518,56
1719525472569,95,9173,1476,56
1719525473649,95,9180,1200,55
1719525474369,95,9180,1270,55
1719525475449,95,9173,1285,55
1719525476529,95,9169,1333,55
1719525477608,95,9162,1438,55
1719525478328,95,9154,1363,56
1719525479408,95,9159,1355,56
1719525480488,95,9150,1363,56
1719525481568,95,9154,1458,56
1719525482649,95,9174,1481,57
1719525483368,95,9184,1464,57
1719525484448,95,9186,1592,57
1719525485528,94,9190,1667,57
1719525486609,94,9192,1823,57
1719525487329,94,9189,1807,56
1719525488407,94,9190,1778,56
1719525489488,94,9189,1674,56
1719525490568,94,9177,1686,56
1719525491648,95,9167,1599,56
1719525492368,95,9159,1443,56
1719525493448,95,9159,1173,55
1719525494528,95,9146,1160,56
1719525495608,96,9142,1185,56
1719525496328,96,9150,1427,56
1719525497408,96,9164,1497,56
1719525498488,95,9182,1604,56
1719525499567,95,9195,1636,56
1719525500647,95,9204,1804,56
1719525501367,95,9215,1706,56
1719525502447,95,9218,1662,56
1719525503527,95,9213,1688,55
1719525504607,95,9212,1702,55
1719525505327,95,9208,1850,55
1719525506407,95,9197,1894,55
1719525507487,95,9194,1831,56
1719525508568,95,9194,1850,55
1719525509646,95,9185,1892,55
1719525510367,95,9178,1664,56
1719525511446,95,9183,1546,55
1719525512527,95,9181,1350,55
1719525513606,95,9185,1481,55
1719525514327,95,9187,1524,55
1719525515407,95,9183,1498,55
1719525516487,95,9185,1545,55
1719525517567,95,9180,1684,55
1719525518647,95,9180,1645,55
1719525519367,95,9179,1534,55
1719525520446,95,9171,1515,55
1719525521526,95,9171,1549,55
1719525522606,95,9174,1529,55
1719525523326,95,9184,1443,55
1719525524406,95,9184,1486,55
1719525525486,95,9189,1442,56
1719525526566,95,9198,1599,55
1719525527646,95,9213,1514,55
1719525528366,95,9228,1512,55
1719525529446,95,9250,1324,55
1719525530526,96,9250,1338,55
1719525531255,96,9259,1396,55
1719525531975,96,9267,1334,55
1719525533055,96,9265,1447,54
1719525534135,96,9265,1356,55
1719525535215,96,9267,1366,55
1719525536295,95,9270,1465,54
1719525537015,95,9267,1420,54
1719525538095,95,9265,1589,54
1719525539175,95,9263,1573,54
1719525540255,95,9264,1667,54
1719525540975,95,9263,1844,55
1719525542055,95,9266,1823,55
1719525543134,96,9275,1896,55
1719525544214,96,9287,1781,55
1719525545294,96,9292,1719,55
1719525546014,96,9292,1702,55
1719525547095,96,9293,1557,55
1719525548174,96,9303,1563,55
1719525549254,96,9299,1381,55
1719525549975,96,9309,1487,55
1719525551054,96,9319,1494,54
1719525552135,96,9321,1586,54
1719525553214,96,9318,1631,54
1719525554293,96,9314,1589,54
1719525555014,96,9307,1505,54
1719525556094,95,9306,1221,54
1719525557174,95,9302,1386,54
1719525558254,95,9308,1375,55
1719525558974,95,9308,1546,55
1719525560054,95,9327,1562,54
1719525561135,96,9346,1585,54
1719525562214,96,9358,1753,54
1719525563294,96,9368,1814,54
1719525564014,96,9367,1859,54
1719525565093,97,9367,1708,54
1719525566173,97,9376,1887,53
1719525567253,97,9375,1814,53
1719525567973,97,9375,1893,53
1719525569053,97,9369,1855,53
1719525570133,97,9370,1839,53
1719525571213,97,9361,1977,53
1719525572293,97,9369,2122,54
1719525573014,97,9390,2263,54
1719525574093,97,9404,2550,54
1719525575174,97,9412,2674,55
1719525576252,97,9419,2671,54
1719525576972,97,9413,2664,54
1719525578052,97,9406,2530,53
1719525579133,97,9406,2367,53
1719525580213,97,9411,1932,52
1719525581293,97,9413,1797,52
1719525582013,97,9422,1944,52
1719525583093,97,9425,1737,52
1719525584173,97,9420,1592,51
1719525585253,97,9420,1673,52
1719525585973,96,9420,1800,51
1719525587052,96,9413,1841,52
1719525588132,96,9404,1841,52
1719525589212,96,9402,1937,52
1719525590292,96,9397,1942,53
1719525591012,96,9396,1991,53
1719525592092,96,9403,1843,54
1719525593172,96,9403,1848,53
1719525594252,96,9405,1809,53
1719525594972,96,9405,1819,53
1719525596052,96,9410,1739,53
1719525597135,96,9405,1756,52
1719525598211,96,9410,1760,52
1719525599291,96,9407,1780,52
1719525600011,97,9402,1767,52
1719525601092,97,9403,1908,52
1719525602172,97,9383,1977,52
1719525603251,97,9364,1987,53
1719525603972,97,9348,1989,54
1719525605051,97,9337,2098,55
1719525606132,97,9337,2117,55
1719525607212,97,9334,2120,55
1719525608292,97,9358,1947,55
1719525609011,97,9368,2006,55
1719525610091,97,9376,1992,54
1719525611171,97,9387,1998,54
1719525612251,96,9382,1513,55
1719525612971,96,9375,1358,55
1719525614051,96,9374,1374,55
1719525615131,96,9363,1504,55
1719525616211,96,9360,1507,55
1719525617291,96,9366,1757,55
1719525618011,96,9372,1852,55
1719525619091,96,9381,1866,55
1719525620170,96,9381,1850,55
1719525621251,96,9386,1783,55
1719525621970,96,9388,1688,55
1719525623050,96,9396,1644,55
1719525624130,96,9402,1464,56
1719525625210,97,9405,1447,56
1719525626290,97,9415,1435,56
1719525627010,97,9426,1608,56
1719525628090,97,9432,1512,56
1719525629171,97,9439,1398,55
1719525630251,96,9441,1379,54
1719525630619,96,9444,1338,54
1719525631699,96,9444,1360,53
1719525632779,96,9432,1529,53
1719525633859,96,9425,1241,52
1719525634939,96,9424,1569,52
1719525635659,96,9410,1435,52
1719525636739,96,9399,1496,52
1719525637819,96,9396,1608,53
1719525638900,96,9386,1589,54
1719525639619,97,9371,1697,54
1719525640699,97,9371,1859,54
1719525641778,97,9354,1777,54
1719525642858,97,9344,1914,54
1719525643939,96,9335,1819,54
1719525644659,96,9347,1777,53
1719525645739,96,9357,1651,53
1719525646818,96,9373,1620,52
1719525647899,96,9390,1494,52
1719525648619,96,9390,1330,52
1719525649699,96,9397,1495,52
1719525650779,96,9405,1263,52
1719525651859,96,9399,1196,53
1719525652938,96,9395,1214,53
1719525653658,97,9388,1299,53
1719525654738,97,9381,1087,53
1719525655818,96,9375,1222,53
1719525656898,96,9385,1176,53
1719525657618,96,9385,1320,52
1719525658698,96,9394,1591,52
1719525659778,96,9400,1781,52
1719525660858,96,9400,2035,51
1719525661938,96,9395,2209,51
1719525662658,96,9390,2046,51
1719525663738,96,9369,1931,51
1719525664817,96,9369,1881,51
1719525665897,96,9348,1912,51
1719525666617,96,9336,1800,52
1719525667697,96,9314,1627,52
1719525668778,96,9300,1658,53
1719525669858,96,9309,1608,53
1719525670938,96,9322,1515,54
1719525671658,96,9340,1432,54
1719525672738,97,9354,1346,54
1719525673818,97,9355,1620,54
1719525674897,97,9361,1683,54
1719525675617,97,9367,1726,54
1719525676697,97,9367,1615,54
1719525677777,97,9363,1664,53
1719525678857,97,9353,1506,53
1719525679937,96,9350,1265,53
1719525680657,96,9347,1300,53
1719525681737,96,9339,1500,54
1719525682818,96,9343,1624,53
1719525683897,96,9337,1834,53
1719525684617,96,9342,2053,53
1719525685697,96,9342,2036,53
1719525686776,96,9362,1932,53
1719525687856,96,9365,1826,53
1719525688936,96,9368,1821,53
1719525689656,96,9381,1591,53
1719525690736,97,9382,1369,53
1719525691816,97,9372,1298,53
1719525692897,97,9371,1313,53
1719525693616,97,9362,1352,53
1719525694697,97,9362,1301,54
1719525695777,97,9363,1326,54
1719525696857,96,9394,1475,54
1719525697936,96,9413,1527,54
1719525698656,96,9431,1475,54
1719525699736,96,9446,1519,55
1719525700816,96,9445,1543,55
1719525701896,96,9448,1507,55
1719525702616,97,9464,1312,54
1719525703696,97,9466,1467,53
1719525704776,97,9474,1578,53
1719525705856,97,9474,1631,52
1719525706936,97,9490,1655,51
1719525707656,97,9483,1645,52
