UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1721170436171,0,0,0,0
1721170436891,0,0,0,0
1721170437970,0,0,0,0
1721170439050,0,0,0,0
1721170439779,0,6191,0,0
1721170440499,0,6190,60442,0
1721170441579,0,6189,50017,0
1721170442659,0,6190,18072,0
1721170443739,0,6191,51595,0
1721170444819,0,6190,6105,0
1721170445539,0,6190,16211,0
1721170446619,0,6189,13922,0
1721170447700,0,6189,55080,0
1721170448779,0,6190,30021,0
1721170449498,0,6192,56927,0
1721170450578,0,6189,23035,0
1721170451658,0,6189,53814,0
1721170452738,0,6189,23011,0
1721170453819,0,6188,1891,0
1721170454538,0,6189,57291,0
1721170455617,0,6189,40618,0
1721170456697,0,6188,30482,0
1721170457778,0,6189,25540,0
1721170458497,0,6189,17454,0
1721170459578,0,6188,13285,0
1721170460658,0,6188,10936,0
1721170461738,0,6188,8152,0
1721170462817,0,6187,5969,0
1721170463537,0,6189,4073,0
1721170464617,0,6189,3069,0
1721170465697,0,6191,2505,0
1721170466777,0,6175,2776,0
1721170467497,0,6230,3364,0
1721170468577,0,6298,3768,0
1721170469657,0,6298,4058,0
1721170470736,0,6278,4118,0
1721170471816,0,6299,4121,0
1721170472536,0,6314,3783,0
1721170473616,0,6314,3430,0
1721170474697,0,6274,2749,0
1721170475776,0,6264,1870,0
1721170476496,0,6261,1777,0
1721170477575,0,6264,1711,0
1721170478655,0,6275,1714,0
1721170479735,0,6294,1757,0
1721170480815,0,6303,1722,0
1721170481535,0,6315,1773,0
1721170482615,0,6321,1827,0
1721170483695,0,6325,1944,0
1721170484775,0,6326,1783,0
1721170485495,0,6324,1771,0
1721170486575,0,6314,1679,0
1721170487655,0,6306,1655,0
1721170488735,0,6294,1659,0
1721170489815,0,6334,9216,0
1721170490535,0,5720,10736,0
1721170491615,0,5608,12859,0
1721170492694,0,5608,16055,0
1721170493774,0,9001,21373,0
1721170494494,0,9028,31955,0
1721170495574,0,8315,63711,0
1721170496654,0,8315,0,0
1721170497734,0,8099,0,0
1721170498814,0,8341,0,0
1721170499533,0,8341,0,0
1721170500613,0,7792,0,0
1721170501693,95,7792,2341,0
1721170502773,95,7792,56128,0
1721170503493,94,7792,54737,0
1721170504573,94,7769,9715,0
1721170505653,95,7749,17904,0
1721170506733,95,7767,8355,0
1721170507462,95,7820,49179,0
1721170508182,97,7820,55504,0
1721170509262,97,7870,46587,0
1721170510342,95,7900,28371,0
1721170511422,94,7919,56795,0
1721170512142,93,7934,49863,0
1721170513222,92,7956,42247,0
1721170514302,91,7956,35896,0
1721170515381,91,7974,29661,0
1721170516461,90,7991,18194,0
1721170517181,89,8003,15770,0
1721170518261,89,8016,13300,0
1721170519341,88,8032,8314,0
1721170520421,88,8047,7055,0
1721170521141,87,8065,5902,0
1721170522221,87,8081,3786,0
1721170523300,87,8097,2981,0
1721170524380,87,8097,2744,0
1721170525460,87,8164,2741,0
1721170526181,88,8040,3139,0
1721170527260,88,8018,3518,0
1721170528341,88,8018,5854,0
1721170529421,88,8035,7759,0
1721170530140,88,8054,12728,0
1721170531220,0,8090,4832,0
1721170532300,0,8102,8881,0
1721170533380,0,8024,11700,0
1721170534460,0,8058,6284,0
1721170535180,0,8063,4281,0
1721170536260,0,8168,6047,0
1721170537340,0,8173,8560,0
1721170538419,0,8173,5555,0
1721170539139,0,8110,7549,0
1721170540219,0,8009,8438,0
1721170541299,0,7976,2648,0
1721170542379,0,7979,8290,0
1721170543459,0,8048,7265,0
1721170544179,0,8129,9999,0
1721170545258,92,8093,5086,0
1721170546338,92,8098,4504,0
1721170547418,92,8098,4704,0
1721170548138,92,8120,6919,0
1721170549218,92,8120,6495,0
1721170550298,92,8114,61886,55
1721170551378,91,8119,0,55
