UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720014870232,0,0,0,0
1720014870952,0,0,0,0
1720014872031,0,0,0,0
1720014873111,0,0,0,0
1720014873849,0,0,0,0
1720014874569,0,4914,16331,0
1720014875651,0,4909,2304,0
1720014876734,0,4912,60015,0
1720014877814,0,4908,25406,0
1720014878896,0,4901,46410,0
1720014879616,0,4893,6651,0
1720014880696,0,4898,2641,0
1720014881778,0,4906,42778,0
1720014882854,0,4913,13041,0
1720014883574,0,4921,41548,0
1720014884649,96,4942,13476,0
1720014885729,96,4944,18266,85
1720014886809,96,4947,52997,85
1720014887891,96,4949,37195,85
1720014888611,96,4972,10505,85
1720014889691,96,4982,1598,85
1720014890767,96,4982,4539,85
1720014891847,96,4967,63392,85
1720014892568,96,4967,1062,0
1720014893647,96,5134,25247,0
1720014894728,96,5584,21272,0
1720014895808,96,5479,0,0
1720014896888,96,5354,0,0
1720014897606,0,5354,0,0
1720014898686,0,4947,0,0
1720014899766,0,4947,0,0
1720014900847,0,4976,0,0
1720014901567,0,5478,0,0
1720014902646,0,5410,0,0
1720014903727,0,5410,0,0
1720014904806,0,5393,0,0
1720014905886,0,5433,0,0
1720014906605,0,5461,0,0
1720014907684,0,5437,0,0
1720014908766,0,5438,0,0
1720014909845,0,5450,0,85
1720014910565,0,5417,0,85
1720014911644,0,5481,0,0
1720014912724,0,5458,0,0
1720014913802,0,5310,0,0
1720014914882,0,5310,0,0
1720014915602,0,4987,0,0
1720014916682,0,5026,0,0
1720014917762,0,5026,0,0
1720014918842,0,5068,0,0
1720014919562,0,5160,0,0
1720014920642,0,5291,0,0
1720014921720,0,5340,0,0
1720014922800,0,5370,0,0
1720014923880,0,5336,0,0
1720014924600,0,5327,0,0
1720014925680,0,5332,0,0
1720014926760,0,5305,0,0
1720014927840,0,5282,0,84
1720014928561,0,5307,0,0
1720014929638,0,5307,0,0
1720014930718,0,5249,0,0
1720014931798,0,5234,0,0
1720014932878,0,5248,0,80
1720014933598,0,5240,0,80
1720014934679,0,5305,0,0
1720014935758,0,5305,60,0
1720014936836,0,5282,55880,0
1720014937556,0,5262,47276,0
1720014938636,0,5307,47286,0
1720014939716,0,5363,41406,0
1720014940796,0,5404,38331,0
1720014941876,0,5355,65288,0
1720014942596,0,5399,42254,0
1720014943676,0,5599,51279,0
1720014944415,0,5507,2604,0
1720014945496,0,5507,19318,0
1720014946216,0,5636,2504,0
1720014947297,0,5554,45395,0
1720014948376,0,5562,8192,0
1720014949456,0,5433,42545,0
1720014950537,0,5598,0,0
1720014951257,0,5323,0,0
1720014952334,0,5323,0,0
1720014953414,0,4855,0,0
1720014954494,0,4855,0,0
1720014955214,0,4841,0,0
1720014956294,0,4868,0,0
1720014957375,0,4923,0,0
1720014958454,0,4897,0,0
1720014959534,0,4925,0,89
1720014960252,0,4929,0,89
1720014961332,0,4955,0,89
1720014962412,0,4973,0,89
1720014963492,0,5108,0,0
1720014964212,0,5108,0,0
1720014965293,0,5679,0,0
1720014966372,0,5717,0,0
1720014967453,0,5508,0,0
1720014968530,0,5508,0,0
1720014969250,0,5508,0,0
1720014970330,0,5039,0,0
1720014971410,0,4986,0,0
