UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1718941231449,0,0,0,0
1718941232168,0,0,0,0
1718941233249,0,0,0,0
1718941234328,0,0,0,0
1718941235408,0,0,0,0
1718941236128,0,0,0,0
1718941236856,0,9350,19299,0
1718941237936,0,9345,10605,0
1718941239016,0,9339,42926,0
1718941240096,0,9340,6959,0
1718941240816,0,9340,30095,0
1718941241896,0,9335,39536,0
1718941242976,0,9324,30635,0
1718941244057,0,9334,63299,72
1718941244777,0,9336,35195,72
1718941245857,97,9337,1372,71
1718941246937,97,9338,26712,71
1718941248016,97,9338,53774,71
1718941249096,96,9343,26774,71
1718941249817,96,9344,576,70
1718941250896,96,9359,55888,70
1718941251976,96,9357,41852,70
1718941253056,95,9357,28843,70
1718941253776,95,9364,24910,70
1718941254856,95,9371,19136,71
1718941255936,95,9367,19292,71
1718941257017,96,9373,20847,72
1718941258096,96,9373,22864,71
1718941258815,96,9392,26728,70
1718941259895,96,9317,41488,71
1718941260975,97,9317,63637,70
1718941262055,97,9309,0,69
1718941262775,97,9352,0,69
1718941263855,96,9372,0,70
1718941264935,97,9380,39344,70
1718941266015,97,9379,25970,69
1718941267095,97,9373,20224,69
1718941267816,97,9372,16544,69
1718941268896,97,9373,13625,70
1718941269975,96,9375,11725,70
1718941271055,96,9377,9088,69
1718941271775,95,9379,5898,69
1718941272855,95,9382,4352,68
1718941273935,94,9383,2866,69
1718941275015,94,9384,2637,69
1718941276095,93,9381,1947,68
1718941276815,93,9378,1604,68
1718941277895,93,9377,1813,68
1718941278975,93,9375,1818,69
1718941280054,92,9373,1775,69
1718941280774,92,9373,1755,68
1718941281854,92,9373,1928,68
1718941282935,92,9382,1745,68
1718941284014,92,9379,1972,69
1718941285094,92,9381,1964,69
1718941285814,93,9381,2078,68
1718941286894,93,9381,6351,68
1718941287974,93,9444,11432,68
1718941289054,93,9414,13853,67
1718941289774,93,9393,15056,66
1718941290853,93,9393,15143,65
1718941291934,93,9369,15302,66
1718941293014,93,9372,15344,67
1718941294093,93,9372,14532,0
1718941294814,93,9425,9583,0
1718941295894,93,9429,8564,0
1718941296974,93,9383,10465,0
1718941298054,0,9091,36272,0
1718941298774,0,8905,56173,0
1718941299854,0,8912,51299,0
1718941300934,0,8912,45602,0
1718941302013,0,8890,46451,0
1718941303093,0,8893,13371,0
1718941303813,0,8893,51341,67
1718941304893,0,8889,36901,67
1718941305973,0,8888,48651,67
1718941307053,0,8892,24029,68
1718941307773,0,8891,37650,69
1718941308854,0,8887,31057,69
1718941309934,0,8883,26198,69
1718941311013,0,8883,20409,72
1718941312093,0,8875,19028,73
1718941312812,96,8876,12158,73
1718941313892,96,8874,8604,72
1718941314972,96,8875,9329,73
1718941316053,96,8888,9849,73
1718941316772,96,8890,19415,73
1718941317853,96,8901,17262,73
1718941318933,96,8904,23491,73
1718941320013,96,8906,25541,73
1718941321093,96,8924,27223,72
1718941321813,97,8924,27831,72
1718941322893,97,8922,28560,72
1718941323972,97,8937,27927,73
1718941325052,97,8940,23200,73
1718941325772,96,8944,21188,73
1718941326852,96,8952,19596,74
1718941327932,97,8961,20301,74
1718941329012,97,8973,16020,74
1718941330092,96,9029,16600,0
1718941330812,96,9072,18991,0
1718941331892,96,8926,23647,0
1718941332972,96,8859,31565,0
1718941333700,95,8859,26048,0
1718941334421,95,8859,3507,0
1718941335500,95,8859,3968,0
1718941336581,95,8725,10520,0
1718941337661,95,8725,2659,0
1718941338741,95,8719,11443,0
1718941339461,95,8728,26023,72
1718941340541,95,8729,57956,72
1718941341621,95,8749,48657,72
1718941342701,95,8764,41868,72
1718941343421,94,8767,33880,72
1718941344501,95,8769,30028,73
1718941345580,95,8769,22811,73
1718941346660,96,8767,21977,73
1718941347740,96,8766,19047,73
1718941348460,97,8770,16702,73
1718941349540,97,8772,11164,71
1718941350620,97,8776,7337,72
1718941351700,97,8779,5062,71
1718941352420,97,8779,4791,71
1718941353500,97,8781,4985,71
1718941354580,97,8785,8380,70
1718941355659,97,8790,9361,70
1718941356739,96,8791,9551,71
1718941357460,96,8787,9570,71
1718941358539,95,8787,9685,70
1718941359620,95,8790,9540,71
