UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1719797502401,0,0,0,0
1719797503121,0,0,0,0
1719797504200,0,0,0,0
1719797505280,0,0,0,0
1719797506361,0,0,0,0
1719797507080,0,6574,56998,0
1719797508161,0,6571,40417,0
1719797509240,0,6569,10791,0
1719797509969,0,6567,43051,0
1719797511049,0,6565,61888,0
1719797511769,0,6561,4483,0
1719797512849,0,6558,1991,0
1719797513929,0,6558,44838,0
1719797515009,0,6556,18932,0
1719797515729,0,6553,47883,0
1719797516809,0,6554,14379,0
1719797517889,0,6548,49149,0
1719797518969,0,6529,20079,0
1719797520049,0,6529,64244,0
1719797520769,0,6534,57235,0
1719797521850,0,6534,41036,0
1719797522929,0,6536,30854,0
1719797524009,0,6536,28771,0
1719797524730,0,6536,19885,0
1719797525808,0,6535,15546,0
1719797526889,0,6535,11630,0
1719797527969,0,6535,8432,0
1719797529048,0,6535,6322,0
1719797529769,0,6533,4875,0
1719797530849,0,6531,3917,0
1719797531929,0,6532,3992,0
1719797533009,0,6530,3621,0
1719797533729,0,6527,3412,0
1719797534809,0,6527,3324,0
1719797535889,0,6526,3009,0
1719797536969,0,6524,2207,0
1719797538049,0,6524,1874,0
1719797538769,0,6522,1018,0
1719797539848,0,6522,1038,0
1719797540929,0,6521,1062,0
1719797542008,0,6518,1206,0
1719797542728,0,6518,1257,0
1719797543808,0,6517,1301,0
1719797544888,0,6514,1299,0
1719797545968,0,6513,1269,0
1719797547048,0,6513,1211,0
1719797547768,0,6511,1017,0
1719797548848,0,6510,1094,0
1719797549929,0,6508,1392,0
1719797551008,0,6508,1539,0
1719797551729,0,6507,1547,0
1719797552809,0,6507,1503,0
1719797553888,0,6507,1576,0
1719797554968,0,6506,1689,0
1719797556048,0,6505,1526,0
1719797556768,0,6505,1481,0
1719797557848,0,6505,1517,0
1719797558928,0,6504,1627,0
1719797560008,0,6504,1692,0
1719797560728,0,6505,1629,0
1719797561808,0,6505,1447,0
1719797562888,0,6505,1437,0
1719797563968,0,6504,1459,0
1719797565048,0,6505,1435,0
1719797565768,0,6506,1244,0
1719797566849,0,6506,1265,0
1719797567928,0,6508,21027,0
1719797569007,0,6509,18848,0
1719797569727,0,6509,23633,0
1719797570807,0,6509,13812,0
1719797571887,0,6510,63729,0
1719797572967,0,6509,49228,0
1719797574047,0,6512,54602,0
1719797574768,0,6512,33297,0
1719797575848,0,6513,22940,0
1719797576928,0,6512,28641,0
1719797578008,0,6513,8744,0
1719797578728,0,6514,13833,0
1719797579808,0,6514,11171,0
1719797580888,0,6515,7856,0
1719797581969,0,6516,6052,0
1719797583047,0,6515,4897,0
1719797583767,0,6515,3059,0
1719797584847,0,6515,2773,0
1719797585927,0,6516,2669,0
1719797587007,0,6515,1447,0
1719797587727,0,6517,1728,0
1719797588807,0,6519,1483,0
1719797589887,0,6521,1610,0
1719797590967,0,6521,1579,0
1719797592047,0,6521,1383,0
1719797592768,0,6521,1949,0
1719797593847,0,6521,1435,0
1719797594927,0,6521,1334,0
1719797596007,0,6523,1356,0
1719797596727,0,6522,1294,0
1719797597806,0,6522,1354,0
1719797598887,0,6522,1194,0
1719797599967,0,6521,1171,0
1719797601047,0,6523,965,0
1719797601767,0,6522,1001,0
1719797602847,0,6522,863,0
1719797603927,0,6522,908,0
1719797605007,0,6523,921,0
1719797605727,0,6523,1026,0
1719797606807,0,6524,1113,0
1719797607887,0,6523,1145,0
1719797608967,0,6522,1108,0
1719797610047,0,6523,1101,0
1719797610766,0,6521,1427,0
1719797611846,0,6520,1415,0
1719797612926,0,6519,1176,0
1719797614006,0,6517,1302,0
1719797614726,0,6517,1584,0
1719797615806,0,6515,1663,0
1719797616886,0,6514,1555,0
1719797617966,0,6515,1691,0
1719797619046,0,6512,1685,0
1719797619767,0,6511,1642,0
1719797620846,0,6547,4899,0
1719797621927,0,7149,5682,0
1719797623007,0,7374,6742,0
1719797623727,0,7077,8313,0
1719797624806,0,9208,11002,0
1719797625886,0,10871,21832,0
1719797626966,0,10871,2195,0
1719797628046,0,10273,8589,0
1719797628766,0,10306,5790,0
1719797629846,0,10306,4880,0
1719797630926,0,10473,4453,0
1719797632006,0,10473,8460,0
1719797632726,0,10591,4660,0
1719797633806,0,10594,4459,0
1719797634886,0,10608,7795,0
1719797635966,0,10616,4599,0
1719797637046,96,10629,5709,0
1719797637766,97,10643,2113,0
1719797638846,97,10650,6684,0
1719797639575,97,10664,8511,0
1719797640655,96,10670,16623,0
1719797641375,96,10686,13617,0
1719797642455,96,10686,10310,0
1719797643535,96,10696,8420,0
1719797644615,96,10698,7138,0
1719797645695,96,10712,6094,0
1719797646415,96,10717,5279,0
1719797647495,95,10727,3740,0
1719797648575,94,10727,2976,0
1719797649655,93,10734,2579,0
1719797650375,93,10742,2185,0
1719797651455,92,10751,2161,0
1719797652535,92,10754,2193,0
1719797653615,91,10773,1999,0
1719797654695,91,10695,25142,0
1719797655414,92,10667,29307,0
1719797656494,93,10648,35153,0
1719797657574,0,10646,43926,0
1719797658654,0,10646,58558,0
1719797659374,0,10685,22278,0
1719797660454,0,10707,43715,0
