UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720165597879,0,0,0,0
1720165598599,0,0,0,0
1720165599679,0,0,0,0
1720165600758,0,0,0,0
1720165601838,0,0,0,0
1720165602558,0,0,0,0
1720165603638,0,0,0,0
1720165604718,0,8503,21025,2
1720165605798,0,8509,8795,0
1720165606879,0,8532,50573,0
1720165607598,0,8532,9718,0
1720165608679,0,8531,29873,0
1720165609759,0,8525,49596,0
1720165610839,0,8538,42229,0
1720165611207,0,8546,9326,0
1720165612287,0,8524,46341,0
1720165613367,0,8526,22550,0
1720165614447,0,8526,57719,0
1720165615527,0,8522,7180,0
1720165616247,0,8511,45406,65
1720165617327,0,8515,28873,63
1720165618407,0,8515,3291,62
1720165619487,0,8534,50811,62
1720165620207,0,8538,43411,62
1720165621287,0,8558,31170,61
1720165622367,0,8560,22351,61
1720165623448,0,8585,19311,61
1720165624527,0,8599,13705,61
1720165625248,0,8604,9871,61
1720165626327,0,8604,8853,61
1720165627408,0,8594,6061,61
1720165628488,0,8588,5420,60
1720165629208,0,8593,4968,60
1720165630288,0,8593,4847,60
1720165631368,0,8412,4114,60
1720165632448,0,8423,5963,59
1720165633528,0,8423,7211,59
1720165634248,0,8423,8314,59
1720165635328,0,8423,8670,59
1720165636409,0,8641,8804,59
1720165637487,0,8641,8826,59
1720165638207,0,8600,9412,59
1720165639287,0,8631,8995,59
1720165640367,0,8647,7828,59
1720165641447,0,8657,8297,0
1720165642527,0,8595,7873,0
1720165643248,0,8551,0,0
1720165644327,0,8551,0,0
1720165645407,0,8550,0,0
1720165646487,0,8550,0,59
1720165647207,0,8572,0,59
1720165648288,0,8581,0,59
1720165649368,0,8587,0,60
1720165650448,0,8587,11649,60
1720165651527,0,8585,8972,61
1720165652248,0,8581,6930,60
1720165653328,0,8578,6344,60
1720165654408,0,8569,6816,60
1720165655488,0,8567,6299,60
1720165656208,0,8564,6254,59
1720165657288,0,8566,5788,59
1720165658368,0,8566,5790,59
1720165659448,0,8559,7074,59
1720165660528,0,8555,6390,59
1720165661248,0,8557,6482,59
1720165662328,0,8563,5859,58
1720165663407,0,8565,5837,58
1720165664487,0,8560,7013,58
1720165665207,0,8557,42206,58
1720165666287,0,8551,24833,58
1720165667367,0,8551,24256,59
1720165668447,0,8539,22097,58
1720165669527,0,8524,11572,58
1720165670248,0,8516,6465,59
1720165671327,0,8516,55978,59
1720165672407,0,8492,44059,59
1720165673488,0,8487,45180,58
1720165674208,0,8484,28446,58
1720165675288,0,8470,22474,58
1720165676368,0,8461,19196,59
1720165677448,0,8458,10241,59
1720165678528,0,8462,11689,59
1720165679248,0,8454,10788,60
1720165680328,0,8459,7564,59
1720165681408,0,8470,7442,59
1720165682488,0,8470,7299,59
1720165683208,0,8472,5577,60
1720165684288,0,8472,5838,60
1720165685368,0,8487,4984,60
1720165686448,0,8504,4988,60
1720165687528,0,8508,4408,60
1720165688248,0,8547,4658,61
1720165689327,0,8558,4707,60
1720165690407,0,8557,4922,62
1720165691487,0,8564,4443,63
1720165692207,0,8573,4378,62
1720165693288,0,8582,5016,62
1720165694368,0,8578,6498,62
1720165695448,0,8575,4703,63
1720165696527,0,8721,5210,64
1720165697248,0,8873,5807,64
1720165698328,0,9096,6972,64
1720165699408,0,9150,11933,64
1720165700488,0,9128,11505,56
