UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1720975368237,0,0,0,0
1720975368956,0,0,0,0
1720975370036,0,0,0,0
1720975371116,0,0,0,0
1720975372196,0,0,0,0
1720975372916,0,5106,28158,0
1720975373644,0,5110,25371,0
1720975374724,0,5100,46180,0
1720975375804,0,5095,7559,0
1720975376885,0,5107,31351,0
1720975377605,0,5107,36620,0
1720975378684,0,5130,23841,0
1720975379765,0,5145,48693,0
1720975380845,0,5152,13846,0
1720975381565,0,5159,57511,0
1720975382645,100,5171,10174,57
1720975383725,99,5185,43597,56
1720975384804,99,5180,17923,55
1720975385884,99,5174,57013,55
1720975386604,98,5159,51095,55
1720975387684,97,5170,38092,55
1720975388764,96,5172,25509,55
1720975389844,95,5166,23044,55
1720975390564,95,5166,17053,56
1720975391644,95,5165,12181,56
1720975392724,95,5171,14670,56
1720975393805,95,5183,16488,56
1720975394883,95,5179,19019,57
1720975395603,95,5193,19882,57
1720975396683,95,5195,19624,56
1720975397763,94,5196,19253,55
1720975398844,94,5201,16747,55
1720975399563,94,5216,13132,55
1720975400643,94,5238,6792,55
1720975401723,94,5247,3236,56
1720975402804,94,5262,1914,56
1720975403884,94,5278,1958,56
1720975404604,94,5296,1937,56
1720975405683,94,5303,1808,55
1720975406763,94,5303,1837,55
1720975407843,94,5301,1589,55
1720975408563,95,5295,1510,54
1720975409643,95,5279,1402,54
1720975410723,95,5244,1093,54
1720975411803,96,5204,952,54
1720975412883,96,5167,807,54
1720975413603,96,5133,769,54
1720975414683,96,5109,1049,54
1720975415762,96,5109,1135,53
1720975416842,96,5093,1186,54
1720975417562,96,5073,1319,54
1720975418642,96,5062,1362,54
1720975419723,96,5057,1623,54
1720975420802,96,5060,1669,54
1720975421883,96,5063,1612,54
1720975422602,96,5059,1639,54
1720975423682,96,5062,1606,54
1720975424762,96,5072,1774,54
1720975425841,95,5085,1666,54
1720975426561,95,5091,1458,55
1720975427641,95,5091,1493,55
1720975428722,95,5094,1524,55
1720975429802,94,5099,1418,55
1720975430881,94,5111,1276,55
1720975431602,94,5129,1402,55
1720975432682,94,5143,1391,55
1720975433762,93,5151,47146,55
1720975434842,93,5163,40397,55
1720975435562,93,5176,336,55
1720975436641,92,5188,24970,55
1720975437721,92,5202,6324,55
1720975438801,92,5218,36242,55
1720975439881,91,5233,54261,55
1720975440601,91,5243,35807,55
1720975441681,91,5244,16782,56
1720975442761,90,5245,26108,56
1720975443841,90,5251,8725,56
1720975444561,91,5251,10784,56
1720975445642,91,5259,10346,56
1720975446720,91,5272,4191,56
1720975447800,91,5276,5065,56
1720975448880,91,5273,5266,56
1720975449600,91,5267,2137,56
1720975450680,91,5273,3075,56
1720975451760,91,5281,2508,56
1720975452841,91,5279,3646,56
1720975453560,91,5267,8443,56
1720975454641,91,5260,7019,56
1720975455721,91,5263,4011,56
1720975456800,91,5270,3058,56
1720975457880,91,5267,1656,56
1720975458600,91,5258,1717,56
1720975459680,91,5256,1886,56
1720975460760,91,5252,1647,56
1720975461840,91,5241,1708,56
1720975462560,91,5241,1905,57
1720975463640,90,5242,1772,57
1720975464720,90,5234,1777,57
1720975465800,90,5234,1880,57
1720975466529,90,5227,1692,58
1720975467248,90,5225,1564,57
1720975468329,90,5232,1433,57
1720975469409,90,5233,1458,58
1720975470488,89,5225,1484,58
1720975471209,89,5219,1353,58
1720975472289,89,5219,1283,57
1720975473369,90,5227,1288,57
1720975474449,90,5229,1432,58
1720975475529,91,5233,1567,58
1720975476249,91,5235,1667,58
1720975477328,92,5245,1678,58
1720975478408,92,5247,1710,58
1720975479488,92,5238,1842,58
1720975480208,92,5233,1683,58
1720975481288,92,5232,1553,57
1720975482368,93,5238,1459,57
1720975483448,93,5225,1498,58
1720975484528,94,5207,1741,58
1720975485248,94,5198,2257,58
1720975486328,94,5201,2633,57
1720975487408,94,5195,2825,57
1720975488487,94,5190,3035,58
1720975489207,94,5188,2978,58
1720975490287,94,5189,2956,57
