UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1721706793263,0,0,0,0
1721706793983,0,0,0,0
1721706795063,0,0,0,0
1721706796142,0,0,0,0
1721706796866,0,0,0,0
1721706797585,0,0,0,0
1721706798665,0,7517,9513,0
1721706799754,0,7890,27814,0
1721706800834,0,7716,22422,0
1721706801917,0,7716,4313,0
1721706802634,0,7716,4313,0
1721706803714,0,7716,4313,0
1721706804794,0,7716,4313,0
1721706805880,0,7716,5176,0
1721706806599,0,5961,39238,0
1721706807678,97,5961,32192,0
1721706808758,97,5985,29104,0
1721706809838,97,6010,14057,0
1721706810915,97,6002,0,0
1721706811635,97,6000,0,0
1721706812715,96,6028,46547,0
1721706813795,97,6039,52921,0
1721706814875,96,6031,2094,0
1721706815595,96,6022,11190,0
1721706816675,96,6041,22147,0
1721706817753,96,6068,55332,0
1721706818834,95,6053,2191,0
1721706819914,95,6062,48483,0
1721706820634,94,6071,19839,0
1721706821714,93,6056,35394,0
1721706822794,92,6066,24471,0
1721706823874,92,6074,9157,0
1721706824594,92,6067,40685,0
1721706825674,92,6071,38948,0
1721706826754,91,6073,26443,0
1721706827832,91,6063,18403,0
1721706828912,91,6076,17755,0
1721706829632,91,6077,12109,0
1721706830712,91,6052,8250,58
1721706831792,91,6064,7857,59
1721706832872,91,6067,5264,59
1721706833592,91,6046,3927,59
1721706834672,91,6064,3849,59
1721706835752,90,6070,3135,58
1721706836832,90,6063,2315,58
1721706837911,90,6090,2093,58
1721706838631,90,6090,1888,58
1721706839711,90,6102,1898,58
1721706840791,90,6090,1961,58
1721706841871,90,6104,1754,58
1721706842591,90,6105,1778,58
1721706843672,90,6086,1808,58
1721706844752,90,6104,1903,58
1721706845832,90,6115,1991,58
1721706846912,90,6093,1827,58
1721706847631,90,6116,1981,59
1721706848711,90,6141,6840,59
1721706849791,90,6108,15041,59
1721706850871,90,6117,33098,59
1721706851591,90,6147,38305,59
1721706852671,90,6147,40127,59
1721706853751,90,6175,40309,59
1721706854831,90,6204,46907,60
1721706855911,90,6176,54144,60
1721706856631,91,6198,50936,60
1721706857710,92,6208,49007,59
1721706858790,93,6237,20036,59
1721706859870,95,6266,19364,60
1721706860590,96,6268,0,61
1721706861669,96,6264,0,61
1721706862749,96,6274,13241,60
1721706863829,96,6263,28114,60
1721706864909,96,6265,28114,60
1721706865630,96,6284,0,60
1721706866710,96,6249,0,60
1721706867790,96,6251,980,60
1721706868868,96,6267,55760,60
1721706869588,96,6269,53034,60
1721706870669,96,6270,41419,61
1721706871748,96,6294,33724,61
1721706872828,96,6336,53773,61
1721706873908,95,6348,22761,61
1721706874628,95,6368,60841,62
1721706875708,94,6388,21654,62
1721706876788,94,6382,46574,60
1721706877869,93,6374,28799,59
1721706878587,92,6370,46731,60
1721706879667,92,6365,21518,60
1721706880747,91,6358,13174,60
1721706881827,91,6366,21039,60
1721706882907,91,6359,9640,59
1721706883627,92,6347,5211,59
1721706884707,92,6343,8027,59
1721706885787,93,6335,1695,59
1721706886868,92,6325,4579,58
1721706887587,92,6328,3362,58
1721706888321,92,6319,1395,58
1721706889400,93,6304,2126,59
1721706890480,93,6314,2174,59
1721706891560,94,6320,1611,59
1721706892280,94,6315,1634,59
1721706893360,94,6333,1507,59
1721706894440,94,6349,1249,59
1721706895520,94,6359,1290,59
1721706896241,94,6391,1003,60
1721706897320,94,6413,1112,60
1721706898402,95,6422,1227,60
1721706899479,95,6473,1230,60
1721706900559,95,6510,1277,60
1721706901279,95,6525,1260,60
1721706902359,95,6534,1367,60
1721706903439,95,6560,1399,60
1721706904519,94,6588,1332,59
1721706905239,94,6621,1219,59
1721706906319,94,6652,1283,59
1721706907399,94,6678,1253,59
1721706908479,94,6701,1707,59
1721706909558,94,6719,6120,60
1721706910278,94,6723,9838,60
1721706911357,95,6736,17849,60
1721706912438,95,6735,16920,60
1721706913518,95,6701,4679,61
1721706914238,95,6674,3626,62
1721706915318,95,6677,2367,63
1721706916398,95,6662,2396,62
1721706917478,95,6668,2460,62
1721706918558,95,6692,2379,62
1721706919277,94,6698,2126,62
1721706920356,94,6730,1905,62
1721706921437,93,6744,2421,62
1721706922517,92,6767,2550,62
1721706923236,91,6789,2500,62
1721706924317,90,6808,2452,62
1721706925397,89,6822,2458,62
1721706926477,89,6820,2326,62
1721706927557,89,6815,1722,62
1721706928277,89,6799,9415,62
1721706929357,90,6762,1974,62
1721706930435,90,6738,12249,62
1721706931516,91,6707,1597,62
1721706932236,91,6685,5801,62
1721706933316,91,6676,4457,62
1721706934396,91,6635,3835,62
1721706935476,91,6590,6949,62
1721706936556,90,6582,5728,61
1721706937276,90,6562,9090,61
1721706938356,92,6537,13461,61
1721706939436,93,6537,4197,61
1721706940515,94,6556,3570,61
1721706941235,95,6526,8981,59
1721706942315,95,6526,10033,60
1721706943395,95,6486,8484,60
1721706944475,95,6472,27524,61
1721706945555,95,6469,27275,61
1721706946275,95,6495,24194,61
1721706947355,95,6475,19359,63
1721706948435,95,6475,16179,63
1721706949515,94,6465,13720,66
1721706950233,93,6474,11858,59
1721706951313,93,6454,10350,58
1721706952393,92,6453,6969,60
1721706953473,92,6458,5889,60
1721706954554,92,6435,4392,60
1721706955274,93,6422,3607,60
1721706956353,93,6444,3074,60
1721706957434,93,6420,2281,59
1721706958514,93,6414,2171,60
1721706959234,93,6431,1937,59
1721706960312,93,6398,1604,59
1721706961392,93,6394,1600,59
1721706962472,93,6404,1610,59
1721706963552,93,6379,1550,58
1721706964272,94,6387,4579,58
1721706965352,94,6427,6352,58
1721706966433,94,6421,10380,58
1721706967513,95,6386,10622,58
1721706968233,95,6374,11280,58
1721706969312,95,6388,11385,58
1721706970391,95,6359,10609,58
1721706971471,95,6362,9785,58
1721706972551,95,6378,5332,58
1721706973271,95,6354,4889,58
1721706974351,95,6352,3579,58
1721706975431,95,6381,2792,58
1721706976511,95,6378,2653,57
1721706977231,95,6365,2047,57
1721706978311,95,6377,1728,58
1721706979391,96,6346,1891,58
1721706980126,96,6332,11976,57
1721706981205,96,6332,16438,58
1721706981925,96,6393,19706,58
1721706983005,97,6506,25566,59
1721706984085,97,6573,29807,59
1721706985165,97,6901,35734,59
1721706985885,96,6767,43291,58
1721706986965,97,6767,46707,59
1721706988046,96,6767,63369,59
1721706989125,96,6389,44047,59
1721706990207,96,6357,4253,59
