UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1721883496726,0,0,0,0
1721883497446,0,0,0,0
1721883498526,0,0,0,0
1721883499248,0,0,0,0
1721883500328,0,0,0,0
1721883501048,0,0,0,0
1721883502128,0,6103,13731,0
1721883503208,0,5828,14294,0
1721883504289,0,5697,11826,0
1721883505368,0,5708,57488,0
1721883506088,0,5708,55878,0
1721883507168,0,5708,20696,0
1721883508255,0,5787,2034,0
1721883509337,0,5831,24548,0
1721883510058,0,5866,13536,0
1721883511140,0,5902,0,72
1721883512221,0,5913,0,72
1721883513299,0,5947,0,72
1721883514380,0,5995,0,72
1721883515099,0,6008,0,71
1721883516178,0,6011,0,71
1721883517256,0,6020,0,71
1721883518336,0,6034,0,70
1721883519056,0,6048,0,70
1721883520135,0,6045,0,70
1721883521215,0,6051,0,70
1721883522295,0,6063,0,70
1721883523375,0,6083,0,70
1721883524095,0,6112,0,70
1721883525175,0,6067,0,0
1721883526255,0,6043,0,0
1721883527334,0,6043,0,0
1721883528054,0,5958,0,0
1721883529134,0,6013,0,0
1721883530214,0,6120,0,0
1721883531294,0,6101,0,0
1721883532374,0,6101,0,0
1721883533094,0,6149,0,0
1721883534173,0,6140,0,0
1721883535253,0,6173,0,0
1721883536333,0,6175,0,0
1721883537053,0,6205,0,0
1721883538133,0,6226,0,0
1721883539213,0,6231,0,71
1721883540293,0,6241,0,72
1721883541371,0,6247,0,71
1721883542091,0,6250,0,71
1721883543172,0,6236,0,71
1721883544251,0,6236,0,70
1721883545332,0,6319,0,70
1721883546051,0,6353,0,70
1721883547132,0,6347,0,69
1721883548211,0,6383,0,69
1721883549290,97,6434,0,70
1721883550370,97,6487,0,70
1721883551090,97,6466,0,70
1721883552170,97,6306,0,70
1721883553250,97,6414,0,70
1721883554330,97,6422,0,70
1721883555049,97,6432,0,71
1721883556129,97,6458,0,71
1721883557209,97,6445,0,70
1721883558289,97,6462,0,70
1721883559369,97,6479,12827,70
1721883560089,97,6465,14553,69
1721883561169,97,6459,12567,69
1721883561902,97,6483,10618,69
1721883562981,97,6481,52997,69
1721883563702,97,6487,56364,69
1721883564781,96,6516,58419,69
1721883565861,96,6521,8507,69
1721883566942,95,6507,7336,69
1721883568022,95,6525,7393,69
1721883568743,94,6574,8128,69
1721883569820,94,6538,8968,69
1721883570900,94,6543,9011,69
1721883571980,94,6574,8984,70
1721883572700,94,6582,9106,70
1721883573781,94,6583,9152,70
1721883574860,93,6627,8010,70
1721883575940,93,6612,6909,70
1721883577019,93,6618,6675,71
1721883577739,93,6652,6592,71
1721883578819,93,6647,6423,71
1721883579899,93,6635,6275,71
1721883580979,93,6668,6097,72
1721883581699,93,6669,5812,72
1721883582779,93,6661,6226,72
1721883583858,93,6659,5826,72
1721883584938,93,6632,5278,72
1721883586018,93,6658,5942,72
1721883586738,93,6658,5988,72
1721883587818,93,6650,5974,72
1721883588898,93,6681,5575,72
1721883589978,93,6682,5664,72
1721883590696,93,6699,5759,72
1721883591776,93,6701,5182,73
1721883592856,93,6709,4980,72
1721883593936,93,6699,4274,73
1721883595016,93,6703,4245,73
1721883595737,93,6705,4825,73
1721883596817,93,6682,5466,73
1721883597897,93,6688,5796,73
1721883598975,93,6672,6060,73
1721883599696,93,6686,5961,73
1721883600775,93,6700,5771,73
1721883601855,93,6677,5179,73
1721883602935,94,6691,5115,73
1721883604015,94,6665,5417,73
1721883604735,94,6655,5326,73
1721883605814,94,6670,5875,73
1721883606894,94,6655,5807,73
1721883607974,94,6698,5635,73
1721883608694,94,6687,5653,73
1721883609774,94,6690,5140,73
1721883610854,94,6704,5208,73
1721883611934,94,6691,4530,72
1721883613013,94,6760,4746,72
1721883613733,94,6760,5072,72
1721883614813,94,6725,4984,72
1721883615893,94,6669,5121,72
1721883616973,94,6649,4819,72
1721883617693,94,6621,5056,73
1721883618773,95,6624,5263,74
1721883619853,95,6625,5221,74
1721883620931,95,6611,6273,74
1721883622012,95,6627,6030,74
1721883622731,94,6651,5825,73
1721883623812,94,6647,6360,73
1721883624892,94,6670,5572,73
1721883625972,94,6690,5819,72
1721883626692,94,6670,5469,72
1721883627425,94,6693,5513,72
1721883628504,94,6750,5830,72
1721883629584,94,6716,6610,72
1721883630664,94,6736,7543,72
1721883631384,94,6750,7663,72
1721883632464,94,6721,7783,72
1721883633544,94,6732,7468,72
1721883634624,94,6736,8248,72
1721883635343,94,6732,6841,72
1721883636423,94,6761,7429,72
1721883637503,94,6751,6542,72
1721883638583,94,6743,6226,72
1721883639663,94,6735,6558,72
1721883640383,94,6698,6731,72
1721883641463,94,6701,6447,72
1721883642542,95,6722,6039,73
1721883643622,95,6677,6271,73
1721883644342,95,6708,6204,73
1721883645422,95,6709,6376,72
1721883646502,95,6674,6111,72
1721883647582,95,6691,6759,72
1721883648662,95,6690,6365,72
1721883649382,95,6681,5911,72
1721883650460,95,6696,5914,73
1721883651541,95,6706,5935,73
1721883652621,95,6700,5607,73
1721883653340,95,6689,5426,73
1721883654421,95,6670,5483,73
1721883655501,95,6692,5476,72
1721883656581,95,6710,6071,72
1721883657660,95,6678,5903,72
1721883658379,95,6709,6007,73
1721883659459,95,6690,6241,72
1721883660539,95,6686,6941,72
1721883661619,95,6706,8343,73
1721883662339,95,6685,10986,73
1721883663420,95,6708,12321,73
1721883664500,95,6739,13425,73
1721883665578,95,6756,13302,73
1721883666658,95,6778,13613,73
1721883667378,95,6780,13411,73
1721883668458,95,6778,9632,73
1721883669538,95,6770,8753,73
1721883670619,95,6772,12818,73
1721883671339,95,6780,15307,73
1721883672417,95,6758,18740,73
1721883673497,96,6704,20215,73
1721883674577,96,6676,20793,73
1721883675657,96,6690,21918,73
1721883676377,96,6721,21536,73
1721883677457,96,6741,17181,73
1721883678537,96,6712,15970,74
1721883679617,96,6689,11656,74
1721883680336,96,6686,10795,73
1721883681416,96,6658,7374,73
1721883682496,96,6633,7298,74
1721883683576,96,6665,6444,74
1721883684656,96,6657,5930,73
1721883685376,96,6641,5826,74
1721883686456,96,6618,5420,74
1721883687534,96,6633,5748,74
1721883688615,96,6589,6595,74
1721883689334,96,6578,6734,74
1721883690415,96,6592,7791,73
1721883691494,96,6576,7462,73
1721883692575,96,6607,6832,73
1721883693655,96,6596,6574,73
1721883694375,96,6575,5993,73
1721883695107,96,6574,6422,73
1721883696188,96,6600,5483,73
1721883697267,96,6580,5991,72
1721883697987,96,6578,6198,73
1721883699068,96,6567,7520,72
1721883700148,96,6512,7795,72
1721883701228,96,6494,9018,72
1721883702310,96,6491,10216,72
1721883703027,96,6546,11610,73
1721883704107,96,6631,16454,72
1721883705187,96,6631,17992,72
1721883706267,96,6568,33280,72
1721883706987,96,6589,13346,73
1721883708067,96,6581,24180,73
1721883709147,0,6569,28490,72
