UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1722054758023,0,0,0,0
1722054758742,0,0,0,0
1722054759823,0,0,0,0
1722054760902,0,0,0,0
1722054761626,0,0,0,0
1722054762345,0,0,0,0
1722054763425,0,7118,320,0
1722054764513,0,7118,18829,0
1722054765594,0,9368,15390,0
1722054766677,0,9998,65338,0
1722054767393,0,9998,65338,0
1722054768474,0,9998,65338,0
1722054769554,0,9998,65338,0
1722054770639,0,9998,54383,0
1722054771359,0,7790,65260,0
1722054772438,0,6489,17792,0
1722054773518,0,6548,54014,0
1722054774598,0,6542,25891,0
1722054775678,0,6559,2881,0
1722054776398,0,6565,0,0
1722054777474,0,6595,1252,0
1722054778555,0,6595,4739,0
1722054779634,0,6583,4739,0
1722054780354,0,6584,4739,0
1722054781434,0,6587,4739,0
1722054782514,0,6626,4739,0
1722054783594,0,6658,4739,0
1722054784674,0,6658,48922,0
1722054785393,0,6725,0,0
1722054786473,0,6728,0,0
1722054787553,0,6750,0,0
1722054788633,0,6750,0,0
1722054789353,0,6800,0,0
1722054790434,0,6827,0,0
1722054791514,0,6837,0,0
1722054792594,96,6857,0,0
1722054793675,96,6861,0,0
1722054794395,97,6875,0,0
1722054795473,97,6831,0,0
1722054796553,97,6831,0,0
1722054797633,97,6813,0,0
1722054798353,97,6810,0,0
1722054799433,97,6806,0,0
1722054800512,97,6797,0,51
1722054801592,96,6794,46333,51
1722054802673,97,6793,35769,52
1722054803392,97,6793,27459,52
1722054804472,97,6793,22698,52
1722054805552,96,6789,18768,51
1722054806633,96,6790,15935,51
1722054807352,96,6786,13840,51
1722054808431,95,6791,10644,51
1722054809512,95,6797,8590,51
1722054810591,94,6797,6270,51
1722054811672,94,6806,4450,50
1722054812391,94,6812,3541,50
1722054813471,94,6817,2118,50
1722054814551,93,6830,1816,50
1722054815631,93,6852,1383,50
1722054816351,93,6872,1806,50
1722054817431,93,6895,1904,52
1722054818511,93,6930,2629,51
1722054819592,93,6980,2884,51
1722054820670,93,6980,3114,55
1722054821391,93,7032,7882,53
1722054822471,93,7100,9149,50
1722054823551,93,7102,10880,49
1722054824631,93,7194,13293,49
1722054825351,93,7234,20650,50
1722054826431,94,7186,33879,50
1722054827511,95,7186,33173,50
1722054828591,95,7149,28105,49
