UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1722743046705,0,0,0,0
1722743047425,0,0,0,0
1722743048505,0,0,0,0
1722743049585,0,0,0,0
1722743050308,0,0,0,0
1722743051028,0,0,0,0
1722743052108,0,6626,23922,0
1722743053188,0,6419,19626,0
1722743054276,0,6523,16007,0
1722743055357,0,6577,62366,0
1722743056079,0,6577,61732,0
1722743057157,0,6577,61732,0
1722743058243,0,6577,61732,0
1722743059322,0,6577,28013,0
1722743060042,0,6507,6152,0
1722743061124,97,6507,27345,0
1722743062201,97,6366,14047,0
1722743063281,97,6382,0,0
1722743064357,97,6357,0,0
1722743065078,97,6357,0,0
1722743066158,96,6286,0,0
1722743067238,97,6216,52332,0
1722743068317,97,6177,50275,0
1722743069037,97,6179,6298,0
1722743070117,96,6186,47785,0
1722743071197,96,6204,29631,0
1722743072278,96,6204,15746,0
1722743073356,96,6234,420,0
1722743074076,95,6244,46066,0
1722743075156,95,6258,38028,0
1722743076236,95,6260,29896,0
1722743077316,95,6260,18558,0
1722743078037,95,6264,15703,0
1722743079117,95,6283,13255,0
1722743080197,95,6336,11526,0
1722743081276,95,6446,11762,0
1722743082357,95,6446,11093,0
1722743083076,95,6432,10912,0
1722743084157,95,6472,17711,0
1722743085236,95,6500,0,0
1722743086315,95,6508,0,0
1722743087035,0,6521,0,0
1722743088115,0,6565,0,50
1722743089195,0,6549,0,50
1722743090275,0,6540,0,50
1722743091356,0,6540,0,50
1722743092075,0,6546,0,51
1722743093156,0,6507,0,51
1722743094236,0,6557,0,51
1722743095316,0,6557,0,51
1722743096035,0,6507,0,0
1722743097115,0,6478,0,0
1722743098195,0,6478,0,0
1722743099275,0,6567,0,0
1722743100355,0,6500,0,0
1722743101075,0,6500,0,0
1722743102155,0,6406,0,0
1722743103235,0,6396,0,0
1722743104315,0,6391,0,0
1722743105035,0,6391,0,0
1722743106115,0,6559,0,0
1722743107195,0,6533,0,0
1722743108273,0,6533,0,0
1722743109354,0,6378,0,52
1722743110074,0,6265,0,52
1722743111154,0,6277,0,52
1722743112234,0,6272,0,51
1722743113313,0,6267,0,52
1722743114033,0,6267,0,51
1722743115113,0,6257,19482,51
1722743116193,0,6243,15974,50
1722743117273,0,6248,53290,50
1722743118353,0,6253,14596,50
1722743119074,95,6270,10353,50
1722743120152,95,6270,8688,50
1722743121232,95,6284,8688,50
1722743122312,95,6256,8688,49
1722743123032,95,6227,8247,49
1722743124113,96,6230,8458,49
1722743125192,96,6230,15586,49
1722743126272,96,6232,0,48
1722743127353,96,6241,0,48
1722743128073,96,6255,61619,49
1722743129153,95,6261,32763,49
1722743130232,95,6261,46873,49
1722743131313,94,6257,34738,49
1722743132031,94,6263,17246,49
1722743133111,94,6265,11042,49
1722743134191,94,6268,10234,49
1722743135271,94,6275,6927,48
1722743136351,94,6275,5949,49
1722743137072,94,6278,4238,49
1722743138151,94,6278,3338,49
1722743139231,94,6280,3619,49
1722743140312,94,6276,2104,50
1722743141031,93,6283,2111,50
1722743142112,93,6283,1835,50
1722743143192,93,6294,1924,50
1722743144270,93,6287,2094,0
1722743145350,93,6401,2269,0
1722743146070,93,6527,2360,0
1722743147150,93,6713,2437,0
1722743148230,93,6908,3673,0
1722743149310,93,6834,0,0
1722743150030,93,6858,0,0
1722743151110,93,6858,0,0
1722743152190,93,7060,0,0
1722743153271,93,6965,0,0
1722743154351,93,6911,0,0
1722743155071,93,6967,0,0
1722743155805,94,6875,0,0
1722743156884,94,6558,0,0
1722743157964,94,6372,0,0
1722743158684,94,6372,0,0
1722743159764,94,6372,0,0
1722743160844,94,6274,0,0
1722743161924,94,6274,0,0
1722743163004,94,6274,0,0
1722743163724,93,6247,0,55
1722743164804,93,6258,0,54
1722743165883,94,6258,29942,53
1722743166963,94,6241,5235,53
1722743167685,94,6235,49223,52
1722743168762,95,6223,38448,53
1722743169842,95,6214,32211,53
1722743170922,95,6219,27113,52
1722743172002,96,6219,23759,51
1722743172722,96,6221,13348,51
1722743173802,96,6233,11733,51
1722743174882,95,6235,9774,50
1722743175962,95,6240,6469,50
1722743176682,95,6240,5459,50
1722743177762,95,6252,4682,50
1722743178842,95,6257,2861,50
1722743179922,95,6268,2749,49
1722743181001,95,6271,2439,49
1722743181721,95,6280,2049,49
1722743182801,95,6280,1996,49
1722743183881,95,6293,1902,49
1722743184961,95,6292,1529,49
1722743185681,95,6300,1453,49
1722743186761,95,6300,1688,49
1722743187842,95,6287,1893,49
1722743188922,95,6260,2218,49
1722743190002,95,6248,2587,48
1722743190722,95,6239,6756,49
1722743191802,95,6242,6710,50
1722743192880,95,6241,4762,50
1722743193960,95,6243,22185,49
1722743194680,95,6243,61374,49
1722743195761,0,6295,61243,49
1722743196840,0,6384,61197,48
1722743197920,0,6347,61222,48
1722743199000,0,6347,61184,50
1722743199721,0,6347,61263,51
1722743200801,0,6313,7249,50
1722743201881,0,6322,4958,49
1722743202961,0,6318,6403,49
1722743203682,0,6303,5709,49
1722743204759,0,6304,0,50
1722743205839,0,6304,0,50
1722743206919,0,6304,0,50
1722743208000,0,6304,0,0
1722743208719,0,6329,0,0
1722743209799,0,6329,0,0
1722743210879,0,6329,0,0
1722743211959,0,6334,0,0
1722743212680,0,6337,0,0
1722743213760,0,6323,0,0
1722743214840,0,6364,0,0
1722743215920,0,6424,0,0
1722743216998,0,6425,0,0
1722743217718,0,6402,0,0
1722743218798,0,6391,0,0
1722743219878,0,6374,0,0
1722743220959,0,6360,0,0
1722743221678,0,6336,0,0
1722743222758,0,6325,37867,0
1722743223839,0,6319,61203,0
1722743224919,0,6319,9846,0
