UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1722740786423,0,0,0,0
1722740787143,0,0,0,0
1722740788223,0,0,0,0
1722740788946,0,0,0,0
1722740790026,0,0,0,0
1722740790746,0,0,0,0
1722740791826,0,0,20562,2
1722740792906,0,7369,34869,0
1722740793986,0,7369,24941,0
1722740795066,0,9412,7253,0
1722740795794,0,9803,8704,0
1722740796873,0,9803,43648,0
1722740797956,0,9803,31505,0
1722740799032,0,9803,31505,0
1722740799751,0,9803,31505,0
1722740800838,0,10243,14443,0
1722740801918,0,7655,30712,0
1722740802999,0,6383,0,0
1722740804079,0,6642,0,0
1722740804797,0,6786,0,0
1722740805877,0,6999,0,0
1722740806954,0,7016,0,0
1722740808034,0,7043,0,0
1722740808754,0,7106,0,0
1722740809834,0,7148,0,0
1722740810914,0,7188,0,0
1722740811995,0,7188,0,0
1722740813073,0,7090,0,0
1722740813793,0,7112,0,0
1722740814873,0,7134,0,0
1722740815953,0,7142,0,0
1722740817033,0,7146,0,0
1722740817753,0,7147,0,0
1722740818833,0,7216,0,0
1722740819912,0,7308,0,0
1722740820992,0,7320,0,0
1722740822072,0,7335,0,0
1722740822792,0,7346,0,0
1722740823871,0,7361,0,0
1722740824952,0,7361,0,0
1722740826031,0,7385,0,0
1722740826751,0,7385,0,0
1722740827830,0,7397,0,0
1722740828910,0,7408,0,0
1722740829990,0,7366,0,0
1722740831070,0,7291,0,0
1722740831790,0,7318,0,0
1722740832870,0,7334,0,0
1722740833950,0,7342,0,0
1722740835030,0,7306,0,0
1722740835749,0,7343,0,0
1722740836829,0,7338,0,57
1722740837909,0,7314,0,0
1722740838989,0,7273,0,0
1722740840069,0,7161,0,0
1722740840790,0,7053,0,0
1722740841869,0,7009,0,0
1722740842949,0,6981,0,0
1722740844028,0,6981,0,0
1722740844748,0,6965,0,55
1722740845828,0,6965,59689,55
1722740846908,0,6907,37381,55
1722740847988,0,6877,30876,55
1722740849068,0,6851,26104,55
1722740849788,0,6940,26104,54
1722740850869,0,6986,26104,54
1722740851946,0,6943,22364,53
1722740853027,0,6866,28469,55
1722740853746,0,6866,30703,58
1722740854827,0,6831,58350,57
1722740855907,0,6845,28003,56
1722740856987,0,6883,61424,55
1722740858067,0,6888,0,55
1722740858787,0,6888,60944,56
1722740859519,0,6890,35472,56
1722740860599,0,6910,24349,56
1722740861679,96,6919,20338,56
1722740862399,96,6922,16650,56
1722740863479,96,6922,13973,59
1722740864560,95,6918,9562,59
1722740865639,95,6941,7833,57
1722740866719,95,6941,7523,59
1722740867438,95,6965,5189,59
1722740868517,96,6991,4456,59
1722740869598,96,7016,5072,58
1722740870678,96,7056,7201,58
1722740871399,96,7101,16176,54
1722740872478,96,7101,18269,54
1722740873559,95,7109,21371,54
1722740874638,94,7106,21516,54
1722740875717,94,7106,22099,54
1722740876438,94,7109,21513,54
1722740877517,94,7123,15928,54
1722740878597,94,7133,13638,56
1722740879677,95,7136,8488,57
1722740880397,94,7138,8192,56
1722740881477,94,7135,6712,55
1722740882557,93,7133,5328,55
1722740883635,93,7122,4987,55
1722740884715,92,7104,4714,56
1722740885436,92,7086,3683,56
1722740886515,92,7070,2867,55
1722740887595,93,7055,2299,55
1722740888676,93,7046,2148,55
1722740889396,94,7037,2062,55
1722740890476,94,7037,1923,55
1722740891554,94,7031,1855,56
1722740892634,94,7031,1799,55
1722740893714,94,7027,1689,55
1722740894434,94,7025,1766,54
1722740895514,94,7026,1808,54
1722740896594,94,7023,1924,55
1722740897674,94,7022,2039,56
1722740898395,95,7025,2046,56
1722740899473,95,7027,1992,56
1722740900553,95,7030,2064,55
1722740901633,94,7030,2126,55
1722740902713,94,7039,2237,56
1722740903433,94,7048,3006,56
1722740904513,94,7056,3046,56
1722740905593,94,7056,3279,56
1722740906673,94,7070,7413,56
1722740907394,94,7089,4322,55
1722740908472,94,7111,6406,55
1722740909552,93,7124,5325,55
1722740910632,93,7132,2482,56
