UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1723086923642,0,0,0,0
1723086924362,0,0,0,0
1723086925442,0,0,0,0
1723086926522,0,0,0,0
1723086927603,0,0,0,0
1723086928323,0,0,0,0
1723086929056,0,0,22450,0
1723086930138,0,12686,6574,0
1723086931218,0,12689,51786,0
1723086932299,0,12689,17358,0
1723086933019,0,12690,39356,0
1723086934099,0,12692,64256,0
1723086935179,0,12698,58713,0
1723086936260,0,12698,29248,0
1723086936975,0,12692,11516,0
1723086938055,97,12697,43830,0
1723086939135,97,12695,14774,0
1723086940216,97,12695,27591,0
1723086941294,97,12695,592,46
1723086942013,97,12697,45521,46
1723086943093,97,12690,14613,45
1723086944174,97,12690,63668,45
1723086945254,97,12692,53076,45
1723086945974,96,12686,37527,45
1723086947054,97,12685,29220,46
1723086948134,96,12676,23922,46
1723086949214,96,12676,16506,46
1723086950295,95,12671,12902,46
1723086951015,95,12660,10703,46
1723086952094,94,12656,6279,46
1723086953173,93,12646,5478,46
1723086954253,93,12635,5591,46
1723086954973,93,12645,15988,47
1723086956054,93,12635,18576,46
1723086957134,93,12623,22158,45
1723086958214,94,12623,27638,46
1723086959294,96,12617,36778,47
1723086960014,96,12620,53841,48
1723086961093,96,12632,29536,46
1723086962174,96,12632,0,46
1723086963254,96,12649,9955,45
1723086963973,96,12646,6954,46
1723086965052,96,12644,5385,46
1723086966132,95,12644,4689,46
1723086967212,95,12653,4098,45
1723086968293,95,12654,3555,45
1723086969012,95,12660,3011,45
1723086970092,95,12660,2430,45
1723086971172,95,12661,2342,45
1723086972253,94,12662,2423,45
1723086972972,94,12664,2212,45
1723086974053,94,12664,2154,45
1723086975133,94,12659,6485,45
1723086976213,94,12665,12286,44
1723086977292,94,12654,12952,45
1723086978011,94,12654,13694,45
1723086979091,94,12655,14160,45
1723086980171,94,12649,14173,45
1723086981251,94,12647,12832,45
1723086981971,94,12647,11232,45
1723086983051,94,12645,6620,45
1723086984131,94,12639,5765,45
1723086985211,94,12640,3556,45
1723086986292,94,12637,2955,45
1723086987011,94,12637,2979,45
1723086988092,94,12635,1805,45
1723086989172,94,12629,1775,45
1723086990250,95,12625,43266,46
1723086990970,95,12615,12997,46
1723086992050,95,12615,36692,46
1723086993130,96,12610,20272,46
1723086994210,96,12601,10029,46
1723086995290,96,12600,21883,45
1723086996010,96,12600,57086,45
1723086997090,97,12593,52523,45
1723086998171,97,12589,52736,45
1723086999251,96,12585,28730,46
1723086999971,96,12585,28179,46
1723087001051,96,12584,19703,46
1723087002129,96,12583,11499,45
1723087003209,96,12586,13441,45
1723087004289,96,12586,8619,45
1723087005010,96,12586,5125,45
1723087006089,96,12591,6369,46
1723087007169,96,12592,3967,46
1723087008249,96,12595,2571,46
1723087008970,96,12595,2931,46
1723087010050,96,12596,2460,46
1723087011130,96,12600,1819,46
1723087012210,96,12614,1835,46
1723087013290,96,12614,1810,45
1723087014009,95,12625,1861,45
1723087015088,95,12627,2207,45
1723087016168,95,12627,13654,45
1723087017248,95,12627,1504,45
1723087017968,95,12633,1333,45
1723087019049,95,12633,1240,45
1723087020128,94,12633,1221,45
1723087021209,94,12635,1282,45
1723087022288,93,12635,1379,45
1723087023009,93,12634,1388,45
1723087024089,93,12632,2056,45
1723087025169,93,12628,1415,45
1723087026247,94,12628,1054,46
1723087026967,94,12625,1280,47
1723087028047,94,12621,996,46
1723087029128,94,12618,877,46
1723087030207,94,12616,1066,46
1723087031287,94,12616,1087,46
1723087032007,93,12598,1940,46
1723087033087,93,12612,3639,46
1723087034168,92,12613,3985,45
1723087035248,91,12613,4367,45
1723087035968,91,12615,4518,44
1723087037048,91,12619,9723,44
1723087037782,92,12617,6030,45
1723087038861,92,12589,7298,44
1723087039941,92,12591,7132,44
1723087040661,92,12591,7128,44
1723087041741,93,12616,11166,44
1723087042821,93,12616,22718,44
1723087043900,93,12617,3671,44
1723087044620,93,12618,6319,47
1723087045700,93,12620,9861,46
1723087046781,93,12618,2476,46
1723087047860,94,12618,6227,46
1723087048940,94,12618,5136,46
1723087049660,94,12618,4174,46
1723087050739,94,12619,3455,46
1723087051819,95,12619,2978,46
1723087052899,95,12622,2546,46
1723087053619,95,12613,2278,45
1723087054699,95,12612,1681,45
1723087055779,95,12612,1544,45
1723087056859,96,12608,1391,45
1723087057939,96,12607,1291,45
1723087058660,96,12604,1295,44
1723087059739,96,12604,1485,44
1723087060819,96,12599,1371,44
1723087061899,96,12603,1397,44
1723087062618,96,12603,1452,45
1723087063698,96,12600,1125,44
1723087064778,96,12604,1080,44
1723087065858,96,12596,1150,44
1723087066938,96,12596,1203,44
1723087067659,96,12593,1481,44
1723087068738,97,12580,1685,45
1723087069818,97,12572,1862,45
1723087070898,97,12572,2013,45
1723087071618,97,12571,1989,44
1723087072698,97,12563,1987,44
1723087073778,97,12570,1813,44
1723087074857,96,12570,1633,44
1723087075937,96,12576,1534,44
1723087076657,96,12575,1512,44
1723087077737,96,12591,2033,44
1723087078817,97,12591,2279,43
