UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1723267678413,0,0,0,0
1723267679133,0,0,0,0
1723267680213,0,0,0,0
1723267681292,0,0,0,0
1723267682372,0,0,0,0
1723267683093,0,0,0,0
1723267683815,0,6976,11019,0
1723267684895,0,6972,12237,0
1723267685975,0,6965,10273,0
1723267687056,0,6959,55676,0
1723267687775,0,6956,53704,0
1723267688855,0,6956,17979,0
1723267689935,0,6916,1983,0
1723267691016,0,6901,25602,0
1723267691736,0,6614,13818,0
1723267692816,0,6614,0,0
1723267693896,0,6486,0,0
1723267694976,0,6777,0,0
1723267696056,0,6777,0,0
1723267696775,0,6936,0,0
1723267697855,0,6936,0,0
1723267698935,0,6950,0,0
1723267700015,0,6946,0,0
1723267700736,0,6940,0,0
1723267701815,0,6940,0,0
1723267702896,97,6954,0,0
1723267703976,97,6967,0,0
1723267705061,97,6972,0,0
1723267705783,96,6986,47756,0
1723267706864,96,7040,29587,0
1723267707945,96,7071,23213,0
1723267709021,96,7071,23213,0
1723267709742,96,7071,23213,0
1723267710827,96,7071,19739,0
1723267711906,97,7145,16716,0
1723267712987,97,7165,23035,0
1723267714067,97,7174,24077,0
1723267714787,0,7174,27070,0
1723267715867,0,7267,33437,0
1723267716948,0,7281,43191,0
1723267718027,0,7261,63191,0
1723267718747,0,7271,49938,0
1723267719827,0,7297,0,0
1723267720908,96,7323,0,0
1723267721988,96,7282,0,0
1723267723067,96,7247,0,0
1723267723787,96,7254,0,0
1723267724868,96,7268,0,0
1723267725945,96,7271,0,0
1723267727025,96,7280,0,0
1723267727743,96,7292,0,0
1723267728823,96,7293,0,0
1723267729904,96,7293,0,0
1723267730983,96,7312,0,0
1723267732063,96,7325,0,0
1723267732782,96,7325,0,0
1723267733863,96,7346,0,0
1723267734943,96,7356,12950,0
1723267736023,96,7365,13166,0
1723267736743,95,7369,12098,0
1723267737823,95,7374,9504,0
1723267738903,95,7374,8014,0
1723267739983,95,7391,7565,0
1723267741063,95,7391,7902,0
1723267741783,95,7400,8095,0
1723267742865,96,7400,7495,0
1723267743942,96,7404,8215,0
1723267745022,96,7406,14526,0
1723267745742,96,7410,0,0
1723267746822,96,7408,45118,0
1723267747902,96,7411,45294,0
1723267748982,96,7414,18673,0
1723267750062,96,7413,5387,0
1723267750782,96,7413,4664,0
1723267751862,96,7433,3895,0
1723267752942,95,7436,3379,0
1723267754022,95,7442,3652,0
1723267754742,95,7442,3367,0
1723267755823,95,7437,3573,0
1723267756903,95,7437,3104,0
1723267757983,95,7458,3186,0
1723267759063,95,7458,3262,0
1723267759783,95,7460,2568,0
1723267760861,95,7460,2670,0
1723267761941,95,7471,2199,0
1723267763022,95,7470,19834,0
1723267763742,95,7508,23410,0
1723267764822,95,7535,28571,0
1723267765902,95,7544,36693,0
1723267766982,95,7583,51342,0
1723267768062,95,7545,19929,0
1723267768782,95,7508,18907,0
1723267769862,95,7461,28146,0
1723267770942,95,7482,45192,0
1723267772022,95,7467,46024,0
1723267772742,95,7447,11331,0
1723267773822,95,7445,34341,0
1723267774902,95,7453,0,0
1723267775982,95,7459,0,0
1723267777062,95,7463,0,0
1723267777781,95,7468,0,0
1723267778861,95,7471,20734,0
1723267779941,96,7481,50932,0
1723267781021,96,7481,32801,0
1723267781741,96,7506,26703,0
1723267782821,96,7509,22133,0
1723267783901,96,7509,18969,0
1723267784981,96,7511,13701,0
1723267786061,96,7509,10951,0
1723267786781,96,7512,8683,0
1723267787861,96,7522,6287,0
1723267788941,96,7522,4644,0
1723267790021,96,7526,4014,0
1723267790741,96,7526,2938,0
1723267791821,96,7545,2601,0
1723267792901,96,7544,2220,0
1723267793981,96,7551,7270,0
1723267795060,96,7550,19940,0
1723267795780,96,7543,21689,0
1723267796860,96,7541,26091,0
1723267797940,96,7540,32578,0
1723267799020,96,7540,43098,0
1723267799740,96,7551,64680,0
1723267800820,96,7560,33554,0
1723267801900,96,7561,0,0
1723267802981,96,7580,0,0
1723267804060,95,7585,0,0
1723267804780,95,7585,48011,0
1723267805860,95,7601,29406,0
1723267806940,95,7594,23716,0
1723267808020,95,7590,19418,0
1723267808740,95,7580,14899,0
1723267809820,96,7571,13069,0
1723267810900,96,7562,9258,0
1723267811979,96,7560,8486,60
1723267813059,96,7560,8536,62
1723267813779,96,7576,6851,59
1723267814859,96,7579,6732,58
1723267815939,96,7579,11062,58
1723267817019,96,7609,13627,58
1723267817739,96,7634,16233,0
1723267818819,96,7619,19369,0
1723267819899,96,7607,26503,0
1723267820979,95,7598,43316,0
1723267822059,95,7596,11102,0
1723267822779,95,7596,4138,54
1723267823859,95,7594,58882,58
1723267824940,94,7593,0,55
1723267826020,94,7593,0,62
1723267826740,95,7605,0,60
1723267827820,95,7612,20276,60
1723267828553,95,7616,11711,59
1723267829632,96,7613,9337,59
1723267830712,96,7609,7332,59
1723267831432,96,7610,6053,62
1723267832512,96,7625,5190,63
1723267833592,95,7622,4182,58
1723267834672,94,7622,2811,59
1723267835392,94,7628,2133,63
1723267836472,94,7634,1967,60
1723267837552,94,7636,1888,58
1723267838632,94,7630,1826,58
1723267839713,94,7625,7896,59
1723267840432,94,7625,4855,60
1723267841512,94,7634,4570,63
1723267842592,95,7630,3679,59
1723267843672,95,7628,2432,59
1723267844392,95,7633,2823,58
1723267845473,95,7630,2210,58
1723267846552,95,7630,2406,0
1723267847632,95,7643,2807,0
1723267848712,95,7672,3276,0
1723267849432,95,7672,3770,0
1723267850513,95,7629,4230,0
1723267851592,95,7629,4445,0
1723267852673,95,7619,5361,0
1723267853392,95,7616,5809,0
1723267854472,96,7598,26053,54
1723267855552,96,7607,63939,54
1723267856632,96,7632,0,52
1723267857713,96,7628,0,53
1723267858432,96,7616,0,53
1723267859512,96,7608,0,53
1723267860592,96,7607,0,54
1723267861673,96,7607,0,54
1723267862392,96,7619,0,53
1723267863470,96,7640,0,53
1723267864551,96,7656,27044,53
1723267865631,96,7661,14814,54
1723267866710,95,7664,9543,54
