UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1723441360922,0,0,0,0
1723441361642,0,0,0,0
1723441362722,0,0,0,0
1723441363801,0,0,0,0
1723441364881,0,0,0,0
1723441365602,0,0,0,0
1723441366331,0,0,26775,0
1723441367413,0,7550,12422,0
1723441368496,0,7576,52254,0
1723441369578,0,7643,28196,0
1723441370298,0,7662,20728,0
1723441371379,0,7662,42294,0
1723441372459,0,7595,59885,0
1723441373540,0,7576,36410,0
1723441374259,0,7555,15239,0
1723441375339,97,7555,0,0
1723441376420,97,7556,0,0
1723441377501,97,7556,0,0
1723441378578,97,7556,0,0
1723441379297,97,7666,0,0
1723441380378,97,7666,0,0
1723441381457,97,7675,0,0
1723441382538,97,7680,0,0
1723441383257,97,7681,29668,0
1723441384337,97,7664,19743,63
1723441385414,97,7652,18037,63
1723441386494,97,7638,14751,63
1723441387574,97,7628,12277,62
1723441388294,97,7621,10827,62
1723441389374,97,7600,7885,62
1723441390453,97,7578,7398,62
1723441391532,97,7558,4938,62
1723441392252,97,7549,4058,62
1723441393332,96,7538,3728,61
1723441394412,96,7533,2438,60
1723441395492,95,7531,2293,59
1723441396572,95,7537,2001,58
1723441397292,94,7546,1511,58
1723441398373,93,7545,1534,58
1723441399453,93,7545,1401,59
1723441400533,92,7540,1385,58
1723441401253,91,7539,1402,57
1723441402331,90,7541,1412,57
1723441403411,90,7545,1248,57
1723441404492,90,7549,1181,57
1723441405572,91,7548,1003,57
1723441406292,92,7548,1201,56
1723441407372,93,7548,1211,56
1723441408452,93,7555,1235,57
1723441409532,93,7568,1313,56
1723441410252,93,7577,1453,56
1723441411332,93,7581,1456,56
1723441412413,93,7586,1434,56
1723441413491,92,7590,1411,56
1723441414571,91,7594,1464,56
1723441415291,90,7593,1542,56
1723441416371,90,7588,1573,56
1723441417451,89,7587,1655,56
1723441418531,88,7592,1736,56
1723441419251,88,7598,1746,56
1723441420331,87,7603,1821,56
1723441421411,86,7601,1753,56
1723441422491,86,7599,1816,57
1723441423571,85,7602,1759,57
1723441424291,85,7606,1848,56
1723441425372,85,7606,1843,56
1723441426450,86,7621,1668,56
1723441427530,87,7629,45779,56
1723441428250,88,7627,20646,56
1723441429330,89,7618,30274,56
1723441430410,90,7609,1304,56
1723441431490,91,7606,1137,56
1723441432570,92,7600,1124,56
1723441433290,93,7600,1243,57
1723441434370,93,7599,1350,56
1723441435450,93,7596,1394,56
1723441436530,93,7591,1352,56
1723441437250,93,7596,1483,57
1723441438329,93,7594,1500,57
1723441439409,93,7585,1398,57
1723441440489,93,7582,1323,56
1723441441569,93,7582,1344,57
1723441442289,92,7582,1391,57
1723441443369,92,7582,1238,57
1723441444449,91,7579,3039,57
1723441445529,91,7578,3071,57
1723441446249,90,7578,4097,57
1723441447329,90,7578,1742,57
1723441448409,90,7578,2117,57
1723441449489,90,7577,1684,56
1723441450568,91,7580,1571,56
1723441451288,91,7580,1790,57
1723441452368,92,7578,1538,57
1723441453448,92,7582,1739,57
1723441454528,92,7575,1547,57
1723441455248,92,7570,1538,57
