UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1723610474126,0,0,0,0
1723610474846,0,0,0,0
1723610475926,0,0,0,0
1723610477005,0,0,0,0
1723610478085,0,0,0,0
1723610478805,0,0,0,0
1723610479886,0,0,15610,0
1723610480617,0,8237,14602,0
1723610481699,0,8236,62655,0
1723610482782,0,8234,24545,0
1723610483502,0,8232,55701,0
1723610484582,0,8231,9964,0
1723610485663,0,8234,1600,0
1723610486743,0,8230,46798,61
1723610487459,0,8231,7640,61
1723610488538,97,8232,45087,61
1723610489618,97,8229,10323,61
1723610490698,97,8229,12852,62
1723610491778,97,8228,59871,62
1723610492498,96,8225,26502,62
1723610493579,96,8226,2354,62
1723610494658,96,8221,59135,63
1723610495737,95,8222,42340,63
1723610496457,95,8225,30781,63
1723610497537,95,8221,26815,63
1723610498617,95,8224,18886,63
1723610499698,95,8226,13658,63
1723610500778,95,8226,11772,62
1723610501498,95,8228,8192,62
1723610502578,95,8229,5478,62
1723610503658,95,8230,4664,62
1723610504738,95,8236,3526,63
1723610505458,95,8238,2898,63
1723610506538,94,8235,2626,63
1723610507618,94,8232,1817,64
1723610508698,93,8228,1808,65
1723610509778,93,8230,1684,65
1723610510498,93,8232,1709,65
1723610511577,93,8233,1791,65
1723610512657,94,8245,2030,64
1723610513737,94,8254,2089,63
1723610514457,94,8254,2184,63
1723610515537,93,8267,2060,64
1723610516617,93,8267,2060,65
1723610517697,94,8285,2182,68
1723610518777,92,8294,2136,68
1723610519497,92,8307,2103,68
1723610520577,93,8307,2102,69
1723610521657,94,8307,1993,70
1723610522737,95,8315,1886,70
1723610523457,95,8318,1937,69
1723610524538,95,8329,1659,69
1723610525618,95,8345,1595,68
1723610526696,95,8342,1377,68
1723610527776,95,8349,1290,67
1723610528496,95,8348,1233,67
1723610529576,95,8348,1206,67
1723610530656,95,8341,1347,67
1723610531736,95,8331,1524,67
1723610532456,95,8329,1528,67
1723610533536,95,8324,1518,67
1723610534616,94,8305,1536,67
1723610535696,94,8299,1560,67
1723610536777,94,8299,1301,67
1723610537496,93,8297,1181,66
1723610538577,93,8295,1192,65
1723610539656,93,8285,1328,65
1723610540737,93,8286,37599,65
1723610541455,93,8281,49317,65
1723610542535,94,8276,30364,65
1723610543615,94,8270,27350,64
1723610544695,94,8266,34963,64
1723610545775,94,8264,2303,63
1723610546495,94,8264,53955,62
1723610547575,94,8261,61866,61
1723610548655,95,8252,35318,61
1723610549735,95,8250,25198,61
1723610550455,95,8245,24472,61
1723610551536,95,8238,10614,62
1723610552616,95,8226,13763,63
1723610553696,95,8225,11032,63
1723610554776,95,8222,5120,62
1723610555496,95,8219,6336,62
1723610556574,95,8224,5231,63
1723610557654,95,8229,2383,63
1723610558734,95,8230,2763,62
1723610559454,95,8233,2768,62
1723610560534,95,8236,1960,62
1723610561614,95,8236,1786,63
1723610562695,95,8237,1582,63
1723610563775,95,8239,1584,63
1723610564495,94,8244,1388,63
1723610565575,94,8249,1271,63
1723610566655,93,8252,1194,62
1723610567735,93,8254,1246,61
1723610568455,93,8255,1159,61
1723610569535,92,8255,1143,61
1723610570615,92,8252,1422,61
1723610571693,92,8253,1055,62
1723610572774,92,8247,1175,63
1723610573494,92,8246,1430,63
1723610574574,92,8249,1678,63
1723610575653,92,8251,1709,63
1723610576734,92,8254,1705,63
1723610577454,93,8257,1529,62
1723610578534,93,8260,1590,61
1723610579614,93,8264,1341,60
1723610580694,93,8264,1116,60
1723610581774,94,8263,985,61
1723610582494,94,8264,1110,61
1723610583574,94,8265,1251,60
1723610584654,94,8263,1304,61
1723610585734,94,8263,1442,62
1723610586454,94,8263,1662,62
1723610587533,94,8263,1915,62
1723610588613,93,8264,1845,63
1723610589693,93,8267,1868,63
1723610590773,93,8273,1910,61
1723610591493,93,8277,1684,61
1723610592573,93,8283,1680,61
1723610593653,93,8291,1132,61
1723610594733,93,8296,1072,61
1723610595453,92,8298,1149,61
1723610596533,92,8300,998,61
1723610597613,91,8300,986,61
1723610598693,91,8299,1204,61
1723610599773,90,8301,1352,61
1723610600493,90,8307,1467,61
1723610601573,90,8309,1480,61
1723610602652,89,8311,1646,60
1723610603732,89,8311,1501,60
1723610604452,89,8314,1417,61
1723610605532,88,8312,1337,60
1723610606612,88,8316,1212,60
1723610607692,88,8318,1494,61
1723610608772,88,8320,1320,61
1723610609492,89,8323,1364,60
1723610610572,89,8324,1429,60
1723610611652,90,8324,1385,61
1723610612732,91,8328,1278,61
1723610613452,91,8330,1315,61
1723610614532,91,8332,1321,61
1723610615612,92,8334,1350,62
1723610616692,92,8335,1436,63
1723610617772,92,8336,1670,62
1723610618145,92,8336,1681,62
1723610619224,92,8342,2026,63
1723610620305,93,8349,2068,63
1723610621385,94,8352,2218,65
1723610622105,95,8359,2294,64
1723610623185,95,8380,2352,63
1723610624265,95,8380,2271,63
1723610625345,95,8404,1955,64
1723610626425,95,8411,1974,64
1723610627145,96,8416,1746,65
1723610628225,96,8427,1710,65
1723610629305,96,8438,1805,65
1723610630385,95,8443,2046,65
1723610631105,95,8442,2071,65
1723610632185,96,8442,2110,66
1723610633265,96,8436,2176,66
1723610634344,95,8431,2078,66
1723610635424,95,8421,1911,66
1723610636144,95,8411,1789,67
1723610637224,95,8398,1758,66
1723610638304,94,8387,1726,66
1723610639384,94,8377,1780,67
1723610640104,93,8371,1773,67
1723610641184,93,8362,1801,67
1723610642264,93,8350,1879,66
1723610643344,94,8344,1891,66
1723610644424,93,8337,1900,66
