UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1721565456196,0,0,0,0
1721565456916,0,0,0,0
1721565457996,0,0,0,0
1721565459076,0,0,0,0
1721565460156,0,0,0,0
1721565460876,0,0,0,0
1721565461957,0,7751,22693,0
1721565463037,0,7755,20224,0
1721565463770,0,7754,51132,0
1721565464853,0,7760,3954,0
1721565465572,0,7762,33160,0
1721565466653,0,7757,43730,80
1721565467733,0,7755,29275,80
1721565468813,0,7745,63248,81
1721565469533,0,7742,23982,80
1721565470608,96,7738,9121,81
1721565471689,96,7741,35572,81
1721565472769,96,7743,53301,81
1721565473849,95,7737,40655,81
1721565474569,94,7737,5320,81
1721565475649,93,7741,56908,81
1721565476729,92,7743,50626,81
1721565477809,91,7739,31759,81
1721565478529,91,7738,25317,81
1721565479609,90,7749,22607,80
1721565480689,90,7749,13826,81
1721565481768,90,7747,11107,81
1721565482848,90,7747,10055,81
1721565483568,90,7747,6485,81
1721565484648,89,7741,4912,81
1721565485729,89,7745,3646,80
1721565486809,89,7753,2521,80
1721565487529,89,7748,2491,81
1721565488609,89,7745,2158,81
1721565489689,89,7747,1860,81
1721565490769,89,7753,2796,81
1721565491849,89,7758,6727,81
1721565492569,89,7756,8826,80
1721565493649,89,7758,9865,80
1721565494730,89,7758,10052,81
1721565495809,89,7758,10331,81
1721565496529,89,7757,10304,81
1721565497609,88,7756,8489,81
1721565498689,88,7759,6368,81
1721565499768,88,7761,4589,81
1721565500848,89,7763,4239,81
1721565501568,89,7761,3465,81
1721565502648,89,7759,2766,81
1721565503728,89,7756,2434,81
1721565504808,89,7751,2070,81
1721565505528,89,7752,2083,81
1721565506608,89,7750,2045,81
1721565507689,89,7752,2018,81
1721565508768,89,7755,2054,81
1721565509848,89,7751,2062,81
1721565510568,89,7752,1658,80
1721565511648,89,7754,1538,80
1721565512728,89,7750,1558,80
1721565513808,89,7749,1637,80
1721565514528,89,7750,1552,81
1721565515608,90,7752,1494,81
1721565516687,90,7750,1568,81
1721565517767,90,7749,1520,81
1721565518847,90,7748,1509,81
1721565519567,89,7745,1395,81
1721565520648,89,7746,1301,81
1721565521727,89,7746,1318,81
1721565522807,89,7746,43378,81
1721565523527,89,7745,41119,81
1721565524608,89,7748,5688,81
1721565525687,89,7745,20736,80
1721565526768,89,7741,22199,81
1721565527848,89,7756,41773,80
1721565528568,89,7752,5915,80
1721565529648,89,7669,29754,80
1721565530728,89,7647,39143,81
1721565531808,89,7620,21857,82
1721565532528,89,7622,53898,82
1721565533608,90,7635,63970,82
1721565534686,91,7645,58414,82
1721565535766,93,7667,42198,83
