UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1702044800559,0,0,0,0
1702044801279,0,0,0,0
1702044802359,0,0,0,0
1702044803088,0,0,0,0
1702044804170,0,6174,0,0
1702044804892,0,6177,35847,0
1702044805972,0,6179,19058,0
1702044807053,0,6181,64950,0
1702044808133,0,6181,19818,0
1702044809214,0,6137,43264,0
1702044809933,0,6091,56926,0
1702044811015,0,6102,53097,0
1702044812092,0,6102,43200,0
1702044813173,0,6133,11531,0
1702044813892,0,6050,51893,0
1702044814972,0,6059,27648,0
1702044816052,0,6059,49633,0
1702044817132,0,6056,36116,0
1702044818212,0,6052,5389,0
1702044818933,0,6052,56878,0
1702044820011,0,6039,50478,0
1702044821091,0,6032,33144,0
1702044822171,0,6030,26192,0
1702044822890,0,6023,23045,0
1702044823971,0,6014,14571,0
1702044825051,0,6010,11434,0
1702044826132,0,6010,9879,0
1702044827206,0,5983,5425,0
1702044827928,0,6059,4458,0
1702044829007,0,6092,3607,0
1702044830087,0,6092,2652,0
1702044831167,0,6092,2822,0
1702044831888,0,6092,2951,0
1702044832967,0,7647,3231,0
1702044834048,0,8495,0,0
1702044835126,0,10087,0,0
1702044836206,0,10739,0,0
1702044836926,0,10739,0,0
1702044838006,0,8084,0,0
1702044839086,0,7849,0,0
1702044840167,0,7849,0,0
1702044840885,0,7849,0,0
1702044841967,0,7849,0,0
1702044843045,0,7849,0,0
1702044844125,0,7431,0,0
1702044845205,0,7512,0,0
1702044845926,0,7512,0,0
1702044847005,0,7512,0,0
1702044848086,0,7379,0,0
1702044849165,0,7391,0,0
1702044849885,0,7435,0,0
1702044850966,0,7455,0,0
1702044852045,0,7480,0,0
1702044853124,0,7489,0,0
1702044854205,0,7513,0,0
1702044854924,0,7529,0,0
1702044856004,0,7495,0,0
1702044857084,0,7486,0,0
1702044858164,0,7481,0,0
1702044858884,0,7375,0,0
1702044859963,0,7415,0,0
1702044861043,0,7460,0,0
1702044862123,0,7452,0,0
1702044863203,0,7403,0,0
1702044863923,0,7383,0,0
1702044865004,0,7401,0,0
1702044866083,0,7394,0,0
1702044867164,0,7353,18312,86
1702044867882,0,7323,2771,86
1702044868962,0,7331,40360,86
1702044870042,0,7354,12542,85
1702044871122,0,7422,56351,85
1702044872202,0,7473,9349,0
1702044872922,0,7387,17011,0
1702044874003,0,7497,29963,0
1702044875082,0,7663,57877,0
1702044875815,0,7482,28260,0
1702044876535,0,7482,60365,0
1702044877614,0,7673,21056,0
1702044878695,0,7665,56431,0
1702044879775,0,7749,50180,0
1702044880854,0,7792,40267,0
1702044881574,0,7779,22910,0
1702044882655,0,7753,43501,0
1702044883733,0,7720,19289,0
1702044884814,0,7695,30705,0
1702044885534,0,7685,17651,0
1702044886613,0,7663,9798,0
1702044887694,0,7758,7831,0
1702044888773,0,7751,8533,0
1702044889854,0,7751,0,0
1702044890575,0,7795,0,0
1702044891654,0,7744,0,0
1702044892732,0,7736,0,0
1702044893813,0,7750,0,0
1702044894533,0,7750,0,85
1702044895612,0,7749,48613,85
1702044896693,0,7749,5468,0
1702044897772,0,7641,5468,0
1702044898853,0,7621,5468,0
1702044899572,0,7672,5468,0
1702044900651,0,7749,5468,0
1702044901731,0,7681,18942,0
