UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1702041692607,0,0,0,0
1702041693327,0,0,0,0
1702041694407,0,0,0,0
1702041695487,0,0,0,0
1702041696218,0,0,0,0
1702041696941,0,6693,38015,0
1702041698020,0,6683,31775,0
1702041699102,0,6664,14554,0
1702041700183,0,6664,34668,0
1702041701263,0,6664,60622,0
1702041701982,0,6664,10006,0
1702041703063,0,6664,6486,0
1702041704142,0,6664,60204,0
1702041705223,0,6080,22695,0
1702041705941,0,6090,61641,0
1702041707021,0,6149,37018,0
1702041708101,0,6167,52725,0
1702041709181,0,6159,38714,0
1702041710258,0,6112,7495,0
1702041710979,0,6133,57205,60
1702041712059,0,6064,50216,60
1702041713139,0,6057,32954,60
1702041714218,0,6040,25799,60
1702041714939,0,6033,22675,60
1702041716018,0,6033,14726,60
1702041717098,0,6062,11565,59
1702041718177,0,6079,9957,59
1702041719256,0,6079,6715,59
1702041719977,0,6076,5256,59
1702041721057,0,6151,3951,59
1702041722138,0,6457,3843,59
1702041723217,0,6457,6854,59
1702041723937,0,6177,28859,59
1702041725017,0,5528,33619,59
1702041726095,0,5922,40319,59
1702041727175,0,6119,50379,59
1702041728256,0,6457,1441,59
1702041728976,0,6457,32781,59
1702041730056,96,7505,60773,0
1702041731136,96,6485,0,0
1702041732216,96,6485,0,0
1702041732936,96,6485,0,0
1702041734017,96,6485,0,0
1702041735095,96,6485,0,0
1702041736176,97,5412,0,0
1702041737256,97,5415,0,0
1702041737976,97,5414,0,0
1702041739056,96,5426,0,0
1702041740136,96,5433,35241,0
1702041741216,96,5437,3306,0
1702041741936,95,5436,55895,0
1702041743015,94,5429,45760,0
1702041744096,93,5401,35272,0
1702041745174,92,5395,30705,0
1702041746255,92,5392,22012,0
1702041746974,91,5402,18859,0
1702041748054,91,5402,13574,0
1702041749134,91,5407,10083,81
1702041750214,91,5408,8823,0
1702041750935,91,5434,7112,0
1702041752015,91,5492,6297,0
1702041753095,91,5474,7193,0
1702041754175,91,5474,4842,0
1702041755254,91,5397,5606,0
1702041755974,91,5397,0,0
1702041757054,91,5423,0,0
1702041758134,91,5445,47404,0
1702041759213,0,5442,36669,0
1702041759933,0,5535,23583,0
1702041761014,0,5535,23814,0
1702041762094,0,5693,44156,0
1702041763174,0,5693,63114,0
1702041764254,0,5679,5222,0
1702041764974,0,5675,19360,0
1702041766052,0,5649,33947,0
1702041767132,0,5668,10137,0
1702041768212,0,5671,61031,0
1702041768932,0,5576,29724,0
1702041770013,0,5529,49594,0
1702041771092,0,5477,49456,0
1702041772172,0,5543,45186,0
1702041773253,0,5666,14742,0
1702041773973,0,5669,47151,0
1702041775053,0,5679,20831,0
1702041776131,0,5695,41881,0
1702041777211,0,5665,17771,0
1702041777931,0,5629,7645,0
1702041779011,93,5629,15324,0
1702041780091,93,5646,10838,0
1702041781171,93,5552,7295,0
1702041782251,93,5587,12559,0
1702041782971,93,5587,26776,0
1702041784052,93,5587,17702,0
1702041785132,92,5675,56010,0
1702041785864,93,5712,0,0
1702041786584,93,5740,0,0
1702041787665,93,5737,0,81
1702041788744,93,5725,43721,80
1702041789824,93,5697,56920,80
1702041790904,94,5697,41417,80
1702041791624,95,5699,30093,80
1702041792703,95,5672,24651,81
1702041793784,96,5645,21088,82
1702041794864,96,5567,13501,82
1702041795584,96,5526,12696,84
1702041796662,96,5515,10310,85
1702041797743,96,5571,7562,85
1702041798822,96,5631,7055,85
1702041799902,96,5746,7043,86
1702041800622,96,5748,13583,86
1702041801703,96,5748,10136,86
1702041802782,96,5783,11225,87
1702041803864,96,5783,7476,87
1702041804584,96,5958,11288,87
1702041805663,96,5958,11688,85
1702041806742,96,5958,12425,84
1702041807821,96,5958,12603,85
1702041808902,96,6155,12267,82
1702041809623,0,6192,12362,0
1702041810701,0,6226,12667,0
1702041811782,0,6268,13098,0
1702041812862,0,6265,12549,0
1702041813582,0,6263,13066,0
1702041814662,0,6255,17545,0
1702041815742,0,6280,0,0
1702041816820,0,6262,0,0
1702041817901,0,6232,0,0
1702041818621,0,6232,0,0
1702041819701,0,6130,0,0
1702041820781,0,6090,0,0
1702041821862,0,6033,0,0
1702041822582,0,6010,0,85
1702041823661,0,6109,60600,0
1702041824741,0,6159,60600,0
1702041825821,0,6131,60600,0
1702041826900,0,6090,60600,0
1702041827620,0,6102,60600,0
1702041828699,0,5997,60600,0
1702041829780,0,5997,0,0
1702041830860,0,5997,0,0
1702041831580,0,6128,0,0
1702041832661,0,6163,0,0
1702041833740,0,5992,0,0
1702041834821,0,6037,0,0
1702041835900,0,6037,0,0
1702041836620,0,6227,0,0
1702041837698,0,6352,0,0
1702041838778,0,6549,0,0
1702041839859,96,7300,0,0
1702041840579,96,7140,0,0
1702041841659,96,7140,0,0
1702041842739,96,7140,0,0
1702041843820,96,7068,0,0
1702041844899,96,7040,0,0
1702041845619,97,6994,0,86
1702041846700,97,6994,0,84
1702041847777,97,6947,42345,85
1702041848857,96,6912,44682,84
1702041849577,95,6891,33517,83
1702041850657,95,6877,22111,84
1702041851737,94,6873,18163,84
1702041852817,94,6884,15541,84
1702041853898,94,6886,14486,84
1702041854617,94,6878,9883,83
1702041855697,95,6846,8175,82
1702041856777,95,6823,7695,82
1702041857856,96,6799,7551,81
1702041858576,96,6779,6094,81
