UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1702389128090,0,0,0,0
1702389128810,0,0,0,0
1702389129890,0,0,0,0
1702389130970,0,0,0,0
1702389131700,0,6417,0,0
1702389132422,0,6419,42439,0
1702389133503,0,6420,34033,0
1702389134584,0,6421,9574,0
1702389135664,0,6423,38988,0
1702389136745,0,6421,59381,0
1702389137464,0,6421,10195,0
1702389138545,0,6426,11461,0
1702389139624,0,6428,57508,0
1702389140705,0,6428,33925,0
1702389141424,0,6426,61875,0
1702389142503,0,6424,34551,0
1702389143580,0,6408,57996,0
1702389144661,0,6420,29875,0
1702389145739,0,6421,12459,0
1702389146459,0,6422,60509,0
1702389147539,0,6421,44484,0
1702389148620,0,6423,35851,0
1702389149700,0,6416,27665,0
1702389150421,0,6415,18521,0
1702389151501,0,6415,16119,0
1702389152581,0,6420,12060,0
1702389153660,0,6418,10491,0
1702389154740,0,6418,10248,0
1702389155460,0,6421,6196,0
1702389156541,0,6419,0,0
1702389157620,0,6415,0,0
1702389158701,0,6445,0,0
1702389159421,0,6360,32134,0
1702389160500,0,6275,32134,0
1702389161581,0,6279,32134,0
1702389162661,0,6281,32134,0
1702389163741,0,6274,32134,0
1702389164459,0,6283,32134,0
1702389165540,0,6274,34411,0
1702389166619,0,6275,0,0
1702389167699,0,6276,4684,0
1702389168419,0,6275,3768,0
1702389169499,0,6280,3153,0
1702389170579,0,6273,2767,0
1702389171660,0,6276,2384,0
1702389172740,0,6274,2128,0
1702389173459,0,6280,1962,0
1702389174538,0,6274,1837,0
1702389175618,0,6273,1751,0
1702389176699,0,6275,1577,0
1702389177418,0,6272,1552,0
1702389178499,0,6273,1561,0
1702389179578,0,6274,1532,0
1702389180658,0,6268,1428,0
1702389181738,0,6272,1418,0
1702389182458,0,6268,1458,0
1702389183539,0,6271,1347,0
1702389184618,0,6270,1291,0
1702389185697,0,6274,1202,0
1702389186417,0,6269,1114,0
1702389187497,0,6269,1188,0
1702389188577,0,6270,1179,0
1702389189657,0,6268,1234,0
1702389190738,0,6269,1141,0
1702389191457,0,6263,1090,0
1702389192538,0,6269,1143,0
1702389193617,0,6266,11480,0
1702389194697,0,6268,24319,0
1702389195417,0,6269,31478,0
1702389196496,0,6262,3623,0
1702389197576,0,6267,39,0
1702389198656,0,6264,4000,110
1702389199736,0,6264,50527,108
1702389200457,0,6264,36048,109
1702389201536,0,6264,35578,109
1702389202616,0,6265,26198,109
1702389203696,0,6266,16137,108
1702389204416,0,6260,15462,107
1702389205497,0,6263,8844,108
1702389206575,0,6262,8927,108
1702389207655,0,6260,5016,113
1702389208735,0,6264,3266,0
1702389209455,0,6263,3290,0
1702389210536,0,6261,2152,0
1702389211615,0,6258,1782,0
1702389212695,0,6259,1858,0
1702389213415,0,6259,1915,0
1702389214495,0,6261,1894,0
