UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1702728265701,0,0,0,0
1702728266421,0,0,0,0
1702728267501,0,0,0,0
1702728268230,0,0,0,0
1702728269312,0,0,0,0
1702728270032,0,6871,0,0
1702728271115,0,6863,38564,0
1702728272194,0,6866,38095,0
1702728273276,0,6868,35053,0
1702728274356,0,6868,59371,0
1702728275074,0,6868,24179,0
1702728276155,0,6868,52804,0
1702728277234,0,6868,52128,0
1702728278315,0,6870,47156,0
1702728279031,0,6871,18129,0
1702728280111,0,6871,51218,0
1702728281191,0,6868,30209,0
1702728282270,0,6863,31323,0
1702728283350,0,6862,16123,0
1702728284070,0,6860,50269,0
1702728285150,0,6867,16811,0
1702728286230,0,6864,9274,0
1702728287310,0,6859,55379,0
1702728288031,0,6864,38210,0
1702728289109,0,6857,34175,0
1702728290189,0,6860,24788,0
1702728291269,0,6855,16999,0
1702728292350,0,6863,15391,0
1702728293070,0,6861,10552,0
1702728294151,0,6863,7109,0
1702728295230,0,6862,5979,0
1702728296309,0,6865,4006,0
1702728297029,0,6857,3336,0
1702728298110,0,6863,3050,0
1702728299189,0,6868,2758,0
1702728300269,0,6848,3127,0
1702728301349,0,6862,3747,0
1702728302069,0,7794,4308,0
1702728303149,0,8384,6239,0
1702728304227,0,8384,6239,0
1702728305307,0,8384,6239,0
1702728306028,0,8384,11887,0
1702728307108,0,8384,0,0
1702728308188,0,8263,0,0
1702728309268,0,8261,0,0
1702728310347,0,8255,0,0
1702728311067,0,8267,0,0
1702728312147,0,8261,19520,0
1702728313227,0,8263,13267,0
1702728314306,0,8260,9669,0
1702728315026,0,8257,8169,0
1702728316107,0,8257,6965,0
1702728317187,0,8257,5940,0
1702728318266,0,8257,4889,0
1702728319346,0,8266,3291,0
1702728320065,0,8261,3098,0
1702728321145,0,8261,2374,0
1702728322226,0,8267,1857,0
1702728323306,0,8273,1814,0
1702728324026,0,8283,1338,0
1702728325104,0,8285,1306,0
1702728326184,0,8282,1351,0
1702728327264,0,8278,1464,0
1702728328344,0,8277,1443,0
1702728329065,0,8296,1449,0
1702728330144,0,8301,1440,0
1702728331225,0,8294,1334,0
