UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1702904353173,0,0,0,0
1702904353893,0,0,0,0
1702904354973,0,0,0,0
1702904356053,0,0,0,0
1702904356784,0,0,0,0
1702904357507,0,0,36066,0
1702904358587,0,0,18898,0
1702904359667,0,0,50752,0
1702904360747,0,0,11948,0
1702904361828,0,0,32342,0
1702904362548,0,5921,38992,0
1702904363627,0,5918,37437,0
1702904364708,0,5911,21499,0
1702904365789,0,5900,56398,0
1702904366509,0,5891,30926,0
1702904367586,0,5890,1515,0
1702904368667,0,5907,36949,0
1702904369742,0,5907,13737,0
1702904370822,0,5909,55166,0
1702904371543,0,5898,49424,0
1702904372623,0,5887,37293,0
1702904373702,0,5887,24784,0
1702904374782,0,5883,22079,0
1702904375503,0,5882,16760,0
1702904376583,0,5868,11364,0
1702904377662,0,5849,10245,0
1702904378742,0,5858,7911,0
1702904379822,0,5879,5897,0
1702904380542,0,5877,5647,0
1702904381621,0,5872,4987,0
1702904382703,0,5871,4678,0
1702904383783,0,5868,4461,0
1702904384503,0,5861,4176,0
1702904385583,0,5863,3243,0
1702904386664,0,5866,2591,0
1702904387742,0,5872,2538,0
1702904388822,0,5857,3799,0
1702904389542,0,5843,4103,0
1702904390622,0,5837,4267,0
1702904391702,0,5835,4541,0
1702904392782,0,5825,4787,0
1702904393502,0,5800,4687,0
1702904394582,0,5810,3559,0
1702904395662,0,5827,3154,0
1702904396742,0,5832,2926,0
1702904397821,0,5834,2452,0
1702904398541,0,5840,2169,0
1702904399622,0,5832,1831,0
1702904400701,0,5820,2124,0
1702904401781,0,5817,2671,0
1702904402501,0,5792,2683,0
1702904403581,0,5792,2739,0
1702904404662,0,5770,2806,0
1702904405741,0,5767,3256,0
1702904406821,0,5767,3291,0
1702904407540,0,5760,3810,0
1702904408620,0,5730,4097,0
1702904409700,0,5732,4254,0
1702904410780,0,5731,4590,0
1702904411500,0,5731,4693,0
1702904412580,0,5748,4353,0
1702904413661,0,5729,4267,0
1702904414741,0,5730,3858,0
1702904415820,0,5733,3848,62
1702904416540,0,5734,3212,61
1702904417619,0,5730,2996,61
1702904418699,0,5728,6278,60
1702904419779,0,5729,16954,59
1702904420499,0,5726,161,59
1702904421579,0,5725,3385,59
1702904422660,0,5725,64924,59
1702904423740,0,5727,34370,59
1702904424819,0,5724,48777,59
1702904425539,0,5719,35052,59
1702904426619,0,5713,15495,59
1702904427699,0,5712,25038,59
1702904428778,0,5712,10295,0
1702904429498,0,6427,13022,0
1702904430578,0,6427,16451,0
1702904431658,0,2343,10524,0
1702904432738,0,7052,15234,0
1702904433818,0,6995,26174,0
1702904434538,0,6995,27765,0
1702904435618,0,6995,25470,0
1702904436698,0,6995,29939,0
1702904437777,0,7391,10988,0
1702904438497,0,7420,21430,0
1702904439577,0,7424,8210,0
1702904440658,0,7413,17934,0
1702904441737,0,7272,16928,0
1702904442817,0,7274,17866,0
1702904443537,0,7291,7555,0
1702904444617,0,7300,6524,0
1702904445697,0,7327,6441,0
1702904446777,0,7327,2262,0
1702904447497,0,7324,9368,0
1702904448229,0,7317,13444,0
1702904449310,0,7362,23546,0
1702904450390,0,7475,18866,0
1702904451469,0,7462,17448,0
1702904452189,0,7391,12491,0
1702904453270,0,7466,18272,0
1702904454350,0,7466,12832,0
1702904455431,0,7467,3797,0
1702904456151,71,7525,6264,96
1702904457230,71,7749,6395,95
1702904458311,71,7737,3436,95
1702904459389,71,7726,3637,0
1702904460469,70,7726,7887,0
1702904461189,71,7698,9577,0
1702904462269,71,7720,18203,0
1702904463349,71,7750,6171,0
1702904464430,71,7754,4617,0
1702904465149,71,7747,7937,93
1702904466229,71,7739,26128,93
1702904467308,71,7739,26596,93
1702904468388,73,7746,24611,92
1702904469467,76,7736,19779,92
1702904470187,79,7722,16965,93
1702904471267,83,7703,14855,94
1702904472346,87,7713,13024,94
1702904473426,90,7717,11977,94
1702904474147,92,7702,8699,95
1702904475227,93,7697,6676,96
1702904476308,94,7712,5473,96
1702904477387,94,7743,4119,96
1702904478467,95,7750,4142,96
1702904479187,95,7754,3967,95
1702904480266,95,7771,3282,95
1702904481346,95,7795,3427,94
1702904482426,95,7799,3096,93
1702904483147,95,7804,2987,94
1702904484226,96,7821,3366,94
1702904485307,96,7826,4338,95
1702904486387,96,7817,5261,95
1702904487467,96,7832,7763,95
1702904488188,95,7832,14469,96
1702904489267,95,7841,19368,96
1702904490345,95,7877,22148,97
1702904491425,95,7903,23675,98
1702904492145,96,7950,23555,98
1702904493225,96,7976,23372,99
1702904494305,96,7978,21414,100
1702904495386,96,7976,17269,100
1702904496465,96,7960,16339,99
1702904497186,95,7939,10120,97
1702904498265,95,7886,9811,95
1702904499345,95,7868,9331,95
1702904500424,95,7849,9254,94
1702904501145,96,7842,9720,94
1702904502224,96,7838,9484,95
1702904503304,96,7842,9692,95
1702904504384,96,7838,9405,95
1702904505464,96,7836,8897,96
1702904506185,97,7841,7777,95
1702904507264,97,7841,6257,92
1702904508344,97,7822,3602,89
1702904509424,97,7811,2303,86
1702904510144,97,7784,2038,86
1702904511224,96,7768,1904,88
1702904512303,97,7781,2948,88
1702904513383,97,7747,3335,88
1702904514464,97,7854,4063,87
1702904515183,96,7887,5298,87
1702904516263,95,7887,7685,88
1702904517343,94,7944,13909,91
1702904518424,94,8008,0,91
1702904519143,94,8028,0,92
1702904520224,95,8029,0,94
1702904521302,95,8007,11375,95
1702904522382,96,8005,11435,97
1702904523462,96,8002,8962,99
1702904524182,96,7960,6959,100
1702904525262,96,7939,5814,100
1702904526342,95,7940,5014,98
1702904527423,95,7970,5211,96
1702904528142,94,7990,7229,95
1702904529222,94,7988,5716,93
1702904530302,94,7974,3013,92
1702904531381,94,7960,4108,92
1702904532461,94,7944,3469,91
1702904533181,94,7951,2750,90
1702904534261,95,7962,3265,90
1702904535341,95,7946,3411,88
1702904536421,95,7913,3179,87
1702904537141,95,7908,3163,86
1702904538221,95,7913,2753,85
1702904539301,95,7926,3149,85
1702904540381,95,7919,3232,86
1702904541461,95,7901,3528,87
1702904541833,95,7918,3581,87
1702904542913,95,7995,3426,86
1702904543993,95,8033,3503,85
1702904545073,95,8059,3938,84
1702904545793,95,8053,4317,84
1702904546874,95,8040,3780,84
1702904547953,95,8010,8182,83
1702904549034,95,7996,8006,83
1702904550113,95,7984,5624,83
1702904550833,95,7936,9510,84
1702904551914,95,7911,3911,85
1702904552993,95,7877,3076,85
1702904554072,95,7872,4535,86
1702904554792,95,7884,2639,86
1702904555873,95,7875,3930,87
1702904556953,95,7841,3033,88
1702904558032,95,7836,2649,88
1702904559113,95,7848,2986,88
1702904559833,95,7868,2563,87
1702904560912,95,7895,4533,86
1702904561993,95,7885,4222,87
1702904563072,95,7870,2470,87
1702904563792,95,7877,2130,87
1702904564871,95,7923,1872,88
1702904565952,95,7938,2053,89
1702904567031,95,7923,2264,89
1702904568111,95,7916,2488,89
1702904568831,95,7937,2669,89
1702904569912,95,7945,2610,89
1702904570991,95,7954,2703,89
1702904572071,95,7966,2560,90
1702904572790,95,7940,2355,90
1702904573871,95,7932,1998,90
1702904574950,96,7946,1734,90
1702904576030,96,7962,1757,90
1702904577111,96,7957,1690,90
1702904577831,96,7939,1732,90
1702904578911,96,7929,2325,90
1702904579990,96,7890,2834,90
1702904581071,96,7852,5102,90
1702904581791,96,7908,5168,91
1702904582871,95,7953,6074,93
1702904583949,95,8031,6797,95
1702904585029,95,8052,6582,97
1702904586109,95,8061,6448,101
1702904586830,95,8047,5182,103
1702904587910,95,8052,5194,103
1702904588989,95,8056,4421,102
1702904590069,95,8047,4100,100
1702904590789,95,8047,2975,98
1702904591871,94,8073,2702,94
1702904592950,94,8080,2784,90
1702904594029,94,8066,2663,89
1702904595108,94,8055,2618,90
1702904595828,94,8015,2112,89
1702904596909,94,7998,2285,88
1702904597988,95,7968,2367,89
1702904599068,95,7950,2158,90
1702904599788,95,7931,2466,90
1702904600869,95,7939,2461,89
1702904601948,95,7872,3432,88
1702904603028,95,7884,7178,88
1702904604108,95,7955,7842,90
1702904604828,95,8000,8647,91
1702904605908,94,8058,8740,92
1702904606987,94,8074,8800,94
1702904608067,93,8062,8524,97
1702904608788,93,8051,5656,99
1702904609867,93,8037,4574,99
1702904610947,94,8031,2752,96
1702904612027,94,8011,2539,93
1702904613107,94,7987,2063,88
1702904613827,94,7980,1857,88
1702904614906,94,7949,2054,88
1702904615986,94,7930,2177,88
1702904617066,94,7908,2740,88
1702904617787,95,7911,2476,88
1702904618866,95,7888,2423,88
1702904619946,95,7868,2310,88
1702904621026,95,7836,2097,88
1702904622106,95,7827,2082,88
