UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1702991836485,0,0,0,0
1702991837205,0,0,0,0
1702991838285,0,0,0,0
1702991839365,0,0,0,0
1702991840096,0,5135,0,0
1702991840818,0,5131,36367,0
1702991841898,0,5160,22525,0
1702991842979,0,5137,60824,0
1702991844060,0,5126,22706,0
1702991845139,0,5126,44847,0
1702991845859,0,5126,53632,0
1702991846940,0,5134,52974,0
1702991848020,0,5139,39061,0
1702991849100,0,5142,4723,0
1702991849820,0,5133,43502,0
1702991850900,0,5134,16015,0
1702991851979,0,5129,46332,0
1702991853059,0,5144,24589,0
1702991854139,0,5137,65425,0
1702991854860,0,5152,57785,0
1702991855939,0,5140,46939,0
1702991857019,0,5135,34302,0
1702991858100,0,5143,31735,0
1702991858819,0,5129,25975,0
1702991859899,0,5129,21596,0
1702991860980,0,5129,24430,0
1702991862058,0,5129,27023,0
1702991863134,0,5269,28845,0
1702991863854,0,5137,30378,0
1702991864935,0,5137,0,0
1702991866015,0,5137,0,0
1702991867095,0,5074,0,0
1702991867815,0,5071,31533,0
1702991868895,0,5069,20889,0
1702991869975,0,5067,17505,0
1702991871055,0,5066,18454,0
1702991872134,0,5067,15540,0
1702991872854,0,5066,13430,0
1702991873933,0,5065,11282,0
1702991875013,0,5065,10348,0
1702991876094,0,5065,9055,0
1702991876814,0,5065,4238,0
1702991877894,0,5064,3127,0
1702991878975,0,5065,1943,0
1702991880054,0,5065,1563,0
1702991881134,0,5064,1478,0
1702991881854,0,5064,1328,0
1702991882933,0,5063,1308,0
1702991884014,0,5064,1394,0
1702991885093,0,5061,1291,0
1702991885813,0,5061,1271,0
1702991886894,0,5063,1313,0
1702991887973,0,5063,1440,0
1702991889053,0,5061,1548,0
1702991890134,0,5061,1558,0
1702991890853,0,5060,1641,0
1702991891933,0,5061,1667,0
1702991893013,0,5062,1598,0
1702991894093,0,5061,1571,0
1702991894812,0,5061,1504,0
1702991895892,0,5062,1262,0
1702991896973,0,5061,1312,0
1702991898052,0,5060,1419,0
1702991899132,0,5061,1449,0
1702991899852,0,5060,1421,0
1702991900933,0,5060,1390,0
1702991902012,0,5059,6493,0
1702991903093,0,5059,22057,0
1702991903813,0,5059,4642,0
1702991904891,0,5059,4518,0
1702991905971,0,5059,6242,0
1702991907051,0,5058,37562,0
1702991908131,0,5061,51037,0
1702991908852,0,5058,39926,0
1702991909931,0,5059,17304,0
1702991911011,0,5059,26826,0
1702991912091,0,5058,13514,0
1702991912811,0,5059,11333,0
1702991913892,0,5058,15190,0
1702991914970,0,5057,5344,0
1702991916050,0,5057,4765,0
1702991917130,0,5058,7380,0
1702991917850,0,5056,7639,0
1702991918930,0,5058,7184,0
1702991920010,0,5057,6255,0
1702991921090,0,5057,1238,0
1702991921810,0,5056,1250,0
1702991922890,0,5055,1384,0
1702991923970,0,5055,1501,0
1702991925051,0,5057,1498,0
1702991926129,0,5057,1677,0
1702991926849,0,5056,1758,0
