UTCTimestamp_ms,SpO2,DC_R,acc_power,HR
1703080657936,0,0,0,0
1703080658656,0,0,0,0
1703080659736,0,0,0,0
1703080660816,0,0,0,0
1703080661549,0,5667,0,0
1703080662269,0,5665,37867,0
1703080663350,0,5661,31010,0
1703080664430,0,5659,7573,0
1703080665512,0,5665,37156,0
1703080666592,0,5665,58912,0
1703080667311,0,5665,6013,0
1703080668391,0,5654,7228,0
1703080669471,0,5653,56523,0
1703080670547,0,5653,28460,0
1703080671267,0,5656,55860,0
1703080672348,0,5649,28055,0
1703080673426,0,5644,53308,0
1703080674507,0,5641,26247,0
1703080675586,0,5640,4818,0
1703080676306,0,5636,56835,0
1703080677387,0,5632,41871,0
1703080678466,0,5628,31867,0
1703080679546,0,5624,25842,0
1703080680266,0,5625,19302,0
1703080681347,0,5625,14678,0
1703080682426,0,5618,12109,0
1703080683508,0,5617,9129,0
1703080684586,0,5615,6481,0
1703080685308,0,5577,5286,0
1703080686387,0,5682,5487,0
1703080687468,0,5710,6805,0
1703080688546,0,5710,7548,0
1703080689266,0,5666,7575,0
1703080690346,0,5664,7791,0
1703080691426,0,5663,7836,0
1703080692507,0,5662,7425,0
1703080693587,0,5654,5041,0
1703080694306,0,5649,3983,0
1703080695385,0,5645,2878,0
1703080696466,0,5639,2624,0
1703080697545,0,5631,2022,0
1703080698265,0,5628,1689,0
1703080699345,0,5622,1732,0
1703080700426,0,5617,1725,0
1703080701506,0,5615,3236,0
1703080702587,0,5613,5565,0
1703080703306,0,5611,6739,0
1703080704386,0,5603,7825,0
1703080705467,0,5601,7846,0
1703080706544,0,5596,7867,0
1703080707264,0,5590,7941,0
1703080708345,0,5583,7474,0
1703080709426,0,5583,4629,0
1703080710505,0,5515,2428,0
1703080711585,0,5556,3367,0
1703080712305,0,5534,4002,0
1703080713385,0,5381,4424,0
1703080714465,0,5381,4465,0
1703080715545,0,5356,4478,0
1703080716265,0,5380,4381,0
1703080717345,0,5348,4375,0
1703080718423,0,5368,3068,0
1703080719503,0,5348,2154,0
1703080720583,0,5359,1811,0
1703080721303,0,5354,1519,0
1703080722384,0,5355,2195,0
1703080723464,0,5355,8068,61
1703080724544,0,5343,29003,61
1703080725264,0,5343,30149,59
1703080726344,0,5343,4219,59
1703080727424,0,5323,6080,59
1703080728504,0,5332,59280,59
1703080729583,0,5417,51685,59
1703080730303,0,5517,37854,59
1703080731383,0,5574,30478,59
1703080732463,0,5574,27460,59
1703080733543,0,5180,25305,0
1703080734264,0,5179,29231,0
1703080735343,0,5263,33265,0
1703080736423,0,5263,39065,0
1703080737503,0,9275,52718,0
1703080738583,0,9107,19531,0
1703080739303,0,7536,37427,0
1703080740382,0,6035,36893,0
1703080741463,0,6035,32504,0
1703080742542,0,6035,12224,0
1703080743262,0,5717,23025,0
1703080744342,0,5611,7249,0
1703080745422,0,5611,5608,0
1703080746503,0,5595,31416,59
1703080747582,0,5683,47438,0
1703080748302,0,5721,15842,0
1703080749382,0,5721,36931,0
1703080750462,0,5669,10655,0
1703080751543,0,5669,21051,0
1703080752261,0,5753,14619,0
1703080753341,0,5753,8509,0
1703080754421,0,5764,4088,0
1703080755501,0,5754,5082,0
1703080756581,0,5736,5390,0
1703080757301,0,5755,6540,0
1703080758381,0,5787,10058,0
1703080759461,0,5846,5352,0
1703080760541,0,5950,6748,0
1703080761261,0,6026,4612,53
1703080762341,90,6032,38799,0
